layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:As,7: a,8: clinical,9: documentati,10: task,11: for,12: depression,"13:,",14: summarize,15: demographic,16: information,17: and,18: significant,19: prior,20: medical,21: history,22: only,23:.,24: Begin,25: with,26::,"27: """,28:Gender,29::,"30: ""","31:
",32:<,33:|,34:ass,35:istant,36:|>,"37:
",38:Gender,39::
L11,0.107796,0.044321,0.107796,0.117839,-0.229613,-0.052652,0.038929,0.033508,0.081917,0.127781,0.033508,-0.318290,0.605341,-0.439303,-1.333029,0.107796,0.065930,0.171337,0.200506,-0.064572,0.000000,-0.108231,-0.108231,-0.310592,0.055350,0.033508,-0.095009,0.157629,0.909825,-0.963084,-0.417734,-0.481612,-0.236709,0.065930,0.005649,-0.120836,0.112830,-1.311936,0.218737,0.325717
L12,-0.017185,0.044321,0.249863,-0.040506,-0.127199,-0.022919,0.038929,0.065930,0.112830,-0.140048,0.127781,0.117839,0.351754,0.033508,0.856375,0.449609,-0.236709,-0.187211,-0.251056,-0.127199,0.102737,-0.187211,0.060654,-0.819318,0.191264,-0.236709,0.005649,-0.495353,-0.070586,0.617539,-0.287849,-0.101209,-0.280381,0.076399,0.028058,0.016894,-0.058594,-1.817057,-0.089231,0.737371
L13,0.000000,0.028058,-0.046377,-0.070586,0.102737,0.112830,-0.011394,0.171337,0.038929,0.071178,0.028058,0.050018,0.166590,-0.011394,-0.495353,0.470893,-0.108231,0.050018,-0.022919,0.005649,0.142511,-0.034670,0.011266,0.081917,-0.229613,-0.688039,-0.612662,-0.095009,-0.800369,-0.187211,-0.434952,-0.222566,-0.628343,0.091901,0.071178,0.071178,0.033508,-1.105254,-0.040506,-0.194012
L14,0.127781,0.107796,0.028058,-0.040506,0.214210,-0.052652,-0.005681,0.112830,-0.101209,0.147374,-0.114513,-0.082723,-0.046377,-0.034670,0.258581,-0.258307,-0.166251,0.176062,0.076399,0.065930,0.275792,0.102737,-0.166251,-0.587062,0.181936,0.038929,-0.243857,-0.443673,-0.934059,-0.592130,-0.287849,-0.481612,0.329767,0.038929,0.000000,0.071178,0.117839,0.055350,-0.058594,0.784635
L15,0.000000,0.028058,0.076399,-0.052652,-0.120836,0.005649,0.038929,0.028058,-0.058594,-0.108231,-0.108231,0.038929,-0.146534,0.137625,0.200506,-0.076636,0.022406,-0.200001,-0.101209,0.147374,-0.229613,-0.463579,-0.064572,-0.409235,0.005649,-0.095009,-0.222566,-0.542571,0.065930,-0.229613,-0.243857,-0.070586,0.200506,0.071178,0.022406,-0.222566,-0.229613,-1.376598,0.112830,0.435164
L16,0.258581,0.280049,0.081917,0.011266,0.005649,-0.052652,0.033508,-0.082723,-0.028868,0.005649,0.033508,-0.101209,0.162418,0.162418,0.329767,0.071178,-0.153064,-0.028868,-0.022919,0.181936,0.005649,0.227730,0.218737,0.117839,0.038929,-0.213827,-0.265611,-0.058594,-0.623089,-0.194012,0.022406,-0.400807,-0.353682,-0.089231,-0.046377,0.076399,0.498585,-0.710661,-0.832153,0.841948
L17,-0.011394,0.097652,-0.028868,-0.127199,0.107796,0.055350,0.102737,-0.140048,0.107796,-0.251056,-0.017185,-0.101209,0.147374,0.055350,0.275792,-0.280381,-0.034670,0.071178,-0.064572,0.065930,0.033508,0.186611,0.117839,-0.532948,-0.028868,-0.034670,-0.153064,-0.166251,0.748069,-0.295372,-0.699286,-0.763515,-0.046377,0.038929,-0.040506,0.091901,0.081917,0.456754,0.824850,2.328550
L18,0.117839,0.112830,-0.070586,0.102737,0.209663,0.086760,0.166590,0.152816,0.545274,0.398110,-0.011394,0.081917,1.554390,0.107796,0.055350,1.540034,0.513831,0.097652,0.223243,0.799906,0.427862,1.459782,0.186611,0.731979,0.016894,-0.101209,0.117839,0.335812,2.222332,0.442412,-0.710661,-0.089231,0.038929,0.076399,0.065930,-0.095009,0.033508,-0.763515,0.829765,1.464991
L19,0.122822,0.166590,0.011266,-0.028868,0.050018,0.186611,0.016894,0.065930,-0.076636,-0.180456,-0.108231,-0.089231,-0.200001,-0.120836,0.241068,-0.310592,-0.562101,-0.095009,0.071178,0.038929,-0.180456,0.060654,0.086760,-0.528170,0.117839,-0.070586,-0.222566,-0.733808,-0.806645,-0.341745,-0.382102,-0.671402,-0.127199,-0.058594,0.005649,-0.046377,0.137625,-1.122374,-1.291279,-1.376598
L20,-0.064572,-0.022919,-0.028868,0.022406,-0.040506,-0.076636,0.060654,0.033508,-0.040506,-0.127199,-0.005681,-0.005681,-0.426306,0.117839,0.112830,-0.612662,-0.180456,-0.108231,-0.040506,-0.082723,-0.140048,-0.430619,-0.187211,0.005649,0.005649,-0.070586,0.262912,0.176062,-1.469882,-0.353682,0.016894,0.367446,0.142511,0.044321,-0.082723,0.050018,0.427862,-0.941237,-1.718329,-1.354576
L21,0.060654,0.016894,0.028058,0.086760,0.086760,0.086760,0.117839,0.038929,0.214210,0.157629,0.071178,0.166590,0.571006,-0.005681,-0.028868,1.083848,0.241068,0.081917,0.132715,0.005649,0.142511,0.245475,0.005649,0.577337,0.107796,0.127781,0.214210,0.375201,1.609837,0.477888,-0.180456,0.571006,0.181936,0.112830,0.028058,-0.028868,-0.146534,-1.015997,0.091901,-1.852258
L22,0.028058,-0.017185,-0.017185,-0.017185,-0.070586,-0.034670,-0.046377,0.022406,-0.120836,-0.236709,-0.076636,-0.017185,-1.055584,-0.236709,0.005649,-0.602344,-0.272969,-0.064572,-0.076636,0.011266,-0.127199,-0.200001,-0.082723,-0.318290,0.060654,0.000000,-0.005681,-0.159636,-1.333029,-0.265611,0.038929,-0.153064,-0.089231,0.071178,-0.034670,-0.089231,0.413097,0.507084,-1.600236,-3.404443
L23,-0.017185,-0.058594,0.016894,-0.005681,0.033508,0.071178,-0.040506,0.055350,-0.052652,-0.052652,-0.011394,0.011266,-0.781772,-0.046377,0.005649,-0.159636,-0.064572,-0.046377,0.016894,-0.034670,0.044321,0.011266,-0.022919,0.011266,0.065930,0.060654,0.028058,-0.200001,-1.184715,0.102737,-0.011394,-0.101209,0.071178,0.091901,0.060654,0.060654,0.351754,-0.058594,-0.806645,-0.851721
L24,0.086760,0.060654,-0.011394,-0.011394,-0.034670,-0.095009,-0.034670,0.022406,0.060654,0.005649,0.016894,0.000000,0.166590,0.011266,0.000000,0.016894,0.016894,-0.017185,-0.034670,-0.017185,0.055350,-0.046377,-0.017185,-0.005681,0.016894,-0.034670,0.097652,0.309351,0.359631,0.191264,0.152816,0.022406,0.028058,0.076399,-0.005681,0.071178,0.682094,0.470893,-0.318290,1.759820
L25,0.028058,0.028058,0.033508,0.038929,-0.120836,-0.011394,-0.005681,-0.005681,0.071178,0.086760,0.065930,0.011266,0.297942,0.016894,0.005649,0.122822,0.016894,-0.017185,0.038929,0.000000,0.060654,0.028058,-0.017185,-0.034670,0.028058,0.000000,0.050018,0.280049,0.086760,0.463849,0.195896,0.055350,0.016894,-0.089231,-0.011394,0.016894,0.267224,0.117839,-0.794131,-3.248148
L26,-0.046377,-0.011394,0.065930,0.000000,0.028058,-0.034670,-0.017185,-0.011394,-0.022919,-0.028868,0.000000,0.028058,-0.229613,0.000000,-0.005681,-0.005681,0.005649,-0.017185,0.016894,0.000000,-0.028868,-0.028868,0.028058,0.000000,0.000000,0.016894,0.028058,0.011266,-0.200001,0.117839,0.016894,0.011266,0.071178,0.076399,0.028058,0.086760,0.769127,0.127781,-0.329948,0.321651
L27,-0.017185,0.016894,0.000000,0.028058,0.065930,0.000000,0.016894,0.033508,0.033508,0.060654,-0.011394,0.028058,0.033508,0.055350,0.033508,0.000000,0.044321,0.011266,0.016894,0.055350,0.033508,0.000000,0.065930,0.028058,0.028058,0.028058,0.028058,0.162418,-0.017185,0.132715,0.005649,0.028058,0.011266,0.000000,-0.005681,0.055350,0.470893,0.091901,-0.052652,-0.688039
L28,0.038929,0.028058,0.005649,0.016894,0.028058,0.016894,0.000000,-0.022919,-0.034670,0.000000,0.016894,0.033508,0.000000,0.000000,0.028058,0.033508,-0.005681,0.000000,0.000000,0.016894,0.000000,0.028058,-0.028868,0.028058,0.000000,0.005649,0.011266,0.038929,0.038929,0.142511,0.000000,-0.017185,0.028058,0.000000,-0.011394,0.102737,0.081917,0.071178,0.028058,-2.791499
L29,0.044321,0.038929,0.005649,0.000000,0.000000,0.028058,0.000000,0.000000,0.028058,0.000000,0.000000,0.000000,0.000000,0.000000,-0.028868,0.000000,0.000000,0.005649,0.005649,-0.005681,-0.028868,0.000000,0.000000,0.005649,0.000000,0.000000,-0.005681,0.028058,0.005649,0.000000,0.028058,0.028058,0.011266,0.028058,0.028058,0.071178,0.558223,0.176062,0.117839,3.038557
L30,0.055350,0.000000,0.000000,0.028058,-0.028868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.005681,0.000000,0.000000,0.000000,0.000000,-0.005681,0.000000,0.011266,0.280049,0.005649,0.016894,-0.127199
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.589776
