layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Prov,7:ide,8: 4,9: bullet,10: points,11: summar,12:izing,13: demographic,14: and,15: past,16: medical,17: history,18: for,19: sarc,20:oid,21:osis,22:.,23: Start,24: exactly,25: with,26::,"27: """,28:Gender,29::,"30: ""","31:
",32:<,33:|,34:ass,35:istant,36:|>,"37:
",38:Gender,39::
L17,0.125685,0.251308,0.047938,0.113804,0.156695,0.141310,0.179337,0.013304,0.141310,0.109812,-0.103375,0.030771,0.030771,0.208750,0.125685,0.064816,0.113804,0.237323,0.237323,0.237323,0.251308,0.201477,-0.207633,0.105804,0.179337,0.194151,0.271927,-0.258347,0.440547,0.186771,0.230256,0.117780,0.237323,0.285441,0.093683,0.331350,-0.491648,-0.213143,1.024487,3.189863
L18,0.141310,0.171846,-0.018018,0.223138,0.237323,0.179337,0.097740,0.223138,0.141310,0.311932,0.000000,0.060623,0.109812,0.381359,0.149032,0.149032,0.093683,0.171846,0.387438,0.579807,1.519805,1.086618,-0.164617,0.026433,0.093683,0.043674,-0.083768,-0.022574,0.675116,0.344088,0.344088,0.022075,0.186771,0.258229,0.030771,0.186771,-0.498974,0.849830,0.305375,1.691654
L19,-0.004474,0.064816,0.097740,0.077290,0.043674,0.446277,0.113804,0.093683,-0.103375,0.056413,0.039391,0.081413,0.344088,0.125685,0.125685,0.093683,0.064816,0.000000,0.081413,0.060623,0.109812,-0.207633,-0.258347,0.113804,0.156695,0.109812,0.068991,-0.138643,0.201477,-0.305691,0.215970,-0.018018,-0.159368,0.223138,0.093683,0.194151,-1.237193,0.073149,0.186771,0.985267
L20,0.125685,0.013304,-0.018018,0.081413,0.171846,0.093683,0.129614,0.064816,0.030771,-0.093523,-0.138643,0.013304,0.047938,0.298774,0.208750,0.113804,0.017699,0.017699,0.237323,0.208750,0.164299,0.208750,-0.567439,0.093683,-0.018018,0.030771,0.208750,-0.093523,0.194151,0.060623,0.097740,-0.078925,0.141310,0.271927,0.030771,0.171846,-0.355389,0.022075,-0.118338,0.528514
L21,0.141310,0.129614,0.017699,0.081413,0.237323,0.113804,0.081413,0.093683,0.017699,0.030771,-0.118338,0.097740,0.156695,0.223138,0.194151,0.081413,0.097740,-0.064537,0.141310,0.097740,0.362897,0.311932,-0.138643,0.194151,0.081413,0.194151,0.237323,0.285441,-0.148952,0.251308,1.043535,0.723905,0.064816,0.097740,0.000000,0.271927,-0.684232,-0.311770,-1.317229,0.186771
L22,0.141310,0.060623,0.035090,0.081413,0.093683,0.113804,0.125685,0.141310,0.141310,0.017699,0.113804,0.113804,0.064816,0.097740,0.129614,0.064816,0.017699,-0.083768,0.097740,0.258229,-0.031748,-0.055058,-0.074106,0.129614,0.081413,0.030771,0.097740,-0.269974,0.129614,0.179337,-0.004474,-0.098437,-0.088634,0.171846,0.113804,0.013304,-1.107527,-0.611709,0.060623,-0.218683
L23,0.109812,0.000000,0.047938,0.035090,0.064816,0.081413,0.129614,0.064816,0.047938,0.109812,0.030771,-0.031748,0.047938,0.017699,0.113804,0.064816,0.017699,0.047938,0.030771,0.457641,-0.299649,-0.148952,0.017699,0.047938,0.064816,0.000000,0.030771,-0.036367,0.393480,0.661386,0.434783,-0.031748,-0.022574,0.141310,0.030771,0.251308,0.085520,-0.241155,0.507237,1.990782
L24,0.013304,0.064816,0.030771,0.000000,0.109812,0.064816,0.000000,0.047938,-0.018018,0.000000,0.047938,-0.036367,0.064816,0.030771,0.097740,-0.018018,-0.036367,0.013304,0.047938,0.258229,0.077290,-0.004474,0.064816,0.017699,0.030771,-0.018018,0.030771,-0.036367,-0.229856,0.081413,0.064816,0.017699,0.030771,0.141310,0.030771,0.311932,-0.879009,0.013304,-0.064537,2.669186
L25,-0.013483,0.013304,-0.078925,0.017699,-0.064537,0.000000,0.017699,-0.004474,0.093683,0.000000,-0.050353,0.013304,0.064816,0.081413,0.030771,0.081413,0.047938,0.013304,0.013304,0.538985,-0.059786,0.097740,0.064816,0.064816,0.030771,0.030771,0.081413,0.077290,-0.305691,0.171846,0.171846,0.064816,0.097740,0.141310,0.030771,0.171846,-1.479730,0.244340,-0.213143,-2.153346
L26,0.081413,0.097740,0.000000,0.047938,0.047938,0.047938,0.013304,0.017699,0.093683,0.030771,0.064816,0.000000,0.030771,0.064816,0.000000,0.017699,0.017699,0.064816,0.064816,0.857435,0.292130,0.125685,0.017699,0.013304,0.013304,0.030771,0.047938,-0.055058,-0.050353,0.362897,0.047938,0.047938,0.064816,0.271927,0.077290,0.344088,-2.233370,0.068991,-0.138643,1.755370
L27,-0.018018,0.030771,0.035090,-0.031748,0.081413,0.047938,0.047938,0.017699,0.047938,0.013304,0.017699,0.000000,0.064816,0.030771,0.013304,0.017699,0.000000,0.000000,0.013304,0.068991,0.035090,0.064816,0.013304,0.000000,0.030771,0.000000,0.000000,-0.018018,-0.045669,0.258229,0.047938,0.047938,0.068991,0.164299,0.013304,0.423155,-1.540347,0.093683,-0.229856,1.024487
L28,-0.018018,0.000000,0.013304,0.000000,0.047938,0.013304,0.013304,0.000000,0.013304,0.013304,0.030771,-0.031748,0.013304,0.000000,0.000000,0.000000,0.000000,0.013304,0.017699,-0.684232,0.000000,0.064816,0.000000,-0.018018,0.013304,0.017699,-0.013483,-0.050353,-0.098437,0.258229,0.047938,0.081413,0.097740,0.047938,0.047938,0.512599,-1.422578,-0.069310,-0.050353,0.638075
L29,-0.050353,0.000000,0.000000,0.000000,0.047938,0.013304,0.000000,0.013304,0.000000,0.047938,0.030771,0.013304,0.000000,0.017699,0.047938,0.000000,-0.050353,0.013304,0.013304,0.035090,0.000000,0.047938,0.000000,-0.050353,0.013304,0.013304,0.013304,0.000000,0.047938,0.000000,0.000000,0.013304,0.064816,0.064816,0.000000,0.043674,-2.275919,0.081413,0.056413,2.404344
L30,-0.031748,0.013304,0.000000,0.000000,0.035090,-0.013483,0.013304,-0.013483,0.000000,0.047938,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.013483,0.030771,0.000000,0.000000,0.013304,0.000000,0.000000,0.000000,0.097740,0.030771,0.013304,0.013304,0.000000,0.000000,-0.018018,0.013304,0.013304,-0.018018,-0.636709,0.064816,0.109812,1.678409
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.148909
