layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Create,7: a,8: consult,9:-,10:note,11: style,12: brief,13: for,14: multiple,15: sclerosis,16: that,17: emphasizes,18: demographic,19: and,20: relevant,21: past,22: medical,23: history,24:.,25: Begin,26: with,27::,"28: """,29:Gender,30::,"31: ""","32:
",33:<,34:|,35:ass,36:istant,37:|>,"38:
",39:Gender,40::
L11,0.000000,-0.169163,0.000000,-0.134478,0.032576,-0.259388,0.006601,-0.013334,0.057894,-0.169163,-0.534277,-0.604481,-0.890145,-0.562932,-0.372889,0.208467,0.329828,0.147506,-0.221489,0.057894,-0.142082,-0.090026,0.006601,-0.090026,-0.126931,-0.307750,-0.177037,0.245410,0.234994,0.192206,0.136012,-0.679989,0.038966,-0.263690,0.106684,-0.112005,-0.372889,-0.647832,0.208467,0.699748,0.787855
L12,-0.033673,-0.192974,-0.006645,0.013158,-0.209169,-0.353841,0.320258,-0.020068,-0.165250,-0.177037,-0.820078,0.450780,-0.213259,0.389892,-0.276705,-0.192974,-0.604481,-0.229788,0.019673,-0.437427,0.064125,-0.013334,-0.075637,-0.303255,0.286025,-0.307750,0.376348,1.020591,0.112619,0.551065,0.329828,-0.427223,-1.685074,0.175677,-0.040546,-0.112005,0.006601,-0.165250,-0.622830,1.404342,1.323079
L13,-0.281081,-0.192974,-0.238156,-0.097299,-0.047467,-0.142082,-0.134478,-0.229788,-0.213259,-0.213259,0.147506,-0.165250,-0.797772,-0.177037,-0.229788,-0.733693,-0.592433,-0.229788,-0.437427,0.082587,-0.358569,-0.192974,0.038966,0.045315,1.020591,-0.134478,0.412066,0.488052,0.348696,1.120447,-0.368093,0.348696,1.279829,-0.075637,0.013158,-0.026847,-0.040546,-0.321355,-0.775953,0.124384,1.614722
L14,-0.090026,-0.047467,-0.013334,-0.047467,0.380883,-0.217366,-0.205095,-0.149745,-0.097299,-0.054435,-0.285477,-0.013334,0.000000,-0.157467,-0.238156,-0.506420,-0.805152,0.124384,-0.368093,0.265924,-0.090026,-0.026847,0.106684,0.398820,0.412066,-0.090026,0.203076,-0.272348,-0.157467,-1.685074,0.769617,0.686503,-0.922935,-0.205095,0.026145,0.070316,-0.054435,-0.557135,-0.316799,-0.363319,-1.778600
L15,-0.090026,-0.169163,-0.142082,0.006601,0.019673,-0.090026,0.045315,0.076470,-0.104625,0.032576,-0.061453,-0.033673,0.240215,-0.407122,0.339306,0.504181,-0.528643,-0.119440,-0.246595,-0.188966,0.130215,0.038966,0.192206,0.260835,-0.075637,0.158870,0.420799,-0.417122,-0.268009,1.959068,0.928141,-0.149745,-0.604481,0.164504,0.344012,-0.119440,-0.149745,-0.604481,1.656018,2.130279,-0.349135
L16,-0.134478,-0.229788,0.045315,0.000000,-0.217366,-0.177037,-0.192974,-0.142082,0.070316,0.006601,0.412066,0.147506,0.013158,0.290988,-0.294327,0.573707,0.141775,-0.233963,-0.392307,-0.330530,-0.047467,0.082587,0.032576,0.100714,-0.233963,-0.090026,-0.082806,-0.090026,-0.392307,0.566216,-0.180998,-0.382551,0.329828,0.638712,0.158870,-0.020068,0.057894,-0.468680,0.751041,-0.490071,-0.075637
L17,-0.090026,-0.097299,-0.054435,-0.061453,0.013158,-0.104625,-0.033673,-0.013334,0.153204,-0.205095,-0.255106,-0.192974,-0.238156,-0.068520,-0.221489,0.389892,0.270987,-0.026847,-0.097299,-0.006645,0.006601,0.158870,0.057894,0.057894,0.260835,-0.075637,0.094708,0.118519,-0.221489,0.799831,0.751041,0.158870,0.234994,-0.610560,-0.061453,-0.047467,0.006601,-0.165250,-1.167132,-0.013334,-0.201039
L18,0.006601,0.045315,0.019673,-0.082806,-0.054435,-0.020068,0.300840,0.082587,0.070316,0.118519,-0.054435,-0.221489,-0.104625,-0.246595,0.076470,9.271842,0.989073,0.106684,0.523984,0.450780,0.082587,0.310596,0.281037,0.412066,0.420799,-0.061453,0.270987,0.394366,0.286025,6.990287,1.714931,0.624627,-0.629022,-0.545641,-0.020068,-0.134478,-0.082806,-0.312264,-0.412110,4.231415,1.094187
L19,-0.075637,0.051624,-0.119440,-0.112005,0.006601,0.551065,0.006601,0.013158,0.076470,0.100714,0.610341,-0.040546,0.045315,-0.221489,-0.112005,-0.157467,0.136012,0.224467,0.051624,-0.217366,0.082587,0.250578,-0.006645,0.357998,0.516110,0.038966,0.219162,-0.033673,0.153204,2.994075,0.699748,0.566216,2.130279,-0.225630,-0.006645,-0.026847,0.006601,-0.545641,0.367215,2.389431,5.444880
L20,-0.040546,0.038966,0.026145,-0.013334,0.281037,0.006601,0.013158,-0.026847,-0.090026,0.170106,0.064125,0.153204,0.088666,0.158870,-0.377708,-0.075637,0.118519,0.141775,-0.119440,0.032576,0.106684,0.032576,0.006601,0.213829,0.463359,-0.013334,0.141775,0.153204,0.240215,0.610341,0.595848,0.136012,-0.939742,-0.142082,0.300840,-0.013334,0.070316,-0.112005,0.840653,0.420799,9.043607
L21,0.032576,0.051624,0.038966,-0.142082,-0.119440,0.000000,0.100714,0.064125,-0.054435,0.070316,-0.263690,-0.250841,-0.075637,0.076470,0.617510,3.395219,0.467517,0.082587,0.446552,0.094708,0.013158,0.082587,-0.006645,-0.068520,0.624627,-0.075637,0.032576,0.141775,0.229744,2.091782,-0.013334,-0.040546,0.467517,0.019673,-0.040546,-0.020068,0.106684,-0.180998,0.573707,0.357998,7.452106
L22,0.057894,0.000000,-0.026847,0.032576,-0.033673,0.019673,0.006601,0.032576,-0.061453,0.026145,-0.184974,-0.013334,-0.006645,-0.040546,0.000000,-0.679989,-0.272348,0.088666,-0.272348,0.019673,0.147506,-0.006645,-0.013334,-0.013334,-0.082806,0.112619,-0.104625,-0.090026,-0.013334,0.638712,0.141775,0.224467,0.344012,0.076470,0.082587,0.006601,0.006601,-0.387417,0.234994,-0.112005,5.562183
L23,-0.040546,0.019673,0.019673,-0.020068,-0.026847,0.019673,0.064125,0.026145,0.032576,0.038966,-0.026847,0.045315,0.064125,-0.119440,0.051624,-0.562932,-0.255106,-0.068520,0.032576,0.006601,0.045315,-0.006645,0.070316,0.112619,-0.061453,0.094708,0.006601,-0.112005,-0.209169,-0.604481,0.769617,-0.134478,-0.196998,-0.112005,0.013158,-0.026847,0.136012,-0.075637,0.136012,-0.033673,0.527897
L24,0.219162,0.130215,0.032576,-0.006645,-0.013334,0.928141,-0.013334,0.094708,-0.026847,0.000000,-0.013334,-0.026847,-0.026847,-0.090026,-0.082806,0.595848,0.088666,0.019673,0.000000,0.070316,0.051624,0.038966,-0.090026,-0.013334,0.000000,-0.075637,0.006601,0.057894,0.250578,0.270987,0.438041,0.467517,0.064125,-0.006645,0.130215,0.032576,0.229744,-1.085454,0.305730,0.543402,6.164791
L25,-0.026847,-0.061453,-0.061453,-0.075637,-0.169163,-0.013334,-0.112005,-0.006645,-0.082806,-0.112005,-0.020068,-0.047467,-0.013334,-0.054435,-0.090026,2.197224,-0.040546,-0.054435,0.112619,0.038966,-0.040546,-0.020068,-0.033673,0.026145,-0.061453,-0.097299,-0.090026,-0.054435,0.348696,0.376348,0.471658,0.076470,-0.006645,0.013158,0.076470,-0.020068,0.147506,-0.922935,0.250578,-0.447737,6.083141
L26,0.032576,0.019673,0.064125,-0.104625,-0.104625,-0.020068,0.000000,-0.020068,-0.013334,-0.006645,0.006601,-0.020068,-0.026847,0.006601,-0.033673,-0.484680,0.013158,-0.068520,0.032576,-0.006645,0.082587,0.051624,-0.040546,-0.006645,0.038966,-0.013334,-0.006645,-0.013334,0.181217,-0.180998,0.219162,0.006601,0.032576,0.064125,0.082587,0.038966,0.153204,-1.095306,0.315439,-0.134478,8.459753
L27,-0.026847,-0.013334,-0.013334,-0.047467,-0.020068,-0.097299,-0.033673,-0.054435,0.019673,-0.040546,0.019673,-0.006645,0.000000,0.051624,-0.013334,0.781813,0.006601,-0.026847,0.006601,-0.006645,-0.112005,-0.075637,-0.020068,0.006601,0.000000,0.000000,0.000000,-0.006645,0.070316,0.057894,0.234994,-0.033673,-0.006645,0.076470,0.186727,-0.054435,0.290988,-1.461931,0.276025,-0.242367,3.004633
L28,-0.075637,-0.075637,-0.082806,-0.026847,-0.026847,-0.020068,0.013158,-0.020068,-0.020068,-0.040546,-0.040546,-0.026847,-0.013334,-0.090026,0.006601,-0.033673,-0.033673,-0.020068,0.019673,-0.020068,-0.026847,-0.040546,-0.033673,-0.013334,-0.054435,-0.026847,-0.026847,-0.040546,-0.149745,0.006601,0.147506,-0.013334,-0.026847,0.064125,-0.040546,0.000000,0.407670,-1.419967,0.082587,-0.149745,7.670400
L29,0.006601,0.000000,-0.054435,-0.006645,0.045315,0.013158,-0.026847,-0.040546,-0.013334,0.019673,-0.040546,-0.013334,-0.040546,-0.040546,-0.040546,0.000000,-0.040546,-0.020068,-0.040546,-0.026847,-0.033673,-0.033673,0.000000,-0.047467,-0.026847,-0.020068,0.013158,-0.026847,-0.047467,-0.075637,-0.033673,-0.033673,-0.033673,-0.020068,-0.006645,0.000000,0.038966,-1.433760,0.051624,-0.033673,7.326496
L30,0.070316,0.088666,-0.026847,-0.006645,-0.033673,0.000000,-0.006645,-0.020068,0.000000,0.000000,-0.006645,-0.006645,-0.006645,-0.020068,-0.013334,-0.013334,-0.006645,-0.013334,0.006601,-0.006645,0.000000,-0.006645,-0.006645,0.000000,-0.013334,-0.006645,-0.013334,-0.013334,0.000000,-0.013334,0.000000,-0.006645,0.000000,-0.006645,-0.097299,0.006601,0.013158,-0.654181,-0.006645,-0.068520,9.621321
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.546606
