layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:A,7: patient,8: has,9: sarc,10:oid,11:osis,12:.,13: Write,14: a,15: concise,16: clinical,17: summary,18: covering,19: demographic,20: and,21: relevant,22: past,23: medical,24: history,25:.,26: ,"27:
",28:Begin,29: exactly,30: with,31::,"32: """,33:Gender,34::,"35: ""","36:
",37:<,38:|,39:ass,40:istant,41:|>,"42:
",43:Gender,44::
L11,-0.063851,0.060018,0.125769,-0.126194,0.000000,-0.186453,0.249594,0.435924,0.374048,0.374048,3.065891,1.567325,0.125769,0.000000,0.064861,-0.126194,0.000000,-0.439544,0.125769,-0.186453,-0.126194,-0.063851,0.000000,0.060018,-0.063851,0.121213,0.249594,0.187463,0.060018,0.249594,0.623785,0.125769,0.435924,2.938997,-0.501419,-0.120363,-0.312031,0.435924,-0.063851,0.000000,-0.250578,-0.126194,0.500462,2.250748,0.500462
L12,-0.063851,-0.063851,0.060018,-0.063851,0.000000,-0.312031,0.187463,-0.501419,-0.377508,-0.250578,0.187463,-0.126194,-0.439544,-0.063851,0.000000,-0.126194,-0.250578,0.125769,0.374048,-0.126194,-0.063851,0.000000,-0.186453,-0.312031,-0.501419,-0.126194,0.060018,0.125769,-0.063851,0.064861,0.000000,-0.126194,0.435924,1.505221,0.308091,-0.186453,0.125769,0.125769,-0.063851,-0.063851,-0.063851,0.000000,1.505221,-0.377508,0.618245
L13,0.064861,-0.126194,-0.186453,-0.126194,-0.063851,-0.126194,-0.126194,0.000000,0.000000,0.060018,0.125769,-1.376034,-0.250578,-0.126194,-0.186453,-0.186453,-0.126194,0.315638,0.000000,-0.377508,0.121213,-0.126194,-0.377508,-0.126194,-0.250578,-0.063851,0.249594,0.000000,0.060018,-0.126194,0.125769,-0.439544,0.121213,0.687978,0.125769,0.125769,-0.377508,0.060018,-0.126194,-0.186453,0.000000,0.000000,-0.250578,-1.005176,1.937033
L14,-0.126194,-0.063851,-0.063851,-0.126194,0.125769,-0.377508,-0.126194,0.060018,-0.063851,-0.186453,-0.126194,-0.377508,-0.126194,-0.126194,-0.126194,0.000000,-0.126194,-0.250578,-0.063851,-0.126194,-0.063851,0.000000,0.060018,0.060018,0.000000,-0.063851,0.000000,-0.126194,-0.250578,0.000000,-0.126194,-0.377508,-0.063851,-0.312031,-0.063851,0.125769,-0.688004,0.249594,0.060018,0.000000,-0.063851,-0.435552,-0.063851,-0.250578,-0.435552
L15,-0.063851,0.060018,0.000000,-0.186453,0.064861,-0.126194,-0.063851,-0.250578,-0.250578,-0.250578,1.187339,0.249594,-0.377508,-0.063851,-0.312031,-0.126194,-0.126194,0.060018,-0.063851,-0.501419,-0.063851,-0.063851,-0.186453,-0.186453,-0.186453,-0.126194,-0.063851,-0.063851,-0.186453,0.000000,0.060018,-0.377508,-0.377508,0.561087,0.187463,-0.501419,-0.126194,-0.312031,0.000000,0.000000,-0.126194,-0.186453,0.064861,0.500462,1.187339
L16,-0.126194,-0.250578,0.000000,-0.126194,0.000000,-0.186453,0.060018,-0.693146,-0.562842,-0.250578,-0.943723,0.060018,-0.186453,-0.126194,-0.126194,-0.063851,-0.312031,-0.126194,-0.186453,-0.439544,0.125769,0.000000,0.187463,0.125769,0.121213,-0.377508,-0.126194,0.000000,-0.063851,-0.063851,0.060018,-0.377508,0.315638,-0.312031,0.064861,0.000000,-0.688004,-0.126194,0.060018,0.060018,0.060018,-0.370018,-0.250578,-1.376034,-0.885829
L17,0.000000,-0.063851,-0.063851,-0.126194,-0.063851,-0.250578,-0.250578,0.000000,-0.126194,0.125769,0.938717,0.060018,-0.186453,-0.126194,0.060018,-0.126194,-0.186453,-0.186453,0.000000,-0.562842,-0.250578,0.000000,-0.126194,-0.126194,0.125769,0.249594,-0.126194,-0.186453,-0.126194,-0.126194,0.000000,-0.250578,-0.439544,0.753164,0.064861,-0.312031,-1.242503,0.060018,0.064861,-0.126194,-0.063851,-0.063851,-0.063851,0.561087,0.876327
L18,0.125769,-0.063851,0.000000,-0.126194,-0.126194,-0.126194,0.374048,2.192631,1.439003,1.439003,13.427391,6.192867,3.439954,0.374048,0.374048,0.060018,0.809783,0.435924,-0.186453,0.748298,0.249594,0.249594,0.623785,0.623785,0.876327,0.561087,0.060018,0.561087,-0.063851,-0.063851,0.125769,-0.250578,0.000000,10.153268,0.561087,0.308091,-0.439544,0.125769,0.000000,-0.126194,-0.126194,0.374048,0.435924,5.062789,1.942959
L19,0.000000,-0.186453,0.125769,-0.126194,-0.063851,-0.063851,-0.126194,-0.873407,-0.377508,-0.250578,-0.126194,-0.688004,-0.377508,-0.063851,0.000000,0.000000,-0.250578,0.187463,-0.063851,-0.186453,-0.126194,0.000000,0.000000,0.000000,0.000000,0.308091,0.000000,-0.250578,0.060018,-0.063851,0.000000,-0.439544,-0.562842,-0.756997,-0.377508,-0.377508,-0.439544,-0.377508,-0.186453,-0.186453,-0.063851,0.060018,0.500462,0.125769,1.368087
L20,-0.126194,-0.126194,-0.126194,-0.126194,-0.063851,-0.250578,0.000000,-0.501419,-0.377508,-0.377508,-1.063163,-0.873407,-0.751518,-0.126194,0.000000,-0.063851,-0.186453,-0.186453,0.125769,-0.186453,-0.126194,0.060018,-0.186453,-0.250578,-0.501419,0.060018,-0.126194,-0.688004,0.125769,-0.186453,-0.063851,-0.250578,-0.312031,-1.866653,-0.377508,-0.126194,-0.312031,0.187463,0.060018,-0.063851,0.125769,0.125769,-0.126194,-0.501419,3.254520
L21,-0.063851,-0.126194,-0.063851,-0.250578,0.000000,0.060018,0.000000,1.567325,0.561087,0.315638,2.440102,2.813616,1.378531,-0.063851,0.125769,-0.126194,0.000000,-0.063851,0.060018,0.435924,-0.063851,0.064861,0.060018,-0.063851,0.125769,0.125769,-0.063851,0.315638,0.000000,-0.186453,-0.126194,0.000000,-0.063851,3.941080,0.561087,0.315638,-0.186453,-0.312031,-0.126194,-0.063851,-0.250578,-0.250578,-0.943723,0.500462,12.799779
L22,0.000000,0.000000,-0.063851,0.000000,-0.186453,-0.126194,-0.126194,-1.124720,-0.312031,-0.250578,-1.506653,-1.935645,-0.813509,0.000000,-0.063851,-0.063851,-0.250578,-0.186453,-0.063851,-0.688004,-0.250578,-0.126194,-0.126194,-0.126194,-0.250578,0.000000,-0.250578,-0.562842,-0.126194,0.000000,0.060018,-0.186453,-0.562842,-0.873407,-0.312031,-0.126194,-0.312031,-0.126194,-0.063851,-0.063851,-0.126194,0.125769,-0.063851,-1.506653,-0.108803
L23,-0.063851,0.000000,0.000000,0.000000,-0.126194,-0.063851,-0.439544,-0.873407,-0.377508,-0.312031,-2.434630,-1.630266,-0.751518,-0.063851,-0.186453,0.000000,-0.126194,0.000000,0.060018,-0.063851,-0.250578,-0.126194,-0.186453,0.060018,-0.063851,0.000000,-0.063851,-0.439544,-0.063851,-0.063851,-0.126194,-0.186453,-0.751518,-2.048973,0.064861,-0.126194,-0.312031,0.000000,0.000000,0.125769,0.000000,-0.126194,-0.439544,-0.439544,-1.376034
L24,-0.126194,0.060018,0.000000,0.000000,-0.063851,0.435924,0.249594,0.187463,0.000000,0.187463,-0.312031,0.687978,-0.250578,-0.063851,-0.063851,-0.063851,-0.063851,0.000000,-0.063851,0.000000,-0.063851,-0.063851,0.060018,-0.126194,-0.063851,0.125769,0.000000,0.060018,-0.063851,-0.063851,-0.063851,0.000000,0.060018,0.876327,0.435924,0.060018,0.060018,0.060018,-0.126194,0.000000,0.187463,-0.186453,-0.126194,0.249594,4.061685
L25,-0.063851,0.000000,-0.063851,-0.063851,-0.126194,-0.063851,0.064861,0.374048,-0.063851,0.060018,0.561087,1.248334,0.060018,-0.063851,0.000000,0.000000,0.064861,-0.126194,-0.063851,0.125769,0.000000,0.000000,0.060018,0.000000,0.060018,0.060018,0.060018,0.249594,-0.126194,-0.063851,-0.063851,0.000000,0.000000,1.129071,0.561087,0.000000,-0.063851,0.060018,0.000000,-0.063851,0.125769,-0.126194,0.121213,-1.063163,1.665564
L26,-0.063851,-0.126194,-0.063851,-0.063851,-0.063851,-0.063851,0.000000,-0.377508,-0.186453,-0.186453,-1.124720,-0.813509,-0.250578,-0.126194,-0.186453,-0.186453,-0.063851,-0.126194,-0.126194,-0.126194,-0.063851,-0.126194,-0.126194,-0.126194,-0.126194,0.000000,-0.126194,-0.250578,-0.126194,0.000000,0.000000,-0.126194,-0.126194,-0.623466,0.060018,-0.063851,-0.063851,-0.063851,0.000000,-0.063851,0.187463,-0.186453,-0.250578,-0.562842,8.470651
L27,-0.063851,-0.063851,-0.063851,-0.063851,0.000000,0.000000,0.060018,0.125769,0.000000,-0.063851,0.000000,0.249594,0.125769,-0.063851,-0.126194,0.000000,-0.063851,0.000000,0.000000,-0.063851,-0.063851,-0.126194,0.000000,-0.063851,-0.063851,-0.063851,-0.063851,0.060018,-0.063851,-0.063851,0.000000,-0.063851,-0.126194,0.125769,0.000000,-0.126194,-0.063851,-0.126194,-0.063851,-0.063851,0.125769,-0.250578,0.125769,-0.250578,2.861905
L28,0.000000,0.000000,0.000000,0.000000,0.000000,-0.063851,-0.063851,0.000000,0.000000,0.000000,-0.063851,-0.063851,0.000000,0.000000,0.000000,-0.063851,-0.063851,0.000000,0.000000,-0.063851,0.000000,0.000000,-0.063851,0.000000,0.000000,0.000000,-0.063851,-0.063851,-0.063851,-0.063851,-0.063851,-0.063851,-0.063851,-0.063851,0.060018,-0.063851,0.000000,-0.063851,0.000000,0.000000,0.125769,-0.562842,-0.063851,-0.063851,7.334146
L29,-0.063851,0.000000,-0.126194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.126194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.126194,-0.063851,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.063851,0.000000,0.000000,0.000000,-0.126194,-0.063851,-0.063851,-0.370018,-0.126194,-0.063851,8.571557
L30,0.060018,0.060018,0.000000,0.000000,-0.063851,0.000000,0.000000,0.000000,0.000000,0.060018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.126194,0.000000,-0.063851,-0.126194,0.000000,-0.063851,9.640273
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.150665
