layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:As,7: a,8: clinical,9: documentati,10: task,11: for,12: sarc,13:oid,14:osis,"15:,",16: summarize,17: demographic,18: information,19: and,20: significant,21: prior,22: medical,23: history,24: only,25:.,26: Begin,27: with,28::,"29: """,30:Gender,31::,"32: ""","33:
",34:<,35:|,36:ass,37:istant,38:|>,"39:
",40:Gender,41::
L11,0.172569,-0.009685,0.074279,-0.288677,0.553476,0.042635,-0.220362,-0.123248,-0.362004,1.237969,-0.019465,-0.947137,0.358275,3.053602,1.001895,-1.257883,-2.049004,-0.070090,-0.659049,-0.827152,-0.167490,-0.019465,0.288428,0.079185,-0.245625,-0.348569,-0.480323,-0.341919,-0.882497,0.279566,1.900358,0.147492,0.135227,-1.438992,-0.421207,0.004808,-0.294982,-0.355264,0.009592,-0.133958,1.134482,1.971022
L12,-0.355264,-0.054740,0.143420,-0.294982,-0.362004,-0.355264,0.014390,-0.472740,0.176524,-0.531069,-0.523093,-0.220362,0.000000,-0.668193,-0.226249,-0.226249,0.548047,0.653852,-0.070090,-0.348569,-0.191436,-0.075153,0.000000,-0.309314,0.193159,0.288428,-0.276186,-0.034431,-0.710406,-1.381135,-0.294982,0.014390,-1.163124,1.243415,-0.551294,0.000000,0.000000,0.004808,0.351672,-0.117935,0.096437,0.803667
L13,0.014390,-0.054740,-0.117935,-0.414057,0.122811,0.122811,0.000000,-0.161938,-0.294982,0.000000,0.184386,0.113922,0.000000,-0.710406,-1.274587,-0.888204,-0.584529,-0.947137,-1.133434,0.601058,-0.288677,-0.779833,-0.288677,-1.076573,0.390655,0.634068,-0.779833,-0.406958,-1.163124,0.118115,-1.711136,-0.882497,0.903878,0.767172,0.799442,0.060800,-0.049469,-0.049469,-0.302919,-2.447801,-0.239623,0.919019
L14,0.079185,-0.039317,-0.112651,-0.239623,0.653852,-0.288677,-0.112651,-0.288677,-0.239623,-0.348569,0.065497,0.180463,-0.185750,-0.597283,-0.739573,-0.700870,-0.220362,-0.239623,-1.009762,-0.348569,0.014390,-0.465213,-0.156416,0.606208,0.219968,0.514837,-0.399910,-0.180096,-1.009762,-0.800588,-2.503787,-0.315751,0.197033,0.574904,-0.457743,0.065497,0.176524,-0.173073,0.056359,0.799442,-1.381135,1.068769
L15,-0.173073,0.060800,-0.117935,0.122811,-0.173073,-0.004831,-0.054740,-0.112651,0.176524,-0.191436,-0.054740,0.069898,-0.059726,1.385000,0.109711,-0.641009,-0.348569,0.343355,-0.414057,-0.239623,0.122811,0.243313,0.105482,0.188295,0.343355,-0.811129,-0.294982,-0.004831,-0.428408,-1.163124,1.854252,0.397007,0.279566,-0.601570,-0.133958,0.126967,-0.167490,-0.487965,-0.597283,-2.250762,0.489184,0.188295
L16,0.023846,-0.276186,0.126967,0.056359,0.004808,-0.117935,-0.059726,0.004808,0.126967,-0.348569,-0.054740,0.295461,0.113922,-0.491807,0.056359,-0.282412,-0.389428,-0.523093,-0.348569,-0.226249,-0.049469,-0.156416,0.004808,0.771536,-0.208691,-0.399910,0.118115,0.745065,0.152558,-0.276186,-0.101514,0.047137,0.135227,0.409591,0.019093,0.302445,0.004808,0.065497,-0.257737,-0.935069,-1.209382,3.095380
L17,0.118115,-0.112651,-0.294982,-0.117935,0.009592,0.060800,-0.226249,0.235902,0.009592,-0.117935,-0.239623,0.014390,0.113922,0.658738,-0.161938,-0.106739,-0.091144,-1.193724,-0.888204,-0.064738,0.105482,-0.059726,-0.239623,-0.576116,0.118115,-0.044534,-0.180096,-0.004831,-0.368790,-0.911362,0.316269,-0.091144,-0.551294,-0.734652,-0.827152,-0.054740,0.118115,0.060800,-0.457743,-0.882497,0.758388,1.181803
L18,0.250669,0.309381,-0.059726,-0.054740,0.083526,0.243313,0.243313,0.250669,1.081623,0.857028,0.060800,0.364836,1.365960,3.643326,3.331214,1.134482,-0.156416,2.299144,0.903878,0.288428,0.323110,1.042553,1.008787,2.733733,0.948631,1.842386,-0.167490,0.302445,0.601058,0.933935,3.607197,0.771536,0.465817,-0.232171,-0.519128,-0.101514,0.193159,-0.112651,-0.406958,-1.009762,3.320382,0.644009
L19,0.139332,0.135227,0.188295,-0.173073,-0.348569,0.371353,0.000000,0.131106,-0.112651,0.409591,-0.117935,0.019093,0.004808,0.105482,0.156592,0.343355,-0.335312,1.062279,0.987967,0.329904,-0.239623,-0.348569,-0.232171,0.343355,0.009592,0.047137,-0.282412,-0.123248,-0.375622,-0.805845,1.176009,0.749526,1.113054,0.629060,-0.251663,-0.294982,-0.173073,-0.180096,-0.282412,0.526030,0.208566,2.240772
L20,0.069898,0.004808,0.065497,0.004808,-0.112651,-0.123248,0.004808,0.126967,-0.004831,-0.355264,0.004808,0.131106,-0.302919,-0.790157,-1.163124,-0.049469,-0.406958,-0.618907,-0.226249,-0.173073,0.056359,0.160610,-0.064738,-0.859990,0.168599,-0.309314,0.122811,0.122811,0.309381,0.074279,-1.611962,-0.075153,0.364836,0.250669,0.023846,0.069898,0.004808,0.065497,-0.269999,0.113922,-0.269999,0.803667
L21,0.060800,0.118115,0.009592,-0.054740,0.009592,0.065497,0.364836,0.122811,0.483394,0.126967,0.122811,0.074279,0.606208,2.240772,1.645086,0.056359,0.004808,1.577415,0.595882,0.243313,0.131106,0.184386,0.364836,0.250669,-0.059726,0.423561,-0.117935,-0.049469,0.316269,0.441890,3.122293,0.717875,-0.472740,0.028577,0.193159,0.065497,0.126967,-0.117935,-0.472740,-2.296503,0.023846,-0.911362
L22,-0.059726,0.056359,0.060800,0.056359,-0.117935,0.069898,0.056359,-0.054740,-0.128588,-0.315751,-0.059726,-0.059726,-0.614544,-1.543545,-1.543545,-0.551294,0.122811,-0.984240,-0.480323,0.060800,-0.054740,-0.059726,-0.123248,-0.601570,-0.112651,-1.090488,0.122811,0.060800,0.060800,-0.128588,-1.521742,-0.315751,-0.049469,-0.049469,-0.294982,0.309381,0.004808,0.056359,0.096437,-0.335312,-2.927669,-3.121206
L23,0.060800,0.118115,0.118115,0.056359,0.004808,0.069898,0.000000,0.000000,-0.004831,-0.117935,0.176524,0.180463,-0.610201,-2.344436,-1.163124,0.060800,0.122811,-0.180096,0.004808,-0.117935,0.004808,0.004808,-0.059726,0.000000,0.004808,0.060800,0.060800,-0.054740,0.000000,-0.480323,-2.296503,0.423561,-0.106739,-0.180096,-0.049469,0.193159,0.243313,0.184386,-0.044534,-1.133434,-1.978468,-2.394784
L24,0.188295,0.131106,0.118115,0.060800,0.000000,-0.362004,0.056359,0.060800,0.113922,-0.064738,0.122811,0.122811,0.243313,0.235902,0.243313,-0.059726,0.060800,0.118115,0.122811,0.004808,0.000000,0.000000,0.122811,-0.054740,0.118115,0.069898,0.060800,0.122811,0.243313,0.309381,0.948631,0.613883,0.302445,0.122811,0.302445,0.180463,0.004808,0.065497,-0.368790,-0.276186,-0.876823,0.941310
L25,0.243313,0.184386,0.004808,0.060800,-0.117935,0.118115,0.176524,0.118115,0.180463,0.302445,0.126967,0.060800,0.243313,0.601058,0.780206,0.122811,0.060800,0.302445,0.004808,0.118115,0.118115,0.122811,0.176524,0.235902,0.118115,0.176524,0.184386,0.176524,0.122811,0.193159,0.235902,0.955899,0.302445,0.235902,0.126967,-0.128588,0.122811,0.118115,-0.507328,0.351672,-1.400051,-2.693435
L26,-0.059726,-0.004831,0.060800,0.118115,0.004808,0.118115,0.056359,0.060800,-0.059726,0.056359,0.060800,0.060800,-0.180096,-0.744517,-0.610201,-0.004831,0.113922,-0.059726,0.004808,0.000000,0.060800,0.004808,0.056359,0.060800,0.060800,0.060800,0.118115,0.060800,-0.054740,-0.059726,-0.421207,0.364836,0.060800,0.060800,0.004808,0.065497,0.000000,0.004808,-0.123248,0.000000,-0.610201,1.965760
L27,0.056359,0.060800,0.004808,0.113922,0.122811,0.118115,0.113922,0.060800,0.118115,0.180463,0.060800,0.060800,0.056359,0.056359,0.243313,0.056359,0.056359,0.056359,0.056359,0.060800,0.004808,0.118115,0.000000,0.004808,0.056359,0.060800,0.004808,0.056359,0.060800,0.131106,0.113922,0.358275,0.060800,0.118115,0.118115,0.056359,0.118115,0.004808,-0.368790,0.172569,-0.185750,-0.947137
L28,0.004808,0.000000,0.113922,0.000000,0.060800,0.118115,0.060800,0.056359,0.000000,0.056359,0.056359,0.056359,0.056359,0.056359,0.060800,0.056359,0.056359,0.118115,0.060800,0.060800,0.056359,0.113922,0.060800,0.113922,0.056359,0.056359,0.060800,0.056359,0.056359,0.004808,0.000000,0.302445,0.056359,0.060800,0.060800,0.056359,0.000000,0.184386,-0.984240,-0.004831,0.065497,-2.124895
L29,0.060800,0.004808,0.113922,0.004808,0.060800,0.000000,0.004808,0.004808,0.056359,0.056359,0.000000,0.000000,0.056359,0.056359,0.060800,0.004808,0.000000,0.004808,0.004808,0.004808,0.060800,0.056359,0.060800,0.000000,0.000000,0.004808,0.004808,0.004808,0.000000,0.004808,0.113922,0.004808,0.056359,0.004808,0.113922,0.118115,0.118115,0.060800,-0.315751,0.065497,0.122811,2.646843
L30,0.060800,0.060800,0.056359,0.004808,0.004808,0.060800,0.000000,0.004808,0.060800,0.060800,0.004808,0.004808,0.056359,0.060800,0.060800,0.004808,0.004808,0.004808,0.060800,0.000000,0.113922,0.004808,0.060800,0.004808,0.000000,0.060800,0.004808,0.004808,0.000000,0.113922,0.000000,0.113922,0.004808,0.004808,0.060800,0.004808,0.000000,0.060800,-0.039317,0.056359,0.118115,1.865980
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.447801
