layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:You,7: are,8: a,9: helpful,10: clinical,11: assistant,12: for,13: inpatient,14: documentati,15:.,16: Condition,17::,18: asthma,19:.,"20:
",21:Create,22: a,23: concise,24: patient,25: summary,26: emphasizing,27: demographic,28: and,29: PM,30:H,31:.,32: Start,33: with,34::,"35: """,36:Gender,37::,"38: ""","39:
",40:<,41:|,42:ass,43:istant,44:|>,"45:
",46:Gender,47::
L11,-0.246146,-0.252658,0.000000,-0.252658,0.250103,-0.252658,0.000000,-0.377756,0.000000,-0.124099,-0.252658,0.624705,-0.750184,-0.377756,-0.246146,-0.750184,-1.123540,-0.499644,3.981729,-0.499644,-0.246146,-0.370380,-0.124099,-0.124099,0.752079,-0.252658,-0.246146,0.123924,-0.124099,-0.377756,0.624705,-0.124099,-0.124099,0.503545,-0.124099,0.624705,2.249619,-0.499644,0.503545,-0.750184,-0.124099,-0.124099,-0.252658,-0.124099,0.123924,0.000000,1.128360,0.875672
L12,-0.377756,-0.252658,-0.252658,-0.377756,-0.252658,-0.875958,-0.124099,-0.252658,-0.252658,-0.377756,-0.252658,-0.624167,-0.252658,0.250103,-1.123540,-0.499644,-0.124099,-0.252658,-3.479554,-0.377756,0.000000,0.250103,-0.124099,-0.124099,-0.998972,-0.124099,0.497392,0.752079,-0.246146,-0.252658,-0.124099,-0.124099,-0.252658,0.000000,0.128397,0.497392,3.859453,0.875672,0.123924,-0.252658,-0.252658,-0.124099,-0.124099,-0.124099,-0.377756,0.503545,2.121961,2.121961
L13,-0.124099,-0.124099,-0.624167,-0.499644,-0.246146,0.000000,0.000000,-0.246146,-0.377756,0.000000,-0.499644,-0.624167,-0.499644,0.000000,0.000000,0.000000,-0.750184,-0.998972,0.497392,-0.124099,-0.124099,0.000000,-0.252658,-0.499644,0.000000,0.250103,0.000000,0.123924,0.372671,-0.124099,0.875672,0.123924,-0.377756,-0.624167,-0.252658,1.002556,-2.639247,0.372671,0.250103,-0.124099,0.250103,0.000000,-0.124099,-0.124099,-0.252658,-0.998972,0.372671,1.002556
L14,-0.124099,-0.377756,-0.499644,-0.124099,0.250103,-0.875958,-0.377756,-0.252658,-0.377756,0.000000,-0.124099,-0.252658,-0.246146,-0.499644,0.123924,-0.246146,-0.124099,-0.499644,-3.479554,-0.377756,-0.124099,0.000000,-0.124099,-0.124099,0.497392,-0.124099,0.123924,0.123924,0.000000,-0.124099,0.497392,0.000000,-0.124099,0.000000,-0.750184,0.128397,-0.246146,0.250103,0.372671,-0.875958,0.000000,-0.370380,-0.124099,-0.377756,-0.499644,-1.497708,-0.124099,-0.124099
L15,-0.124099,-0.124099,-0.252658,-0.124099,-0.377756,-0.124099,0.000000,-0.246146,-0.252658,-0.124099,-0.252658,0.123924,-0.246146,-0.377756,-0.624167,-0.377756,0.624705,0.123924,-1.123540,-0.124099,-0.252658,-0.124099,-0.124099,-0.377756,-1.123540,-0.252658,0.000000,-0.750184,-0.124099,-0.124099,-0.370380,-0.124099,-0.252658,0.372671,-0.124099,-0.499644,1.625249,0.250103,-0.377756,-0.252658,0.123924,-0.252658,-0.124099,-0.252658,-0.499644,-0.750184,1.745574,2.370425
L16,-0.499644,-0.624167,0.123924,-0.124099,-0.124099,-0.377756,-0.377756,-0.252658,0.000000,0.000000,-0.252658,-0.377756,-0.246146,-0.252658,0.000000,0.250103,-0.624167,-0.499644,-2.335251,-0.252658,-0.370380,-0.252658,-0.246146,-0.377756,-0.750184,-0.750184,-0.252658,-0.624167,-0.124099,-0.246146,0.372671,0.123924,0.000000,0.000000,-0.124099,0.000000,0.503545,0.250103,0.000000,-0.377756,0.000000,-0.124099,0.000000,0.000000,-0.124099,-1.123540,-0.869884,-0.503834
L17,-0.124099,-0.252658,-0.246146,-0.252658,0.000000,-0.246146,0.000000,-0.252658,-0.124099,-0.252658,0.000000,-0.499644,-0.377756,-0.252658,-0.377756,-0.124099,0.000000,0.123924,0.123924,-0.370380,-0.124099,-0.252658,-0.377756,-0.124099,0.503545,-0.624167,0.123924,-0.377756,-0.124099,0.000000,-0.124099,0.372671,0.000000,0.123924,0.372671,-0.499644,1.625249,0.497392,0.000000,0.000000,-0.377756,0.128397,0.123924,-0.124099,-0.252658,-0.811095,1.002556,1.506601
L18,0.000000,0.000000,0.123924,-0.252658,-0.377756,0.123924,-0.124099,0.123924,0.000000,-0.124099,0.372671,3.491209,0.000000,2.501756,1.625249,-0.124099,-0.377756,-0.252658,7.874809,2.626671,0.875672,-0.252658,1.128360,0.624705,6.381389,0.875672,0.250103,2.748155,1.002556,1.377090,2.626671,1.128360,0.123924,1.002556,1.502092,1.625249,7.878752,2.121961,1.371956,0.747284,0.250103,0.000000,0.372671,-0.252658,0.250103,-0.503834,7.189910,-1.497708
L19,-0.377756,-0.124099,-0.124099,-0.124099,-0.246146,-0.370380,-0.252658,0.000000,0.000000,-0.246146,-0.252658,0.250103,-0.246146,0.000000,0.000000,-0.252658,0.123924,-0.624167,-1.879917,-0.624167,-0.377756,-0.252658,-0.252658,-0.124099,-1.497708,0.250103,-0.246146,-0.499644,-0.252658,-0.124099,0.250103,0.123924,-0.252658,0.123924,0.000000,-1.123540,-0.998972,-0.377756,0.123924,0.497392,-0.499644,-0.124099,-0.124099,-0.252658,-0.252658,0.372671,-0.370380,-0.628914
L20,-0.124099,-0.124099,-0.124099,-0.124099,-0.124099,-0.377756,-0.252658,-0.124099,-0.124099,-0.124099,-0.124099,-0.875958,-0.252658,-0.624167,-0.875958,-0.124099,-0.377756,-0.246146,-3.659441,-0.252658,0.000000,-0.124099,-0.124099,-0.124099,-1.755043,-0.499644,0.123924,-0.624167,0.000000,-0.124099,-0.750184,0.372671,0.000000,0.250103,-0.124099,-0.377756,-3.194925,-0.246146,-0.499644,-0.252658,-0.124099,0.000000,0.000000,0.123924,0.372671,-0.377756,-2.061746,3.612197
L21,-0.124099,-0.252658,-0.124099,-0.246146,-0.124099,-0.246146,-0.252658,-0.124099,0.000000,-0.124099,0.250103,1.377090,0.123924,1.128360,0.123924,-0.124099,-0.377756,0.250103,3.245754,0.123924,0.000000,-0.124099,0.372671,0.000000,1.377090,0.372671,0.000000,1.128360,-0.124099,-0.124099,-0.124099,0.123924,0.000000,0.372671,0.503545,1.251769,5.063730,1.502092,1.625249,1.002556,-0.377756,-0.124099,-0.124099,-0.252658,-0.499644,-1.256906,0.875672,6.742822
L22,-0.252658,-0.124099,-0.124099,-0.124099,-0.252658,-0.124099,-0.252658,-0.124099,-0.252658,-0.124099,-0.624167,-1.755043,-0.124099,-0.750184,-0.624167,-0.252658,-0.499644,-0.252658,-4.160584,-0.875958,-0.377756,-0.252658,-0.377756,-0.252658,-2.639247,-0.377756,-0.252658,-1.239230,-0.624167,-0.246146,-0.377756,-0.624167,-0.252658,-0.252658,-0.377756,-1.497708,-2.189177,-0.499644,-0.377756,-0.875958,-0.750184,-0.124099,-0.252658,-0.499644,0.250103,-0.750184,-1.985004,-0.041441
L23,-0.124099,-0.252658,0.000000,0.000000,-0.124099,0.000000,-0.252658,0.000000,0.000000,0.000000,0.000000,-1.618121,0.250103,-0.750184,-0.124099,-0.246146,-0.252658,0.000000,-7.886619,-0.624167,-0.252658,-0.252658,-0.377756,-0.124099,-2.792521,-0.252658,-0.124099,-0.499644,-0.628914,-0.252658,-0.124099,-0.252658,-0.124099,-0.252658,-0.377756,-1.497708,-3.878942,-0.246146,-0.377756,-0.624167,-0.252658,-0.252658,-0.124099,-0.124099,-0.377756,-1.239230,-1.568203,-3.659441
L24,0.000000,-0.124099,-0.124099,-0.124099,-0.252658,-0.750184,-0.124099,-0.124099,-0.252658,0.000000,0.123924,0.123924,-0.252658,-0.499644,-0.252658,-0.246146,-0.124099,-0.124099,0.747284,-0.124099,-0.246146,-0.124099,-0.124099,-0.124099,0.000000,-0.124099,0.000000,-0.124099,0.000000,0.000000,-0.252658,0.000000,-0.124099,-0.124099,0.000000,0.372671,1.251769,0.497392,0.000000,0.000000,0.000000,-0.124099,-0.124099,-0.246146,-0.124099,-0.377756,-0.252658,5.297055
L25,-0.124099,-0.124099,0.000000,-0.252658,-0.124099,-0.124099,0.000000,-0.124099,-0.124099,-0.124099,0.000000,0.624705,-0.252658,-0.252658,-0.124099,-0.124099,-0.252658,-0.499644,5.179897,0.123924,-0.124099,-0.252658,0.000000,-0.124099,0.497392,-0.124099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.124099,0.000000,0.752079,1.002556,0.875672,0.000000,0.250103,0.000000,-0.246146,-0.124099,-0.124099,-0.246146,0.497392,-1.497708,-2.878975
L26,0.000000,-0.252658,0.000000,-0.124099,-0.124099,-0.252658,-0.124099,-0.124099,-0.124099,-0.124099,-0.252658,-0.377756,-0.124099,-0.252658,-0.252658,-0.124099,-0.124099,-0.252658,-3.327147,-0.252658,-0.252658,-0.252658,-0.377756,-0.252658,-1.497708,-0.124099,-0.252658,-0.377756,-0.252658,-0.124099,-0.252658,-0.252658,0.000000,-0.252658,-0.252658,-0.624167,-1.123540,-0.005087,-0.377756,-0.377756,-0.377756,0.000000,-0.124099,-0.124099,-0.370380,-0.624167,-0.750184,5.496815
L27,-0.252658,-0.124099,-0.124099,-0.124099,-0.124099,-0.124099,-0.252658,-0.124099,-0.124099,0.000000,-0.124099,0.123924,-0.124099,-0.124099,0.000000,0.000000,-0.124099,0.123924,-0.252658,0.123924,-0.124099,-0.124099,0.000000,-0.252658,0.250103,0.000000,-0.246146,-0.252658,0.000000,-0.124099,0.000000,0.000000,-0.124099,-0.124099,-0.124099,0.123924,-0.124099,0.246143,-0.252658,0.000000,-0.124099,-0.124099,-0.252658,-0.370380,-0.370380,0.123924,-0.252658,2.870367
L28,-0.246146,-0.246146,-0.124099,-0.124099,-0.124099,-0.124099,0.000000,-0.124099,-0.124099,-0.124099,-0.124099,-0.124099,0.000000,0.000000,-0.124099,-0.252658,-0.124099,-0.124099,-0.124099,0.000000,-0.124099,0.000000,0.000000,-0.124099,0.000000,-0.124099,-0.124099,-0.124099,-0.124099,0.000000,-0.124099,-0.124099,0.000000,0.000000,-0.252658,-0.252658,0.000000,0.123924,0.000000,-0.124099,-0.246146,-0.124099,0.000000,0.000000,-0.875958,-0.252658,-0.124099,1.899588
L29,0.000000,-0.124099,-0.124099,-0.124099,0.000000,0.000000,-0.124099,-0.124099,-0.124099,-0.124099,-0.124099,0.000000,-0.124099,-0.124099,-0.124099,-0.124099,-0.124099,-0.124099,-0.124099,0.000000,-0.124099,-0.124099,0.000000,0.000000,-0.124099,-0.124099,-0.124099,-0.124099,0.000000,0.000000,-0.124099,0.000000,-0.124099,-0.124099,-0.124099,-0.124099,-0.124099,-0.124099,-0.124099,-0.124099,-0.124099,0.000000,-0.124099,-0.124099,-0.124099,0.000000,0.000000,6.350121
L30,0.000000,0.000000,0.000000,-0.124099,-0.124099,0.000000,-0.124099,0.000000,-0.124099,0.000000,-0.124099,-0.124099,0.000000,0.000000,-0.124099,-0.124099,-0.124099,-0.124099,-0.124099,-0.124099,0.000000,0.000000,-0.124099,0.000000,0.000000,0.000000,-0.124099,-0.124099,-0.124099,-0.124099,0.000000,-0.124099,0.000000,0.000000,-0.124099,0.000000,-0.124099,-0.124099,0.000000,-0.124099,-0.124099,-0.124099,-0.124099,0.000000,-0.124099,-0.124099,0.000000,5.593204
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.837626
