layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Write,7: a,8: short,9: paragraph,10: (,11:2,12:-,13:4,14: sentences,15:),16: for,17: a,18: depression,19: patient,"20:,",21: including,22: demographic,23: and,24: clinically,25: relevant,26: PM,27:H,28:.,29: Start,30: exactly,31: with,32::,"33: """,34:Gender,35::,"36: ""","37:
",38:<,39:|,40:ass,41:istant,42:|>,"43:
",44:Gender,45::
L11,0.127832,0.122820,0.065957,0.122820,0.250049,0.000000,0.122820,0.000000,-0.058496,0.127832,-0.058496,0.060624,0.186100,-0.064538,-0.005698,0.060624,-0.064538,-0.250500,3.560519,0.506266,0.628604,0.190806,0.060624,0.000000,0.000000,0.000000,0.000000,0.442640,0.250049,0.127832,0.254464,0.000000,-0.064538,0.999120,6.811935,0.879243,-1.127411,0.245614,-0.127057,0.060624,0.127832,0.000000,-0.186875,0.055262,1.488802,0.195490
L12,0.000000,0.060624,0.122820,0.060624,0.065957,0.190806,-0.127057,0.000000,0.000000,-0.058496,0.122820,0.060624,0.186100,0.060624,0.245614,0.065957,0.127832,0.250049,-0.497648,-0.880010,-0.064538,0.374690,0.318451,0.314310,-0.058496,0.127832,0.186100,0.190806,0.687444,0.000000,-0.058496,-0.186875,0.000000,-0.058496,1.631902,-0.005698,-0.434280,0.011299,0.186100,0.000000,0.060624,0.000000,-0.058496,-0.310668,0.925334,1.562910
L13,0.122820,0.122820,-0.064538,0.000000,-0.064538,0.127832,0.065957,-0.058496,0.005666,0.435314,0.060624,0.000000,0.060624,0.127832,-0.502332,0.060624,-0.186875,0.310152,-0.438675,0.374690,-0.250500,-0.058496,0.435314,0.374690,0.060624,0.060624,0.000000,0.122820,0.442640,0.122820,0.060624,-0.310668,-0.378829,-0.186875,-0.627180,0.127832,0.186100,0.190806,-0.318450,0.122820,0.122820,0.065957,0.250049,-0.627180,0.366847,0.815962
L14,0.065957,0.127832,-0.064538,0.060624,-0.064538,-0.186875,0.060624,0.190806,-0.064538,0.186100,0.122820,0.000000,0.060624,0.122820,-0.565306,-0.064538,-0.186875,0.060624,0.060624,0.687444,0.000000,0.122820,0.681713,0.250049,0.122820,-0.064538,0.127832,0.374690,0.250049,0.250049,0.000000,0.122820,-0.310668,-0.250500,-0.807372,0.492472,0.186100,-0.807372,0.060624,0.060624,0.065957,-0.064538,-0.058496,0.000000,0.810924,0.250049
L15,0.000000,-0.064538,0.060624,-0.064538,0.060624,0.000000,-0.058496,0.000000,-0.127057,-0.127057,0.000000,-0.064538,0.000000,0.000000,0.250049,0.000000,-0.064538,-0.120627,0.000000,0.000000,0.374690,-0.127057,0.065957,-0.064538,0.000000,-0.064538,0.060624,0.122820,-0.186875,0.000000,0.122820,0.245614,-0.502332,-0.374689,0.566084,0.628604,-0.186875,-0.370565,0.186100,0.186100,0.122820,0.000000,-0.250500,-0.318450,1.297207,2.134695
L16,0.127832,-0.058496,0.065957,0.060624,-0.064538,0.122820,0.000000,-0.127057,-0.058496,0.127832,0.000000,0.000000,0.060624,0.122820,0.499393,0.127832,0.122820,-0.127057,-0.310668,0.000000,-0.064538,0.186100,-0.058496,0.127832,0.000000,0.122820,0.000000,0.060624,-0.120627,0.060624,0.122820,0.060624,0.060624,-0.370565,-0.058496,0.374690,0.000000,0.065957,0.305977,0.254464,0.065957,0.310152,-0.052490,0.610255,0.485504,3.233306
L17,-0.058496,0.122820,-0.064538,0.000000,0.060624,0.122820,-0.058496,0.122820,0.122820,-0.064538,0.000000,0.127832,0.186100,0.127832,0.065957,-0.058496,-0.064538,0.065957,1.059991,0.499393,-0.186875,0.435314,0.190806,0.122820,0.127832,0.000000,0.122820,-0.058496,0.000000,0.127832,0.065957,0.250049,-0.127057,0.060624,0.879243,0.186100,0.000000,-0.627180,0.122820,-0.058496,0.122820,0.190806,-0.120627,-0.310668,1.067834,1.083338
L18,0.250049,0.000000,0.127832,0.122820,0.250049,0.186100,0.499393,0.566084,0.687444,0.499393,0.127832,0.314310,0.122820,0.310152,1.441549,0.065957,0.435314,0.314310,7.796870,9.431486,1.692265,0.374690,3.439825,1.128458,0.628604,0.566084,0.250049,2.062240,1.192537,0.374690,0.753766,0.314310,-0.127057,1.063920,11.449300,2.499935,1.374858,1.446911,0.314310,0.374690,0.250049,-0.058496,-0.064538,0.107630,2.795052,-0.250500
L19,-0.186875,0.000000,0.000000,-0.120627,0.060624,0.122820,-0.186875,0.060624,-0.186875,0.186100,0.122820,0.000000,0.060624,0.060624,0.122820,0.060624,0.250049,0.000000,-0.193748,-0.310668,-0.374689,0.000000,-0.565306,-0.127057,0.000000,0.186100,0.060624,0.065957,-0.064538,0.127832,0.065957,0.060624,-0.064538,-1.003801,-0.447525,-0.627180,0.254464,0.374690,-0.064538,0.000000,0.122820,0.000000,-0.127057,-0.076733,-0.140044,-0.590623
L20,0.000000,0.060624,0.122820,0.060624,0.127832,-0.186875,-0.064538,-0.064538,-0.058496,-0.120627,0.000000,0.065957,0.000000,0.000000,-0.064538,0.060624,-0.120627,-0.120627,-0.318450,-0.627180,-0.438675,0.060624,-0.374689,0.000000,0.000000,0.000000,0.000000,-0.310668,-0.127057,0.127832,0.122820,0.127832,0.250049,-0.120627,-1.644080,-0.687471,-0.186875,-0.374689,0.000000,0.127832,0.060624,0.127832,0.566084,0.499393,0.117782,2.854368
L21,0.122820,0.060624,0.122820,-0.120627,-0.058496,0.122820,0.186100,0.250049,0.127832,0.127832,0.000000,0.065957,0.000000,-0.058496,-0.250500,-0.064538,0.435314,0.499393,0.879243,2.944429,0.687444,0.186100,1.128458,0.250049,0.000000,0.000000,0.000000,0.250049,0.250049,0.122820,0.190806,0.127832,0.314310,1.315669,4.376318,1.441549,1.374858,0.943192,0.127832,0.065957,0.065957,0.065957,0.127832,0.060624,1.185616,4.777584
L22,0.065957,0.060624,-0.064538,0.065957,0.000000,0.122820,-0.120627,-0.127057,0.060624,-0.120627,0.000000,-0.058496,0.122820,0.060624,0.065957,0.000000,-0.064538,-0.186875,-0.880010,-1.067821,-0.374689,0.060624,-0.751632,-0.250500,0.000000,-0.058496,0.060624,0.000000,-0.374689,0.000000,-0.058496,0.060624,-0.186875,-0.936361,-0.443090,-0.438675,-0.058496,-0.621875,-0.434280,0.000000,0.000000,-0.058496,0.065957,-0.120627,-0.200668,1.733255
L23,-0.064538,0.005666,0.000000,0.065957,0.000000,0.000000,0.000000,-0.058496,0.060624,0.127832,0.186100,0.060624,0.000000,0.000000,0.005666,0.186100,0.186100,-0.064538,-1.258435,-2.174670,-0.497648,0.127832,-0.064538,-0.127057,0.000000,0.060624,0.250049,-0.186875,-0.186875,0.000000,0.250049,0.000000,-0.120627,-1.190778,-1.127411,-0.378829,-0.120627,-0.374689,-0.058496,-0.058496,0.000000,0.127832,-0.058496,-0.681837,-0.193748,-0.716126
L24,0.186100,0.122820,0.186100,0.000000,0.065957,0.805861,-0.058496,0.000000,0.000000,0.122820,0.065957,0.060624,0.065957,0.060624,0.127832,0.060624,0.000000,-0.120627,0.127832,1.252755,0.127832,0.122820,-0.058496,0.065957,0.122820,0.000000,0.186100,0.122820,0.060624,0.000000,0.000000,-0.058496,0.310152,0.566084,0.815962,0.687444,0.314310,0.127832,0.000000,0.127832,0.000000,0.254464,0.071262,0.250049,0.117782,2.414280
L25,0.000000,0.000000,0.122820,-0.058496,0.065957,0.000000,0.122820,0.122820,0.065957,0.060624,0.060624,0.065957,0.122820,0.000000,0.122820,-0.058496,0.000000,0.000000,0.566084,0.314310,0.065957,0.060624,0.250049,0.127832,0.065957,0.060624,0.065957,0.186100,0.250049,0.122820,0.060624,0.065957,0.000000,0.318451,1.199410,0.628604,0.065957,0.190806,0.190806,0.065957,0.000000,0.250049,0.127832,0.687444,-0.322364,2.333898
L26,0.122820,0.127832,0.065957,0.122820,0.000000,0.060624,-0.058496,-0.058496,-0.058496,0.000000,0.005666,0.000000,0.122820,-0.058496,0.060624,0.000000,0.000000,0.005666,-0.565306,-1.258435,-0.120627,0.060624,-0.120627,-0.058496,-0.058496,0.000000,0.000000,0.000000,0.060624,-0.058496,0.005666,0.000000,0.000000,-0.310668,-0.186875,0.000000,-0.058496,-0.064538,0.000000,0.250049,0.127832,0.195490,0.071262,-0.502332,-0.250500,7.019367
L27,0.186100,0.065957,0.000000,0.000000,0.065957,0.065957,0.065957,0.000000,0.065957,0.000000,0.005666,0.065957,0.065957,0.000000,0.000000,0.000000,0.005666,0.000000,-0.058496,-0.565306,0.000000,0.000000,0.000000,0.060624,0.065957,0.000000,0.065957,0.000000,0.065957,0.065957,0.122820,0.065957,0.127832,0.065957,0.127832,0.310152,0.127832,0.065957,0.122820,0.065957,0.186100,0.190806,0.195490,0.499393,-0.127057,2.557922
L28,0.065957,0.060624,0.000000,0.122820,0.127832,0.000000,0.000000,0.000000,0.000000,0.065957,0.122820,0.000000,0.000000,0.122820,0.000000,0.000000,0.000000,0.000000,0.065957,0.000000,0.000000,0.000000,0.065957,0.000000,0.000000,0.000000,0.065957,0.060624,0.005666,0.000000,0.000000,0.065957,0.060624,0.065957,0.122820,0.122820,0.000000,0.060624,0.000000,0.000000,0.000000,0.506266,-0.243227,0.122820,0.127832,5.196476
L29,0.000000,0.122820,0.000000,0.000000,0.127832,0.000000,0.005666,0.000000,0.000000,0.000000,0.000000,0.122820,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065957,0.122820,0.000000,0.000000,0.122820,0.000000,0.000000,0.065957,0.065957,0.065957,0.000000,0.000000,0.065957,0.000000,0.122820,0.065957,-0.052490,0.186100,0.127832,6.745760
L30,0.065957,0.122820,0.000000,0.000000,0.000000,0.005666,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005666,0.122820,0.000000,0.000000,0.000000,0.000000,0.122820,0.065957,-0.180049,0.127832,0.127832,7.195450
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.416637
