layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Please,7: draft,8: a,9: short,10: admission,11:-,12:style,13: patient,14: presentatio,15: for,16: depression,"17:,",18: including,19: demographic,20: and,21: pertinent,22: PM,23:H,24:.,25: Start,26: exactly,27: with,28::,"29: """,30:Gender,31::,"32: ""","33:
",34:<,35:|,36:ass,37:istant,38:|>,"39:
",40:Gender,41::
L12,0.066691,0.000000,-0.125820,0.000000,0.066691,-0.378732,0.000000,0.066691,0.000000,0.000000,0.066691,-0.125820,0.314415,-0.060933,-0.309260,0.503905,-0.060933,-0.066182,0.314415,-0.066182,-0.189242,0.124873,0.057432,0.314415,-0.120249,0.062072,-0.189242,0.062072,0.192125,0.183962,1.005762,0.429797,-0.626455,-0.617281,0.124873,0.062072,0.124873,0.062072,-0.060933,0.621688,1.442563,0.866810
L13,0.000000,-0.125820,-0.315994,-0.060933,0.000000,-0.066182,0.000000,0.129212,0.000000,-0.183307,-0.371563,-0.066182,0.129212,-0.183307,0.000000,0.377153,0.188052,0.255138,0.124873,0.062072,0.062072,0.188052,0.000000,0.129212,-0.125820,0.124873,-0.125820,-0.071459,-0.004938,0.116140,0.133531,0.688209,0.436187,-0.559616,0.004914,0.000000,0.062072,0.004914,0.000000,-0.066182,0.538996,1.242151
L14,0.066691,-0.060933,-0.183307,0.062072,-0.004938,-0.250611,-0.066182,-0.060933,0.124873,-0.183307,0.000000,-0.120249,-0.189242,0.004914,-0.250611,0.129212,-0.563935,0.192125,0.062072,-0.125820,0.062072,0.188052,0.129212,0.000000,0.255138,0.000000,0.000000,0.124873,-0.183307,-0.060933,0.071289,-0.142722,0.307195,-0.818967,0.183962,0.062072,-0.060933,-0.189242,-0.183307,-0.195212,1.501337,-1.138818
L15,0.062072,0.066691,0.000000,0.062072,0.004914,-0.066182,0.066691,0.062072,0.000000,0.000000,-0.250611,0.062072,-0.066182,0.192125,-0.250611,-0.060933,-0.131422,-0.189242,0.124873,-0.125820,-0.066182,-0.189242,0.192125,0.062072,0.124873,0.255138,0.124873,0.247476,0.062072,0.247476,0.370374,0.255138,-0.315994,0.192125,0.188052,0.255138,-0.120249,-0.060933,-0.055711,-0.445671,1.189584,1.259076
L16,0.129212,0.188052,0.000000,-0.060933,0.129212,-0.125820,0.066691,-0.055711,-0.060933,-0.060933,0.066691,-0.066182,-0.309260,-0.183307,0.004914,-0.250611,-0.563935,0.066691,-0.004938,-0.250611,0.129212,0.000000,0.120516,0.188052,0.004914,0.124873,0.057432,0.129212,0.129212,0.000000,-0.492924,0.436187,0.129212,-0.315994,0.183962,0.183962,0.062072,0.129212,0.075866,-0.378732,-0.698085,0.866810
L17,0.129212,0.062072,0.129212,0.120516,0.129212,0.000000,0.066691,0.000000,-0.060933,0.000000,0.004914,0.062072,0.057432,0.192125,0.004914,0.377153,0.129212,0.188052,0.062072,0.188052,0.066691,0.124873,-0.060933,-0.055711,0.255138,0.188052,0.188052,0.124873,0.188052,0.255138,1.505718,0.750579,-0.125820,-0.496965,0.124873,0.000000,0.183962,0.129212,0.133531,-0.244302,0.383887,1.831201
L18,0.124873,0.066691,0.188052,0.129212,0.255138,0.066691,0.129212,0.626965,0.066691,0.255138,0.883238,0.626965,1.505718,2.320647,1.195563,0.314415,7.260875,0.561725,0.442536,1.938848,0.567327,0.255138,0.567327,1.253466,0.815844,0.314415,0.377153,0.314415,0.442536,1.005762,10.018520,1.999347,0.429797,0.436187,0.247476,0.314415,0.192125,-0.120249,0.192125,0.363548,1.721182,1.437895
L19,0.000000,-0.060933,-0.125820,-0.066182,0.000000,0.255138,0.062072,0.124873,-0.066182,-0.060933,-0.125820,0.062072,0.062072,0.000000,0.192125,0.062072,-0.626455,0.066691,0.124873,-0.371563,0.062072,0.124873,0.066691,-0.004938,0.314415,0.124873,0.255138,0.066691,0.071289,-0.177407,0.188052,0.000000,-0.263350,0.307195,-0.189242,0.000000,0.000000,0.124873,0.000000,0.314415,0.946375,2.775969
L20,0.000000,0.062072,0.062072,0.066691,0.192125,-0.250611,0.066691,0.062072,0.000000,0.000000,0.066691,0.066691,-0.120249,-0.125820,-0.125820,0.066691,-0.882389,0.066691,0.066691,-0.066182,0.000000,0.062072,0.066691,-0.120249,0.377153,0.129212,0.000000,0.066691,0.124873,-0.060933,-0.759329,0.188052,-0.509185,-0.626455,0.000000,0.192125,0.000000,0.004914,0.314415,0.436187,-1.079099,8.208839
L21,0.120516,0.188052,0.066691,-0.066182,0.062072,-0.060933,0.000000,0.000000,0.314415,0.188052,0.314415,0.000000,0.124873,0.000000,0.255138,0.188052,2.192836,0.124873,0.188052,0.688209,0.188052,0.124873,0.129212,0.000000,0.124873,0.129212,0.129212,0.000000,0.188052,0.377153,5.261055,0.998529,0.561725,0.497935,-0.183307,0.000000,0.066691,-0.055711,-0.244302,-0.195212,1.189584,9.589420
L22,0.066691,0.120516,0.066691,0.062072,0.000000,0.066691,-0.060933,0.000000,0.062072,0.000000,-0.309260,0.000000,-0.120249,-0.315994,-0.189242,-0.066182,-1.879217,-0.189242,0.124873,-0.378732,0.120516,0.062072,0.062072,-0.189242,-0.438008,0.000000,0.000000,-0.060933,-0.066182,-0.438008,-0.315994,0.124873,-0.125820,-0.371563,-0.189242,0.066691,-0.060933,-0.125820,0.192125,-0.066182,-0.400551,3.152062
L23,0.000000,0.000000,0.066691,0.124873,-0.060933,-0.060933,0.062072,0.129212,0.124873,0.124873,0.000000,0.000000,0.247476,-0.250611,0.183962,0.183962,-1.945908,-0.125820,0.062072,0.062072,0.062072,0.066691,0.188052,0.062072,0.062072,0.183962,0.183962,0.129212,0.062072,-0.563935,-0.943758,0.247476,-0.322773,-0.371563,0.066691,0.000000,0.129212,0.196182,0.000000,-0.688233,-0.371563,1.433206
L24,0.188052,0.188052,0.000000,0.062072,0.004914,0.745917,0.062072,0.000000,0.000000,-0.004938,0.124873,0.000000,0.120516,0.062072,-0.125820,0.124873,0.755219,0.120516,0.000000,0.062072,0.124873,0.062072,0.124873,0.000000,0.188052,0.062072,0.124873,0.124873,0.124873,0.124873,1.068610,0.377153,0.377153,0.004914,-0.060933,0.062072,0.000000,0.133531,-0.238032,-0.189242,0.377153,3.695140
L25,0.066691,0.066691,0.124873,0.120516,0.000000,0.000000,0.062072,0.062072,-0.060933,0.000000,0.062072,-0.060933,-0.060933,0.066691,0.062072,-0.125820,1.692583,0.188052,0.062072,0.124873,0.062072,-0.060933,0.062072,0.000000,0.183962,0.000000,0.062072,0.062072,0.062072,0.377153,1.640478,0.377153,0.188052,0.188052,0.124873,0.000000,0.066691,0.192125,-0.244302,0.429797,-0.640377,4.077704
L26,0.000000,-0.060933,0.124873,0.000000,0.000000,-0.060933,0.062072,0.188052,0.062072,0.000000,0.000000,0.000000,0.000000,-0.309260,0.062072,0.124873,-0.754079,0.000000,0.000000,0.000000,0.000000,0.124873,0.000000,-0.060933,0.000000,0.000000,0.000000,0.000000,0.000000,0.004914,-0.189242,0.188052,0.000000,-0.060933,-0.183307,0.066691,0.000000,0.133531,-0.302571,-0.125820,-0.509185,9.883967
L27,-0.060933,0.000000,0.000000,0.062072,-0.060933,0.000000,0.062072,0.000000,0.000000,0.000000,-0.060933,0.000000,0.062072,-0.060933,0.062072,0.000000,0.255138,0.000000,0.000000,-0.060933,0.000000,0.000000,0.000000,0.000000,0.124873,0.062072,0.000000,0.000000,-0.060933,0.129212,0.062072,0.188052,0.062072,0.062072,0.062072,0.062072,0.062072,0.129212,-0.302571,0.436187,-0.250611,3.622039
L28,0.000000,0.000000,0.000000,0.000000,0.124873,0.000000,0.000000,-0.004938,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.060933,-0.060933,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062072,0.000000,0.000000,0.062072,0.000000,-0.060933,0.057432,0.062072,0.062072,0.000000,0.062072,0.000000,0.000000,0.262743,-0.492924,0.062072,-0.060933,7.605215
L29,-0.060933,-0.004938,0.000000,0.062072,0.000000,-0.060933,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.060933,0.062072,0.000000,0.000000,0.000000,-0.060933,-0.060933,-0.060933,-0.060933,0.000000,0.000000,-0.060933,0.000000,0.000000,0.062072,0.062072,0.062072,-0.238032,0.000000,0.062072,8.203331
L30,0.124873,0.120516,0.000000,0.000000,-0.060933,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004938,0.000000,-0.004938,-0.189242,0.000000,-0.060933,10.402152
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.387614
