layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:A,7: patient,8: has,9: the,10: following,11: condition,12::,13: asthma,14:.,"15:
",16:Com,17:pose,18: a,19: brief,20: presentatio,21: about,22: its,23: demographic,24: information,25: and,26: past,27: medical,28: history,29:.,30: You,31: must,32: start,33: with,34: the,35: following,36::,"37: """,38:Gender,39::,"40: ""","41:
",42:<,43:|,44:ass,45:istant,46:|>,"47:
",48:Gender,49::
L11,-0.059963,-0.117782,0.128890,-0.123752,0.318933,-0.059963,0.128890,0.507644,0.507644,-0.059963,0.128890,-0.307271,0.005277,3.071364,1.316447,0.005277,0.005277,-0.059963,0.128890,-0.123752,-0.804989,-0.374210,-0.059963,0.259510,-0.117782,-0.374210,0.128890,0.191974,-0.117782,0.934117,-0.185500,0.061558,0.191974,0.812689,0.187598,-0.123752,-0.433633,0.251313,1.885139,-0.374210,-1.309906,-0.621683,-0.059963,0.251313,0.251313,0.066520,-0.747502,0.061558,2.173423,-0.810923
L12,0.128890,0.061558,0.005277,0.128890,-0.185500,-0.374210,0.191974,-0.496811,-0.117782,0.251313,0.066520,0.005277,0.000000,-1.578164,0.563386,0.191974,0.128890,-0.059963,-0.059963,0.005277,0.005277,0.005277,-0.374210,0.627547,0.000000,0.251313,-0.117782,0.128890,-0.244533,0.378652,0.191974,-0.185500,0.066520,0.066520,0.191974,-0.244533,0.441831,0.311211,1.439103,1.183118,-0.804989,-0.804989,0.441831,0.191974,0.128890,0.128890,0.066520,0.318933,2.113889,2.173423
L13,0.128890,-0.123752,-0.059963,-0.059963,0.191974,0.005277,-0.307271,-0.123752,-0.185500,0.128890,-0.059963,-0.307271,-0.185500,-0.185500,0.191974,0.128890,-0.059963,-0.244533,0.005277,-0.185500,0.128890,-0.244533,-0.185500,0.687839,1.129861,0.061558,-0.123752,0.066520,-0.307271,0.441831,0.005277,0.124228,0.061558,0.378652,0.128890,-0.185500,0.187598,0.807983,-0.621683,-0.437723,0.247189,-0.185500,0.627547,0.255420,0.128890,0.191974,-0.244533,0.124228,0.371379,2.989624
L14,0.005277,0.066520,0.005277,0.191974,0.378652,-0.496811,0.066520,0.191974,0.128890,0.318933,0.318933,0.066520,0.251313,-1.807731,0.066520,-0.117782,0.251313,0.128890,0.128890,0.066520,0.749715,0.255420,-0.059963,-0.616769,0.005277,0.569392,0.191974,0.318933,0.874142,-0.123752,0.128890,-0.185500,0.128890,0.441831,0.187598,0.066520,-0.244533,-0.185500,0.882933,0.812689,0.501254,-1.052082,0.005277,0.066520,0.191974,0.128890,-0.429560,-0.191890,1.543836,0.311211
L15,0.187598,0.191974,0.191974,0.128890,0.066520,0.191974,0.066520,0.066520,0.066520,0.128890,0.061558,0.191974,-0.185500,0.318933,-0.059963,0.066520,0.128890,0.066520,0.005277,0.128890,0.187598,0.128890,-0.065597,0.005277,0.251313,0.191974,0.066520,0.066520,0.371379,0.251313,0.191974,0.005277,0.005277,0.378652,0.128890,0.128890,-0.501169,0.378652,2.061418,1.129861,0.066520,-0.117782,0.191974,0.441831,0.005277,0.000000,-0.374210,1.305034,2.000330,1.013999
L16,-0.179151,-0.179151,0.066520,0.318933,0.066520,0.005277,-0.059963,-0.564252,-0.244533,0.191974,0.128890,0.251313,0.128890,-1.000411,0.191974,0.187598,0.066520,0.066520,-0.059963,0.066520,0.066520,0.128890,0.251313,-0.244533,0.066520,0.005277,0.191974,0.318933,0.998525,0.501254,0.255420,0.066520,0.187598,0.128890,0.066520,0.005277,-0.307271,-0.179151,1.006292,0.255420,-0.117782,0.817373,0.563386,0.318933,0.191974,0.191974,-0.677393,1.059035,0.749715,3.304805
L17,-0.059963,0.000000,0.061558,-0.123752,0.187598,0.066520,-0.059963,0.128890,0.128890,0.066520,0.318933,0.255420,0.066520,1.006292,-0.123752,0.066520,0.311211,0.124228,0.005277,0.191974,0.128890,0.251313,0.128890,-0.366547,-0.185500,0.066520,0.066520,0.378652,0.569392,0.563386,0.128890,-0.117782,0.005277,0.441831,0.066520,0.251313,0.441831,0.061558,1.066348,0.251313,0.247189,-1.059686,0.128890,0.255420,0.066520,0.318933,0.128890,0.124228,0.882933,0.703671
L18,0.251313,0.251313,0.128890,0.066520,0.005277,0.128890,0.441831,2.134130,2.072135,0.255420,0.378652,0.507644,1.322104,12.067208,2.886538,0.754702,0.066520,0.124228,0.318933,0.187598,0.196331,0.128890,1.382314,1.570594,0.501254,0.128890,0.507644,0.693144,0.754702,0.255420,0.191974,0.128890,0.251313,0.441831,0.441831,0.318933,0.627547,0.441831,10.166129,1.751263,1.305034,-0.111848,0.066520,0.251313,0.251313,-0.123752,0.191974,1.371633,3.678904,0.698421
L19,-0.059963,-0.059963,0.066520,-0.123752,0.251313,-0.059963,0.128890,-0.559612,-0.059963,0.128890,-0.059963,0.187598,0.000000,-1.686374,0.124228,0.000000,0.191974,0.191974,0.128890,0.066520,0.128890,0.005277,-0.059963,-0.123752,-0.059963,0.005277,0.318933,0.191974,0.627547,0.687839,0.251313,0.128890,0.066520,0.191974,0.191974,0.128890,0.191974,-0.321764,1.865674,0.371379,1.310757,1.492840,0.124228,0.066520,0.000000,0.128890,0.061558,2.178228,1.842475,4.481471
L20,-0.059963,0.066520,0.128890,0.191974,0.378652,-0.123752,0.255420,0.119545,0.061558,0.128890,0.066520,0.000000,0.124228,-2.469097,0.000000,0.318933,0.128890,0.128890,0.066520,0.191974,0.066520,0.005277,-0.314491,-0.496811,0.005277,-0.179151,0.311211,0.005277,0.682506,0.187598,0.066520,0.191974,0.251313,0.066520,0.128890,0.187598,0.251313,0.251313,-1.435067,0.812689,0.251313,0.385872,0.128890,0.311211,0.005277,0.251313,0.133531,0.934117,0.428132,6.905658
L21,0.066520,0.005277,0.066520,-0.059963,0.066520,-0.059963,0.066520,2.006041,0.754702,0.191974,0.128890,0.255420,0.882933,7.380702,1.322104,0.255420,-0.059963,0.066520,0.318933,0.000000,-0.059963,0.255420,0.754702,0.693144,0.501254,0.066520,0.255420,0.005277,0.318933,0.318933,0.191974,-0.059963,0.066520,0.066520,0.507644,0.005277,0.005277,0.191974,2.946103,0.754702,0.633181,0.259510,0.128890,0.005277,0.066520,-0.059963,-0.366547,-0.621683,1.129861,8.844479
L22,0.066520,-0.059963,0.066520,0.066520,0.066520,0.000000,-0.185500,-1.130861,-0.374210,0.066520,-0.059963,-0.433633,-0.496811,-3.632102,-1.578164,-0.185500,-0.059963,-0.059963,0.066520,0.005277,0.000000,0.000000,-1.059686,-1.059686,-0.314491,-0.123752,-0.059963,-0.123752,-0.244533,-0.244533,0.000000,0.066520,0.066520,0.066520,0.000000,0.000000,0.128890,-0.496811,-0.810923,0.061558,0.128890,-0.559612,-0.123752,0.128890,0.000000,-0.123752,-0.307271,-0.374210,0.488351,5.559556
L23,-0.059963,-0.123752,0.066520,-0.059963,0.128890,0.128890,-0.185500,-1.000411,-0.374210,-0.059963,0.005277,-0.059963,-0.559612,-3.632102,-1.059686,-0.123752,0.005277,0.128890,0.005277,0.066520,0.066520,0.066520,-0.682615,-0.244533,0.066520,-0.244533,-0.117782,-0.059963,-0.185500,-0.059963,0.066520,-0.059963,0.005277,0.005277,0.128890,0.000000,-0.059963,-0.621683,-1.686374,0.754702,-0.065597,-0.930939,-0.123752,0.066520,0.187598,0.128890,0.128890,-0.117782,0.621882,-0.336470
L24,0.066520,0.066520,0.005277,0.066520,-0.123752,1.006292,0.128890,0.318933,0.000000,0.066520,0.066520,0.128890,0.000000,0.754702,-0.059963,0.000000,0.128890,-0.059963,0.005277,0.066520,0.066520,-0.059963,0.066520,-0.059963,-0.059963,0.066520,-0.059963,0.128890,0.005277,0.005277,0.066520,-0.059963,0.066520,0.005277,0.066520,0.005277,0.066520,-0.117782,0.693144,0.507644,0.191974,0.066520,0.066520,0.191974,0.066520,0.005277,-0.736391,-0.123752,0.687839,5.575081
L25,-0.059963,0.066520,0.128890,0.066520,0.066520,0.005277,0.251313,0.754702,0.066520,-0.123752,-0.059963,0.000000,0.128890,3.323278,0.441831,0.066520,0.005277,-0.059963,0.005277,-0.059963,-0.059963,0.066520,0.128890,0.128890,0.005277,0.005277,0.066520,0.128890,0.066520,0.005277,0.005277,0.066520,0.066520,0.066520,0.066520,0.066520,0.066520,0.005277,0.385872,0.441831,0.128890,0.191974,0.005277,0.066520,0.005277,0.066520,-0.616769,0.627547,-0.071263,5.054756
L26,0.005277,-0.117782,0.005277,0.066520,0.005277,0.066520,0.066520,-0.433633,0.005277,-0.059963,0.005277,0.066520,-0.244533,-1.745213,-0.433633,0.005277,0.000000,-0.059963,-0.117782,0.000000,0.000000,0.005277,-0.185500,-0.117782,0.066520,0.066520,0.005277,-0.059963,-0.059963,0.066520,-0.059963,0.066520,0.066520,0.066520,-0.059963,0.066520,-0.059963,-0.054361,-0.185500,0.000000,0.005277,-0.059963,-0.059963,0.066520,0.066520,0.196331,-0.425503,0.061558,-0.123752,7.439700
L27,0.000000,0.000000,-0.059963,0.066520,0.066520,0.005277,0.066520,0.191974,0.005277,0.066520,0.005277,0.066520,0.128890,0.507644,0.128890,0.066520,0.000000,0.005277,0.066520,0.005277,0.066520,-0.059963,0.000000,0.066520,0.005277,0.005277,0.066520,0.066520,0.066520,0.066520,0.005277,0.066520,0.066520,0.005277,0.066520,0.066520,0.066520,0.005277,0.066520,0.311211,0.005277,0.066520,0.066520,0.191974,0.066520,0.133531,-0.986125,0.311211,-0.185500,3.491358
L28,0.005277,0.000000,0.000000,0.066520,0.128890,0.000000,0.066520,0.066520,0.000000,0.066520,0.000000,0.066520,0.066520,-0.059963,0.000000,0.066520,0.066520,0.066520,0.000000,0.066520,0.066520,0.005277,0.066520,0.066520,0.066520,0.066520,0.066520,0.000000,0.000000,0.000000,0.066520,0.066520,0.000000,0.066520,0.005277,0.000000,0.066520,0.005277,-0.059963,0.124228,0.066520,0.066520,0.000000,0.005277,0.066520,0.318933,-1.309906,0.124228,-0.059963,6.067795
L29,0.005277,0.005277,0.066520,0.066520,-0.059963,0.000000,0.000000,0.005277,0.000000,0.000000,0.000000,0.066520,0.000000,0.128890,0.000000,0.000000,0.066520,0.000000,0.066520,0.000000,0.000000,0.066520,0.000000,0.066520,0.000000,0.066520,0.005277,0.066520,0.066520,0.066520,0.000000,0.000000,0.066520,0.000000,0.005277,0.000000,0.066520,0.066520,0.000000,0.066520,0.066520,0.000000,0.066520,0.005277,0.005277,0.066520,-1.052082,0.128890,0.005277,8.856899
L30,0.066520,0.066520,0.000000,0.000000,0.000000,0.000000,0.005277,0.005277,0.005277,0.005277,0.000000,0.000000,0.005277,0.005277,0.000000,0.000000,0.066520,0.005277,0.005277,0.005277,0.000000,0.000000,0.005277,0.066520,0.005277,0.005277,0.005277,0.000000,0.005277,0.000000,0.000000,0.005277,0.000000,0.005277,0.005277,0.005277,0.000000,0.005277,0.005277,0.000000,0.005277,0.005277,0.005277,0.005277,0.005277,0.005277,-0.492473,0.066520,0.005277,8.394360
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.104254
