layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Please,7: draft,8: a,9: short,10: admission,11:-,12:style,13: patient,14: presentatio,15: for,16: rheumatoid,17: arthritis,"18:,",19: including,20: demographic,21: and,22: pertinent,23: PM,24:H,25:.,26: Start,27: exactly,28: with,29::,"30: """,31:Gender,32::,"33: ""","34:
",35:<,36:|,37:ass,38:istant,39:|>,"40:
",41:Gender,42::
L11,-0.059423,0.000000,0.126294,0.056089,0.126294,-0.059423,0.000000,0.120628,0.306730,-0.249942,-0.318053,0.000000,0.186586,0.186586,0.306730,-0.073122,2.447905,1.068241,-0.190044,0.306730,0.000000,-0.066249,-0.122602,0.181253,0.248461,0.062132,0.306730,-0.006431,0.306730,0.439082,0.808077,2.138556,0.325422,-0.353931,0.056089,0.370679,0.243449,0.126294,-0.073122,-0.122602,0.673729,2.383810,-0.955511
L12,0.181253,0.056089,0.062132,0.120628,0.068138,-0.197826,0.126294,-0.006431,0.062132,0.062132,0.000000,0.062132,0.311436,-0.059423,-0.182322,0.430783,0.306730,0.316120,0.062132,0.306730,-0.249942,-0.129875,0.056089,0.120628,0.248461,-0.190044,0.056089,-0.066249,0.056089,0.186586,0.370679,0.577765,0.563272,-0.725723,-0.625009,0.439082,-0.006431,0.120628,0.056089,0.120628,0.620025,1.386294,1.320045
L13,0.120628,-0.006431,-0.066249,-0.012903,0.186586,0.120628,-0.006431,0.120628,0.126294,0.186586,-0.190044,0.056089,0.248461,0.126294,0.186586,0.503103,0.186586,-0.122602,0.248461,0.243449,0.181253,0.243449,0.181253,-0.006431,0.302002,0.056089,0.487478,-0.129875,0.109199,0.109199,-0.045910,0.316120,0.302002,0.370679,-1.127882,0.181253,0.126294,0.000000,0.311436,-0.129875,0.181253,-0.480313,1.800270
L14,0.126294,0.186586,0.181253,-0.066249,0.062132,-0.296266,0.056089,0.120628,0.181253,-0.122602,0.056089,0.120628,0.120628,0.056089,-0.066249,-0.066249,0.243449,-0.190044,0.062132,0.243449,0.126294,0.120628,0.243449,0.056089,0.068138,0.439082,0.056089,0.120628,0.253449,-0.249942,-0.066249,-0.313657,-0.094029,0.292478,-0.815749,0.126294,0.306730,0.056089,-0.129875,-0.304924,-0.205669,0.755279,-1.070174
L15,0.120628,0.120628,0.050010,0.181253,-0.059423,-0.006431,0.120628,0.000000,0.181253,-0.006431,0.056089,0.056089,0.043894,0.186586,-0.073122,-0.073122,0.495321,0.109199,0.056089,0.181253,-0.066249,0.056089,0.056089,0.181253,0.056089,0.056089,0.370679,0.243449,0.426607,0.056089,0.114930,-0.258206,0.186586,-0.381711,-0.122602,0.126294,0.186586,0.000000,-0.066249,0.056089,-0.322468,2.138556,1.326871
L16,0.191891,0.068138,0.243449,0.000000,-0.059423,-0.006431,0.186586,0.056089,0.056089,0.000000,0.181253,-0.006431,0.056089,-0.006431,-0.066249,-0.066249,0.114930,0.186586,0.126294,-0.006431,-0.122602,0.120628,-0.129875,0.056089,0.062132,0.000000,0.000000,-0.006431,0.306730,0.253449,0.068138,-0.115382,0.370679,-0.059423,-0.444686,0.243449,0.181253,0.120628,0.126294,-0.237672,-0.528067,-0.066249,0.287682
L17,0.062132,0.126294,0.186586,-0.066249,0.248461,0.056089,0.056089,0.120628,0.062132,0.175891,-0.006431,0.186586,-0.012903,0.120628,-0.006431,0.302002,0.613104,0.120628,-0.006431,-0.006431,0.056089,0.056089,0.120628,0.120628,0.000000,0.126294,0.181253,0.181253,0.126294,0.248461,0.131928,1.812902,0.620025,-0.066249,-0.808529,0.120628,0.062132,0.062132,0.186586,0.068138,-0.381711,0.686716,0.712195
L18,0.126294,0.120628,0.000000,0.056089,0.181253,-0.066249,0.181253,0.439082,0.056089,0.186586,0.626898,0.434941,0.808077,1.196251,0.633724,0.243449,5.196795,2.572808,0.186586,0.306730,1.188468,0.191891,0.126294,0.306730,0.626898,0.570545,0.186586,0.370679,0.375094,0.191891,0.563272,9.023773,1.045968,0.233348,-0.377027,0.181253,0.248461,0.248461,-0.066249,0.131928,0.439082,1.512588,0.869038
L19,-0.066249,-0.059423,0.000000,0.120628,0.000000,0.370679,0.181253,-0.059423,-0.059423,0.062132,0.120628,0.181253,0.056089,0.181253,0.126294,0.056089,-0.197826,-0.258206,0.062132,0.120628,-0.249942,-0.190044,0.120628,-0.066249,-0.006431,0.248461,0.062132,0.056089,0.000000,-0.115382,-0.367725,0.620025,0.170500,0.074108,-0.080043,-0.129875,0.062132,0.126294,0.006390,-0.129875,0.487478,0.633724,3.471329
L20,0.181253,0.056089,0.056089,0.000000,0.243449,-0.129875,0.120628,0.126294,0.056089,0.120628,0.120628,0.126294,0.120628,0.114930,-0.006431,0.243449,-0.444686,-0.444686,0.056089,0.056089,0.181253,-0.006431,0.181253,0.120628,-0.129875,0.495321,0.000000,0.056089,0.056089,0.114930,-0.073122,-0.538996,0.248461,-0.182322,-0.291965,0.248461,0.186586,0.000000,0.126294,0.316120,0.730887,-0.963879,8.244906
L21,0.181253,0.181253,0.120628,0.181253,-0.066249,-0.122602,0.120628,-0.059423,0.114930,0.243449,0.311436,0.056089,0.056089,0.243449,0.120628,0.243449,0.686716,0.941608,0.120628,0.186586,0.495321,0.181253,0.181253,-0.059423,0.056089,0.181253,0.181253,0.243449,0.000000,0.306730,0.503103,3.445500,0.434941,0.103436,0.120628,0.120628,0.000000,0.062132,-0.059423,-0.182322,-0.073122,-0.006431,6.452736
L22,0.126294,0.181253,0.181253,0.114930,0.050010,0.056089,0.181253,0.175891,0.056089,0.120628,-0.066249,0.181253,-0.006431,-0.129875,-0.190044,0.062132,-0.566853,-0.693147,0.181253,0.306730,-0.129875,0.000000,0.120628,0.181253,-0.006431,-0.249942,0.181253,0.181253,0.056089,0.056089,-0.190044,-0.344840,0.248461,0.175891,-0.258206,-0.066249,0.181253,0.120628,0.056089,0.068138,0.302002,0.000000,3.290122
L23,0.120628,-0.006431,0.181253,0.120628,0.126294,0.056089,0.056089,0.056089,0.248461,0.126294,0.243449,0.062132,0.056089,-0.190044,0.181253,0.120628,-0.506561,-0.667829,-0.006431,0.181253,0.120628,0.186586,0.062132,0.243449,0.056089,-0.059423,0.181253,0.126294,0.062132,-0.006431,-0.511894,-0.506561,0.430783,-0.241745,-0.313657,0.056089,0.056089,0.181253,0.186586,-0.066249,-0.381711,0.120628,2.138556
L24,0.186586,0.243449,0.181253,0.120628,0.126294,1.119755,0.062132,-0.006431,0.120628,0.120628,0.243449,0.243449,0.175891,0.120628,0.243449,0.062132,0.243449,0.370679,0.126294,0.186586,0.126294,0.120628,-0.006431,0.120628,0.000000,0.056089,0.056089,0.126294,0.120628,0.181253,0.243449,0.946596,0.439082,0.243449,0.243449,0.056089,0.306730,0.120628,0.191891,-0.367725,0.000000,0.434941,4.694166
L25,0.120628,0.181253,0.181253,0.126294,-0.006431,0.056089,0.181253,0.181253,0.126294,0.120628,0.181253,0.120628,0.120628,0.181253,0.120628,0.126294,0.686716,0.802346,0.186586,0.120628,0.181253,0.181253,0.000000,0.181253,0.120628,0.238411,0.120628,0.120628,0.056089,0.056089,0.375094,1.889398,0.495321,0.238411,0.306730,0.126294,0.000000,0.186586,0.248461,-0.367725,0.491407,-0.459799,5.121366
L26,0.056089,0.062132,0.181253,0.000000,0.126294,0.120628,0.120628,0.062132,0.062132,0.062132,0.000000,0.056089,0.062132,-0.066249,0.056089,0.062132,-0.197826,-0.258206,0.000000,0.181253,0.120628,0.120628,0.181253,0.126294,0.062132,0.062132,0.062132,0.062132,0.120628,0.126294,0.248461,-0.129875,0.186586,0.062132,0.120628,0.062132,0.248461,0.062132,0.197168,-0.363106,0.120628,-0.419993,10.143181
L27,0.181253,0.120628,0.056089,0.000000,0.056089,0.062132,0.062132,0.056089,0.062132,0.062132,0.181253,0.062132,0.062132,0.062132,0.056089,0.062132,0.370679,0.370679,0.181253,0.062132,0.126294,0.120628,0.062132,0.181253,0.062132,0.062132,0.062132,0.056089,0.181253,0.056089,0.181253,0.186586,0.243449,0.062132,0.056089,0.181253,0.306730,0.120628,0.258412,-0.415127,0.311436,-0.080043,3.619199
L28,0.120628,0.056089,0.062132,0.062132,0.062132,0.062132,0.062132,0.062132,0.000000,0.062132,0.062132,0.062132,0.062132,0.062132,0.062132,0.062132,0.000000,0.062132,0.062132,0.062132,0.120628,0.062132,0.000000,0.062132,0.062132,0.062132,0.000000,0.062132,0.062132,0.056089,0.056089,0.000000,0.056089,0.000000,0.120628,0.181253,0.000000,0.181253,0.383866,-0.555617,0.056089,-0.066249,8.195440
L29,0.062132,0.056089,0.056089,0.000000,0.000000,0.056089,0.062132,0.000000,0.062132,0.000000,0.062132,0.000000,0.056089,0.000000,0.062132,0.000000,0.000000,0.062132,0.000000,0.062132,0.000000,0.056089,0.062132,0.120628,0.000000,0.000000,0.062132,0.062132,0.062132,0.056089,0.062132,-0.006431,0.062132,0.000000,0.062132,0.056089,0.062132,0.120628,0.126294,-0.296266,0.126294,0.120628,8.209824
L30,0.186586,0.126294,0.120628,0.000000,0.056089,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120628,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062132,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062132,0.120628,0.000000,0.000000,-0.006431,0.056089,0.056089,-0.190044,0.120628,0.120628,10.815432
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.229637
