layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Format,7: the,8: response,9: as,10: one,11: compact,12: line,13: suitable,14: for,15: a,16: patient,17: header,"18:,",19: containing,20: demographic,21: and,22: PM,23:H,24: for,25: rheumatoid,26: arthritis,27:.,28: Start,29: with,30::,"31: """,32:Gender,33::,"34: ""","35:
",36:<,37:|,38:ass,39:istant,40:|>,"41:
",42:Gender,43::
L22,0.057158,0.007326,0.246400,0.000000,-0.060625,-0.060625,0.070952,0.187212,-0.125163,0.064079,0.007326,-0.060625,0.007326,0.064079,0.007326,-0.064539,-0.649975,-0.374693,-0.052842,0.124298,-0.407305,-0.121005,0.064079,-0.221307,0.000000,-1.315342,-1.105992,-0.777488,0.064079,-0.064539,0.070952,-0.307485,-0.549556,-0.337944,-0.060625,-0.221307,0.070952,0.007326,0.007326,-0.216730,0.077778,0.995428,-0.364055,0.797772
L23,-0.060625,-0.060625,0.064079,0.070952,0.124298,0.000000,0.064079,0.124298,-0.121005,0.007326,-0.060625,-0.064539,-0.060625,-0.060625,0.007326,0.000000,-0.530628,-0.125163,0.007326,0.007326,-0.189702,-0.064539,0.187212,-0.189702,-0.180852,-0.971073,-1.000632,-0.307485,0.007326,0.000000,-0.064539,-0.905322,-0.657042,-0.060625,-0.239826,-0.244510,0.000000,-0.052842,0.007326,-0.060625,-0.116864,0.124298,-0.221307,2.143520
L24,0.193291,0.193291,0.124298,0.000000,-0.064539,0.632523,0.000000,0.064079,0.000000,-0.052842,0.000000,0.064079,0.000000,-0.064539,0.000000,-0.121005,-0.180852,0.064079,0.070952,0.064079,-0.121005,0.064079,0.007326,0.064079,0.124298,0.498991,0.313092,0.000000,-0.007380,0.000000,0.130770,0.576283,0.886438,0.318454,0.193291,0.124298,-0.064539,-0.116864,-0.060625,0.064079,-0.297534,0.070952,0.439203,5.337821
L25,0.130770,0.130770,0.187212,-0.052842,-0.185267,0.000000,0.007326,0.070952,0.057158,0.007326,0.064079,0.007326,0.070952,0.007326,0.007326,0.057158,0.070952,0.124298,-0.060625,0.000000,0.187212,-0.060625,0.064079,0.057158,-0.064539,1.252763,0.750306,0.187212,0.057158,-0.060625,0.124298,0.498991,0.313092,0.257829,0.070952,0.187212,-0.060625,0.000000,0.000000,0.246400,-0.401795,0.050190,-0.235164,8.030409
L26,-0.125163,-0.121005,-0.064539,-0.064539,-0.121005,-0.064539,-0.060625,-0.060625,0.000000,-0.064539,0.007326,0.000000,0.000000,0.000000,0.000000,0.000000,-0.244510,-0.064539,-0.121005,0.000000,-0.125163,-0.125163,-0.064539,-0.125163,0.000000,-0.588522,-0.568849,-0.180852,-0.060625,0.064079,-0.064539,-0.401795,-0.337944,0.257829,-0.121005,-0.121005,-0.121005,-0.052842,0.000000,-0.108634,-0.337944,-0.337944,-0.374693,12.133543
L27,0.000000,-0.064539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.057158,0.000000,-0.064539,0.000000,-0.060625,0.000000,-0.064539,0.000000,0.000000,0.000000,-0.064539,-0.064539,0.000000,-0.125163,-0.064539,0.507880,0.124298,-0.060625,-0.064539,-0.064539,0.007326,0.130770,-0.060625,0.246400,0.000000,-0.060625,0.064079,-0.064539,0.000000,-0.112741,-0.385446,0.064079,-0.137742,4.277483
L28,0.000000,0.000000,0.064079,0.000000,-0.121005,0.000000,0.007326,-0.060625,0.000000,0.000000,0.057158,0.000000,0.000000,-0.060625,0.000000,0.000000,0.000000,0.000000,0.000000,-0.060625,0.057158,0.000000,0.057158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007326,0.000000,0.000000,0.007326,0.187212,0.000000,0.007326,0.000000,0.000000,0.057158,0.193291,-0.512052,-0.112741,-0.112741,7.964585
L29,0.000000,0.000000,0.057158,-0.060625,0.000000,0.057158,0.000000,0.000000,0.000000,-0.060625,0.000000,0.000000,0.000000,0.000000,0.007326,0.000000,0.000000,0.000000,0.000000,0.057158,0.057158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.060625,0.000000,0.007326,0.000000,-0.060625,-0.060625,0.007326,0.064079,0.007326,-0.163384,0.007326,0.007326,8.402548
L30,0.064079,0.064079,0.000000,0.000000,-0.060625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.060625,-0.189702,0.000000,-0.052842,11.593810
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.895642
