layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:A,7: patient,8: presented,9: with,10: rheumatoid,11: arthritis,12:.,13: A,14: patient,15: has,16: the,17: following,18: condition,19::,20: rheumatoid,21: arthritis,22:.,"23:
",24:Prov,25:ide,26: information,27: about,28: its,29: demographic,30: and,31: past,32: medical,33: history,34:.,35: You,36: must,37: start,38: with,39: the,40: following,41::,"42: """,43:Gender,44::,"45: ""","46:
",47:<,48:|,49:ass,50:istant,51:|>,"52:
",53:Gender,54::
L11,0.007722,-0.097638,-0.015625,-0.011696,0.196433,-0.154797,-0.106222,-0.145788,-0.196373,-0.234839,2.903633,1.020720,-0.114880,0.067441,-0.059898,-0.015625,-0.191667,-0.163888,0.074661,0.022989,1.229232,0.520085,0.190043,-0.182321,0.103032,0.081830,0.110001,-0.154797,-0.327213,0.137400,-0.477785,-0.097638,0.110001,-0.159332,-0.080689,-0.321851,0.310671,0.258181,1.064443,0.196433,-0.136859,-1.009663,-1.276291,1.565056,0.616651,-1.724314,0.653616,0.413187,0.103032,0.015385,-0.080689,-1.394074,0.202782,1.939243,-1.915368
L12,-0.011696,0.067441,0.287682,-0.076496,-0.234839,-0.597132,0.299243,-0.234839,0.088947,0.275986,0.387211,-0.145788,0.227784,0.130620,0.030537,-0.039531,-0.043571,0.081830,-0.128009,0.144134,-0.055791,-0.019570,0.067441,0.304973,0.150823,-0.196373,-0.168464,-0.399668,-0.225083,-0.254642,-0.290269,-0.191667,0.015385,-0.757168,0.067441,-0.348953,-0.239753,-0.076496,-0.080689,0.067441,-0.229949,0.258181,0.708532,1.860407,0.423391,-1.196249,-0.861610,0.123794,-0.051701,0.137400,-0.068163,0.088947,1.645971,2.418816,1.440973
L13,-0.076496,-0.114880,-0.145788,-0.072321,-0.229949,-0.123614,-0.201101,-0.076496,-0.191667,-0.300686,-0.168464,-0.114880,-0.201101,-0.039531,-0.254642,-0.522521,-0.047628,0.038027,0.150823,-0.097638,-0.290269,0.264151,0.423391,0.487295,-0.068163,-0.141313,0.246133,0.052842,0.281851,0.038027,0.183613,-0.196373,-0.132424,-0.870827,0.304973,-0.059898,-0.173062,-0.141313,0.067441,-0.106222,-0.360002,0.022989,-0.490364,0.556288,-0.496713,0.258181,0.293479,0.327573,-0.043571,-0.141313,-0.159332,-0.159332,-0.064022,0.700869,2.373642
L14,-0.101921,-0.043571,-0.101921,-0.047628,0.110001,-0.471555,-0.039531,-0.295464,-0.205852,-0.205852,0.774977,0.038027,-0.084899,0.110001,-0.055791,-0.205852,0.022989,0.190043,0.170625,0.183613,0.215361,0.233938,-0.254642,-0.249654,-0.173062,0.196433,0.810068,0.190043,-0.220241,-0.908567,0.629125,-0.269756,-0.072321,0.565137,0.164068,-0.080689,-0.173062,-0.047628,0.096015,0.110001,-0.196373,-0.173062,0.264151,0.074661,-0.011696,-0.201101,-0.569352,-0.035507,-0.011696,-0.011696,0.038027,-0.163888,0.681451,2.700788,0.700869
L15,-0.076496,-0.110542,-0.076496,-0.106222,-0.141313,-0.173062,-0.080689,-0.123614,-0.264692,-0.234839,0.582605,-0.101921,-0.114880,-0.011696,-0.300686,-0.269756,-0.097638,0.067441,0.088947,-0.015625,0.321971,-0.076496,0.038027,0.215361,0.015385,0.196433,0.137400,0.164068,-0.136859,-0.852478,0.007722,-0.254642,0.116921,0.164068,-0.716677,-0.110542,-0.173062,-0.295464,-0.027507,-0.136859,-0.043571,-0.348953,-0.234839,1.433606,1.080358,-0.097638,0.723683,0.110001,0.144134,-0.076496,-0.101921,-0.182321,0.007722,2.683990,-1.363302
L16,0.022989,-0.163888,0.015385,-0.145788,-0.285101,-0.182321,-0.106222,-0.191667,-0.210625,-0.039531,-0.196373,0.233938,-0.327213,-0.015625,-0.371176,0.038027,0.022989,0.052842,0.015385,0.103032,-0.191667,-0.311212,-0.007782,-0.106222,-0.043571,0.015385,0.038027,0.038027,0.038027,-0.549013,-0.311212,-0.259654,0.215361,0.144134,-0.305935,0.015385,0.015385,0.007722,-0.031499,-0.076496,0.022989,-0.405465,-0.388173,0.529259,0.542865,-0.562526,-0.145788,0.275986,0.081830,-0.015625,-0.035507,-0.816760,1.603216,2.162163,2.289318
L17,-0.076496,-0.128009,-0.132424,-0.173062,-0.173062,-0.360002,-0.173062,-0.173062,0.015385,-0.110542,0.902238,0.067441,-0.201101,-0.173062,-0.043571,-0.316517,-0.110542,-0.215421,-0.106222,-0.015625,0.649575,0.116921,0.170625,-0.239753,-0.051701,-0.068163,-0.274845,-0.168464,0.022989,-0.732677,-0.264692,-0.007782,0.022989,0.000000,-0.434965,-0.128009,-0.173062,-0.051701,-0.068163,0.022989,-0.007782,0.595508,-0.632978,0.157467,0.246133,-0.338023,-0.360002,-0.376809,-0.084899,-0.043571,-0.089128,-0.549013,-0.365573,0.876759,-2.557216
L18,0.067441,-0.015625,-0.128009,0.074661,-0.173062,-0.084899,0.045462,0.038027,-0.220241,-0.220241,8.434904,3.799053,0.482521,0.264151,0.321971,1.173273,-0.015625,-0.080689,-0.114880,0.246133,2.295583,1.448285,0.074661,-0.382475,-0.089128,-0.225083,0.164068,-0.072321,0.371296,0.045462,-0.264692,-0.089128,0.096015,0.144134,-0.542324,-0.132424,-0.141313,-0.076496,0.015385,0.045462,-0.196373,0.716136,-0.234839,2.943622,0.137400,-0.210625,-1.661135,-0.295464,-0.440971,-0.259654,-0.173062,-0.145788,1.403585,2.270285,1.552005
L19,-0.264692,-0.173062,-0.210625,-0.047628,-0.047628,-0.300686,-0.051701,-0.080689,0.015385,0.022989,0.252175,-0.047628,0.338684,-0.132424,-0.234839,-0.051701,-0.043571,-0.110542,-0.059898,-0.055791,0.015385,-0.311212,0.170625,-0.093374,-0.201101,-0.015625,0.123794,-0.023530,-0.068163,-0.027507,0.209092,0.144134,0.088947,0.556288,0.123794,0.038027,-0.015625,0.022989,0.007722,-0.205852,-0.168464,0.344194,0.281851,2.064799,0.774977,0.863772,1.075081,0.157467,-0.011696,-0.019570,0.110001,0.360543,3.269656,4.875078,3.106079
L20,-0.114880,-0.019570,0.067441,-0.089128,0.202782,-0.215421,0.130620,0.000000,-0.007782,-0.141313,-1.031169,-0.816760,0.258181,0.038027,-0.244692,-0.110542,-0.015625,-0.023530,-0.114880,0.130620,-0.484055,-0.490364,0.221592,0.000000,0.038027,-0.110542,-0.173062,-0.254642,-0.114880,-0.376809,-0.186983,0.190043,0.144134,0.310671,-0.225083,-0.163888,-0.110542,-0.027507,-0.080689,-0.076496,-0.055791,-0.249654,-0.150282,-0.360002,1.124123,0.164068,-0.043571,-0.019570,-0.047628,-0.076496,0.030537,-0.529078,0.624984,2.270285,5.239282
L21,-0.080689,-0.141313,-0.076496,-0.011696,-0.119237,-0.259654,0.067441,0.595508,0.299243,0.177140,1.340696,1.657858,0.810068,0.060168,0.458307,0.252175,-0.047628,0.007722,0.015385,0.170625,0.110001,0.327573,0.316337,-0.205852,0.000000,-0.055791,-0.047628,-0.076496,0.275986,0.164068,-0.089128,0.074661,0.221592,0.130620,0.477725,0.074661,0.007722,0.015385,-0.110542,-0.043571,-0.141313,-0.027507,0.067441,0.731174,-0.047628,-0.484055,-0.765467,-0.132424,-0.068163,-0.043571,-0.201101,-0.371176,-0.136859,0.669616,7.581557
L22,-0.106222,-0.076496,0.000000,-0.007782,-0.234839,-0.110542,-0.173062,-0.453093,-0.305935,-0.059898,-0.967991,-0.967991,-0.562526,-0.080689,-0.522521,-0.269756,-0.110542,0.045462,-0.201101,-0.205852,-0.229949,-0.173062,-0.043571,-0.201101,-0.015625,0.074661,-0.027507,-0.015625,-0.264692,-0.434965,-0.234839,-0.110542,-0.059898,-0.321851,-0.225083,-0.136859,-0.106222,0.015385,0.038027,-0.106222,0.015385,0.038027,-0.035507,0.137400,0.096015,0.045462,-0.080689,-0.093374,-0.051701,0.067441,-0.145788,-0.490364,-0.019570,2.080409,6.220743
L23,-0.089128,-0.027507,-0.027507,-0.080689,-0.076496,-0.106222,-0.269756,-0.382475,-0.123614,-0.123614,-0.918229,-0.503103,-0.371176,-0.150282,-0.365573,-0.084899,0.015385,0.007722,-0.141313,-0.089128,-0.453093,-0.225083,-0.428995,-0.168464,-0.047628,0.045462,-0.106222,-0.201101,-0.234839,-0.201101,-0.136859,-0.136859,0.038027,-0.072321,-0.072321,0.015385,-0.106222,-0.019570,0.045462,-0.168464,-0.051701,-0.141313,-0.371176,-0.988610,-0.043571,-0.490364,-0.388173,-0.015625,-0.055791,-0.106222,-0.007782,0.030537,0.233938,0.556288,0.275986
L24,0.015385,-0.047628,-0.145788,-0.059898,-0.101921,0.637355,0.038027,0.130620,-0.080689,-0.154797,0.000000,0.170625,-0.089128,-0.019570,0.045462,-0.141313,-0.051701,0.007722,-0.027507,0.045462,-0.249654,-0.023530,-0.027507,0.045462,-0.047628,-0.168464,0.000000,-0.089128,0.130620,-0.047628,0.081830,-0.023530,-0.027507,-0.076496,-0.027507,-0.027507,-0.173062,-0.089128,-0.136859,-0.080689,-0.059898,-0.136859,-0.154797,0.624984,0.492045,0.150823,-0.076496,0.045462,0.096015,-0.015625,0.000000,-0.927985,-0.338023,1.103766,3.976706
L25,-0.076496,-0.076496,0.007722,-0.059898,-0.027507,-0.136859,0.038027,0.116921,-0.110542,-0.119237,0.731174,0.850614,-0.027507,-0.084899,-0.019570,-0.059898,0.007722,-0.089128,-0.141313,0.007722,-0.043571,0.081830,-0.019570,-0.015625,-0.110542,0.045462,-0.119237,-0.059898,0.045462,0.045462,-0.019570,-0.080689,-0.027507,-0.023530,-0.027507,0.000000,-0.059898,-0.027507,-0.059898,-0.027507,0.007722,-0.055791,-0.027507,0.573909,0.392461,-0.015625,0.038027,-0.015625,-0.173062,-0.047628,-0.101921,-0.748937,0.252175,0.170625,5.719090
L26,-0.201101,-0.080689,-0.047628,-0.106222,-0.080689,-0.141313,-0.015625,-0.141313,-0.141313,-0.168464,-0.279960,-0.343473,-0.089128,-0.027507,-0.168464,-0.173062,-0.059898,-0.106222,-0.059898,-0.089128,-0.027507,-0.027507,-0.059898,-0.168464,-0.027507,-0.089128,0.000000,-0.027507,-0.264692,-0.141313,-0.027507,-0.027507,-0.019570,-0.106222,0.007722,-0.027507,-0.027507,-0.059898,-0.055791,-0.019570,-0.059898,-0.106222,0.038027,-0.295464,0.081830,-0.027507,-0.059898,-0.027507,-0.201101,-0.055791,-0.015625,-1.009663,0.209092,-0.321851,8.190033
L27,-0.173062,0.007722,-0.059898,-0.076496,-0.106222,-0.027507,-0.027507,0.081830,0.067441,-0.136859,0.060168,0.045462,-0.106222,-0.136859,0.045462,-0.027507,-0.027507,0.015385,0.007722,0.007722,0.067441,0.007722,0.015385,0.015385,-0.027507,0.007722,-0.106222,-0.027507,-0.027507,0.007722,-0.136859,0.045462,0.007722,-0.027507,-0.027507,-0.019570,-0.027507,0.015385,-0.019570,0.000000,-0.027507,0.038027,0.000000,-0.011696,0.164068,0.015385,-0.076496,-0.055791,-0.089128,-0.027507,0.067441,-1.304462,0.264151,-0.371176,2.332369
L28,-0.106222,-0.106222,-0.027507,0.007722,-0.031499,0.007722,-0.027507,-0.055791,-0.027507,-0.019570,0.015385,-0.055791,-0.019570,-0.047628,-0.027507,0.007722,-0.055791,-0.027507,0.007722,0.007722,0.007722,-0.019570,-0.027507,-0.106222,-0.019570,-0.027507,-0.019570,-0.027507,-0.027507,-0.019570,-0.027507,-0.027507,-0.019570,-0.027507,-0.027507,-0.019570,-0.027507,0.007722,-0.027507,-0.055791,-0.019570,0.007722,-0.051701,-0.220241,0.045462,0.007722,-0.015625,0.007722,-0.059898,0.007722,0.183613,-1.527604,0.074661,-0.106222,7.329810
L29,-0.023530,0.007722,0.007722,0.007722,-0.076496,0.007722,0.007722,-0.027507,-0.019570,0.015385,-0.051701,0.007722,0.000000,0.007722,0.038027,0.007722,0.007722,0.007722,-0.027507,0.007722,-0.027507,0.007722,-0.027507,-0.027507,0.015385,0.007722,-0.027507,0.007722,0.007722,0.015385,0.007722,-0.027507,-0.027507,0.007722,0.038027,0.007722,-0.027507,0.007722,-0.027507,0.038027,0.007722,0.038027,0.007722,-0.027507,-0.076496,0.007722,-0.027507,0.038027,-0.027507,0.015385,-0.068163,-1.031169,0.007722,-0.011696,8.809960
L30,0.067441,0.067441,-0.027507,0.038027,-0.106222,0.007722,0.007722,0.000000,0.000000,0.007722,-0.027507,0.007722,0.007722,0.007722,0.000000,0.007722,0.007722,0.007722,0.007722,0.038027,-0.027507,0.007722,0.007722,0.007722,0.007722,0.007722,0.007722,0.007722,0.007722,0.007722,0.007722,0.007722,0.007722,0.007722,0.007722,0.007722,0.007722,0.007722,0.007722,0.000000,0.007722,0.000000,-0.027507,-0.076496,0.000000,0.007722,0.007722,0.007722,-0.027507,-0.027507,-0.106222,-0.516006,0.007722,-0.051701,9.668616
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.990561
