layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Pro,7:du,8:ce,9: a,10: discharge,11:-,12:brief,13: style,14: summary,15: for,16: rheumatoid,17: arthritis,"18:,",19: limited,20: to,21: demographic,22: and,23: prior,24: medical,25: history,26:.,27: Start,28: with,29::,"30: """,31:Gender,32::,"33: ""","34:
",35:<,36:|,37:ass,38:istant,39:|>,"40:
",41:Gender,42::
L11,-0.042532,-0.113252,-0.036344,-0.036344,0.029309,-0.126665,-0.005966,-0.175081,-0.042532,-0.140261,-0.383090,-0.147129,-0.400695,-0.048758,-0.361511,-0.100016,1.503579,0.428772,-0.119936,-0.140261,0.090916,-0.011968,0.011827,-0.024082,-0.030194,-0.086953,-0.464873,-0.074059,0.159145,-0.100016,0.040796,0.393280,-0.418615,0.174251,-0.133440,-0.126665,0.052153,-0.048758,-0.140261,-0.211158,-0.291441,0.179236,0.005931
L12,-0.100016,-0.086953,-0.042532,-0.055024,-0.061328,-0.189356,-0.067673,-0.036344,-0.061328,-0.061328,-0.353008,-0.080485,-0.133440,0.241874,-0.086953,-0.011968,-0.093463,0.122986,-0.175081,0.023516,-0.030194,0.023516,-0.154044,-0.018007,0.005931,-0.211158,0.005931,0.011827,-0.086953,0.128232,0.046491,-0.106612,0.198930,-0.048758,0.079993,-0.042532,-0.024082,-0.024082,-0.048758,-0.011968,-0.175081,-0.464873,-0.698469
L13,-0.011968,-0.030194,-0.048758,-0.080485,-0.036344,-0.074059,-0.067673,-0.055024,-0.036344,0.000000,-0.080485,-0.140261,-0.086953,0.035069,-0.074059,0.017688,0.189132,-0.240987,-0.196571,0.017688,0.079993,-0.011968,0.040796,-0.074059,-0.018007,-0.080485,-0.074059,-0.093463,-0.168020,-0.161007,-0.074059,0.174251,0.143808,0.052153,-0.233446,-0.018007,-0.005966,-0.048758,-0.067673,-0.106612,-0.295430,-0.528398,-0.196571
L14,-0.018007,-0.080485,-0.080485,-0.067673,0.040796,-0.211158,0.000000,-0.106612,-0.055024,-0.018007,-0.093463,0.000000,-0.093463,-0.086953,-0.086953,0.011827,0.331176,-0.133440,-0.140261,-0.048758,-0.018007,-0.240987,-0.211158,-0.042532,-0.061328,0.052153,0.029309,-0.061328,-0.119936,-0.256242,-0.271733,-0.427697,-0.061328,-0.175081,-0.225962,-0.030194,0.035069,-0.100016,-0.061328,-0.086953,0.148947,-0.080485,0.352309
L15,-0.074059,-0.036344,-0.080485,-0.061328,0.000000,-0.024082,-0.067673,-0.106612,-0.048758,-0.005966,-0.048758,-0.042532,-0.036344,-0.140261,-0.140261,-0.147129,0.068950,-0.119936,-0.080485,-0.030194,-0.018007,-0.196571,0.079993,0.005931,-0.074059,0.011827,0.107080,-0.030194,-0.168020,-0.030194,-0.315615,0.148947,0.046491,-0.189356,-0.154044,-0.203838,0.000000,-0.036344,-0.133440,-0.233446,-0.383090,-0.086953,0.068950
L16,-0.048758,-0.011968,-0.036344,-0.080485,0.023516,-0.067673,-0.067673,-0.018007,-0.074059,-0.042532,-0.011968,-0.093463,0.005931,-0.093463,-0.113252,-0.225962,0.101721,0.133451,0.107080,-0.036344,-0.005966,-0.256242,-0.024082,-0.030194,-0.055024,0.023516,-0.011968,-0.024082,0.000000,0.085470,-0.018007,-0.106612,0.017688,0.090916,-0.030194,-0.042532,-0.024082,0.011827,-0.005966,-0.067673,-0.460150,-0.574866,0.011827
L17,-0.074059,-0.061328,-0.048758,-0.080485,-0.024082,-0.093463,-0.042532,-0.024082,-0.055024,-0.055024,-0.018007,-0.048758,-0.067673,0.011827,-0.067673,-0.005966,0.322597,-0.067673,0.023516,0.011827,-0.055024,-0.189356,-0.018007,-0.030194,-0.036344,0.057784,0.117712,-0.030194,-0.106612,-0.055024,-0.119936,0.194043,-0.218533,-0.196571,-0.469619,-0.119936,0.029309,-0.048758,0.040796,-0.140261,-0.218533,0.420993,1.121710
L18,0.005931,-0.011968,-0.042532,-0.024082,-0.080485,-0.080485,-0.030194,-0.048758,-0.086953,-0.048758,0.023516,-0.005966,-0.140261,-0.042532,-0.086953,-0.113252,2.054785,1.292303,0.348118,0.138643,-0.055024,0.368900,0.164206,0.122986,0.148947,0.269512,0.241874,-0.042532,-0.011968,-0.061328,0.085470,0.998124,0.005931,-0.113252,-0.203838,-0.140261,-0.086953,0.023516,-0.093463,-0.067673,-0.086953,-0.086953,0.826318
L19,-0.067673,-0.018007,-0.067673,-0.113252,-0.042532,-0.147129,-0.080485,0.011827,0.017688,0.023516,-0.048758,-0.080485,-0.093463,0.040796,-0.086953,-0.168020,-0.315615,-0.569595,-0.225962,-0.042532,0.000000,-0.418615,-0.080485,-0.061328,-0.074059,0.035069,-0.133440,-0.086953,-0.161007,-0.361511,-0.651736,-0.256242,-0.307492,-0.455449,-0.543648,-0.161007,-0.093463,-0.061328,-0.086953,-0.211158,0.264958,-0.680687,-0.218533
L20,-0.042532,-0.074059,-0.126665,-0.100016,-0.018007,-0.067673,-0.067673,-0.036344,-0.119936,-0.113252,-0.154044,-0.080485,-0.036344,-0.055024,-0.074059,0.023516,-0.067673,-0.332062,-0.106612,-0.055024,0.005931,-0.196571,-0.086953,-0.055024,0.005931,-0.048758,-0.024082,-0.074059,-0.074059,-0.048758,0.052153,-0.018007,-0.042532,-0.196571,-0.119936,-0.030194,-0.042532,-0.080485,-0.024082,0.046491,0.138643,-0.692507,1.028357
L21,0.000000,-0.030194,-0.030194,-0.086953,-0.061328,0.000000,-0.011968,-0.061328,-0.024082,-0.036344,-0.067673,-0.048758,-0.048758,-0.067673,-0.048758,0.000000,0.625131,0.680854,0.154059,-0.030194,-0.036344,0.198930,-0.024082,0.005931,0.011827,-0.182193,0.011827,-0.061328,-0.042532,0.005931,0.101721,0.545647,-0.055024,-0.133440,-0.256242,-0.018007,-0.074059,-0.011968,-0.074059,0.057784,-0.011968,-0.455449,-0.295430
L22,-0.048758,-0.074059,-0.030194,-0.055024,-0.048758,-0.005966,-0.067673,-0.036344,-0.048758,-0.106612,-0.182193,-0.080485,-0.074059,-0.074059,-0.140261,-0.100016,-0.299434,-0.640386,-0.106612,-0.106612,-0.030194,-0.211158,-0.080485,-0.055024,-0.080485,-0.036344,-0.100016,-0.086953,-0.024082,-0.086953,-0.126665,-0.154044,-0.011968,-0.086953,-0.119936,-0.074059,-0.067673,-0.042532,-0.086953,0.023516,0.090916,-0.772938,-1.171292
L23,-0.042532,-0.061328,-0.030194,-0.086953,-0.042532,-0.036344,-0.140261,-0.074059,-0.067673,-0.080485,-0.048758,-0.086953,-0.100016,-0.005966,-0.011968,0.023516,-0.792455,-0.469619,-0.203838,-0.106612,-0.061328,-0.055024,-0.055024,-0.086953,-0.055024,-0.042532,-0.067673,-0.086953,-0.061328,-0.074059,-0.067673,-0.042532,0.198930,-0.080485,-0.080485,-0.036344,-0.055024,-0.055024,0.040796,-0.024082,0.000000,-0.400695,-1.088459
L24,-0.055024,-0.030194,-0.080485,-0.067673,-0.080485,0.074487,-0.093463,-0.061328,-0.061328,-0.018007,-0.061328,-0.055024,-0.106612,-0.100016,-0.055024,-0.067673,0.000000,-0.113252,-0.086953,-0.067673,-0.067673,-0.018007,-0.036344,-0.067673,-0.048758,-0.036344,-0.093463,-0.036344,-0.005966,-0.011968,0.148947,0.154059,0.040796,0.035069,-0.048758,-0.080485,-0.042532,-0.042532,0.017688,0.035069,-0.113252,-0.263958,3.096903
L25,-0.048758,-0.024082,-0.055024,-0.030194,-0.086953,-0.106612,-0.055024,-0.042532,-0.055024,-0.055024,-0.042532,-0.067673,-0.036344,-0.067673,-0.080485,-0.074059,0.605844,0.194043,-0.055024,-0.055024,-0.036344,-0.055024,-0.067673,-0.048758,-0.011968,-0.067673,-0.048758,-0.055024,-0.030194,-0.048758,-0.074059,0.122986,0.040796,-0.030194,-0.011968,-0.086953,-0.126665,-0.030194,-0.030194,-0.409615,-0.024082,-0.607089,-1.942072
L26,-0.061328,-0.067673,-0.036344,-0.030194,-0.067673,-0.036344,-0.030194,-0.061328,-0.024082,-0.030194,-0.061328,-0.030194,-0.024082,-0.030194,-0.036344,-0.036344,0.381164,-0.133440,-0.093463,-0.042532,-0.024082,-0.061328,-0.024082,-0.036344,-0.048758,-0.055024,-0.067673,-0.061328,-0.048758,-0.030194,0.005931,-0.100016,-0.030194,-0.055024,-0.061328,-0.086953,-0.011968,-0.042532,0.017688,-0.067673,-0.055024,-0.323804,1.874916
L27,-0.024082,-0.030194,-0.030194,-0.036344,0.000000,-0.030194,0.005931,-0.030194,-0.030194,-0.061328,-0.055024,-0.030194,-0.030194,-0.030194,-0.042532,-0.055024,0.300819,0.035069,-0.024082,-0.030194,-0.048758,-0.036344,-0.036344,-0.024082,-0.055024,-0.036344,-0.061328,-0.030194,-0.048758,-0.018007,-0.055024,0.011827,-0.018007,-0.030194,-0.030194,-0.048758,-0.067673,-0.055024,0.035069,-0.365789,-0.024082,-0.147129,-0.133440
L28,-0.061328,-0.055024,-0.030194,-0.030194,-0.024082,-0.030194,-0.030194,-0.030194,-0.030194,-0.005966,-0.030194,-0.030194,0.005931,-0.030194,-0.030194,-0.030194,0.068950,-0.036344,-0.030194,-0.030194,-0.030194,-0.061328,0.000000,-0.030194,-0.036344,-0.030194,-0.030194,-0.030194,-0.030194,-0.030194,-0.067673,-0.113252,-0.024082,-0.055024,-0.024082,-0.055024,-0.024082,-0.030194,0.074487,-0.646045,-0.126665,-0.011968,-0.295430
L29,-0.055024,-0.024082,-0.018007,0.005931,-0.048758,-0.030194,-0.030194,-0.024082,-0.030194,-0.024082,-0.005966,-0.030194,-0.030194,-0.030194,-0.030194,-0.030194,-0.061328,-0.030194,-0.030194,-0.030194,-0.030194,-0.030194,0.000000,-0.030194,-0.030194,-0.030194,-0.030194,-0.030194,-0.024082,-0.024082,-0.030194,-0.030194,-0.030194,-0.030194,-0.030194,0.000000,-0.018007,-0.024082,0.011827,-0.024082,-0.024082,0.011827,0.939431
L30,0.017688,0.017688,-0.030194,-0.036344,-0.018007,-0.030194,-0.030194,-0.030194,-0.030194,-0.030194,-0.030194,-0.030194,-0.036344,-0.030194,-0.030194,-0.030194,-0.061328,-0.030194,-0.030194,-0.030194,-0.030194,-0.030194,-0.030194,-0.030194,-0.024082,-0.030194,-0.024082,-0.030194,-0.030194,-0.030194,-0.030194,-0.024082,-0.024082,-0.030194,-0.036344,-0.030194,-0.030194,-0.018007,-0.005966,0.017688,-0.024082,0.000000,1.852777
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.984438
