layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Could,7: you,8: summarize,9: a,10: asthma,11: case,12: in,13: 4,14:-,15:5,16: sentences,"17:,",18: focusing,19: on,20: demographic,21: and,22: prior,23: medical,24: history,25:?,26: Your,27: first,28: text,29: must,30: be,31::,"32: """,33:Gender,34::,"35: ""","36:
",37:<,38:|,39:ass,40:istant,41:|>,"42:
",43:Gender,44::
L13,-0.127398,-0.064220,-0.127398,-0.127398,0.060343,-0.004796,0.000000,-0.064220,0.060343,0.000000,-0.254738,0.060343,-0.189043,0.000000,0.000000,-0.064220,0.060343,0.060343,0.060343,0.000000,-0.127398,-0.127398,-0.064220,0.000000,-0.064220,0.121498,-0.127398,-0.127398,0.055828,-0.254738,-0.254738,0.183119,0.183119,0.060343,0.618671,-0.194840,-0.379490,-0.127398,0.060343,-0.064220,0.000000,-0.127398,-0.127398,-0.064220,-0.379490
L14,0.000000,0.125726,-0.127398,-0.064220,0.000000,-0.127398,-0.064220,-0.064220,-0.064220,0.000000,-0.815125,-0.127398,0.060343,0.060343,-0.064220,-0.127398,-0.064220,0.060343,-0.064220,0.060343,-0.064220,0.121498,-0.004796,0.000000,0.060343,-0.127398,-0.064220,-0.127398,-0.127398,-0.064220,-0.189043,-0.064220,-0.064220,-0.311896,0.613503,-0.064220,-0.372521,-0.004796,-0.064220,0.000000,-0.127398,-0.311896,0.432217,-0.254738,-0.567421
L15,0.000000,0.000000,-0.064220,0.000000,0.000000,-0.064220,0.000000,0.000000,0.000000,-0.127398,-0.815125,-0.004796,-0.064220,-0.004796,-0.064220,0.000000,-0.069335,0.060343,-0.064220,-0.064220,-0.248584,-0.064220,-0.064220,-0.004796,-0.064220,0.060343,0.121498,0.000000,-0.064220,0.060343,0.060343,-0.127398,-0.318454,0.374693,0.438409,-0.127398,0.374693,0.121498,0.000000,0.000000,-0.127398,-0.379490,-0.064220,0.492476,0.187095
L16,0.121498,0.060343,-0.064220,0.000000,0.121498,0.000000,0.060343,-0.064220,0.000000,-0.064220,0.000000,-0.379490,-0.254738,0.121498,0.000000,-0.004796,0.187095,0.060343,0.000000,0.000000,0.060343,-0.004796,0.121498,0.060343,0.248653,0.060343,0.000000,-0.064220,-0.064220,0.000000,-0.064220,-0.127398,-0.127398,-0.189043,0.125726,-0.127398,0.313658,0.055828,0.060343,-0.064220,0.060343,-0.127398,0.492476,0.248653,1.297541
L17,-0.064220,-0.064220,-0.064220,-0.064220,0.060343,0.060343,0.121498,-0.064220,0.187095,-0.064220,0.060343,-0.254738,-0.189043,-0.064220,-0.064220,0.000000,0.248653,0.060343,-0.127398,0.060343,0.125726,-0.189043,0.060343,0.060343,0.125726,-0.064220,0.121498,-0.127398,0.060343,-0.127398,-0.189043,0.000000,-0.127398,1.062894,0.248653,0.248653,-0.004796,0.060343,0.121498,0.060343,0.000000,-0.064220,0.125726,0.313658,0.320626
L18,0.187095,0.060343,-0.004796,-0.064220,-0.004796,-0.064220,-0.189043,0.000000,-0.064220,-0.127398,7.195690,0.816761,0.560299,0.000000,-0.064220,-0.064220,-0.189043,0.623812,-0.189043,0.000000,0.874272,0.187095,0.313658,0.187095,0.748976,0.187095,0.060343,-0.189043,0.000000,-0.311896,-0.379490,-0.254738,-0.004796,3.501136,0.748976,0.498307,0.248653,0.060343,0.060343,-0.064220,0.000000,-0.189043,0.554820,2.000445,-0.311896
L19,-0.064220,-0.127398,-0.064220,-0.127398,0.125726,0.248653,0.000000,-0.064220,-0.004796,0.060343,-0.998529,-0.189043,-0.127398,-0.064220,-0.004796,0.000000,-0.064220,-0.064220,0.060343,0.000000,-0.318454,-0.064220,-0.004796,0.000000,-0.064220,-0.069335,-0.064220,-0.064220,0.000000,-0.064220,-0.127398,-0.064220,-0.567421,0.183119,-0.064220,0.248653,0.368093,-0.004796,-0.127398,0.060343,-0.064220,0.060343,0.492476,-0.351902,0.285287
L20,-0.064220,-0.127398,-0.004796,0.000000,0.121498,-0.127398,0.060343,-0.127398,0.060343,-0.064220,-1.316982,-0.502092,-0.254738,0.060343,0.121498,-0.127398,0.000000,-0.127398,0.060343,-0.004796,-0.254738,-0.127398,-0.189043,-0.127398,-0.318454,-0.189043,0.000000,0.000000,-0.064220,-0.064220,-0.004796,-0.127398,-0.064220,-1.011601,0.060343,-0.127398,-0.127398,-0.064220,0.000000,-0.064220,0.000000,0.000000,0.241162,0.117251,2.474083
L21,0.000000,0.060343,-0.127398,-0.127398,0.000000,0.000000,-0.064220,-0.127398,-0.127398,0.187095,4.878625,0.623812,0.313658,0.000000,-0.064220,-0.064220,-0.254738,0.248653,-0.064220,0.060343,0.187095,0.060343,0.000000,-0.064220,0.121498,0.248653,0.060343,-0.064220,-0.064220,0.000000,0.060343,0.121498,0.816761,1.813062,0.248653,0.374693,0.000000,-0.004796,0.000000,0.000000,0.000000,-0.127398,-0.069335,0.560299,3.463490
L22,-0.127398,0.000000,-0.127398,-0.064220,-0.064220,-0.064220,-0.127398,-0.064220,-0.064220,-0.127398,-1.137641,-0.254738,-0.189043,-0.064220,0.000000,-0.064220,-0.064220,-0.189043,0.060343,-0.127398,-0.379490,-0.189043,0.000000,-0.064220,0.000000,-0.248584,-0.127398,0.000000,-0.127398,-0.127398,-0.127398,-0.189043,-0.379490,-0.437059,-0.254738,-0.004796,-0.254738,-0.127398,0.000000,-0.064220,-0.127398,0.060343,-0.189043,-0.194840,2.328560
L23,0.000000,0.000000,-0.004796,-0.064220,-0.064220,-0.004796,0.060343,-0.127398,0.060343,-0.127398,-1.731415,-0.189043,-0.064220,0.000000,-0.004796,-0.127398,0.060343,-0.127398,-0.004796,0.000000,-0.064220,-0.189043,-0.189043,-0.064220,-0.127398,-0.127398,-0.064220,-0.064220,0.060343,-0.127398,0.000000,-0.064220,-0.815125,-0.444494,0.248653,-0.189043,-0.311896,-0.064220,0.000000,-0.127398,0.121498,0.060343,-0.379490,-0.127398,2.209903
L24,0.060343,-0.064220,0.121498,-0.064220,0.000000,0.432217,-0.064220,-0.127398,-0.127398,-0.189043,1.249339,0.121498,-0.064220,-0.064220,0.000000,0.000000,0.060343,-0.064220,-0.064220,0.000000,0.121498,0.060343,0.060343,0.060343,-0.064220,0.060343,-0.064220,-0.127398,0.000000,-0.064220,-0.127398,-0.064220,0.060343,0.623812,0.374693,0.187095,0.000000,0.121498,0.000000,0.000000,0.060343,-0.183279,-0.064220,0.248653,3.496507
L25,0.060343,-0.004796,0.060343,-0.004796,-0.064220,0.060343,0.000000,0.060343,-0.064220,-0.064220,1.438723,0.121498,0.060343,0.000000,0.060343,-0.004796,-0.127398,0.060343,0.000000,0.060343,0.060343,0.060343,0.000000,0.121498,0.060343,0.121498,-0.064220,0.000000,0.060343,0.000000,0.060343,0.060343,0.248653,0.187095,0.121498,0.060343,0.060343,0.060343,0.060343,0.060343,0.125726,0.060343,0.248653,-0.386507,3.201890
L26,0.000000,0.000000,0.060343,0.000000,-0.127398,0.000000,0.121498,0.121498,0.121498,0.000000,-0.628309,-0.064220,-0.127398,-0.064220,0.121498,0.000000,0.000000,0.000000,0.060343,0.000000,-0.127398,-0.064220,0.060343,0.000000,-0.004796,0.060343,0.060343,0.060343,0.060343,0.121498,0.121498,0.125726,0.183119,-0.127398,0.121498,-0.064220,-0.189043,0.000000,0.000000,0.060343,0.248653,-0.059131,0.060343,-0.254738,11.703866
L27,-0.004796,0.000000,0.000000,0.000000,0.000000,0.060343,0.000000,0.060343,0.000000,0.000000,0.313658,0.060343,0.000000,0.000000,0.060343,0.060343,0.060343,-0.064220,0.060343,0.000000,0.060343,-0.064220,0.000000,0.060343,0.060343,-0.004796,-0.064220,0.060343,0.000000,0.060343,0.060343,0.060343,0.060343,0.121498,0.060343,0.121498,0.000000,-0.064220,0.060343,0.121498,0.248653,-0.189043,0.187095,-0.127398,3.563788
L28,0.000000,0.000000,0.000000,0.000000,-0.064220,0.000000,0.000000,0.000000,0.000000,-0.004796,0.060343,0.000000,-0.004796,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004796,0.000000,0.000000,0.000000,0.060343,0.000000,-0.064220,0.000000,-0.004796,-0.127398,0.000000,0.000000,0.000000,0.000000,0.000000,0.060343,0.060343,0.000000,-0.064220,-0.064220,0.000000,0.000000,0.248653,-0.498147,0.121498,-0.064220,9.136747
L29,-0.004796,-0.064220,0.000000,0.060343,-0.064220,-0.004796,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.064220,0.060343,0.000000,0.000000,-0.064220,0.000000,0.060343,-0.064220,-0.064220,0.000000,0.000000,-0.064220,-0.064220,0.000000,0.060343,-0.183279,0.060343,-0.064220,8.238386
L30,0.121498,0.060343,0.000000,0.000000,-0.064220,0.000000,-0.064220,0.000000,0.000000,0.000000,-0.004796,0.000000,0.000000,0.000000,0.000000,0.000000,0.060343,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004796,0.000000,0.060343,0.000000,0.060343,0.000000,0.000000,0.000000,0.000000,-0.004796,0.000000,0.000000,0.000000,0.000000,-0.004796,-0.127398,0.000000,-0.064220,-0.311896,0.060343,0.000000,10.208202
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.480021
