layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Write,7: a,8: short,9: paragraph,10: (,11:2,12:-,13:4,14: sentences,15:),16: for,17: a,18: rheumatoid,19: arthritis,20: patient,"21:,",22: including,23: demographic,24: and,25: clinically,26: relevant,27: PM,28:H,29:.,30: Start,31: exactly,32: with,33::,"34: """,35:Gender,36::,"37: ""","38:
",39:<,40:|,41:ass,42:istant,43:|>,"44:
",45:Gender,46::
L14,-0.029705,0.033576,-0.130053,-0.097263,-0.034743,-0.060320,0.056887,0.000000,-0.124513,-0.065515,-0.034743,-0.091901,-0.065515,0.056887,-0.286057,0.024098,-0.029705,-0.097263,0.119408,0.056887,-0.319064,-0.029705,0.186378,0.028848,0.182322,0.000000,-0.130053,0.028848,0.222167,0.123727,0.000000,-0.097263,0.123727,-0.009804,-0.060320,-0.403029,0.367349,0.119408,-0.683438,-0.034743,0.061485,0.028848,-0.097263,-0.217064,-0.193111,0.115069,-0.065515
L15,-0.091901,-0.124513,-0.004890,0.024098,-0.029705,-0.034743,-0.097263,-0.004890,0.088636,-0.097263,-0.004890,0.000000,-0.065515,-0.097263,-0.124513,-0.097263,0.056887,-0.124513,-0.163955,-0.039806,0.252939,0.024098,-0.187212,0.186378,0.088636,-0.029705,-0.029705,-0.065515,0.346871,-0.279585,-0.034743,0.024098,0.119408,-0.254106,-0.229260,-0.060320,0.222167,-0.158224,-0.560836,0.028848,0.245334,0.056887,-0.097263,-0.158224,0.000000,1.311623,0.445311
L16,-0.060320,0.066062,-0.065515,0.056887,0.000000,0.028848,-0.130053,-0.124513,-0.004890,0.123727,-0.097263,-0.065515,-0.004890,0.000000,0.407090,-0.034743,-0.130053,-0.163955,0.000000,-0.124513,-0.279585,-0.034743,-0.004890,-0.060320,0.093090,-0.065515,-0.223144,0.028848,-0.097263,-0.097263,-0.097263,-0.004890,-0.004890,-0.070737,-0.279585,0.000000,0.123727,-0.130053,-0.158224,0.024098,0.214324,-0.004890,0.097525,-0.181346,0.678405,0.707675,1.684590
L17,-0.004890,0.056887,0.000000,-0.065515,-0.065515,-0.065515,-0.065515,-0.004890,-0.004890,0.061485,-0.065515,-0.034743,-0.065515,-0.124513,-0.091901,-0.004890,-0.097263,-0.097263,0.245334,0.028848,-0.346276,-0.223144,0.088636,0.033576,-0.158224,-0.029705,-0.065515,-0.091901,-0.065515,-0.223144,-0.065515,0.024098,-0.034743,-0.034743,0.056887,0.439041,0.123727,0.056887,-0.381367,-0.124513,0.028848,0.056887,0.097525,-0.152526,-0.659571,0.463887,-0.360165
L18,-0.029705,0.088636,-0.004890,0.056887,0.028848,0.000000,0.028848,0.214324,0.153454,0.061485,-0.065515,0.061485,0.024098,-0.065515,0.157629,-0.009804,-0.060320,0.028848,2.572426,1.127460,2.445523,0.119408,0.024098,0.754632,0.128028,0.093090,0.088636,0.153454,0.445311,0.070618,0.028848,0.088636,0.028848,0.028848,0.182322,10.078186,1.062184,0.407090,-0.432661,-0.158224,0.061485,0.000000,0.093090,-0.223144,-0.113524,1.996192,-0.286057
L19,-0.065515,-0.065515,0.028848,-0.124513,0.028848,0.066062,-0.097263,-0.034743,-0.004890,0.275412,0.088636,0.024098,0.028848,0.088636,0.149261,0.000000,0.088636,-0.034743,-0.254106,-0.124513,-0.060320,-0.070737,0.093090,-0.193111,-0.065515,-0.004890,-0.034743,-0.034743,-0.065515,-0.097263,-0.065515,-0.034743,-0.187212,-0.163955,-0.539693,0.367349,-0.312375,-0.124513,0.123727,-0.044895,0.061485,0.061485,0.123727,-0.039806,0.106336,0.206419,-0.447813
L20,-0.065515,-0.004890,-0.065515,0.000000,-0.029705,-0.187212,-0.034743,0.056887,-0.065515,-0.029705,-0.004890,0.056887,0.088636,-0.004890,-0.097263,-0.004890,0.093090,-0.029705,-0.193111,-0.097263,-0.152526,-0.163955,-0.004890,-0.247836,-0.217064,-0.130053,-0.130053,0.028848,-0.374250,-0.130053,-0.065515,-0.034743,-0.065515,-0.034743,-0.091901,-0.478823,-0.124513,-0.193111,-0.440208,-0.187212,0.123727,0.028848,0.157629,0.066062,0.056887,0.400575,2.166402
L21,0.088636,-0.004890,0.056887,-0.091901,-0.124513,-0.091901,0.056887,0.088636,-0.004890,0.000000,-0.004890,0.028848,-0.065515,-0.124513,-0.065515,0.028848,0.088636,0.182322,0.470004,0.439041,1.188735,0.088636,0.088636,0.157629,0.028848,-0.004890,-0.097263,-0.091901,0.123727,0.123727,-0.034743,-0.029705,-0.004890,-0.034743,0.214324,1.382629,0.252939,0.439041,0.190419,0.000000,0.028848,0.056887,0.153454,0.157629,-0.065515,0.457733,2.252062
L22,0.024098,0.061485,-0.097263,-0.004890,-0.004890,-0.029705,-0.004890,0.056887,-0.034743,-0.034743,0.024098,0.056887,0.028848,-0.034743,-0.124513,-0.065515,0.056887,-0.065515,-0.346276,-0.130053,0.407090,-0.091901,-0.034743,-0.039806,-0.124513,-0.004890,-0.004890,0.024098,0.056887,-0.163955,0.056887,0.000000,0.028848,-0.034743,-0.097263,-0.065515,-0.187212,-0.004890,-0.039806,-0.187212,-0.029705,-0.004890,0.056887,-0.152526,-0.034743,0.075153,2.011972
L23,-0.004890,0.088636,-0.097263,0.000000,-0.097263,-0.029705,0.028848,0.056887,-0.034743,0.088636,0.088636,0.024098,0.088636,-0.004890,0.028848,0.028848,0.061485,0.028848,-0.319064,-0.381367,-0.417735,-0.065515,-0.004890,0.000000,-0.034743,-0.004890,0.056887,-0.004890,-0.034743,-0.124513,0.123727,0.061485,0.028848,-0.029705,-0.286057,-0.097263,-0.004890,-0.346276,-0.034743,-0.130053,-0.029705,0.056887,0.097525,0.033576,-0.463197,-0.044895,1.337565
L24,-0.029705,-0.034743,-0.029705,0.000000,-0.004890,0.457733,0.028848,0.028848,0.000000,-0.091901,0.028848,-0.004890,0.028848,0.056887,0.028848,-0.004890,-0.065515,-0.065515,0.088636,0.061485,0.028848,-0.034743,-0.004890,0.000000,-0.034743,0.056887,-0.004890,0.028848,-0.065515,-0.004890,-0.004890,-0.034743,0.000000,0.056887,0.123727,0.318897,0.218254,0.153454,0.028848,0.028848,0.093090,0.093090,0.190419,-0.152526,-0.065515,0.084162,1.062184
L25,0.000000,-0.065515,-0.034743,-0.034743,-0.065515,0.028848,-0.004890,-0.004890,-0.004890,-0.065515,-0.034743,0.088636,-0.004890,0.056887,0.028848,0.000000,0.028848,0.061485,0.374083,0.304611,0.182322,0.028848,0.000000,0.028848,0.024098,-0.004890,0.056887,0.056887,0.028848,0.000000,0.000000,-0.004890,0.061485,0.056887,0.028848,0.819027,0.252939,0.028848,0.119408,0.088636,-0.029705,-0.034743,0.157629,0.000000,0.123727,-0.241606,4.252876
L26,0.088636,0.149261,-0.065515,0.024098,0.028848,0.028848,0.028848,0.028848,-0.034743,-0.034743,-0.034743,0.024098,0.028848,0.028848,0.028848,-0.004890,0.028848,-0.034743,-0.130053,-0.158224,-0.065515,-0.004890,-0.004890,0.028848,-0.034743,-0.004890,-0.004890,-0.004890,-0.034743,0.088636,-0.004890,-0.034743,0.056887,0.033576,0.260486,-0.130053,0.186378,-0.091901,-0.097263,0.000000,0.157629,0.028848,0.282792,-0.050010,0.024098,-0.346276,9.067916
L27,0.119408,0.093090,0.028848,0.028848,0.028848,0.000000,0.056887,0.000000,-0.004890,-0.004890,0.000000,-0.029705,-0.034743,-0.029705,0.028848,-0.004890,0.028848,-0.034743,0.218254,0.119408,-0.004890,0.028848,-0.029705,0.028848,-0.004890,0.000000,-0.004890,0.000000,-0.004890,0.028848,-0.004890,-0.004890,0.061485,0.000000,0.000000,0.153454,0.214324,-0.029705,0.061485,0.119408,0.153454,0.061485,0.252939,-0.146860,0.123727,-0.004890,2.674317
L28,0.000000,0.000000,0.119408,0.028848,0.000000,-0.029705,-0.029705,0.088636,0.000000,0.000000,0.000000,-0.029705,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.119408,0.088636,0.028848,0.028848,-0.029705,0.028848,0.000000,0.028848,0.028848,0.119408,-0.029705,0.000000,0.028848,-0.029705,0.119408,0.000000,0.186378,0.028848,0.056887,0.000000,0.119408,0.028848,0.056887,0.000000,0.380772,-0.367183,0.093090,0.088636,7.251078
L29,-0.034743,-0.004890,0.000000,0.028848,0.056887,0.028848,-0.004890,-0.029705,0.000000,0.000000,0.000000,0.000000,-0.029705,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028848,0.000000,0.000000,0.028848,0.000000,-0.004890,0.028848,0.028848,0.028848,0.028848,0.028848,0.028848,0.000000,0.028848,0.000000,0.093090,-0.152526,0.153454,0.000000,5.845465
L30,0.061485,0.093090,0.000000,-0.004890,-0.004890,-0.004890,0.000000,0.028848,-0.004890,0.000000,0.000000,-0.004890,0.028848,-0.004890,0.000000,0.000000,0.000000,0.000000,-0.004890,0.028848,0.028848,0.000000,0.000000,0.000000,0.000000,-0.004890,0.000000,-0.004890,-0.004890,-0.004890,-0.004890,0.000000,0.028848,0.000000,0.000000,0.028848,0.028848,0.000000,-0.004890,0.028848,0.028848,-0.004890,0.028848,-0.279585,0.123727,-0.029705,9.756387
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.238127
