layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:A,7: patient,8: presented,9: with,10: sarc,11:oid,12:osis,13:.,14: A,15: patient,16: has,17: the,18: following,19: condition,20::,21: sarc,22:oid,23:osis,24:.,"25:
",26:Prov,27:ide,28: information,29: about,30: its,31: demographic,32: and,33: past,34: medical,35: history,36:.,37: You,38: must,39: start,40: with,41: the,42: following,43::,"44: """,45:Gender,46::,"47: ""","48:
",49:<,50:|,51:ass,52:istant,53:|>,"54:
",55:Gender,56::
L11,-0.154144,-0.058838,-0.140899,-0.274424,0.228833,-0.324528,-0.188044,0.050148,0.050148,-0.194964,-0.058838,2.197187,0.469988,-0.360747,-0.083378,-0.017291,0.076958,-0.064917,-0.266933,-0.174345,-0.297237,0.092706,0.775363,1.079353,0.277622,-0.600403,-0.046790,-0.174345,-0.188044,0.060958,-0.023121,-0.534894,-0.923396,-0.201932,-0.083378,0.000000,-0.967516,-0.297237,0.469988,0.108209,0.448327,0.187065,-0.312740,-1.053834,-1.730605,1.671439,0.388160,-1.906450,-0.160832,0.388160,-0.005730,-0.194964,-0.340463,-1.426984,0.622092,1.203372,-1.581106
L12,-0.102186,-0.304959,-0.023121,-0.011494,-0.289575,-0.473413,0.290525,-0.473413,-0.071033,0.108209,0.033710,-0.121355,0.205844,0.060958,-0.023121,-0.473413,-0.140899,-0.083378,0.066320,-0.312740,-0.028986,-0.083378,-0.394081,-0.181171,-0.114925,0.128514,0.033710,-0.559585,-0.259499,-0.230301,-0.352584,-0.415494,-0.549635,0.039219,-0.023121,-0.559585,-0.297237,-0.419832,-0.230301,-0.297237,-0.005730,-0.188044,-0.077186,0.324140,0.426187,1.917727,0.196499,-1.945660,-1.581106,-0.147500,-0.064917,-0.114925,-0.121355,0.108209,1.047793,0.087484,1.250281
L13,-0.083378,0.033710,-0.289575,-0.095878,-0.167566,-0.040820,-0.244793,-0.023121,-0.077186,-0.194964,-0.011494,-0.381450,-0.621455,0.133526,0.118413,-0.181171,-0.320583,-0.089608,-0.005730,-0.017291,-0.252119,-0.114925,-0.237521,0.172745,0.055568,0.172745,0.039219,-0.316654,0.076958,0.153328,0.215103,-0.064917,0.332370,-0.140899,-0.208949,-0.853931,0.219701,-0.154144,-0.147500,-0.174345,-0.496614,-0.297237,-0.450738,-0.549635,-0.733924,-0.011494,-0.770288,-0.181171,-0.605625,0.201182,-0.071033,-0.058838,-0.154144,-0.102186,0.103068,-0.975062,1.482870
L14,0.033710,-0.017291,0.158218,0.118413,-0.071033,-0.473413,0.158218,-0.046790,-0.114925,0.108209,-0.154144,0.233368,-0.071033,-0.312740,0.050148,-0.167566,-0.017291,0.060958,0.055568,-0.114925,0.380378,-0.114925,0.033710,0.167926,-0.121355,-0.348527,-0.058838,0.177541,0.525556,0.177541,-0.140899,-1.272858,0.172745,-0.040820,0.108209,0.964238,-0.394081,0.071653,-0.071033,-0.174345,0.158218,0.044698,-0.134342,-0.530028,-0.064917,0.433621,0.498158,0.294789,-0.758019,-0.312740,-0.058838,0.039219,0.033710,-0.450738,-0.046790,-0.230301,0.806453
L15,-0.064917,-0.058838,-0.005730,-0.121355,-0.017291,-0.083378,-0.174345,-0.017291,-0.281970,0.055568,-0.297237,0.884923,0.148414,-0.554597,-0.259499,-0.188044,-0.127828,0.044698,0.163084,-0.083378,-0.154144,-0.237521,0.388160,0.228833,-0.121355,0.153328,-0.147500,0.388160,0.055568,0.167926,0.196499,-0.860664,0.005698,-0.266933,0.215103,0.286242,-1.104259,0.148414,-0.167566,-0.114925,0.281941,0.050148,-0.023121,-0.174345,-0.459746,1.055777,0.498158,-0.289575,-0.154144,-0.064917,0.108209,0.033710,-0.230301,-0.174345,-0.160832,0.981517,-2.073453
L16,-0.216016,-0.381450,0.148414,-0.121355,-0.077186,-0.154144,0.340534,-0.266933,-0.121355,-0.208949,0.060958,-0.237521,0.571768,-0.140899,-0.040820,-0.520367,-0.052796,-0.028986,-0.028986,0.055568,0.060958,0.060958,0.050148,-0.005730,-0.017291,0.066320,0.123476,0.113324,0.215103,0.000000,0.050148,-0.610874,-0.324528,-0.194964,0.092706,0.290525,-0.312740,-0.052796,0.044698,-0.052796,0.113324,-0.077186,0.118413,-0.058838,-0.167566,0.937747,0.462820,-0.710396,-0.174345,0.320000,0.260154,0.066320,-0.064917,-0.681743,0.990046,-1.451078,0.597247
L17,0.055568,0.087484,0.066320,0.028170,0.113324,0.022599,-0.352584,0.060958,-0.071033,-0.017291,0.153328,1.109948,0.205844,-0.473413,-0.034886,0.044698,-0.017291,-0.023121,0.066320,-0.083378,0.097900,0.158218,0.433621,0.158218,0.055568,-0.058838,-0.114925,0.000000,-0.034886,0.044698,0.281941,-0.795287,-0.316654,-0.023121,-0.095878,0.103068,-0.739894,0.071653,-0.167566,-0.174345,0.103068,0.039219,0.060958,0.294789,-0.676109,0.246851,-0.208949,-0.801636,-0.491931,-0.564597,-0.028986,0.066320,0.092706,-0.693105,-0.356657,0.360654,-2.525249
L18,0.191793,0.108209,-0.174345,0.158218,-0.034886,-0.017291,0.368591,0.552224,0.484172,-0.058838,0.097900,8.240799,3.439462,0.826655,0.352655,0.764781,1.256806,0.177541,0.158218,-0.005730,0.469988,0.484172,3.096442,1.833689,0.268926,-0.064917,-0.181171,-0.194964,0.103068,0.039219,0.759448,0.634287,0.039219,0.060958,0.251305,0.628208,-0.415494,0.044698,0.000000,-0.154144,0.050148,0.177541,0.103068,0.785834,-0.289575,3.217006,0.251305,0.128514,-1.763387,-0.140899,-0.154144,-0.095878,-0.304959,-0.344487,1.117453,-1.426984,2.556081
L19,-0.344487,-0.312740,0.055568,0.000000,-0.089608,0.066320,-0.064917,-0.304959,-0.230301,-0.005730,-0.216016,-0.385643,-0.160832,0.060958,-0.058838,-0.237521,-0.121355,-0.052796,-0.005730,-0.121355,-0.181171,-0.121355,0.066320,-0.534894,0.324140,0.128514,0.011363,0.005698,0.055568,-0.064917,-0.174345,-0.377275,0.123476,0.163084,-0.011494,0.518777,0.128514,0.016997,0.066320,-0.023121,0.050148,-0.064917,0.087484,0.462820,-0.579786,1.488045,0.251305,0.565296,0.565296,0.167926,-0.058838,-0.071033,-0.005730,0.118413,1.132295,0.364630,0.831643
L20,-0.121355,-0.064917,0.022599,-0.011494,0.294789,-0.114925,0.210485,-0.140899,-0.364853,-0.134342,0.148414,-0.704599,-0.795287,0.158218,0.092706,-0.389853,-0.266933,-0.147500,-0.052796,0.066320,0.016997,-0.089608,-0.344487,-0.468836,0.237883,0.097900,0.097900,-0.154144,-0.244793,-0.127828,-0.167566,-0.574697,-0.252119,-0.011494,0.113324,0.055568,-0.332464,0.033710,-0.089608,0.000000,0.066320,-0.005730,-0.064917,-0.237521,-0.244793,-0.554597,0.775363,-0.028986,-0.424189,-0.201932,0.022599,-0.064917,0.153328,-0.437375,0.039219,-5.157554,2.650786
L21,0.066320,-0.114925,-0.011494,-0.134342,0.000000,-0.244793,0.050148,0.743275,0.532290,0.113324,0.108209,1.862493,1.804030,1.087090,0.158218,0.910535,0.388160,-0.052796,0.071653,0.228833,0.172745,-0.023121,0.584589,0.946656,0.215103,0.039219,0.060958,-0.064917,-0.058838,-0.046790,0.388160,0.233368,-0.266933,0.060958,0.097900,0.584589,0.704490,-0.023121,-0.005730,0.028170,-0.244793,0.113324,-0.023121,0.011363,-0.028986,0.981517,0.242377,-0.501320,-0.853931,0.033710,-0.083378,-0.028986,-0.040820,-0.501320,-0.381450,1.182574,5.131209
L22,-0.083378,0.118413,0.087484,0.092706,-0.077186,0.060958,0.016997,-0.716226,-0.344487,-0.114925,-0.208949,-1.053834,-1.553712,-0.902045,-0.216016,-0.520367,-0.167566,-0.058838,-0.121355,-0.114925,-0.230301,-0.208949,-0.216016,-0.402591,-0.244793,-0.266933,0.060958,0.022599,0.092706,-0.058838,-0.437375,-0.559585,-0.005730,-0.058838,-0.040820,-0.266933,-0.154144,0.087484,-0.064917,0.092706,0.087484,-0.052796,0.092706,-0.108535,-0.274424,0.050148,-0.011494,-0.223133,-0.034886,-0.259499,0.050148,-0.034886,-0.127828,-0.441810,0.103068,0.928759,4.296038
L23,-0.011494,0.087484,0.060958,0.028170,-0.058838,0.060958,-0.281970,-0.616151,-0.005730,-0.011494,0.000000,-1.553712,-0.751941,-0.402591,-0.274424,-0.419832,-0.114925,-0.083378,-0.052796,-0.005730,-0.340463,-0.089608,-0.525186,-0.181171,-0.304959,-0.259499,0.000000,0.000000,-0.052796,0.060958,-0.297237,-0.052796,-0.114925,-0.052796,0.000000,-0.023121,0.000000,0.092706,0.060958,0.060958,0.000000,-0.071033,0.066320,-0.140899,-0.348527,-0.664937,-0.230301,-1.194398,-0.174345,-0.028986,-0.023121,0.097900,0.163084,-0.028986,-0.102186,0.759448,-2.525249
L24,-0.017291,0.039219,0.087484,0.055568,-0.005730,0.919688,0.201182,0.246851,-0.034886,-0.058838,0.153328,-0.114925,0.403545,0.050148,0.103068,-0.023121,0.066320,0.060958,-0.052796,0.060958,-0.017291,0.066320,0.066320,0.066320,-0.058838,0.092706,-0.017291,0.060958,-0.005730,-0.023121,0.219701,0.028170,0.060958,-0.023121,0.182315,-0.023121,0.097900,-0.017291,-0.023121,-0.023121,-0.017291,0.060958,0.092706,-0.052796,-0.108535,0.532290,0.675835,0.352655,0.103068,0.092706,0.177541,-0.034886,0.153328,-0.853931,-0.360747,1.023451,2.637793
L25,0.039219,0.103068,0.066320,0.066320,-0.028986,0.071653,0.477105,0.518777,0.044698,0.055568,-0.023121,0.578199,0.946656,0.148414,0.153328,0.281941,-0.023121,0.092706,0.066320,0.066320,0.097900,0.039219,0.210485,0.228833,-0.017291,0.153328,0.000000,0.092706,0.066320,-0.017291,0.066320,0.219701,-0.023121,0.055568,0.097900,-0.052796,0.060958,0.092706,0.060958,0.060958,0.033710,0.066320,0.039219,0.158218,-0.017291,0.919688,0.658240,0.050148,0.158218,0.028170,-0.058838,0.039219,0.260154,-0.698836,0.294789,-0.266933,1.944240
L26,-0.058838,0.033710,0.153328,0.000000,0.039219,0.039219,0.050148,-0.028986,0.097900,0.005698,0.163084,-0.432961,-0.316654,-0.058838,0.000000,-0.011494,0.033710,-0.023121,0.092706,0.033710,0.033710,0.097900,-0.154144,-0.034886,0.028170,-0.052796,0.033710,0.028170,0.060958,0.066320,-0.064917,0.033710,0.097900,0.000000,0.066320,0.066320,0.066320,0.066320,0.060958,0.066320,-0.023121,0.060958,0.033710,-0.023121,0.055568,-0.297237,0.123476,-0.017291,-0.052796,0.060958,0.148414,0.092706,0.268926,-0.727990,0.191793,-0.046790,5.554710
L27,0.000000,0.028170,0.060958,0.177541,0.066320,0.210485,0.060958,0.158218,0.092706,0.033710,0.033710,0.028170,0.092706,0.092706,0.060958,0.182315,0.033710,0.028170,0.060958,0.060958,0.097900,0.148414,0.066320,0.066320,0.060958,0.092706,0.060958,0.066320,0.066320,0.092706,0.000000,0.000000,0.028170,0.148414,0.066320,0.060958,0.060958,0.060958,0.033710,0.033710,0.060958,0.000000,0.060958,0.060958,0.097900,0.082235,0.484172,0.005698,0.060958,0.066320,0.118413,0.060958,0.315842,-0.930615,0.294789,-0.095878,0.861056
L28,0.060958,0.033710,0.000000,0.000000,0.033710,0.028170,0.082235,0.000000,0.060958,0.060958,0.000000,0.033710,0.060958,0.060958,0.060958,-0.140899,0.000000,0.000000,0.028170,0.033710,0.000000,0.113324,0.033710,0.028170,0.028170,0.000000,0.000000,0.028170,0.005698,0.000000,0.000000,0.028170,0.000000,0.060958,0.028170,0.028170,0.033710,0.060958,0.000000,0.000000,0.028170,0.000000,0.028170,0.000000,-0.011494,-0.244793,0.264550,0.033710,0.000000,0.118413,0.082235,0.000000,0.441001,-1.426984,0.153328,0.033710,3.714646
L29,0.005698,0.000000,0.066320,0.066320,-0.023121,0.060958,0.113324,0.000000,0.000000,0.028170,0.000000,0.028170,0.000000,0.060958,0.000000,0.000000,0.005698,0.000000,0.028170,0.028170,0.000000,0.000000,0.000000,0.000000,0.060958,0.060958,0.028170,0.000000,0.028170,0.028170,0.000000,0.000000,0.000000,0.028170,0.000000,0.000000,0.028170,0.028170,0.028170,0.028170,0.033710,0.000000,0.000000,0.028170,0.060958,0.113324,0.087484,0.000000,0.028170,0.000000,0.033710,0.066320,0.060958,-0.937887,0.097900,0.092706,7.025029
L30,0.113324,0.113324,0.000000,0.000000,0.028170,0.000000,0.000000,-0.028986,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.066320,-0.005730,0.000000,0.000000,0.000000,0.113324,0.113324,-0.005730,-0.446264,0.172745,0.092706,6.673184
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.230446
