layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Pro,7:du,8:ce,9: a,10: discharge,11:-,12:brief,13: style,14: summary,15: for,16: asthma,"17:,",18: limited,19: to,20: demographic,21: and,22: prior,23: medical,24: history,25:.,26: Start,27: with,28::,"29: """,30:Gender,31::,"32: ""","33:
",34:<,35:|,36:ass,37:istant,38:|>,"39:
",40:Gender,41::
L11,0.072910,-0.017956,0.109958,0.068765,0.157154,0.000000,0.148562,-0.118538,0.097928,-0.017956,-1.061337,0.113936,-0.386148,0.085753,-0.379623,0.068765,0.903481,-0.031782,0.034973,0.039260,0.105964,0.411721,-0.013507,0.077037,0.085753,-0.572709,0.179709,0.446480,-0.133679,0.022137,0.793054,-0.817244,0.060685,0.077037,-0.036241,0.121844,0.093886,-0.013507,0.375710,-0.197321,0.325585,0.030803
L12,-0.022638,-0.004459,0.013327,0.052276,0.013327,-0.069365,-0.045801,0.077037,0.030803,-0.008938,-0.560946,-0.055160,0.271120,0.519211,0.257457,0.008859,-0.103623,0.257457,0.056489,0.250555,0.286270,0.209014,-0.059873,0.072910,0.306121,0.133104,0.026479,-0.224793,0.113936,0.257457,0.148562,0.595629,-0.027200,0.039260,0.034973,0.157154,0.034973,0.008859,0.201768,0.986463,-0.335106,-1.114141
L13,0.017640,0.068765,0.034973,0.052276,0.060685,0.085753,0.077037,0.026479,0.017640,0.004439,0.216207,-0.027200,0.194469,0.565759,0.250555,0.306121,-0.270380,-0.008938,0.097928,0.060685,0.133104,0.172247,0.097928,0.109958,0.277882,-0.181194,-0.004459,-0.093802,0.093886,-0.118538,0.129690,0.446480,0.017640,-0.842751,0.129690,-0.027200,0.060685,0.109958,0.081661,0.068765,-0.436488,-0.646351
L14,0.133104,0.101954,0.022137,0.093886,0.125775,0.017640,0.093886,0.017640,0.008859,0.026479,-0.055160,-0.031782,0.194469,0.089828,0.140863,0.216207,-0.564852,0.209014,-0.036241,0.060685,-0.017956,-0.247327,0.013327,0.109958,0.097928,0.201768,0.043795,0.194469,0.064864,-0.083471,-0.073845,0.157154,-0.004459,-0.537827,0.089828,0.129690,0.034973,-0.008938,0.034973,0.363413,0.381803,0.456395
L15,-0.064607,0.008859,0.039260,0.048045,0.072910,0.030803,-0.031782,0.013327,-0.022638,0.089828,-0.174550,0.064864,-0.064607,-0.143901,-0.055160,-0.022638,-0.258787,0.013327,0.026479,0.097928,-0.153581,0.369580,0.034973,-0.098700,-0.335106,0.393878,0.060685,-0.191917,0.357207,-0.133679,0.417599,0.121844,0.060685,0.133104,-0.335106,0.017640,0.117898,-0.108570,-0.181194,-0.975149,0.513903,0.473166
L16,0.043795,0.089828,0.048045,0.140863,0.164729,0.072910,0.022137,0.052276,0.004439,-0.050470,-0.078647,0.022137,0.093886,-0.050470,0.064864,-0.282109,-0.143901,0.109958,0.068765,0.133104,-0.098700,0.194469,0.148562,0.064864,0.121844,0.022137,-0.059873,0.081661,0.109958,-0.197321,0.022137,-0.230379,0.350962,-0.202756,-0.123559,0.039260,0.008859,0.013327,0.187116,-0.629511,-0.768103,0.503201
L17,0.056489,0.013327,0.026479,-0.017956,0.109958,0.064864,0.048045,-0.013507,0.072910,0.072910,0.048045,0.022137,0.039260,0.026479,-0.055160,0.030803,0.004439,0.257457,0.125775,0.194469,0.209014,0.244476,0.026479,0.060685,0.172247,0.004439,-0.013507,-0.064607,0.043795,-0.288026,0.836387,-0.174550,-0.335106,-1.061337,-0.004459,0.109958,0.043795,0.194469,0.093886,-0.013507,1.134249,2.016685
L18,0.060685,0.089828,-0.013507,0.068765,0.017640,0.117898,0.085753,-0.022638,0.013327,0.026479,0.344678,0.237483,-0.050470,0.157154,-0.128606,-0.153581,2.700083,0.478694,0.534969,0.004439,1.692166,0.331990,0.473166,0.363413,1.044472,0.789020,0.034973,0.101954,-0.027200,0.164729,1.631376,0.684729,-0.366701,-0.312048,0.179709,0.121844,0.179709,0.026479,-0.004459,-0.064607,1.139957,1.764823
L19,0.117898,0.133104,0.034973,0.008859,0.077037,-0.059873,0.013327,0.060685,0.117898,0.105964,-0.149052,0.043795,0.039260,-0.022638,-0.088927,-0.149052,-1.100677,-0.576661,-0.045801,0.072910,-0.625345,0.022137,0.105964,-0.008938,0.085753,-0.553180,-0.040865,-0.164011,-0.247327,-0.650606,-0.842751,-0.450351,-0.588612,-1.061337,-0.108570,-0.045801,0.008859,-0.045801,-0.059873,-0.004459,-1.411959,-1.259814
L20,0.056489,0.000000,-0.004459,0.022137,0.034973,0.043795,0.000000,0.026479,0.048045,0.034973,-0.253041,0.026479,0.004439,-0.078647,0.039260,0.101954,-0.572709,0.113936,-0.031782,0.109958,-0.083471,0.117898,-0.017956,-0.017956,-0.208220,-0.040865,0.060685,0.056489,0.000000,0.164729,-0.625345,-0.133679,-0.241646,-0.181194,-0.004459,-0.008938,0.017640,0.056489,0.440770,0.292931,-1.228933,0.405809
L21,0.097928,0.034973,0.017640,0.030803,0.008859,0.117898,0.013327,-0.031782,-0.027200,0.077037,0.030803,0.117898,0.072910,0.089828,0.043795,0.157154,1.658851,0.271120,0.105964,-0.022638,0.580806,0.089828,0.060685,0.125775,-0.013507,0.244476,0.034973,0.105964,0.072910,0.237483,1.044472,0.429252,0.077037,0.034973,0.113936,0.004439,0.093886,-0.031782,0.101954,-0.088927,-0.253041,-2.165927
L22,-0.031782,0.030803,-0.022638,0.004439,0.034973,0.013327,0.026479,-0.004459,-0.031782,0.060685,-0.149052,-0.017956,0.004439,0.077037,0.017640,0.060685,-1.324595,-0.191917,-0.050470,0.013327,-0.471513,-0.055160,0.008859,-0.008938,0.008859,0.022137,0.056489,0.085753,0.017640,-0.108570,-0.347624,0.157154,-0.098700,-0.088927,0.056489,0.000000,-0.013507,-0.022638,0.440770,0.357207,-1.259814,-2.792705
L23,0.060685,0.034973,0.072910,-0.013507,0.060685,0.060685,0.000000,0.060685,0.043795,0.072910,0.022137,0.109958,0.039260,0.121844,0.052276,0.072910,-1.376093,-0.158782,-0.004459,0.026479,0.013327,-0.017956,0.017640,0.022137,0.039260,0.013327,-0.027200,0.022137,0.043795,-0.059873,-0.293978,0.836387,0.056489,-0.098700,0.060685,0.089828,0.034973,0.201768,0.264311,0.209014,-0.568773,-2.055798
L24,0.085753,0.077037,0.052276,0.000000,0.043795,0.179709,0.043795,0.039260,0.105964,0.077037,0.013327,0.039260,0.026479,0.043795,0.060685,0.026479,0.026479,0.026479,0.077037,0.072910,0.068765,0.097928,0.081661,0.077037,0.022137,0.064864,0.039260,0.030803,0.060685,0.201768,0.209014,0.299548,0.125775,0.097928,0.022137,0.056489,0.052276,0.093886,0.728618,0.064864,-0.341346,1.953124
L25,0.085753,0.072910,0.013327,0.022137,-0.073845,0.013327,-0.004459,0.060685,0.043795,-0.008938,0.101954,0.052276,0.060685,0.004439,0.008859,0.068765,0.560693,0.085753,0.052276,0.013327,0.089828,0.060685,0.052276,0.026479,0.039260,0.060685,0.052276,0.072910,0.072910,0.043795,0.209014,0.244476,0.133104,0.085753,0.004439,-0.128606,0.026479,0.034973,-0.045801,0.157154,-0.694179,-4.088460
L26,0.034973,0.013327,0.043795,0.022137,0.034973,0.068765,0.043795,0.013327,0.017640,0.013327,0.013327,0.000000,0.008859,0.013327,0.043795,0.056489,-0.069365,-0.008938,0.072910,0.056489,-0.013507,0.017640,0.030803,0.000000,0.022137,0.026479,0.030803,-0.004459,0.060685,0.048045,-0.088927,0.140863,0.004439,0.043795,0.008859,0.017640,0.048045,0.093886,0.624633,-0.017956,-0.224793,0.325585
L27,-0.013507,0.000000,0.000000,0.060685,0.013327,0.030803,0.026479,0.030803,0.030803,0.022137,0.030803,0.000000,0.022137,0.043795,0.000000,0.026479,0.089828,0.022137,0.030803,0.030803,0.008859,0.022137,0.026479,-0.004459,0.052276,0.022137,0.013327,0.017640,0.030803,-0.008938,0.039260,0.081661,-0.004459,0.030803,0.017640,-0.013507,0.056489,0.060685,0.209014,-0.059873,0.013327,-0.832470
L28,0.022137,0.052276,0.030803,0.004439,0.022137,0.000000,0.008859,0.022137,0.026479,0.004439,0.004439,0.030803,0.008859,0.030803,0.000000,0.026479,0.081661,0.000000,-0.004459,0.030803,0.030803,0.008859,0.026479,0.000000,0.000000,-0.004459,0.000000,-0.013507,0.026479,-0.031782,-0.031782,0.097928,-0.008938,0.026479,-0.008938,0.004439,0.026479,0.179709,-0.360301,-0.073845,0.034973,-2.289703
L29,0.000000,0.026479,0.060685,0.030803,-0.008938,0.030803,0.004439,0.026479,0.026479,0.030803,0.000000,0.030803,0.030803,0.030803,0.030803,0.030803,0.039260,0.026479,0.030803,0.000000,0.030803,0.030803,0.000000,0.000000,0.000000,0.026479,0.030803,0.000000,0.026479,0.026479,0.000000,0.060685,0.030803,0.000000,0.008859,0.030803,0.008859,0.056489,0.478694,0.056489,0.048045,1.890635
L30,0.004439,-0.017956,0.000000,0.026479,-0.017956,0.000000,0.000000,0.030803,0.000000,0.000000,0.000000,0.008859,0.000000,0.000000,0.000000,0.000000,0.030803,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013327,0.004439,0.030803,-0.004459,0.026479,0.000000,0.048045,0.209014,0.004439,0.048045,0.615058
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.662701
