layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:You,7: are,8: a,9: helpful,10: clinical,11: assistant,12: for,13: inpatient,14: documentati,15:.,16: Condition,17::,18: depression,19:.,"20:
",21:Create,22: a,23: concise,24: patient,25: summary,26: emphasizing,27: demographic,28: and,29: PM,30:H,31:.,32: Start,33: with,34::,"35: """,36:Gender,37::,"38: ""","39:
",40:<,41:|,42:ass,43:istant,44:|>,"45:
",46:Gender,47::
L15,0.000000,0.000000,0.000000,0.000000,-0.185716,0.000000,0.122167,0.060292,-0.064162,0.060292,0.000000,0.248799,0.248799,-0.126293,-0.064162,-0.126293,-0.126293,-0.185716,-1.565212,0.127155,0.000000,0.312787,0.060292,0.060292,-0.380357,0.127155,0.127155,-0.192542,0.000000,0.248799,-0.126293,0.060292,0.060292,0.308646,0.065597,-0.503317,0.873581,0.436977,0.244384,0.000000,0.189825,0.189825,0.000000,0.060292,-0.185716,-0.439948,0.805262,2.009990
L16,-0.064162,0.060292,0.185142,0.248799,0.185142,-0.064162,-0.126293,0.122167,0.060292,0.065597,0.127155,-0.185716,0.248799,-0.192542,0.189825,0.308646,-0.316335,-0.376233,-1.438463,-0.126293,-0.064162,-0.064162,-0.064162,-0.126293,-0.503317,-0.316335,0.122167,-0.316335,0.185142,-0.126293,0.376808,0.248799,0.065597,0.185142,0.127155,0.127155,0.189825,0.248799,-0.058156,-0.064162,0.060292,0.127155,0.060292,0.127155,0.185142,-0.693142,-0.813045,-0.139196
L17,0.060292,0.060292,-0.064162,0.000000,-0.058156,-0.064162,0.000000,0.000000,0.185142,0.189825,0.185142,-0.126293,-0.064162,0.060292,0.248799,0.065597,0.248799,0.000000,1.567905,0.065597,0.127155,0.000000,0.122167,0.000000,0.687479,0.060292,0.127155,0.000000,-0.064162,0.127155,0.000000,0.248799,0.000000,0.308646,0.189825,-0.256167,1.947519,0.376808,0.127155,0.127155,-0.126293,0.127155,0.060292,0.000000,0.122167,-0.324117,0.815312,1.514688
L18,0.185142,0.185142,0.185142,0.060292,0.060292,0.436977,0.312787,0.248799,0.436977,0.248799,0.436977,3.507400,0.436977,2.879955,2.255737,0.376808,0.436977,0.376808,11.316889,2.755848,1.317600,0.127155,1.064123,0.500602,7.253193,0.815312,0.185142,2.441113,0.873581,1.124633,1.816861,0.500602,0.122167,0.560420,1.382044,1.382044,11.833101,1.824180,1.376354,0.999714,0.376808,0.436977,0.248799,-0.064162,0.560420,0.308646,5.000751,-0.806695
L19,0.000000,-0.064162,-0.064162,0.000000,-0.064162,-0.058156,-0.126293,0.127155,0.248799,0.122167,0.000000,0.312787,-0.064162,0.065597,0.316910,0.122167,0.000000,-0.503317,-1.065266,0.060292,-0.126293,0.000000,0.000000,0.000000,-1.325988,0.127155,0.000000,-0.126293,-0.064162,-0.064162,0.185142,0.122167,0.122167,0.060292,0.122167,-0.627545,-0.751297,-0.372126,-0.064162,0.369026,0.060292,0.122167,0.127155,-0.126293,0.122167,0.810299,0.065597,-0.132724
L20,-0.064162,0.000000,-0.126293,0.000000,0.000000,-0.316335,-0.126293,0.060292,0.060292,0.000000,0.060292,-0.632850,0.000000,-0.256167,-0.376233,-0.064162,-0.256167,-0.064162,-1.438463,-0.308613,0.000000,0.248799,0.000000,0.060292,-1.073496,-0.064162,0.185142,-0.256167,-0.064162,0.127155,-0.316335,0.312787,0.127155,-0.064162,0.000000,-0.126293,-1.774927,-0.058156,-0.316335,-0.064162,0.065597,0.060292,0.060292,0.185142,0.628983,-0.064162,-1.196456,4.134664
L21,0.000000,0.060292,0.060292,0.122167,0.122167,0.185142,-0.064162,0.000000,0.000000,0.185142,0.060292,1.255178,0.122167,1.188597,0.376808,0.065597,-0.070204,0.500602,3.316951,0.065597,0.122167,0.185142,0.308646,0.127155,2.380273,0.308646,0.185142,1.071890,0.000000,0.065597,-0.064162,0.060292,0.065597,0.248799,0.500602,1.131945,5.752101,1.131945,1.687649,1.317600,0.000000,0.060292,0.122167,0.060292,-0.064162,-0.316335,0.436977,6.753696
L22,0.060292,0.054959,0.054959,0.122167,-0.126293,0.060292,-0.126293,-0.064162,-0.064162,0.122167,-0.256167,-1.133087,-0.064162,-0.565988,-0.439948,-0.132724,-0.316335,-0.126293,-2.611134,-0.439948,0.000000,0.000000,-0.316335,0.000000,-1.742138,-0.064162,0.060292,-0.565988,-0.126293,-0.192542,-0.064162,-0.185716,0.000000,0.000000,-0.192542,-1.001753,-1.679619,-0.192542,-0.064162,-0.376233,-0.380357,0.122167,0.060292,-0.192542,0.248799,-0.192542,-1.264113,2.376083
L23,-0.064162,0.060292,0.060292,0.060292,-0.126293,-0.064162,-0.126293,-0.064162,0.122167,0.000000,-0.064162,-1.065266,0.185142,-0.570975,-0.185716,0.060292,-0.192542,-0.380357,-4.077232,-0.316335,0.000000,0.000000,-0.192542,0.000000,-2.342887,-0.126293,0.000000,-0.126293,-0.439948,0.000000,-0.192542,-0.064162,0.060292,-0.064162,-0.192542,-1.009475,-2.342887,-0.185716,-0.248895,-0.248895,-0.064162,-0.248895,-0.064162,0.000000,-0.126293,-0.498655,-1.133087,-1.115696
L24,0.060292,0.060292,-0.064162,-0.126293,-0.126293,-0.185716,0.000000,0.000000,0.000000,0.000000,0.060292,0.122167,0.000000,-0.256167,-0.126293,-0.064162,-0.064162,0.127155,1.124633,0.060292,-0.064162,-0.126293,0.060292,-0.126293,0.122167,-0.064162,0.000000,0.000000,0.000000,0.000000,-0.126293,0.000000,0.000000,0.060292,0.060292,0.500602,1.376354,0.622940,0.122167,0.248799,0.000000,-0.064162,0.000000,0.000000,-0.126293,-0.132724,0.054959,4.259646
L25,0.000000,0.122167,0.060292,-0.064162,-0.064162,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500602,0.000000,-0.256167,-0.064162,0.060292,-0.064162,-0.192542,3.374280,0.248799,0.122167,0.000000,0.000000,-0.064162,0.376808,0.060292,0.060292,0.122167,0.122167,0.000000,0.000000,0.000000,0.000000,-0.126293,0.000000,0.622940,0.948530,0.753437,0.060292,0.185142,0.060292,-0.126293,0.060292,0.000000,0.000000,0.308646,-0.949308,-0.512707
L26,0.000000,-0.064162,0.060292,0.060292,0.000000,0.060292,-0.064162,0.065597,0.000000,0.060292,-0.192542,-0.316335,0.060292,-0.316335,0.000000,0.000000,0.060292,-0.192542,-1.620780,-0.126293,-0.126293,0.060292,-0.132724,0.060292,-1.325988,-0.064162,0.000000,-0.064162,0.060292,0.060292,-0.126293,0.060292,0.000000,0.000000,-0.070204,-0.380357,-0.872077,0.117155,-0.126293,-0.248895,-0.192542,0.060292,0.060292,-0.058156,0.000000,-0.503317,-0.570975,8.039773
L27,0.060292,0.000000,0.060292,0.060292,0.060292,0.122167,0.122167,0.000000,0.060292,-0.064162,0.060292,0.185142,0.000000,-0.064162,0.060292,0.060292,0.000000,0.122167,-0.256167,0.248799,0.060292,0.060292,0.127155,0.000000,0.185142,0.000000,0.060292,0.000000,0.122167,0.000000,0.122167,0.000000,0.000000,-0.064162,0.117155,0.185142,0.065597,0.244384,-0.064162,0.122167,0.060292,0.122167,0.122167,0.005634,-0.126293,0.248799,-0.132724,3.936903
L28,-0.064162,0.000000,0.000000,0.060292,0.000000,0.060292,0.000000,0.000000,-0.064162,0.060292,0.000000,0.000000,0.000000,0.060292,-0.064162,0.000000,0.060292,0.000000,0.000000,0.000000,0.060292,0.122167,0.060292,0.060292,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060292,0.248799,0.000000,0.000000,0.000000,0.000000,0.000000,0.065597,-0.439948,-0.005666,0.000000,4.620248
L29,0.000000,0.000000,0.000000,0.060292,0.060292,0.000000,0.000000,0.000000,0.000000,0.122167,0.000000,0.000000,0.000000,0.000000,0.000000,0.122167,0.000000,0.000000,0.000000,0.000000,0.117155,0.060292,0.065597,0.000000,0.000000,0.000000,0.000000,0.060292,0.000000,0.060292,0.000000,0.000000,0.122167,0.060292,0.000000,0.000000,0.000000,0.060292,0.000000,0.000000,0.000000,0.060292,0.122167,0.000000,-0.126293,0.000000,0.122167,8.271766
L30,0.122167,0.185142,0.000000,0.060292,0.060292,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060292,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060292,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060292,0.000000,0.000000,0.000000,0.000000,0.060292,0.060292,0.060292,-0.005666,0.060292,0.060292,8.659238
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.526990
