layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Create,7: a,8: consult,9:-,10:note,11: style,12: brief,13: for,14: asthma,15: that,16: emphasizes,17: demographic,18: and,19: relevant,20: past,21: medical,22: history,23:.,24: Begin,25: with,26::,"27: """,28:Gender,29::,"30: ""","31:
",32:<,33:|,34:ass,35:istant,36:|>,"37:
",38:Gender,39::
L20,0.000000,-0.048112,-0.069462,-0.175605,0.200035,-0.434326,-0.298881,0.064949,0.064949,-0.062295,0.000000,0.323891,0.188986,0.019931,-2.169630,-0.307971,0.137699,-0.876613,0.006688,-0.048112,-0.121126,-0.113580,-0.806568,-0.175605,0.253517,0.000000,0.623609,0.801110,-2.699388,-0.041096,-0.498505,-1.707468,-0.175605,0.188986,0.013332,0.149326,-0.048112,0.764299,-0.960666,7.819430
L21,0.013332,0.077447,-0.183636,-0.237470,-0.183636,0.064949,-0.113580,0.200035,0.137699,0.000000,-0.233224,-0.307971,0.064949,0.125936,3.652696,1.146560,0.513450,2.135589,0.389635,-0.062295,0.263879,0.077447,0.398684,1.274473,0.064949,0.200035,0.200035,1.129356,6.891245,1.204544,1.892627,2.974230,0.064949,-0.183636,-0.048112,-0.175605,-0.532208,0.412106,-0.199894,5.626102
L22,0.077447,0.125936,0.064949,0.000000,-0.171614,0.000000,0.000000,0.013332,-0.246015,-0.062295,-0.609378,0.064949,0.000000,-0.298881,-4.300410,-1.302264,-0.048112,-1.671128,-0.434326,0.125936,-0.121126,-0.487518,-0.814113,-0.549495,0.263879,0.077447,0.077447,-0.876613,-1.671128,0.125936,0.263879,-0.699737,-0.121126,0.006688,0.064949,-0.171614,0.274134,0.243047,-2.437512,1.996265
L23,-0.048112,-0.048112,-0.048112,0.188986,0.077447,-0.048112,0.200035,0.064949,0.077447,0.077447,0.125936,0.564337,0.188986,0.064949,-4.300410,-0.621797,0.064949,-0.487518,-0.237470,0.064949,0.000000,-0.121126,-0.237470,-0.183636,0.125936,0.013332,0.064949,-0.943280,-3.898443,1.259350,-0.113580,-1.419981,-0.183636,-0.113580,0.125936,0.328733,-0.055178,-0.113580,-1.553429,-3.390425
L24,0.077447,0.253517,0.131835,0.000000,0.125936,0.925557,0.064949,0.013332,0.064949,0.125936,0.000000,0.006688,0.013332,0.064949,1.318515,0.188986,0.077447,0.064949,0.137699,0.077447,0.137699,0.000000,0.064949,0.077447,0.077447,0.064949,0.200035,0.824919,1.146560,0.637894,0.644960,0.314135,0.077447,0.137699,0.064949,0.013332,-0.509613,0.253517,-0.640720,3.906905
L25,0.000000,0.006688,0.077447,0.064949,-0.113580,0.064949,-0.062295,0.064949,0.064949,0.125936,-0.048112,-0.062295,0.064949,-0.246015,2.888372,0.137699,0.077447,0.389635,0.188986,0.125936,0.253517,0.125936,0.188986,0.137699,0.077447,0.013332,0.125936,1.188317,1.009679,0.992416,0.137699,0.200035,0.071218,-0.183636,0.000000,0.013332,-0.640720,0.686343,-1.537691,2.260657
L26,-0.113580,0.077447,0.064949,0.000000,-0.113580,-0.113580,-0.062295,0.000000,-0.048112,0.000000,0.013332,0.064949,0.000000,0.064949,-1.935051,-0.246015,-0.121126,-0.246015,-0.062295,-0.048112,-0.062295,-0.113580,-0.062295,-0.062295,-0.048112,0.013332,-0.062295,-0.237470,-0.686318,0.188986,-0.175605,-0.121126,-0.175605,0.064949,0.000000,-0.048112,-0.634373,-0.199894,-0.609378,5.465310
L27,0.000000,-0.048112,0.000000,-0.062295,0.077447,-0.048112,0.000000,0.000000,-0.121126,0.000000,0.000000,-0.113580,-0.113580,0.000000,0.824919,0.064949,-0.121126,-0.113580,-0.113580,-0.062295,-0.062295,0.000000,-0.062295,0.064949,0.000000,0.000000,0.064949,0.389635,0.006688,0.375907,0.000000,0.013332,0.013332,-0.048112,-0.048112,0.077447,-0.628065,0.309222,-0.321761,2.550258
L28,-0.113580,-0.113580,0.000000,0.064949,-0.062295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.064949,0.000000,0.064949,0.000000,0.000000,-0.048112,0.000000,0.000000,0.000000,-0.062295,-0.121126,-0.062295,0.237771,-0.048112,0.000000,-0.048112,-0.048112,0.064949,0.263879,-1.265915,0.064949,-0.055178,3.658247
L29,0.000000,-0.113580,0.064949,0.064949,-0.055178,0.000000,0.064949,0.064949,0.064949,0.000000,0.000000,0.000000,0.000000,0.000000,-0.048112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.048112,0.000000,0.000000,0.013332,0.000000,0.000000,0.077447,-0.693005,0.000000,0.013332,6.884235
L30,0.013332,0.013332,0.000000,0.064949,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.064949,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.048112,-0.294367,0.000000,-0.048112,5.871787
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.943869
