layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Clinical,7: task,8::,9: summarize,10: a,11: case,12: of,13: sarc,14:oid,15:osis,16:.,"17:
",18:Report,19: demographic,20: and,21: pertinent,22: prior,23: medical,24: history,25: in,26: concise,27: form,28:.,29: First,30: characters,31: must,32: be,33::,"34: """,35:Gender,36::,"37: ""","38:
",39:<,40:|,41:ass,42:istant,43:|>,"44:
",45:Gender,46::
L13,-0.053346,0.094917,-0.095310,-0.124298,-0.004338,-0.159214,-0.154151,-0.271934,-0.004338,-0.324424,-0.095310,-0.030772,-0.472604,-0.114542,-0.567220,-0.537143,-0.493658,-0.266268,-0.004338,0.241162,-0.216671,-0.062520,0.000000,-0.124298,0.094917,-0.184922,-0.249461,-0.222062,-0.294923,0.185203,-0.324424,-0.190144,0.133531,0.745846,-0.164303,0.544034,0.177983,-0.057923,0.029853,0.000000,0.042379,-0.124298,0.025642,-0.062520,-0.300754,-0.030772,-0.330430
L14,-0.013072,-0.053346,-0.190144,-0.095310,0.034046,-0.271934,-0.159214,-0.184922,-0.095310,0.012903,-0.114542,-0.294923,-0.124298,-0.053346,-0.227482,-0.515164,-0.119408,-0.104880,-0.095310,-0.062520,0.029853,-0.095310,-0.062520,0.042379,0.227463,-0.095310,-0.013072,-0.085831,-0.053346,0.206556,-0.458811,-0.095310,0.000000,-0.529763,-0.205976,-0.909818,-0.614104,-0.190144,0.071011,0.313324,0.050644,-0.030772,-0.124298,-0.200671,-0.169418,-1.364880,-0.039740
L15,-0.124298,0.058840,-0.053346,-0.095310,-0.030772,-0.021883,-0.114542,-0.124298,-0.085831,-0.067139,-0.222062,-0.249461,-0.386172,-0.095310,0.518588,0.000000,0.156004,-0.249461,-0.154151,0.102760,-0.124298,-0.062520,-0.124298,-0.190144,-0.190144,-0.081126,-0.216671,-0.200671,-0.159214,-0.129212,0.192372,0.029853,0.098846,0.163384,-0.342551,-0.431782,0.338326,0.094917,-0.300754,0.133531,0.079043,-0.216671,0.090972,-0.139113,0.118264,0.090972,-0.760286
L16,-0.081126,-0.095310,-0.013072,-0.030772,0.075035,-0.249461,-0.277632,-0.159214,0.042379,0.125927,0.090972,-0.294923,-0.104880,-0.035246,-0.582605,0.254676,-0.289126,-0.124298,-0.104880,0.042379,-0.104880,-0.124298,-0.071780,-0.090560,0.199489,-0.030772,-0.062520,-0.124298,-0.159214,-0.144100,-0.398992,-0.260634,-0.013072,-0.379823,-0.179727,-0.827297,0.118264,-0.205976,0.058840,-0.184922,-0.013072,-0.030772,0.008621,-0.095310,0.206556,0.213574,1.245937
L17,-0.053346,-0.154151,-0.124298,-0.200671,0.029853,-0.030772,-0.085831,-0.190144,0.029853,0.133531,-0.095310,-0.095310,-0.211309,0.017168,0.563935,0.058840,-0.030772,-0.095310,-0.076442,-0.134150,-0.260634,-0.030772,-0.030772,-0.149113,0.170710,-0.169418,-0.071780,-0.062520,-0.159214,-0.159214,-0.888541,-0.312519,-0.227482,-0.336472,0.058840,0.206556,0.287682,0.000000,-0.095310,0.050644,0.038221,-0.124298,0.017168,-0.017468,-0.243921,-0.129212,0.449226
L18,0.008621,-0.124298,-0.179727,0.008621,0.000000,0.094917,0.062914,-0.085831,-0.095310,-0.095310,-0.179727,0.890862,0.029853,0.234336,11.289857,2.474390,0.890862,-0.053346,0.062914,0.883732,0.058840,0.075035,0.319634,0.133531,0.959499,0.000000,-0.085831,0.042379,0.199489,-0.114542,-0.379823,-0.200671,0.281167,0.083035,0.374693,9.409219,-0.030772,-0.076442,-0.249461,0.247942,0.177983,-0.149113,0.008621,-0.260634,-0.211309,-0.035246,-0.684526
L19,-0.044255,-0.149113,-0.232932,-0.139113,0.008621,0.050644,-0.095310,-0.190144,-0.124298,0.042379,-0.062520,-0.405465,-0.222062,0.050644,-0.392562,-0.479573,0.029853,-0.095310,-0.159214,-0.232932,-0.159214,-0.114542,0.017168,-0.114542,0.000000,-0.159214,-0.144100,-0.053346,-0.044255,-0.200671,-0.675979,-0.124298,-0.095310,-0.398992,-0.100083,-0.330430,0.392393,0.094917,-0.095310,-0.076442,0.071011,-0.013072,0.071011,-0.071780,0.125927,-0.837247,0.832344
L20,-0.222062,-0.062520,-0.312519,-0.067139,0.075035,-0.129212,-0.184922,-0.095310,-0.004338,-0.030772,-0.030772,-0.324424,-0.104880,-0.114542,-0.537143,-0.379823,-0.095310,-0.184922,-0.044255,-0.109699,-0.154151,-0.095310,-0.124298,-0.095310,-0.124298,-0.184922,-0.062520,-0.114542,-0.255032,-0.030772,-0.602175,-0.184922,-0.124298,-0.386172,-0.124298,-1.023577,0.148569,0.008621,-0.431782,-0.021883,0.163384,-0.062520,0.163384,0.261365,-0.184922,-0.793230,3.001559
L21,-0.030772,-0.124298,-0.124298,-0.062520,-0.134150,-0.053346,-0.030772,-0.095310,-0.076442,-0.062520,0.062914,0.438115,0.281167,0.017168,1.367725,0.876550,0.313324,-0.013072,0.000000,0.503003,-0.095310,0.000000,-0.053346,-0.124298,0.071011,0.000000,-0.030772,0.021414,0.034046,-0.076442,-0.529763,-0.085831,-0.095310,-0.114542,0.017168,1.742211,0.192372,-0.124298,0.054751,-0.071780,0.042379,-0.076442,0.071011,-0.104880,-0.458811,0.185203,3.724493
L22,-0.030772,0.029853,-0.076442,-0.095310,-0.062520,-0.062520,-0.222062,-0.095310,-0.159214,0.000000,-0.030772,-0.190144,-0.159214,-0.222062,-0.277632,-0.431782,-0.529763,-0.114542,0.000000,0.042379,-0.114542,-0.124298,-0.095310,-0.053346,-0.271934,-0.062520,-0.021883,-0.124298,-0.114542,-0.062520,-0.507944,-0.114542,-0.053346,-0.057923,-0.026317,-1.268030,0.141079,-0.021883,-0.021883,-0.124298,0.125927,-0.124298,0.000000,-0.205976,-0.134150,-0.486591,-0.909818
L23,-0.062520,0.029853,-0.124298,-0.124298,-0.095310,-0.030772,-0.095310,-0.095310,-0.030772,-0.030772,-0.095310,0.000000,0.042379,-0.030772,-1.331543,-0.888541,-0.398992,-0.124298,-0.030772,-0.085831,-0.062520,-0.030772,0.000000,-0.159214,-0.013072,-0.062520,-0.053346,-0.095310,-0.085831,0.017168,-0.159214,-0.071780,-0.044255,-0.149113,-0.379823,-0.507944,0.058840,-0.238411,-0.154151,-0.114542,-0.085831,-0.095310,0.163384,0.156004,-0.507944,-0.312519,1.584897
L24,0.029853,0.029853,-0.124298,-0.062520,-0.062520,0.332134,-0.030772,0.029853,-0.030772,-0.030772,0.000000,0.000000,0.062914,0.094917,-0.119408,0.254676,0.125927,0.000000,0.000000,-0.030772,-0.030772,-0.053346,-0.030772,0.000000,0.008621,-0.021883,0.000000,0.029853,0.000000,-0.062520,-0.030772,-0.030772,-0.021883,0.042379,0.012903,0.075035,-0.021883,0.000000,-0.039740,0.062914,0.141079,0.008621,0.300585,0.090972,-0.154151,-0.216671,3.867496
L25,-0.062520,-0.030772,-0.114542,-0.062520,-0.085831,0.029853,-0.053346,-0.030772,-0.062520,-0.062520,-0.095310,-0.062520,-0.030772,0.008621,0.000000,0.449226,0.247942,-0.030772,0.000000,0.029853,-0.021883,0.029853,0.000000,0.029853,0.029853,0.000000,-0.030772,0.062914,0.000000,-0.030772,-0.144100,-0.021883,0.029853,0.125927,0.000000,-0.271934,-0.071780,-0.090560,-0.184922,0.042379,-0.085831,0.102760,0.199489,0.125927,-0.300754,-0.342551,1.867464
L26,-0.021883,-0.053346,0.094917,0.029853,-0.085831,0.029853,-0.062520,0.029853,0.062914,-0.021883,0.000000,0.094917,0.094917,-0.062520,-0.348667,-0.184922,-0.124298,-0.081126,0.094917,-0.053346,0.029853,0.029853,-0.030772,0.000000,0.029853,0.062914,0.029853,0.029853,-0.053346,0.029853,0.008621,0.000000,0.062914,0.163384,0.042379,-0.149113,0.133531,0.094917,0.029853,0.000000,0.118264,0.029853,0.274610,0.344480,-0.081126,-0.159214,10.464207
L27,0.000000,-0.030772,-0.030772,0.029853,-0.085831,0.029853,0.029853,0.029853,0.000000,0.029853,0.029853,0.000000,0.029853,0.029853,-0.144100,0.156004,0.094917,0.062914,0.029853,-0.053346,-0.030772,0.029853,0.029853,0.000000,0.029853,0.029853,-0.030772,-0.030772,-0.030772,-0.030772,-0.062520,0.062914,0.029853,0.094917,0.062914,0.008621,-0.081126,0.000000,-0.021883,0.000000,0.042379,-0.030772,0.274610,0.034046,0.156004,-0.222062,5.043704
L28,-0.021883,-0.021883,0.029853,-0.008696,-0.114542,-0.081126,0.029853,0.000000,0.000000,-0.030772,-0.030772,0.029853,0.029853,0.029853,0.029853,-0.081126,0.029853,0.029853,0.029853,0.029853,0.000000,0.000000,0.029853,0.000000,-0.030772,0.000000,0.029853,-0.030772,0.029853,-0.030772,0.029853,-0.030772,-0.030772,-0.030772,0.000000,-0.026317,-0.154151,0.029853,-0.030772,0.000000,-0.081126,-0.030772,0.274610,-0.277632,0.094917,-0.062520,6.632036
L29,-0.114542,0.000000,0.029853,-0.090560,-0.030772,0.000000,0.029853,0.000000,0.029853,0.029853,-0.030772,0.029853,0.000000,0.029853,0.029853,0.029853,0.021414,0.000000,0.029853,0.029853,0.029853,0.000000,0.029853,0.029853,0.029853,0.029853,-0.030772,-0.030772,0.029853,0.029853,0.029853,0.029853,0.000000,0.029853,0.029853,0.029853,0.000000,-0.030772,-0.030772,-0.081126,0.029853,0.029853,-0.021883,-0.405465,-0.048790,-0.053346,5.647555
L30,0.029853,0.071011,-0.030772,0.000000,-0.085831,0.000000,0.000000,0.029853,0.029853,0.000000,0.029853,0.029853,0.000000,-0.030772,0.000000,0.029853,0.029853,0.029853,0.029853,0.029853,0.000000,0.029853,0.000000,0.000000,0.029853,0.029853,0.029853,0.029853,0.000000,0.000000,0.029853,0.029853,0.000000,-0.030772,0.029853,0.029853,0.029853,0.000000,0.000000,0.029853,-0.085831,-0.114542,-0.081126,-0.271934,-0.021883,-0.085831,9.779152
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.789404
