layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:The,7: patient,8: has,9: asthma,10:.,"11:
",12:Prov,13:ide,14: a,15: compact,16: patient,17: presentatio,18: with,19: demographic,20: followed,21: by,22: past,23: medical,24: history,25:.,26: Begin,27: your,28: answer,29: exactly,30: with,31::,"32: """,33:Gender,34::,"35: ""","36:
",37:<,38:|,39:ass,40:istant,41:|>,"42:
",43:Gender,44::
L11,-0.005602,-0.005602,-0.005602,-0.063422,-0.190173,-0.190173,0.130734,0.309782,0.373296,1.194430,0.693147,0.562007,-0.131140,0.000000,0.059638,0.135624,0.059638,0.433015,-0.312188,-0.118482,-0.252912,-0.063422,0.000000,0.064888,0.125820,-0.190173,-0.124791,0.064888,0.255032,0.000000,-0.063422,0.135624,0.322002,2.642642,-0.124791,-0.486905,-0.786783,0.125820,-0.124791,-0.124791,-0.190173,-0.304584,0.349948,1.214531,-0.547814
L12,0.000000,-0.124791,0.000000,0.120882,-0.118482,-0.224541,0.120882,-0.505254,-0.063422,-1.144334,0.380959,0.135624,-0.005602,-0.063422,-0.069392,0.070110,-0.057487,-0.063422,-0.183439,0.070110,0.070110,0.250693,-0.124791,-0.252912,0.005571,0.125820,-0.252912,-0.131140,-0.312188,-0.069392,0.054361,-0.371145,-0.176750,1.064518,0.788965,-0.327573,-0.438115,0.000000,-0.069392,-0.063422,-0.245743,-0.183439,0.502974,1.937897,-0.081440
L13,0.059638,-0.190173,-0.312188,-0.124791,-0.183439,-0.069392,0.000000,-0.252912,-0.063422,-0.005602,-0.118482,-0.063422,-0.124791,-0.379275,-0.190173,-0.069392,-0.628259,-0.069392,0.178590,-0.183439,0.070110,0.241960,-0.183439,-0.118482,-0.063422,0.059638,-0.190173,-0.252912,-0.131140,-0.190173,-0.375201,-0.312188,0.000000,1.449872,0.178590,0.326043,-0.112212,-0.057487,-0.118482,-0.124791,0.011111,-0.057487,0.418416,0.064888,3.501910
L14,-0.124791,-0.124791,-0.252912,0.000000,0.005571,-0.131140,0.059638,0.317946,-0.063422,-0.830677,0.059638,-0.124791,-0.124791,-0.063422,-0.005602,-0.252912,-0.063422,0.000000,-0.057487,-0.118482,-0.005602,0.309782,0.064888,0.187893,-0.057487,0.000000,-0.312188,0.000000,-0.063422,0.000000,-0.190173,0.064888,-0.245743,-0.005602,0.154948,0.814029,-0.231559,-0.190173,0.000000,0.000000,-0.131140,-0.676526,-0.319851,0.280674,-0.363080
L15,-0.063422,-0.131140,-0.190173,-0.124791,0.000000,-0.190173,-0.124791,-0.124791,-0.190173,-0.446811,-0.069392,-0.057487,-0.124791,-0.063422,-0.312188,-0.252912,0.187893,0.365574,0.054361,-0.312188,0.000000,0.054361,-0.124791,-0.190173,-0.252912,-0.005602,0.059638,-0.190173,-0.183439,-0.005602,-0.075398,-0.252912,-0.124791,0.183252,-0.176750,-0.252912,-0.238626,0.064888,0.005571,0.005571,-0.312188,-0.371145,-0.176750,1.895163,1.586838
L16,-0.183439,0.005571,-0.005602,-0.252912,0.059638,-0.190173,-0.252912,-0.538199,-0.343199,-0.687576,-0.245743,0.070110,-0.190173,0.064888,-0.063422,0.054361,0.000000,0.000000,-0.176750,-0.371145,0.064888,0.000000,0.125820,0.125820,0.064888,-0.057487,-0.063422,-0.063422,-0.063422,-0.063422,-0.005602,0.317946,0.130734,-0.217572,0.125820,0.502974,0.568356,-0.183439,0.064888,0.000000,0.005571,-0.304584,-0.176750,0.005571,0.135624
L17,-0.005602,-0.190173,0.059638,-0.124791,0.059638,-0.124791,-0.190173,0.187893,-0.375201,0.433015,-0.438115,-0.252912,-0.131140,0.183252,-0.005602,-0.252912,0.192512,0.000000,-0.245743,-0.304584,-0.190173,-0.063422,0.005571,-0.183439,0.192512,0.054361,-0.190173,-0.245743,-0.312188,0.064888,0.125820,0.070110,0.005571,0.932912,0.496194,0.183252,0.005571,0.059638,-0.183439,-0.063422,0.011111,-0.057487,-0.557523,0.623755,1.911816
L18,0.064888,0.000000,0.000000,0.064888,0.064888,0.064888,0.187893,2.822642,1.379287,9.333004,3.574634,1.825630,-0.124791,0.250693,-0.005602,0.433015,2.636260,2.390760,0.309782,1.635900,0.562007,0.818967,0.941664,0.629725,0.687545,0.932912,0.313872,0.183252,0.246336,0.187893,0.496194,0.187893,0.818967,7.831258,2.030057,0.676245,0.568356,0.313872,0.259352,0.000000,-0.057487,0.317946,-0.289546,2.287386,1.773910
L19,-0.118482,-0.124791,-0.124791,-0.190173,0.000000,0.130734,-0.063422,-0.727241,-0.137530,-0.660177,-0.190173,-0.005602,-0.131140,0.059638,-0.131140,-0.124791,-0.124791,-0.069392,-0.118482,0.000000,0.005571,0.005571,-0.063422,0.000000,-0.245743,-0.005602,-0.118482,-0.124791,-0.190173,-0.063422,-0.312188,-0.408262,-0.572265,0.173906,0.070110,-0.112212,-0.183439,-0.231559,-0.051587,-0.005602,-0.183439,-0.069392,0.418416,-0.698749,0.924081
L20,-0.063422,0.000000,-0.063422,0.000000,0.120882,-0.319851,0.000000,-0.196953,-0.319851,-1.162034,-0.343199,0.255032,0.064888,0.059638,0.000000,-0.005602,-0.416701,-0.011236,0.120882,0.000000,0.059638,-0.005602,-0.063422,-0.183439,0.000000,0.005571,0.000000,0.000000,0.000000,0.059638,0.059638,0.054361,-0.063422,-1.044251,-0.238626,-0.063422,-0.304584,0.064888,-0.124791,-0.063422,0.005571,0.255032,0.054361,-1.093041,7.689964
L21,-0.005602,-0.063422,-0.063422,-0.252912,-0.190173,-0.183439,0.187893,1.758628,0.629725,2.135785,1.000878,0.693147,0.064888,-0.063422,-0.005602,-0.069392,0.629725,0.373296,0.120882,0.693147,0.440235,0.380959,0.120882,-0.069392,0.064888,0.313872,-0.005602,-0.005602,-0.183439,-0.063422,-0.063422,-0.063422,0.255032,1.568383,0.433015,0.611707,0.115919,-0.183439,-0.124791,0.000000,-0.304584,-0.319851,-0.210652,1.379287,10.107702
L22,-0.124791,0.120882,-0.063422,0.000000,-0.124791,-0.005602,-0.131140,-1.044251,-0.124791,-2.096342,-0.567327,-0.438115,0.000000,0.064888,0.059638,0.064888,-0.883320,-0.319851,-0.063422,-0.500636,-0.063422,-0.124791,-0.063422,-0.190173,-0.005602,-0.131140,0.000000,-0.124791,-0.124791,-0.190173,-0.069392,-0.190173,-0.347143,-0.727241,-0.312188,-0.063422,-0.252912,-0.190173,-0.118482,-0.124791,-0.383365,0.005571,-0.190173,-0.649424,1.510882
L23,0.064888,0.000000,0.000000,0.064888,0.000000,0.000000,-0.252912,-0.567327,-0.252912,-2.142862,-0.721478,-0.562413,0.000000,-0.124791,0.064888,0.000000,-0.500636,0.000000,-0.063422,0.000000,-0.063422,-0.183439,0.000000,0.000000,0.000000,-0.131140,-0.005602,-0.063422,-0.005602,0.064888,-0.063422,-0.312188,-0.824287,-1.498506,0.440235,-0.312188,-0.433796,-0.124791,-0.183439,-0.063422,-0.118482,-0.252912,-0.468887,0.064888,0.454521
L24,0.005571,0.000000,0.000000,0.064888,-0.063422,0.876399,0.064888,0.255032,0.000000,0.502974,0.000000,-0.005602,0.000000,-0.124791,0.000000,-0.063422,0.059638,-0.063422,-0.057487,0.064888,-0.005602,0.000000,0.005571,0.000000,0.000000,0.064888,0.059638,0.000000,0.000000,-0.063422,0.064888,0.120882,0.192512,1.194430,0.562007,0.187893,0.000000,0.059638,0.005571,0.064888,-0.118482,-0.112212,0.125820,0.568356,4.395552
L25,-0.063422,0.059638,0.120882,-0.005602,0.000000,-0.124791,0.125820,0.309782,0.000000,1.444616,0.187893,0.309782,-0.057487,0.000000,0.120882,0.000000,0.000000,0.120882,0.000000,0.125820,0.000000,0.064888,0.000000,0.064888,0.059638,0.064888,0.064888,0.000000,-0.005602,0.059638,-0.005602,0.064888,0.250693,1.390475,0.568356,0.125820,0.187893,0.064888,0.000000,0.000000,0.125820,-0.063422,0.502974,-0.612675,5.794562
L26,-0.063422,-0.005602,0.059638,0.000000,0.120882,-0.063422,-0.124791,-0.190173,-0.252912,-1.093041,-0.190173,-0.131140,-0.124791,-0.124791,-0.124791,-0.005602,-0.252912,-0.190173,-0.063422,-0.063422,-0.124791,-0.183439,-0.063422,-0.124791,-0.063422,-0.063422,-0.124791,-0.063422,-0.057487,0.059638,-0.063422,0.000000,-0.124791,-0.289546,0.250693,-0.124791,-0.183439,-0.124791,0.070110,-0.124791,-0.105981,-0.297037,-0.289546,-0.196953,11.067771
L27,0.000000,-0.063422,0.000000,-0.063422,-0.063422,-0.063422,-0.063422,0.125820,0.064888,0.380959,0.064888,0.064888,0.059638,-0.063422,0.000000,-0.063422,-0.063422,-0.063422,-0.063422,0.000000,0.000000,-0.063422,0.000000,0.000000,-0.063422,-0.063422,-0.124791,-0.063422,-0.063422,0.000000,-0.063422,0.064888,0.000000,0.005571,0.250693,-0.124791,0.000000,0.064888,-0.057487,-0.063422,-0.051587,-0.176750,0.313872,-0.319851,7.246057
L28,-0.063422,-0.063422,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.063422,0.000000,-0.063422,0.000000,-0.063422,0.000000,0.000000,0.000000,0.000000,-0.005602,-0.063422,0.000000,-0.005602,0.000000,-0.063422,0.000000,0.000000,-0.063422,0.000000,-0.063422,0.000000,-0.063422,-0.124791,0.120882,-0.063422,-0.063422,-0.063422,-0.063422,0.000000,0.201686,-0.552657,-0.063422,-0.124791,8.079450
L29,-0.063422,-0.063422,0.000000,-0.057487,-0.063422,-0.005602,-0.005602,0.000000,0.000000,0.059638,-0.005602,-0.057487,0.000000,-0.005602,-0.005602,-0.005602,-0.005602,-0.005602,-0.005602,-0.005602,-0.005602,-0.005602,0.000000,0.000000,0.000000,0.000000,-0.005602,-0.005602,-0.005602,-0.005602,0.000000,0.000000,-0.005602,-0.005602,-0.063422,0.000000,0.000000,0.000000,-0.005602,0.059638,0.059638,-0.238626,0.000000,0.000000,8.675728
L30,0.000000,0.064888,-0.063422,0.000000,-0.124791,0.000000,0.000000,-0.005602,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.063422,0.000000,-0.063422,-0.063422,0.000000,0.000000,-0.063422,0.000000,0.000000,0.000000,0.000000,0.000000,-0.005602,-0.005602,-0.005602,0.000000,0.000000,0.000000,-0.063422,0.059638,0.000000,-0.245743,0.000000,-0.063422,10.844631
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.455822
