layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:A,7: patient,8: presented,9: with,10: asthma,11:.,12: A,13: patient,14: has,15: the,16: following,17: condition,18::,19: asthma,20:.,"21:
",22:Prov,23:ide,24: information,25: about,26: its,27: demographic,28: and,29: past,30: medical,31: history,32:.,33: You,34: must,35: start,36: with,37: the,38: following,39::,"40: """,41:Gender,42::,"43: ""","44:
",45:<,46:|,47:ass,48:istant,49:|>,"50:
",51:Gender,52::
L12,0.064538,0.064538,-0.056089,0.192372,-0.178692,-0.471216,0.382992,-0.215596,-0.122339,0.250641,-1.321752,-0.049700,0.192372,-0.088666,-0.122339,0.064538,-0.030772,0.070204,0.064538,-0.531234,-0.056089,0.570808,0.006042,-0.246133,-0.365370,-0.062520,-0.122339,-0.178692,-0.115513,-0.122339,0.006042,-0.557345,0.006042,-0.115513,-0.215596,-0.056089,0.387116,0.006042,0.192372,0.812948,0.314589,1.187473,0.374693,-1.299280,-0.923893,0.070204,0.064538,0.006042,0.064538,0.070204,1.251896,2.052567,1.036091
L13,-0.115513,0.130496,-0.208105,-0.185964,0.192372,0.000000,-0.215596,0.006042,0.064538,0.125163,-0.879110,0.141078,-0.115513,-0.306031,0.006042,-0.062520,0.130496,0.006042,0.130496,-0.223143,0.374693,0.314589,-0.115513,-0.246133,0.130496,0.070204,-0.115513,0.006042,0.439232,-0.277631,-0.150118,-0.552068,0.687068,-0.185964,0.035718,0.006042,-0.185964,-0.088666,-0.185964,-0.562650,-0.687104,0.314589,-0.310154,0.135801,-0.246133,0.314589,0.130496,-0.056089,-0.178692,0.255346,0.250641,0.674797,2.033714
L14,0.006042,-0.122339,-0.062520,0.070204,0.192372,-0.257829,0.006042,-0.056089,-0.215596,-0.056089,-0.879110,-0.461554,0.070204,0.130496,-0.115513,-0.056089,0.130496,0.130496,0.192372,-0.348054,-0.056089,-0.578736,0.006042,0.006042,0.314589,0.125163,-0.056089,-0.500774,0.192372,-0.178692,-0.056089,0.378851,0.058840,0.070204,0.006042,-0.056089,0.125163,0.006042,-0.178692,-0.374142,-0.310154,0.812948,0.617639,0.075838,-0.617308,-0.056089,0.192372,0.130496,-0.178692,-0.365370,-0.129212,2.279905,0.630626
L15,0.070204,0.000000,-0.088666,0.000000,0.064538,-0.122339,0.006042,-0.150118,-0.277631,0.156745,-0.405464,-0.428454,-0.056089,-0.122339,-0.122339,0.006042,0.006042,0.000000,-0.056089,0.006042,-0.122339,0.197359,-0.122339,0.260030,0.006042,0.000000,0.125163,-0.433116,-0.030772,-0.088666,0.125163,0.278549,-0.589606,0.130496,-0.062520,0.070204,0.130496,-0.208105,0.064538,-0.095310,-0.500774,1.126502,0.818310,-0.301924,0.435318,0.130496,0.070204,0.130496,-0.178692,-0.122339,0.130496,3.075214,0.584413
L16,-0.369746,-0.178692,0.006042,-0.122339,-0.056089,-0.215596,0.070204,-0.223143,-0.088666,-0.178692,-0.461554,-0.178692,0.006042,-0.281639,-0.088666,0.000000,-0.056089,0.000000,0.064538,-0.365370,-0.056089,-0.246133,0.070204,-0.056089,0.006042,-0.030772,0.070204,-0.490824,-0.062520,-0.115513,0.192372,0.135801,-0.365370,0.192372,0.006042,0.006042,0.130496,0.064538,0.130496,-0.178692,-0.215596,0.870405,0.563935,-0.178692,0.255346,0.070204,0.192372,-0.115513,0.006042,-0.428454,1.375631,1.736737,2.254793
L17,-0.056089,-0.122339,0.130496,0.064538,0.064538,-0.062520,-0.062520,0.130496,0.130496,-0.088666,0.319004,0.130496,0.006042,0.006042,-0.178692,-0.056089,-0.056089,-0.056089,0.064538,0.447014,0.217064,-0.374142,0.064538,0.130496,-0.062520,-0.178692,0.387116,-0.552068,-0.122339,-0.056089,0.000000,0.192372,-0.306031,0.006042,-0.115513,-0.122339,0.006042,0.006042,0.064538,0.378851,-0.808659,0.435318,0.197359,-0.466373,-0.628608,-0.246133,0.130496,0.006042,0.070204,-0.056089,0.557014,1.258804,-0.343771
L18,0.064538,0.130496,0.006042,0.006042,-0.185964,-0.056089,0.006042,0.890506,0.637057,0.319004,8.895536,2.020944,0.563935,1.518119,1.638113,0.192372,0.192372,0.135801,0.946143,3.707641,0.643447,0.064538,0.000000,-0.056089,0.319004,0.192372,0.828948,0.391222,0.197359,0.507182,0.387116,0.890506,0.075838,-0.056089,-0.115513,-0.056089,0.135801,0.130496,0.006042,0.630626,-0.277631,3.633590,0.905321,0.053110,-1.126261,0.130496,-0.056089,0.064538,-0.185964,0.130496,1.670561,3.429676,3.088559
L19,-0.335260,-0.122339,0.058840,-0.062520,0.000000,-0.095310,-0.122339,-0.314295,-0.095310,-0.056089,-0.595085,0.058840,0.006042,-0.062520,-0.178692,-0.062520,-0.062520,-0.056089,-0.088666,-0.343771,0.000000,-0.178692,0.029853,0.070204,0.006042,-0.115513,-0.030772,-0.006079,0.064538,0.125163,0.064538,0.439232,0.431388,-0.030772,0.187359,0.000000,0.070204,-0.056089,0.000000,0.064538,-0.414597,1.149804,0.187359,0.399386,0.865316,0.192372,0.130496,-0.150118,-0.056089,0.314589,2.866864,3.057140,2.169918
L20,-0.062520,-0.115513,0.255346,0.064538,0.130496,-0.246133,0.130496,-0.062520,-0.310154,-0.088666,-1.550593,-0.062520,0.125163,-0.246133,-0.215596,-0.062520,-0.062520,-0.150118,0.125163,-0.369746,0.221930,-0.178692,-0.062520,0.000000,-0.185964,-0.185964,-0.030772,-0.495787,-0.185964,0.130496,0.000000,0.192372,0.064538,-0.056089,0.064538,0.064538,0.064538,0.000000,0.064538,-0.062520,-0.122339,-0.781811,0.514455,-0.056089,-0.361013,0.006042,0.070204,-0.062520,0.070204,-0.115513,0.746256,1.988288,5.808214
L21,-0.056089,0.000000,-0.062520,-0.122339,0.064538,-0.185964,-0.062520,1.069921,0.757685,0.382992,3.648845,0.757685,0.070204,1.069921,0.197359,-0.062520,0.130496,0.064538,0.070204,0.885518,0.260030,-0.095310,-0.062520,0.006042,-0.056089,0.064538,0.070204,0.070204,0.006042,0.192372,0.006042,0.507182,0.323400,-0.185964,-0.062520,-0.178692,-0.062520,0.070204,0.000000,-0.122339,0.006042,0.812948,0.197359,-0.310154,-0.657428,-0.056089,-0.246133,-0.115513,-0.277631,-0.306031,-0.589606,1.078203,8.577984
L22,0.064538,0.064538,-0.122339,0.064538,-0.088666,-0.115513,-0.122339,-0.781811,-0.374142,-0.088666,-1.927884,-0.939278,-0.185964,-0.755666,-0.343771,-0.088666,0.000000,-0.185964,-0.215596,-0.843264,-0.281639,-0.526092,0.006042,-0.056089,-0.122339,-0.178692,-0.343771,-0.410020,-0.215596,-0.122339,-0.062520,-0.306031,-0.339507,-0.088666,-0.062520,-0.122339,-0.062520,-0.062520,-0.056089,-0.056089,-0.122339,0.006042,0.064538,0.087011,-0.437800,-0.062520,0.006042,-0.088666,-0.122339,-0.238411,0.192372,1.964778,5.284555
L23,0.000000,-0.056089,-0.062520,-0.056089,-0.185964,0.006042,-0.157185,-0.595085,-0.185964,-0.246133,-1.704743,-0.843264,-0.215596,-0.562650,-0.088666,-0.062520,-0.062520,-0.088666,-0.185964,-0.339507,-0.343771,-0.369746,0.006042,0.064538,0.000000,-0.122339,-0.310154,-0.277631,-0.150118,-0.178692,0.006042,-0.062520,-0.115513,0.006042,0.130496,-0.062520,-0.062520,-0.122339,0.064538,-0.178692,-0.471216,-0.485886,0.319004,-0.285664,-0.423814,-0.056089,-0.122339,-0.056089,0.070204,-0.178692,-0.030772,1.009946,-0.836246
L24,-0.056089,-0.122339,0.064538,-0.062520,-0.088666,1.187473,0.064538,0.192372,0.000000,-0.150118,0.006042,0.000000,0.006042,0.192372,0.064538,0.000000,0.000000,-0.056089,-0.056089,0.064538,0.000000,-0.115513,0.064538,0.000000,0.064538,0.064538,0.064538,-0.115513,0.064538,0.064538,-0.062520,-0.062520,0.000000,0.000000,0.000000,0.000000,0.064538,0.006042,0.000000,-0.122339,-0.215596,0.447014,0.447014,0.006042,-0.062520,0.064538,0.070204,0.000000,0.006042,-0.419195,-0.088666,1.069921,5.060712
L25,0.064538,-0.056089,0.006042,-0.062520,0.064538,0.000000,0.130496,0.439232,-0.115513,-0.122339,1.202152,0.064538,0.064538,0.255346,0.064538,-0.115513,0.000000,-0.056089,0.064538,0.507182,0.064538,0.130496,0.000000,-0.062520,-0.062520,0.064538,0.064538,0.192372,0.000000,-0.062520,0.130496,0.000000,0.064538,0.000000,0.000000,0.000000,0.064538,0.130496,0.000000,0.006042,-0.122339,0.643447,0.382992,0.006042,0.130496,0.006042,-0.150118,-0.056089,0.125163,-0.361013,0.507182,-0.088666,5.745737
L26,-0.062520,-0.115513,0.192372,-0.056089,0.064538,0.000000,0.006042,-0.178692,0.000000,0.000000,-0.781811,-0.178692,0.064538,0.000000,0.000000,-0.115513,0.000000,0.006042,-0.062520,-0.215596,-0.056089,-0.115513,0.000000,0.000000,-0.056089,0.000000,-0.122339,-0.122339,0.000000,0.000000,0.000000,0.000000,0.000000,0.064538,0.000000,0.064538,0.000000,0.000000,0.000000,0.006042,-0.115513,-0.246133,0.187359,-0.122339,-0.115513,0.006042,0.012048,0.006042,0.075838,-0.606135,0.125163,-0.129212,9.410380
L27,0.000000,-0.122339,-0.056089,0.006042,0.064538,0.000000,0.000000,0.130496,0.064538,0.000000,0.197359,0.064538,-0.062520,0.006042,0.000000,0.000000,0.000000,-0.056089,0.000000,0.130496,0.000000,0.064538,0.064538,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006042,0.000000,0.000000,0.000000,0.000000,0.006042,0.000000,0.006042,-0.115513,0.064538,0.378851,0.000000,0.000000,0.006042,-0.056089,0.006042,-0.049700,-0.857449,0.250641,-0.185964,4.287132
L28,0.000000,0.000000,-0.062520,0.000000,0.000000,0.000000,0.000000,0.000000,0.006042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006042,0.000000,0.000000,0.000000,0.000000,-0.062520,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.062520,0.006042,0.000000,0.000000,0.000000,0.000000,0.006042,0.006042,-0.185964,0.064538,0.006042,0.006042,0.006042,-0.056089,-0.115513,0.255346,-0.986906,0.006042,0.006042,7.192254
L29,0.006042,0.006042,0.000000,0.000000,-0.056089,0.006042,0.000000,0.000000,0.000000,0.000000,0.006042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.115513,0.000000,-0.115513,0.000000,0.000000,0.000000,0.000000,0.000000,0.064538,-0.669193,0.130496,-0.056089,8.986496
L30,0.064538,0.070204,0.006042,0.000000,-0.115513,0.000000,0.000000,0.006042,0.000000,0.000000,0.006042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006042,0.000000,0.006042,0.000000,0.000000,0.000000,0.000000,0.000000,0.006042,0.006042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.056089,-0.115513,0.000000,0.000000,0.000000,0.006042,0.006042,0.000000,-0.490824,0.064538,-0.056089,9.167761
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.745247
