layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Write,7: a,8: hand,9:off,10:-,11:style,12: summary,13: for,14: a,15: patient,16: with,17: sarc,18:oid,19:osis,20:.,21: Include,22: demographic,23: first,"24:,",25: then,26: key,27: PM,28:H,29:.,30: Begin,31: exactly,32: with,33::,"34: """,35:Gender,36::,"37: ""","38:
",39:<,40:|,41:ass,42:istant,43:|>,"44:
",45:Gender,46::
L11,0.124911,0.124911,0.124911,0.062390,0.190869,0.062390,0.190869,0.252744,0.124911,-0.061967,0.000000,0.132458,-0.188348,0.252744,0.004283,0.565119,1.129601,0.252744,1.633188,1.005731,0.377907,0.311013,0.062390,0.062390,0.190869,0.062390,0.000000,0.000000,0.317282,-0.188348,0.124911,0.124911,0.124911,0.190869,0.440606,2.637523,0.062390,-0.123162,0.000000,0.372007,0.252744,0.000000,0.000000,-0.057411,0.731046,2.872812,0.109643
L12,0.062390,0.000000,0.190869,0.066414,0.190869,-0.061967,0.124911,0.000000,0.124911,-0.123162,0.062390,0.317282,0.560229,0.190869,0.062390,-0.188348,-0.188348,0.062390,0.062390,-0.193543,-0.188348,0.000000,0.440606,0.311013,0.252744,0.124911,0.124911,0.124911,0.317282,0.190869,0.062390,0.000000,0.058350,0.000000,0.757551,0.947556,0.311013,0.054293,-0.183180,0.124911,0.183751,0.124911,0.183751,0.004283,0.626604,0.383772,0.927388
L13,0.062390,0.062390,0.183751,0.124911,0.062390,0.000000,0.124911,0.000000,0.062390,0.066414,0.000000,0.190869,0.317282,0.000000,-0.066543,0.499604,0.124911,0.062390,-0.309375,-0.433759,0.004283,0.124911,-0.061967,0.124911,0.124911,0.062390,0.062390,0.000000,0.440606,0.190869,0.124911,-0.128028,-0.061967,-0.004301,0.000000,0.317282,0.311013,-0.004301,-0.061967,0.124911,0.062390,0.000000,0.190869,0.062390,-0.066543,0.372007,-0.258082
L14,0.190869,0.190869,0.062390,0.124911,0.004283,-0.066543,0.124911,0.000000,0.062390,-0.183180,0.062390,0.246055,0.183751,0.000000,-0.066543,-0.061967,-0.123162,0.062390,-0.061967,-0.252541,-0.061967,0.190869,0.190869,0.183751,0.183751,0.000000,0.062390,0.000000,0.132458,0.124911,-0.061967,0.000000,0.000000,0.000000,0.124911,-0.183180,0.246055,0.304704,-0.247032,0.124911,0.317282,0.062390,-0.188348,-0.118320,0.124911,0.124911,0.183751
L15,0.062390,0.124911,-0.061967,0.062390,0.124911,0.000000,0.062390,0.124911,0.062390,0.062390,0.124911,0.190869,0.311013,0.124911,-0.188348,0.124911,-0.123162,-0.188348,0.504799,0.124911,-0.123162,0.062390,-0.057411,0.124911,0.066414,0.124911,0.004283,0.124911,0.000000,-0.061967,0.124911,0.062390,0.124911,0.183751,0.246055,0.819950,0.317282,0.062390,0.004283,0.000000,0.190869,0.190869,0.000000,-0.061967,0.058350,0.819950,1.504554
L16,0.190869,0.124911,0.252744,-0.057411,0.062390,0.000000,-0.061967,0.000000,0.062390,-0.309375,0.062390,-0.061967,0.246055,-0.123162,-0.061967,-0.315240,0.000000,0.000000,-0.128028,0.499604,-0.188348,-0.061967,0.004283,0.190869,0.004283,0.124911,-0.061967,0.000000,0.000000,0.066414,0.000000,0.004283,0.124911,0.066414,0.190869,0.008547,0.183751,0.124911,-0.061967,-0.004301,0.132458,0.183751,0.124911,0.132458,0.440606,-0.509396,0.109643
L17,0.062390,0.000000,0.000000,0.062390,0.124911,0.000000,0.190869,0.062390,0.000000,0.000000,0.062390,-0.061967,0.311013,0.183751,-0.188348,-0.061967,0.252744,-0.061967,0.004283,-0.061967,-0.188348,0.062390,0.124911,0.062390,-0.061967,0.124911,0.062390,0.124911,0.132458,0.190869,0.124911,-0.061967,0.183751,0.183751,0.004283,1.254600,0.377907,0.062390,-0.502278,0.246055,-0.061967,0.062390,0.124911,0.066414,0.504799,1.504554,1.770797
L18,0.062390,0.124911,0.062390,0.062390,0.435066,0.190869,0.435066,0.440606,0.377907,1.691789,0.311013,0.819950,0.440606,0.124911,0.688846,2.256474,1.194052,0.878682,7.452275,3.263200,0.819950,0.317282,1.383070,0.626604,0.688846,0.252744,0.252744,0.190869,0.693147,0.132458,0.062390,0.190869,0.062390,0.190869,0.317282,7.198209,1.441603,0.812360,0.124911,0.190869,0.377907,0.372007,0.066414,0.066414,0.804711,4.742466,1.570938
L19,0.066414,0.062390,0.000000,0.062390,0.062390,0.124911,0.004283,0.124911,-0.061967,-0.061967,-0.061967,0.190869,0.246055,0.190869,0.124911,-0.188348,-0.309375,-0.183180,0.000000,-0.004301,0.000000,0.124911,-0.183180,0.252744,-0.183180,0.062390,0.124911,0.000000,0.062390,0.124911,0.124911,0.183751,0.066414,0.132458,0.124911,-0.375865,-0.123162,0.190869,-0.128028,0.058350,0.004283,0.124911,0.252744,0.000000,0.739277,0.635736,1.112817
L20,0.000000,0.062390,0.062390,0.066414,0.190869,-0.123162,0.004283,0.124911,0.062390,-0.128028,0.062390,0.062390,0.062390,0.000000,-0.188348,-0.315240,-0.375865,-0.066543,-0.433759,-0.816309,-0.252541,0.124911,0.000000,0.000000,0.000000,0.000000,0.190869,0.062390,-0.061967,0.252744,0.066414,0.124911,0.124911,0.117306,-0.061967,-0.755114,0.000000,-0.123162,-0.247032,0.004283,0.124911,-0.061967,0.252744,0.377907,0.372007,-0.568236,5.246911
L21,0.124911,0.062390,0.062390,0.000000,0.062390,0.124911,0.062390,0.062390,0.252744,0.124911,0.124911,0.124911,0.000000,0.190869,0.560229,1.504554,0.693147,0.372007,1.316305,1.570938,0.190869,0.066414,0.626604,0.190869,0.124911,0.062390,0.000000,-0.061967,0.000000,0.000000,-0.061967,0.062390,0.124911,0.062390,0.124911,3.072733,0.878682,0.749471,0.252744,-0.128028,0.066414,0.124911,0.124911,0.124911,0.058350,1.178325,5.536167
L22,0.124911,0.124911,-0.061967,0.000000,0.000000,0.062390,0.062390,0.000000,0.000000,-0.188348,0.000000,-0.061967,0.000000,-0.061967,-0.315240,-0.876327,-0.315240,-0.188348,-0.630757,-1.133550,-0.560689,0.062390,-0.315240,0.062390,-0.123162,-0.061967,-0.061967,-0.061967,0.062390,-0.123162,0.000000,0.000000,0.062390,-0.128028,-0.315240,-0.433759,-0.309375,0.062390,-0.440403,-0.183180,0.190869,-0.061967,0.183751,0.190869,0.246055,-0.327074,-0.172924
L23,0.183751,0.062390,0.000000,0.062390,0.062390,0.062390,0.183751,0.062390,0.000000,0.066414,0.124911,0.183751,0.124911,0.062390,-0.123162,-1.032197,-0.433759,-0.188348,-1.323903,-0.855918,-0.315240,0.062390,0.000000,-0.061967,-0.188348,0.062390,0.062390,-0.061967,0.062390,0.062390,0.062390,0.000000,0.000000,0.000000,-0.440403,-0.816309,-0.057411,0.066414,-0.247032,-0.061967,0.124911,0.062390,0.190869,0.000000,-0.309375,-0.252541,0.311013
L24,0.124911,0.062390,0.062390,0.062390,-0.061967,0.377907,0.062390,0.000000,0.062390,0.124911,0.062390,0.062390,0.062390,0.062390,0.062390,0.252744,0.124911,0.190869,0.124911,0.377907,0.000000,0.000000,0.124911,0.062390,0.062390,0.000000,0.000000,0.062390,0.000000,0.062390,0.000000,0.062390,-0.061967,0.000000,0.062390,0.509967,0.504799,0.252744,0.062390,0.000000,0.124911,0.000000,0.252744,0.070422,-0.061967,0.190869,5.561820
L25,0.062390,0.000000,-0.061967,-0.061967,-0.061967,0.000000,0.062390,-0.061967,0.000000,0.000000,0.124911,0.062390,0.000000,0.062390,0.062390,0.626604,0.000000,0.062390,0.377907,0.940879,0.246055,0.124911,0.124911,0.000000,0.062390,0.062390,0.000000,0.124911,0.062390,0.062390,0.062390,0.062390,0.000000,0.062390,0.190869,1.320897,0.377907,0.124911,0.062390,0.124911,0.062390,0.124911,0.190869,0.004283,0.117306,-0.509396,3.742461
L26,-0.061967,-0.061967,0.000000,0.000000,0.000000,0.000000,0.062390,0.000000,0.062390,0.000000,0.000000,0.062390,0.000000,0.062390,-0.061967,-0.433759,-0.123162,-0.247032,-0.568236,-0.252541,-0.123162,-0.061967,0.000000,0.000000,-0.123162,0.000000,0.062390,0.000000,-0.061967,-0.061967,0.062390,0.000000,0.062390,0.000000,0.004283,-0.247032,0.183751,-0.061967,-0.061967,-0.183180,0.062390,0.062390,0.197936,0.070422,0.000000,-0.495211,10.254472
L27,0.000000,0.062390,0.000000,0.000000,0.062390,0.000000,0.062390,0.000000,0.000000,0.062390,-0.061967,0.000000,0.000000,-0.061967,0.000000,0.062390,0.124911,0.000000,-0.066543,0.246055,0.000000,0.000000,0.000000,0.000000,0.062390,-0.061967,0.000000,0.000000,0.000000,0.062390,0.000000,0.000000,0.000000,0.062390,0.062390,0.124911,0.183751,0.124911,0.062390,0.124911,0.000000,0.062390,0.252744,0.008547,0.124911,-0.128028,4.048458
L28,0.000000,-0.061967,0.062390,0.000000,0.124911,0.000000,-0.061967,0.000000,0.000000,0.000000,0.062390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062390,0.000000,0.000000,0.000000,0.062390,0.000000,0.000000,0.000000,0.000000,0.000000,0.062390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062390,0.062390,0.000000,-0.061967,0.000000,0.000000,0.377907,-0.369634,-0.061967,0.000000,8.515902
L29,0.000000,0.000000,0.062390,0.062390,-0.061967,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062390,0.062390,0.062390,0.000000,0.062390,0.062390,0.062390,0.124911,-0.241552,0.124911,0.124911,7.157966
L30,0.062390,0.062390,0.000000,0.000000,-0.123162,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062390,0.062390,0.000000,0.000000,0.000000,-0.128028,0.000000,-0.061967,-0.252541,0.062390,-0.061967,10.622947
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.747243
