layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Create,7: a,8: consult,9:-,10:note,11: style,12: brief,13: for,14: sarc,15:oid,16:osis,17: that,18: emphasizes,19: demographic,20: and,21: relevant,22: past,23: medical,24: history,25:.,26: Begin,27: with,28::,"29: """,30:Gender,31::,"32: ""","33:
",34:<,35:|,36:ass,37:istant,38:|>,"39:
",40:Gender,41::
L11,0.207189,0.115382,0.213020,0.014286,0.398244,-0.138683,0.189489,0.317798,0.554462,0.183519,-0.007220,-0.823595,-0.882683,-0.584193,0.582977,4.873984,2.791735,-0.220448,0.218817,0.108951,0.296634,-0.082443,0.089406,0.312549,0.436163,0.140699,-0.036634,0.108951,0.537795,-0.294901,2.763098,-0.110168,-0.752419,0.554462,-0.102168,0.089406,-0.074661,-0.110168,-0.637185,0.264022,1.369972,1.093802
L12,0.028371,0.000000,-0.094231,-0.074661,0.042260,-0.029199,0.353792,0.353792,-0.215974,0.171471,-0.874025,0.782552,0.165392,0.358830,0.343640,0.213020,0.014286,-0.831825,-0.086357,0.398244,-0.044125,0.454596,0.230311,0.014286,-0.354620,0.426817,-0.359761,0.343640,1.074337,-0.059276,1.084117,0.307272,-0.693143,-1.843410,0.108951,0.076161,0.014286,-0.138683,-0.066939,-0.434662,1.697524,1.176991
L13,0.062738,-0.036634,-0.189541,-0.074661,0.014286,0.014286,0.000000,-0.202670,0.128121,0.159276,0.529356,-0.051672,-0.722342,-0.098192,0.525110,-0.637185,-0.610338,-0.744815,-0.122289,-0.457135,0.477171,-0.220448,-0.344416,-0.082443,0.165392,1.176991,0.007168,0.422111,0.373792,0.269532,-0.211520,0.412632,0.021353,-0.180883,0.301967,0.153122,0.108951,0.095964,-0.066939,-1.283805,0.189489,2.228695
L14,-0.059276,0.177513,0.230311,0.076161,0.291272,-0.344416,-0.029199,-0.229457,0.183519,0.028371,-0.238548,-0.122289,0.201324,-0.275762,-0.074661,-1.233162,-0.243125,-0.678857,0.171471,-0.118232,0.507942,0.014286,0.028371,0.403063,0.700314,0.383645,0.000000,0.554462,-0.090286,-0.314414,-2.072244,1.447339,0.450020,-1.756400,0.115382,0.153122,-0.007220,0.014286,-0.485955,-0.412683,0.358830,-1.350943
L15,0.014286,0.076161,0.171471,0.055958,0.076161,-0.102168,0.426817,0.383645,0.076161,0.014286,0.224581,0.014286,0.258482,-0.299744,0.007168,0.782552,0.307272,-0.126362,-0.029199,-0.247723,0.115382,0.121771,0.280461,0.171471,0.317798,-0.290082,0.363842,0.979026,-0.094231,0.095964,3.354308,1.041874,-0.106160,-0.603737,0.153122,0.218817,0.076161,-0.142824,-0.744815,1.140869,2.019207,-0.671790
L16,0.224581,0.069472,0.201324,-0.074661,0.021353,-0.051672,0.049132,0.042260,0.183519,0.201324,0.814917,-0.044125,0.422111,0.348729,0.089406,-0.319352,-0.314414,0.171471,0.000000,-0.271034,0.146930,0.153122,0.218817,0.368830,0.486059,0.082806,0.280461,0.146930,-0.044125,-0.364929,0.102478,0.348729,-0.021819,0.146930,0.503604,0.280461,0.121771,0.236009,-0.051672,0.301967,-0.630405,1.220381
L17,0.134430,0.121771,0.140699,-0.044125,0.201324,0.108951,0.207189,0.140699,0.230311,0.021353,-0.094231,-0.074661,0.218817,0.280461,0.115382,0.957168,0.663946,0.213020,0.280461,0.269532,0.177513,0.213020,0.388535,0.055958,0.121771,0.562693,-0.168035,0.195424,0.062738,-0.380595,2.120835,0.618484,-0.354620,-0.840124,-0.503654,0.035339,-0.130452,0.213020,-0.146982,-1.798959,1.377258,1.728655
L18,0.275011,0.089406,0.028371,-0.082443,-0.014493,0.328215,0.550321,0.558586,0.459152,0.678652,0.594953,0.269532,0.412632,-0.256982,0.558586,12.325492,8.008594,1.103394,0.159276,3.129844,0.917726,0.520846,1.054485,1.044409,1.802490,1.802490,-0.014493,0.338524,0.537795,0.363842,11.716567,2.593316,0.626206,-0.546214,-0.220448,0.062738,0.076161,-0.193898,-0.172299,-0.945483,7.550479,1.906069
L19,0.183519,0.089406,0.089406,-0.014493,0.140699,0.383645,0.171471,0.014286,0.301967,0.140699,1.074337,0.230311,0.323020,0.014286,0.121771,-0.252342,-0.700363,0.213020,0.338524,0.269532,-0.122289,0.291272,0.269532,0.153122,0.606788,0.383645,0.121771,0.333383,0.055958,-0.106160,1.718386,0.436163,0.633869,2.691605,-0.451469,-0.014493,0.000000,0.055958,-0.261644,0.035339,1.245540,4.808547
L20,0.183519,-0.044125,0.165392,-0.051672,0.146930,-0.082443,-0.007220,0.323020,0.049132,0.049132,0.165392,0.207189,0.049132,0.089406,-0.051672,-0.865441,-1.484472,-0.457135,0.049132,-0.344416,0.236009,0.171471,0.258482,0.055958,-0.130452,0.533584,0.140699,0.108951,0.481625,0.520846,-1.173265,0.610702,-0.163789,-0.280512,-0.082443,0.358830,0.049132,0.312549,0.076161,0.450020,-0.707636,8.296192
L21,0.014286,0.049132,0.035339,0.076161,-0.159560,0.028371,0.108951,0.422111,0.089406,0.207189,-0.029199,-0.044125,0.049132,0.207189,0.594953,3.300618,2.798768,1.355239,0.296634,1.783327,0.189489,0.055958,0.236009,-0.014493,0.312549,1.150023,0.183519,0.153122,0.454596,0.934820,6.196235,0.586985,0.512262,1.168082,-0.036634,0.028371,0.049132,-0.036634,-0.339352,0.115382,0.582977,7.234157
L22,0.076161,0.014286,0.076161,0.042260,-0.029199,-0.036634,0.014286,-0.014493,-0.044125,0.014286,-0.364929,0.014286,-0.036634,0.076161,-0.271034,-1.379114,-2.226390,-0.290082,0.171471,-0.840124,-0.172299,0.089406,0.049132,-0.202670,-0.457135,-0.224943,-0.007220,0.014286,0.207189,-0.082443,-0.637185,0.358830,0.183519,-0.029199,0.134430,0.082806,-0.066939,0.021353,-0.126362,0.076161,-1.468724,4.300653
L23,0.049132,0.082806,0.171471,-0.014493,0.021353,-0.036634,0.108951,0.171471,0.108951,-0.014493,-0.142824,0.207189,0.049132,-0.014493,-0.172299,-2.161853,-1.820937,-0.233992,-0.036634,-0.252342,0.014286,0.076161,-0.066939,-0.044125,-0.130452,-0.044125,0.108951,-0.014493,0.049132,-0.807334,-2.226390,0.833845,-0.044125,-0.616982,-0.130452,0.171471,0.108951,0.247309,-0.029199,-0.122289,-0.571372,-1.620271
L24,0.236009,0.153122,0.049132,-0.014493,0.014286,0.633869,0.140699,0.171471,0.076161,0.014286,-0.014493,0.089406,0.055958,0.082806,0.183519,-0.114192,0.296634,-0.014493,0.108951,0.049132,0.028371,-0.014493,-0.036634,0.076161,0.076161,0.076161,0.121771,0.140699,0.207189,0.503604,0.827575,0.507942,0.537795,0.146930,0.076161,0.153122,-0.007220,0.128121,-0.707636,0.207189,0.373792,5.570343
L25,0.055958,0.108951,0.115382,0.108951,-0.102168,0.000000,0.140699,0.171471,0.028371,0.076161,0.108951,0.049132,0.028371,0.014286,0.201324,0.973606,1.159093,0.207189,0.146930,0.252911,0.140699,0.076161,0.183519,0.269532,0.171471,0.201324,0.062738,0.062738,0.062738,0.775951,0.663946,0.749104,0.312549,0.207189,0.165392,0.000000,0.183519,0.189489,-0.752419,0.407859,-1.022444,4.778031
L26,0.055958,0.089406,0.028371,0.108951,-0.066939,0.140699,0.062738,0.000000,0.108951,0.076161,0.076161,-0.036634,-0.029199,0.000000,0.076161,-0.856931,-0.744815,-0.014493,0.076161,-0.014493,0.108951,-0.036634,0.171471,0.049132,0.140699,0.108951,0.076161,0.108951,0.076161,-0.029199,-0.445835,0.241675,0.028371,-0.098192,-0.007220,0.134430,0.115382,0.140699,-0.521673,0.089406,-0.354620,7.588487
L27,0.076161,0.108951,-0.036634,0.055958,0.183519,0.062738,0.089406,0.140699,0.028371,0.028371,0.028371,0.082806,0.140699,0.140699,-0.066939,-0.168035,0.373792,0.089406,0.028371,-0.007220,0.108951,0.028371,0.028371,0.028371,0.171471,0.108951,0.062738,0.028371,0.028371,0.358830,0.153122,0.323020,0.108951,0.062738,0.076161,0.153122,0.062738,0.291272,-0.891417,0.353792,-0.243125,2.737349
L28,-0.036634,0.000000,0.028371,0.076161,0.108951,0.076161,0.000000,0.000000,0.108951,0.108951,0.076161,-0.036634,0.076161,-0.036634,0.108951,0.108951,0.076161,0.049132,0.076161,0.108951,-0.029199,0.000000,0.076161,0.000000,0.108951,0.108951,0.000000,-0.036634,0.076161,0.076161,0.076161,0.189489,0.000000,0.076161,0.121771,-0.036634,0.108951,0.353792,-1.408101,0.247309,0.115382,6.055465
L29,-0.007220,0.000000,0.000000,0.028371,0.021353,-0.036634,0.000000,0.000000,-0.029199,0.000000,0.000000,0.000000,0.000000,0.000000,0.028371,0.000000,-0.036634,0.000000,-0.036634,0.000000,-0.029199,0.000000,0.000000,0.000000,0.000000,0.000000,-0.036634,0.000000,0.000000,0.028371,-0.007220,0.028371,-0.029199,0.000000,0.108951,0.028371,0.108951,0.171471,-1.084318,-0.021819,0.062738,8.666664
L30,0.153122,0.153122,-0.029199,0.000000,-0.044125,0.000000,-0.007220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.036634,0.000000,0.000000,0.000000,-0.036634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.036634,0.000000,-0.036634,0.000000,0.000000,-0.036634,0.000000,0.000000,0.028371,-0.515631,-0.036634,0.021353,8.542538
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.313266
