layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:The,7: patient,8: carries,9: a,10: diagnosis,11: of,12: depression,13:.,"14:
",15:Sum,16:mar,17:ize,18: demographic,19: profile,20: and,21: past,22: medical,23: history,24: in,25: 2,26:-,27:4,28: sentences,29:.,30: Start,31: with,32::,"33: """,34:Gender,35::,"36: ""","37:
",38:<,39:|,40:ass,41:istant,42:|>,"43:
",44:Gender,45::
L11,0.000000,0.060168,0.060168,-0.068163,0.130620,-0.064022,0.252175,0.183612,0.252175,-0.186983,-0.128009,0.190043,1.448285,0.376629,0.629124,0.000000,-0.123614,-0.496713,0.060168,0.000000,-0.186983,-0.064022,0.060168,0.433492,-0.186983,-0.191667,-0.064022,0.067441,-0.562526,-0.316517,-0.186983,-0.007782,-0.072321,0.060168,1.256078,0.123794,-0.440971,-0.259654,0.123794,0.060168,-0.068163,-0.064022,-0.311212,0.304973,0.371296,-0.382475
L12,0.060168,0.060168,0.000000,-0.064022,-0.249654,-0.186983,0.000000,-0.382475,-0.316517,-0.064022,-0.068163,-0.064022,-0.064022,-0.072321,-0.249654,0.000000,0.060168,-0.249654,-0.059898,-0.191667,-0.254642,-0.064022,0.000000,0.183612,0.000000,-0.128009,-0.007782,-0.186983,-0.072321,-0.128009,0.000000,-0.244691,0.190043,-0.311212,0.183612,-0.064022,-0.496713,-0.434965,-0.064022,0.060168,-0.064022,-0.064022,-0.064022,-0.119237,-0.007782,0.604019
L13,0.000000,0.000000,0.000000,-0.064022,-0.059898,0.000000,0.060168,0.252175,0.183612,-0.064022,0.000000,-0.123614,0.123794,0.123794,-0.123614,0.060168,0.116921,-0.123614,-0.059898,0.007722,-0.186983,-0.123614,0.000000,0.252175,0.000000,-0.128009,-0.064022,0.060168,-0.889518,-0.254642,-0.128009,-0.249654,-0.007782,-0.132424,0.316337,0.000000,-0.503102,-0.119237,-0.191667,0.000000,-0.007782,-0.059898,-0.007782,-0.632977,-0.376809,0.745989
L14,-0.064022,0.000000,-0.064022,-0.064022,0.060168,-0.311212,-0.064022,0.252175,-0.007782,-0.064022,-0.128009,-0.186983,-0.632977,0.116921,-0.249654,-0.128009,0.000000,0.060168,-0.376809,-0.254642,0.123794,-0.123614,0.183612,0.183612,0.000000,0.000000,-0.068163,-0.311212,-0.316517,-0.625704,-0.068163,-0.191667,-0.191667,-0.123614,-0.765466,0.681450,-0.503102,-0.816759,-0.128009,0.060168,-0.064022,-0.186983,-0.059898,0.310671,-0.007782,0.052842
L15,-0.123614,0.000000,0.123794,0.060168,-0.064022,-0.064022,0.067441,-0.254642,-0.196373,-0.123614,-0.249654,-0.186983,-0.440971,0.060168,0.310671,-0.064022,0.123794,0.000000,-0.064022,-0.249654,0.060168,-0.064022,0.060168,0.116921,-0.064022,-0.064022,-0.186983,-0.064022,-0.007782,-0.249654,-0.128009,-0.128009,-0.249654,-0.191667,0.496773,0.190043,-0.376809,-0.007782,0.240054,0.123794,-0.123614,-0.007782,-0.249654,0.681450,0.304973,0.998120
L16,0.060168,0.000000,0.060168,0.060168,-0.059898,-0.123614,-0.128009,-0.757167,-0.376809,-0.128009,0.116921,-0.064022,-0.186983,-0.186983,-0.059898,0.000000,-0.123614,-0.128009,-0.254642,-0.128009,0.000000,0.130620,0.183612,0.060168,0.060168,-0.064022,-0.123614,0.000000,0.316337,-0.007782,-0.186983,0.123794,-0.064022,-0.249654,0.433492,0.246133,0.000000,0.246133,0.123794,0.060168,0.060168,0.000000,0.067441,1.372634,0.371296,1.247209
L17,0.060168,-0.064022,-0.064022,-0.123614,0.060168,0.000000,-0.254642,0.123794,-0.128009,0.060168,0.000000,0.000000,-0.186983,0.060168,-0.316517,0.000000,-0.059898,-0.064022,0.000000,0.190043,-0.064022,0.000000,-0.064022,0.190043,0.060168,-0.064022,-0.123614,0.000000,0.130620,0.428454,-0.064022,0.123794,0.060168,-0.434965,0.501479,-0.128009,-0.191667,-0.447013,-0.007782,0.060168,-0.123614,0.190043,-0.191667,0.130620,0.633248,1.324335
L18,0.190043,0.060168,0.060168,0.060168,-0.064022,-0.068163,0.252175,2.631831,1.256078,0.376629,0.876759,1.134148,5.571975,3.450355,0.883190,0.060168,-0.064022,0.000000,0.939279,0.316337,0.000000,0.565137,0.501479,0.876759,0.123794,0.060168,-0.064022,0.183612,0.316337,0.565137,-0.064022,0.190043,0.433492,0.376629,7.762442,1.192275,0.183612,0.252175,0.067441,0.190043,0.060168,0.190043,-0.186983,0.920930,5.991172,0.578266
L19,-0.123614,-0.186983,-0.128009,-0.186983,-0.068163,-0.059898,-0.064022,-1.009661,-0.382475,-0.186983,-0.128009,-0.376809,-0.376809,-0.254642,0.060168,-0.064022,0.000000,-0.128009,-0.376809,-0.196373,0.183612,-0.064022,-0.064022,0.060168,-0.007782,-0.123614,0.000000,-0.064022,0.116921,-0.196373,0.000000,-0.064022,-0.254642,-0.191667,0.227784,-0.068163,0.000000,0.428454,-0.007782,-0.064022,0.000000,0.000000,0.000000,0.992389,0.980828,-0.327212
L20,-0.186983,-0.186983,0.000000,-0.007782,0.000000,-0.311212,0.060168,-0.321850,-0.440971,-0.123614,-0.186983,-0.186983,-0.816759,-0.316517,-0.059898,-0.132424,-0.128009,-0.064022,-0.316517,-0.254642,-0.123614,-0.064022,-0.249654,-0.562526,-0.123614,0.060168,0.000000,-0.064022,0.000000,-0.382475,0.000000,0.000000,-0.068163,-0.128009,-1.458609,-0.128009,-0.123614,0.316337,0.000000,-0.064022,-0.007782,0.000000,0.067441,0.310671,0.233937,1.418708
L21,-0.068163,0.060168,-0.128009,-0.128009,-0.128009,-0.123614,0.130620,2.008160,0.438504,0.000000,-0.128009,0.810067,2.320256,1.064442,0.693146,-0.064022,-0.123614,-0.068163,0.376629,0.183612,0.123794,0.060168,-0.068163,0.183612,0.123794,-0.186983,-0.068163,-0.316517,-0.254642,0.753315,-0.128009,-0.064022,-0.064022,0.183612,2.435242,0.433492,0.438504,0.381934,-0.249654,-0.064022,-0.123614,-0.064022,-0.191667,-0.562526,1.316053,5.616262
L22,-0.007782,-0.064022,-0.128009,-0.064022,-0.128009,-0.007782,-0.191667,-1.031168,-0.562526,-0.186983,-0.128009,-0.316517,-1.098608,-1.110304,-0.569351,-0.068163,-0.007782,-0.123614,-0.316517,-0.196373,-0.068163,-0.249654,-0.186983,-0.186983,0.060168,-0.123614,0.060168,-0.064022,-0.123614,-0.562526,-0.064022,-0.064022,-0.128009,-0.128009,-0.503102,-0.376809,-0.249654,-0.249654,-0.316517,0.000000,-0.123614,-0.186983,-0.249654,-0.440971,-0.453092,2.283013
L23,0.000000,-0.123614,-0.186983,-0.064022,-0.064022,0.060168,-0.509533,-1.262495,-0.757167,-0.186983,-0.007782,-0.562526,-1.527601,-1.170929,-0.693145,-0.068163,-0.007782,-0.186983,-0.191667,-0.128009,-0.186983,-0.123614,-0.123614,-0.186983,0.060168,0.060168,0.060168,0.060168,-0.064022,-0.440971,-0.064022,-0.123614,-0.186983,-0.503102,-0.947786,0.123794,-0.376809,-0.186983,-0.123614,-0.123614,0.060168,0.060168,-0.186983,-0.816759,-0.509533,0.624984
L24,-0.007782,-0.007782,-0.064022,-0.064022,-0.186983,0.190043,0.060168,0.376629,-0.064022,0.000000,0.000000,-0.064022,0.438504,-0.132424,0.000000,-0.007782,-0.128009,-0.186983,0.000000,0.000000,-0.064022,0.060168,-0.064022,-0.186983,0.060168,-0.068163,0.000000,-0.064022,-0.007782,-0.064022,-0.064022,-0.068163,0.000000,0.000000,0.565137,0.123794,-0.128009,0.000000,0.116921,0.060168,-0.007782,0.000000,-0.244691,0.000000,-0.064022,5.329792
L25,-0.123614,-0.007782,-0.064022,-0.064022,-0.191667,-0.064022,0.060168,0.496773,0.000000,0.060168,-0.007782,0.000000,1.069775,0.052842,0.060168,0.000000,-0.123614,0.000000,-0.064022,0.060168,-0.007782,-0.068163,0.000000,-0.186983,-0.007782,0.060168,-0.007782,-0.068163,-0.123614,-0.007782,-0.068163,-0.128009,-0.123614,-0.123614,0.316337,0.060168,-0.123614,-0.064022,0.116921,-0.007782,-0.064022,0.060168,-0.064022,0.310671,-0.516006,3.496506
L26,0.000000,-0.064022,-0.064022,0.060168,-0.064022,-0.064022,-0.123614,-0.434965,-0.123614,-0.064022,-0.123614,-0.123614,-0.757167,-0.316517,-0.311212,0.000000,-0.064022,-0.007782,-0.123614,-0.064022,0.060168,-0.123614,-0.068163,-0.007782,-0.007782,-0.064022,-0.123614,0.060168,0.060168,-0.191667,-0.007782,-0.064022,-0.064022,0.116921,-0.186983,-0.123614,-0.123614,-0.007782,-0.064022,0.060168,-0.064022,0.067441,-0.119237,-0.128009,-0.316517,8.766375
L27,0.000000,-0.007782,-0.007782,-0.007782,-0.064022,0.060168,0.060168,0.123794,0.060168,0.060168,0.060168,0.060168,-0.064022,0.000000,-0.064022,-0.064022,0.060168,0.060168,-0.123614,0.060168,0.000000,0.060168,0.000000,0.060168,0.060168,0.060168,-0.007782,0.060168,0.060168,-0.007782,0.060168,-0.007782,0.060168,-0.064022,0.123794,-0.064022,-0.007782,0.060168,0.000000,0.000000,0.000000,0.067441,-0.244691,0.246133,-0.064022,3.953178
L28,0.060168,-0.007782,0.060168,0.060168,-0.007782,-0.007782,-0.007782,-0.123614,-0.007782,-0.007782,-0.007782,-0.007782,-0.007782,0.000000,0.000000,-0.007782,0.060168,0.000000,0.000000,-0.007782,-0.007782,-0.007782,-0.007782,-0.007782,0.000000,0.000000,-0.007782,-0.007782,-0.007782,-0.007782,-0.007782,0.000000,-0.068163,-0.007782,-0.123614,0.000000,0.000000,0.000000,-0.007782,-0.007782,-0.007782,0.258181,-0.618484,0.000000,0.000000,6.764160
L29,-0.007782,-0.007782,0.060168,0.060168,-0.064022,0.000000,0.000000,-0.007782,0.000000,0.000000,0.000000,-0.007782,-0.007782,0.000000,-0.007782,0.060168,0.000000,-0.007782,0.060168,-0.007782,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.007782,-0.007782,-0.007782,0.000000,0.060168,-0.007782,-0.007782,0.000000,0.000000,0.000000,-0.064022,0.000000,0.060168,-0.244691,-0.064022,0.000000,6.830630
L30,0.123794,0.060168,0.000000,0.000000,-0.123614,0.000000,0.000000,0.000000,-0.007782,0.000000,-0.007782,-0.007782,-0.007782,0.000000,0.000000,0.000000,0.000000,-0.007782,-0.007782,-0.007782,-0.007782,0.000000,-0.007782,0.000000,0.000000,0.000000,0.000000,0.000000,-0.007782,-0.007782,-0.007782,0.000000,-0.007782,0.000000,0.000000,0.000000,-0.007782,0.000000,-0.007782,-0.064022,0.000000,0.060168,-0.244691,0.060168,-0.064022,8.414001
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.792195
