layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:The,7: patient,8: carries,9: a,10: diagnosis,11: of,12: rheumatoid,13: arthritis,14:.,"15:
",16:Sum,17:mar,18:ize,19: demographic,20: profile,21: and,22: past,23: medical,24: history,25: in,26: 2,27:-,28:4,29: sentences,30:.,31: Start,32: with,33::,"34: """,35:Gender,36::,"37: ""","38:
",39:<,40:|,41:ass,42:istant,43:|>,"44:
",45:Gender,46::
L11,0.059189,-0.006116,-0.158224,-0.130053,-0.069429,-0.095920,0.213340,-0.062914,0.183337,0.030032,-0.069429,0.152407,3.107535,1.661706,0.460815,0.284629,-0.037271,-0.062914,-0.350596,0.147158,-0.116260,-0.030962,-0.037271,-0.030962,0.311780,-0.089231,-0.095920,-0.095920,0.093090,-0.043621,-0.217064,-0.095920,-0.158224,-0.224669,-0.069429,0.693147,0.280031,-0.341975,0.041797,0.218254,0.188401,0.087519,0.030032,-0.283625,0.389071,0.425586,-0.417735
L12,-0.006116,-0.037271,0.087519,-0.123133,-0.158224,-0.165392,-0.030962,-0.436427,-0.130053,0.024098,-0.224669,-0.158224,0.740775,-0.006116,0.053425,0.000000,0.087519,0.000000,-0.030962,-0.030962,0.093090,0.030032,-0.062914,0.000000,0.087519,-0.151107,-0.095920,-0.006116,-0.095920,0.093090,-0.062914,0.024098,-0.037271,0.120489,-0.247836,0.213340,-0.165392,-0.194592,-0.441155,-0.037271,-0.006116,0.053425,-0.030962,-0.062914,-0.095920,-0.006116,0.433523
L13,-0.095920,-0.062914,-0.095920,-0.030962,-0.187212,-0.095920,0.064920,0.030032,0.059189,-0.037271,0.030032,0.087519,-0.165392,0.251992,0.030032,0.093090,-0.006116,-0.030962,-0.030962,-0.158224,0.000000,-0.006116,-0.006116,0.120489,0.030032,0.024098,-0.062914,-0.095920,0.000000,-0.514899,-0.062914,-0.069429,-0.255679,-0.075986,-0.255679,0.693147,0.218254,-0.283625,-0.151107,-0.095920,-0.037271,-0.037271,-0.089231,-0.037271,-0.540740,-0.165392,1.126670
L14,0.093090,0.000000,-0.130053,0.024098,0.120489,-0.287682,-0.030962,0.087519,0.087519,-0.006116,0.030032,0.030032,0.093090,-0.287682,0.115069,-0.006116,-0.006116,-0.030962,0.087519,-0.130053,-0.043621,0.125880,-0.037271,0.059189,0.053425,0.059189,0.030032,0.024098,-0.006116,-0.251750,-0.470004,-0.062914,-0.037271,-0.130053,-0.312375,-0.354934,0.926000,-0.075986,-0.605628,-0.095920,0.087519,0.059189,-0.095920,-0.123133,-0.006116,0.208401,-0.075986
L15,0.030032,-0.030962,0.024098,0.059189,0.000000,0.024098,-0.158224,-0.069429,-0.224669,-0.006116,-0.037271,0.000000,0.498556,0.120489,0.064920,0.213340,-0.062914,0.024098,-0.130053,-0.158224,-0.158224,0.035932,0.059189,0.064920,0.087519,-0.030962,-0.037271,-0.130053,0.030032,0.024098,0.157629,-0.006116,-0.158224,-0.194592,-0.376913,0.131242,0.284629,-0.158224,0.120489,0.213340,0.098631,0.024098,-0.006116,0.024098,0.590493,0.871395,0.906487
L16,0.125880,0.125880,0.053425,0.087519,0.064920,-0.006116,-0.069429,-0.578078,-0.130053,-0.095920,0.087519,0.024098,0.030032,0.120489,0.120489,0.213340,-0.006116,-0.069429,-0.102654,-0.187212,-0.062914,0.125880,0.030032,0.030032,0.120489,-0.006116,0.087519,0.000000,0.030032,0.125880,0.208401,-0.158224,0.000000,-0.123133,-0.217064,0.213340,0.087519,0.030032,0.237672,0.178248,0.087519,0.024098,0.030032,-0.209517,1.263162,0.333856,1.528175
L17,0.120489,-0.062914,-0.030962,-0.069429,-0.030962,0.000000,-0.158224,0.120489,-0.037271,-0.030962,0.120489,0.059189,0.120489,-0.069429,0.000000,-0.037271,0.024098,-0.030962,0.000000,-0.037271,0.064920,0.093090,0.059189,0.059189,0.188401,0.093090,0.053425,-0.037271,-0.037271,0.157629,0.218254,-0.030962,0.093090,0.000000,-0.247836,0.437468,-0.030962,0.213340,0.018127,-0.006116,0.152407,0.024098,-0.024693,-0.130053,-0.062914,0.911401,0.802767
L18,0.024098,0.059189,0.030032,0.000000,-0.158224,0.030032,0.030032,1.057113,0.655876,0.064920,0.213340,0.723179,9.993311,6.869597,2.300143,0.413562,0.024098,-0.062914,0.120489,0.368194,0.368194,0.087519,0.437468,0.280031,0.590493,0.035932,0.087519,0.059189,-0.037271,-0.069429,0.218254,-0.095920,0.000000,0.213340,0.247241,4.482037,0.680877,0.213340,0.047628,-0.006116,0.125880,0.000000,0.000000,-0.006116,0.649527,3.460386,-0.399386
L19,0.059189,0.087519,-0.130053,0.024098,-0.095920,0.006079,0.000000,-0.540740,-0.194592,-0.006116,0.024098,-0.102654,-0.385842,-0.413116,-0.012270,0.115069,0.152407,0.147158,0.024098,-0.006116,-0.095920,0.183337,0.093090,0.247241,0.125880,0.024098,0.059189,0.053425,0.064920,0.237672,0.120489,0.059189,0.087519,-0.069429,-0.202027,0.775064,0.270772,0.242468,0.498556,-0.075986,0.024098,0.059189,-0.030962,0.152407,0.945139,1.720150,0.649527
L20,-0.006116,-0.037271,0.087519,0.064920,0.120489,-0.187212,0.030032,-0.259624,-0.224669,0.093090,0.059189,-0.158224,-0.567267,-0.445906,-0.316550,0.035932,0.087519,0.183337,0.093090,-0.130053,-0.006116,0.093090,-0.095920,-0.130053,-0.376913,0.000000,0.059189,0.059189,0.030032,0.093090,-0.037271,0.087519,0.024098,-0.037271,-0.006116,-0.583527,0.157629,0.251992,0.409522,0.064920,0.120489,0.087519,0.125880,0.218254,0.491121,0.643137,2.510986
L21,-0.062914,0.024098,0.030032,0.087519,-0.037271,-0.006116,0.213340,1.161625,0.157629,0.093090,-0.095920,0.590493,1.599634,2.411111,1.035698,0.973178,0.000000,-0.062914,0.087519,0.188401,0.059189,0.183337,0.000000,0.053425,0.338213,0.059189,0.059189,0.087519,-0.069429,-0.130053,0.316234,-0.089231,0.059189,-0.062914,0.183337,1.184268,0.617161,0.247241,0.218254,-0.089231,0.125880,-0.006116,0.064920,-0.095920,-0.037271,0.935615,3.242020
L22,0.030032,0.087519,-0.006116,0.115069,-0.062914,0.059189,0.059189,-0.535518,-0.312375,-0.037271,-0.030962,-0.069429,-0.572658,-0.789067,-0.669050,-0.158224,0.000000,-0.030962,0.059189,-0.062914,-0.006116,0.059189,-0.006116,0.024098,-0.037271,-0.062914,0.030032,0.087519,0.152407,0.183337,-0.376913,0.059189,0.030032,-0.062914,0.183337,-0.202027,-0.095920,0.030032,0.093090,-0.006116,0.152407,0.000000,-0.062914,-0.062914,-0.037271,0.109620,3.199171
L23,0.059189,0.059189,0.000000,-0.006116,0.087519,0.093090,-0.165392,-0.663115,-0.376913,-0.095920,0.030032,-0.037271,-1.039423,-1.013890,-0.789067,-0.194592,-0.123133,0.030032,0.030032,0.059189,-0.037271,0.064920,0.120489,-0.037271,-0.030962,0.024098,0.000000,0.059189,0.000000,0.064920,-0.089231,0.093090,0.120489,0.064920,-0.095920,-0.354934,0.433523,-0.187212,0.030032,0.030032,-0.062914,0.059189,0.035932,0.093090,-0.247836,0.018127,2.329061
L24,0.120489,0.087519,-0.030962,0.000000,-0.030962,0.359719,0.093090,0.280031,0.000000,0.030032,0.093090,0.030032,0.120489,0.372404,-0.095920,-0.006116,0.000000,0.030032,0.000000,0.053425,0.000000,-0.006116,-0.030962,0.059189,0.059189,0.000000,0.053425,0.152407,-0.030962,0.024098,0.059189,-0.030962,0.030032,0.059189,0.093090,0.437468,0.218254,0.059189,0.024098,-0.006116,0.157629,0.000000,-0.024693,-0.217064,0.030032,0.178248,5.916071
L25,-0.037271,-0.006116,0.087519,0.087519,0.059189,0.087519,0.120489,0.275412,0.000000,0.000000,-0.030962,0.120489,0.845554,1.213682,0.213340,0.093090,0.115069,0.059189,0.030032,0.087519,0.115069,0.087519,0.000000,0.059189,0.059189,0.030032,-0.062914,0.000000,0.059189,0.000000,0.030032,0.024098,-0.006116,0.030032,0.064920,0.413562,0.157629,0.093090,0.059189,0.087519,0.059189,0.059189,0.093090,-0.130053,0.372404,0.000000,6.433371
L26,0.087519,0.087519,0.059189,0.000000,0.000000,0.059189,0.030032,-0.030962,0.093090,0.053425,0.093090,-0.037271,-0.283625,-0.320743,-0.062914,-0.030962,0.030032,0.053425,0.053425,0.059189,0.030032,0.053425,0.030032,0.115069,0.087519,0.024098,0.000000,0.120489,-0.006116,0.000000,-0.030962,0.030032,0.000000,0.030032,0.275412,0.024098,0.120489,0.000000,0.030032,0.087519,0.157629,0.059189,0.098631,-0.123133,0.120489,-0.224669,10.731085
L27,0.087519,0.030032,0.030032,-0.006116,0.000000,0.000000,-0.006116,0.213340,0.000000,0.000000,0.030032,0.000000,0.307305,0.372404,0.059189,0.030032,-0.037271,0.000000,0.147158,0.030032,0.059189,0.087519,0.087519,0.000000,0.030032,0.030032,0.000000,0.059189,0.115069,0.059189,0.087519,-0.030962,0.030032,0.030032,0.178248,0.157629,0.183337,0.115069,0.120489,0.087519,0.059189,-0.030962,0.035932,-0.275561,0.178248,-0.037271,4.533648
L28,-0.037271,-0.062914,-0.030962,0.087519,-0.006116,0.053425,0.030032,-0.030962,0.087519,0.030032,0.030032,0.087519,-0.006116,0.000000,0.087519,-0.030962,0.087519,0.030032,0.053425,0.030032,0.000000,0.000000,0.030032,0.030032,-0.030962,0.087519,0.030032,0.030032,0.030032,-0.030962,0.000000,0.000000,0.087519,0.059189,0.115069,0.087519,0.059189,0.087519,0.000000,0.087519,-0.062914,0.115069,0.188401,-0.465137,0.213340,0.059189,9.029161
L29,0.000000,0.030032,0.059189,0.000000,0.059189,0.087519,0.030032,0.000000,0.030032,0.000000,0.000000,0.030032,0.030032,0.030032,0.030032,0.030032,0.059189,0.000000,0.030032,0.000000,0.000000,0.030032,0.030032,0.115069,0.000000,0.000000,0.030032,0.000000,0.030032,0.087519,0.030032,0.030032,0.030032,0.030032,0.059189,0.030032,0.030032,0.030032,0.030032,0.000000,-0.030962,0.030032,0.059189,-0.271553,0.059189,0.087519,7.867470
L30,0.059189,0.183337,0.087519,0.115069,-0.006116,0.000000,0.000000,0.115069,0.000000,0.000000,0.115069,0.115069,0.115069,0.000000,0.115069,0.115069,0.000000,0.000000,0.115069,0.000000,0.000000,0.000000,0.120489,0.000000,0.000000,0.000000,0.000000,0.115069,0.000000,0.115069,0.000000,0.000000,0.000000,0.115069,0.115069,0.030032,0.115069,0.115069,0.000000,0.000000,0.030032,0.000000,0.030032,-0.217064,0.059189,0.059189,11.221610
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.674496
