layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:For,7: this,8: multiple,9: sclerosis,10: patient,"11:,",12: produce,13: a,14: focused,15: clinical,16: snapshot,17:.,"18:
",19:Include,20: only,21: demographic,22: and,23: relevant,24: past,25: medical,26: history,27:.,28: Start,29: your,30: response,31: with,32::,"33: """,34:Gender,35::,"36: ""","37:
",38:<,39:|,40:ass,41:istant,42:|>,"43:
",44:Gender,45::
L16,0.066894,0.066894,-0.031952,-0.025479,-0.092170,-0.092170,0.124053,0.151452,0.156842,0.693147,0.055060,0.030962,0.060995,-0.031952,0.030962,0.055060,-0.064958,0.000000,0.000000,0.000000,-0.064958,-0.156249,0.090151,0.000000,-0.092170,0.000000,-0.006309,0.000000,-0.064958,0.000000,-0.064958,-0.031952,0.037041,-0.120144,0.129593,0.219363,-0.038466,-0.012658,0.090151,0.060995,0.124053,0.101580,-0.216874,-0.038466,-0.163629,0.129593
L17,0.024846,0.030962,0.030962,-0.006309,0.000000,-0.064958,-0.031952,0.060995,-0.092170,0.565885,0.129593,-0.127262,-0.031952,0.030962,0.030962,0.090151,0.055060,-0.006309,0.000000,0.030962,0.090151,-0.099091,-0.127262,-0.031952,-0.058269,0.000000,0.095882,0.129593,-0.031952,-0.058269,-0.025479,0.030962,0.060995,-0.178555,0.244302,-0.031952,-0.099091,-0.293991,0.188591,0.060995,0.000000,0.006270,0.060995,-0.306730,0.244302,0.072759
L18,0.060995,0.095882,0.000000,0.095882,0.000000,0.060995,-0.006309,-0.134430,0.030962,8.522061,5.777691,1.068823,-0.031952,0.095882,0.282954,0.306374,0.499440,0.124053,0.347196,-0.064958,0.095882,0.594056,0.095882,0.000000,0.468430,0.249216,0.436427,0.573003,0.095882,0.060995,-0.031952,0.095882,0.254106,-0.148923,1.944112,0.078590,-0.134430,-0.163629,0.249216,0.292388,-0.064958,0.072759,-0.064958,-0.012658,-0.186102,0.204095
L19,-0.025479,0.030962,0.000000,-0.092170,-0.025479,0.188591,0.219363,0.124053,0.124053,-0.156249,-0.434175,0.060995,-0.058269,0.030962,0.055060,-0.092170,-0.064958,-0.031952,-0.092170,0.000000,0.095882,0.324723,0.055060,0.000000,0.037041,0.095882,0.037041,-0.025479,0.060995,-0.064958,0.030962,-0.186102,-0.186102,-0.256720,0.822740,0.006270,0.320168,0.244302,0.024846,0.124053,0.000000,0.101580,0.090151,0.432354,-0.113077,0.055060
L20,0.024846,0.060995,-0.031952,0.000000,0.219363,-0.064958,0.000000,0.000000,-0.031952,-0.345951,-0.328329,0.024846,0.124053,-0.006309,0.000000,0.024846,-0.071692,-0.099091,-0.092170,0.000000,-0.031952,-0.064958,0.090151,0.030962,0.060995,0.030962,0.024846,0.030962,-0.031952,0.055060,0.060995,-0.031952,-0.006309,-0.038466,0.239363,0.360441,0.090151,0.006270,0.156842,0.030962,-0.092170,0.072759,0.278203,0.183369,-0.574666,3.606147
L21,0.030962,0.000000,-0.092170,-0.031952,-0.006309,-0.092170,0.000000,0.030962,-0.006309,1.944112,1.754382,0.156842,-0.064958,0.024846,0.060995,0.060995,0.060995,0.060995,0.030962,0.000000,0.000000,0.224401,0.060995,-0.031952,0.000000,0.030962,0.037041,-0.031952,0.000000,-0.031952,-0.058269,-0.092170,0.030962,0.219363,0.748207,0.364818,-0.078472,-0.099091,-0.224717,-0.064958,0.060995,-0.120144,-0.031952,0.055060,0.491777,3.352439
L22,0.095882,0.030962,0.000000,0.000000,0.000000,0.090151,-0.156249,0.090151,-0.038466,-0.615728,-0.220788,-0.031952,0.030962,0.024846,-0.031952,-0.092170,-0.127262,-0.031952,-0.092170,0.000000,0.095882,-0.092170,0.030962,0.000000,0.060995,-0.031952,-0.031952,-0.092170,0.000000,0.000000,0.000000,-0.064958,0.024846,-0.092170,-0.031952,0.000000,-0.064958,0.030962,-0.071692,0.000000,0.000000,-0.064958,0.095882,0.244302,-0.483937,0.811629
L23,-0.031952,-0.025479,-0.031952,0.000000,0.000000,0.095882,-0.092170,-0.064958,0.030962,-0.515027,-0.473784,-0.092170,0.030962,-0.092170,0.030962,-0.092170,-0.092170,-0.092170,-0.186102,0.000000,-0.031952,-0.064958,-0.064958,0.000000,-0.064958,0.060995,0.030962,0.000000,-0.064958,-0.064958,0.000000,0.030962,-0.092170,-0.289781,-0.281412,0.347196,0.037041,0.193786,-0.064958,0.000000,-0.006309,0.101580,-0.031952,-0.156249,-0.085298,0.594056
L24,0.095882,0.000000,-0.031952,0.030962,-0.092170,0.742237,0.084387,0.030962,0.124053,0.407559,0.124053,0.030962,0.030962,0.030962,-0.092170,0.030962,-0.092170,0.000000,0.030962,0.030962,-0.064958,0.006270,-0.092170,-0.031952,0.030962,0.000000,0.060995,0.030962,-0.064958,0.030962,-0.064958,0.030962,0.000000,0.030962,0.444525,0.315591,0.066894,-0.006309,-0.031952,0.188591,0.030962,0.101580,-0.085298,-0.031952,0.342742,4.462867
L25,-0.031952,-0.025479,0.024846,0.000000,-0.064958,0.000000,0.024846,0.060995,0.095882,1.119360,0.060995,0.060995,0.000000,-0.031952,0.055060,0.000000,0.000000,-0.031952,0.060995,0.030962,0.124053,0.124053,0.000000,0.060995,0.030962,0.030962,0.090151,0.030962,-0.064958,-0.031952,0.095882,-0.031952,0.055060,0.024846,1.015595,0.373514,0.060995,0.060995,0.000000,-0.025479,0.060995,0.219363,-0.064958,-0.064958,-0.337101,3.407259
L26,0.000000,0.095882,0.000000,0.030962,0.030962,0.060995,-0.031952,0.030962,0.030962,-0.256720,-0.120144,0.030962,0.000000,-0.064958,0.030962,-0.031952,-0.031952,0.060995,-0.120144,0.000000,0.060995,-0.031952,0.000000,0.030962,0.030962,-0.031952,0.000000,0.030962,-0.064958,-0.064958,-0.031952,0.060995,0.030962,0.060995,-0.099091,0.373514,0.000000,-0.058269,0.090151,0.101580,0.030962,0.229413,-0.085298,-0.031952,-0.289781,11.064891
L27,0.030962,0.000000,0.000000,0.000000,0.030962,0.030962,0.060995,0.030962,0.000000,0.499440,0.095882,0.030962,0.030962,0.030962,-0.064958,0.030962,0.030962,0.060995,0.000000,-0.064958,0.000000,0.000000,0.060995,0.030962,0.000000,0.030962,0.030962,0.000000,0.000000,0.030962,0.030962,-0.031952,-0.031952,0.055060,0.024846,0.124053,0.060995,0.030962,-0.025479,0.060995,0.060995,0.193786,0.006270,0.055060,-0.134430,3.864760
L28,-0.031952,-0.031952,0.030962,0.000000,0.030962,0.000000,0.000000,0.000000,0.000000,0.000000,0.060995,0.030962,0.000000,0.000000,0.060995,-0.031952,0.030962,0.030962,0.000000,0.030962,0.000000,0.030962,-0.031952,-0.031952,-0.031952,-0.031952,-0.092170,-0.064958,0.000000,-0.064958,-0.092170,0.030962,-0.031952,0.000000,-0.031952,0.183369,-0.064958,0.030962,0.000000,-0.025479,-0.031952,0.292388,-0.277254,-0.031952,-0.031952,8.408140
L29,-0.064958,-0.064958,0.000000,0.000000,0.060995,0.030962,0.000000,-0.031952,0.000000,0.030962,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.031952,0.000000,0.000000,0.000000,0.000000,0.030962,0.000000,0.000000,0.030962,-0.031952,0.000000,0.000000,0.000000,0.000000,-0.031952,0.000000,0.030962,0.000000,0.030962,0.030962,0.000000,0.000000,0.030962,0.000000,0.060995,0.000000,-0.113077,0.030962,0.095882,6.364101
L30,0.060995,0.006270,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030962,0.000000,0.000000,0.000000,-0.099091,0.030962,0.030962,11.862099
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.325339
