layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Prep,7:are,8: a,9: brief,10: patient,11: presentatio,12: for,13: rheumatoid,14: arthritis,15:.,"16:
",17:Prior,18:it,19:ize,20: demographic,21: information,22: followed,23: by,24: major,25: PM,26:H,27:.,28: Begin,29: exactly,30: with,31::,"32: """,33:Gender,34::,"35: ""","36:
",37:<,38:|,39:ass,40:istant,41:|>,"42:
",43:Gender,44::
L19,-0.034606,-0.063179,-0.034606,0.052993,0.180051,0.312872,0.000000,0.052993,0.059423,0.145366,0.246009,0.219054,0.109434,-0.241162,-0.614676,-0.013699,0.097164,0.026847,0.065813,0.115513,0.090972,0.020203,0.059423,0.090972,0.084741,0.026847,0.342286,0.157062,0.059423,0.052993,0.090972,0.040005,0.052993,0.658542,0.277426,0.277426,0.151231,-0.170151,0.121555,0.000000,0.246009,0.059423,0.570249,0.554745,1.506342
L20,0.020203,0.020203,-0.013699,-0.006826,0.246009,-0.130620,0.084741,0.145366,0.059423,0.121555,0.168623,-0.142316,0.090972,-0.518794,-0.713766,-0.285417,0.052993,0.133531,0.168623,0.115513,0.084741,0.020203,0.059423,-0.034606,0.115513,0.115513,-0.150190,0.133531,0.020203,0.072162,0.000000,0.033448,-0.166127,-0.303682,0.322773,0.151231,0.097164,0.208064,0.090972,0.052993,0.185717,0.162859,0.421213,-0.331722,4.825480
L21,0.052993,0.026847,0.084741,0.052993,0.020203,0.033448,0.084741,0.046520,0.145366,0.115513,0.240676,0.460606,0.240676,1.261471,1.006019,0.151231,-0.013699,0.115513,0.020203,0.052993,0.191351,0.097164,0.145366,0.084741,0.145366,0.046520,-0.006826,0.115513,-0.041673,0.121555,0.052993,0.272258,0.208064,1.518337,0.337444,0.208064,-0.070452,0.020203,-0.063179,0.145366,0.090972,-0.055959,-0.077778,0.297834,4.767971
L22,0.115513,0.090972,0.084741,0.026847,0.000000,0.059423,0.059423,0.084741,0.090972,0.072162,-0.202941,-0.166127,-0.063179,-0.706846,-0.770925,-0.666300,-0.070452,0.084741,0.026847,0.052993,-0.158127,0.046520,0.145366,0.026847,0.026847,0.078472,0.078472,-0.077778,0.121555,0.020203,0.115513,-0.063179,0.078472,-0.162119,0.026847,0.026847,0.078472,-0.013699,0.208064,0.109434,0.020203,0.065813,0.168623,-0.100083,1.547707
L23,0.157062,0.090972,0.020203,0.052993,0.000000,0.115513,0.052993,0.115513,0.109434,0.115513,0.084741,0.078472,-0.063179,-0.816045,-0.929989,-0.420890,-0.092593,0.026847,0.052993,0.020203,0.109434,0.059423,0.000000,-0.006826,0.084741,0.052993,0.078472,0.052993,0.000000,0.026847,0.059423,0.052993,-0.390275,-0.249858,0.302872,0.052993,-0.092593,0.084741,0.090972,0.145366,0.006780,0.090972,-0.479573,0.084741,0.996019
L24,0.090972,0.090972,0.072162,0.026847,0.084741,1.066351,0.020203,0.052993,0.046520,-0.070452,0.052993,-0.034606,0.145366,0.277426,0.347105,0.000000,0.084741,0.084741,0.078472,0.115513,0.052993,0.084741,0.052993,0.059423,0.109434,0.145366,0.020203,0.145366,0.145366,0.109434,0.052993,0.052993,0.180051,0.699927,0.366154,0.121555,0.052993,0.109434,0.219054,0.026847,0.191351,-0.350861,-0.055959,0.498505,5.304658
L25,0.052993,0.046520,0.046520,0.046520,-0.020619,-0.006826,-0.006826,-0.034606,0.020203,-0.034606,0.020203,0.020203,0.046520,0.965405,0.802581,0.121555,0.020203,0.052993,0.020203,0.020203,0.084741,0.052993,-0.006826,0.020203,-0.041673,0.020203,0.084741,0.052993,0.059423,0.078472,0.020203,0.020203,0.196953,0.699927,0.235314,0.052993,0.180051,0.020203,0.145366,0.084741,0.219054,-0.142316,0.139466,-0.158127,4.512204
L26,0.000000,-0.034606,0.145366,0.000000,-0.041673,0.078472,0.020203,0.020203,-0.006826,0.109434,-0.063179,-0.006826,-0.013699,-0.232541,-0.294508,-0.063179,0.000000,0.078472,-0.006826,-0.034606,-0.041673,-0.006826,-0.041673,0.020203,0.000000,0.026847,-0.006826,0.026847,0.000000,0.000000,0.026847,-0.006826,0.033448,0.046520,0.151231,0.020203,0.000000,0.046520,0.185717,0.026847,0.174353,-0.254234,-0.020619,-0.263045,11.451791
L27,0.109434,-0.034606,-0.013699,-0.006826,0.026847,0.000000,-0.041673,-0.006826,-0.006826,0.026847,-0.041673,0.078472,-0.034606,0.430102,0.246009,-0.034606,0.020203,0.020203,-0.034606,-0.013699,-0.006826,-0.006826,-0.013699,0.020203,-0.013699,0.026847,-0.041673,-0.006826,-0.006826,0.020203,0.020203,0.046520,0.020203,0.168623,0.078472,-0.041673,0.000000,0.026847,0.213574,0.046520,0.267063,-0.415722,0.174353,-0.115235,5.493341
L28,-0.041673,-0.034606,-0.041673,-0.006826,-0.041673,-0.034606,-0.041673,0.052993,-0.034606,-0.034606,-0.034606,0.000000,-0.013699,0.020203,0.000000,-0.006826,0.109434,-0.006826,-0.006826,0.000000,0.000000,-0.034606,0.000000,-0.034606,0.020203,-0.006826,-0.006826,0.000000,0.000000,0.020203,0.078472,-0.006826,0.020203,0.139466,0.109434,0.000000,-0.034606,0.000000,-0.034606,-0.006826,0.202524,-0.640155,-0.041673,-0.006826,8.752442
L29,-0.041673,-0.063179,-0.006826,-0.006826,-0.013699,-0.006826,-0.006826,0.000000,-0.034606,-0.041673,-0.006826,0.000000,0.000000,-0.034606,-0.006826,0.000000,-0.006826,-0.006826,-0.006826,-0.034606,-0.006826,-0.006826,-0.006826,0.000000,0.000000,0.052993,-0.006826,0.000000,-0.006826,-0.034606,-0.013699,-0.006826,-0.006826,0.026847,0.026847,0.020203,-0.034606,0.059423,0.000000,-0.006826,0.052993,-0.571592,0.090972,0.026847,7.810742
L30,0.059423,0.145366,-0.034606,0.000000,-0.041673,-0.034606,-0.041673,-0.034606,-0.034606,-0.034606,-0.006826,-0.034606,-0.034606,0.000000,-0.034606,-0.034606,0.000000,-0.034606,-0.041673,-0.034606,-0.034606,-0.034606,-0.034606,-0.034606,0.109434,0.020203,-0.034606,0.000000,-0.034606,0.000000,-0.034606,-0.034606,-0.034606,-0.041673,0.000000,-0.034606,-0.034606,-0.006826,-0.041673,-0.006826,0.020203,-0.375312,-0.013699,0.020203,11.601190
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.242179
