layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Could,7: you,8: summarize,9: a,10: multiple,11: sclerosis,12: case,13: in,14: 4,15:-,16:5,17: sentences,"18:,",19: focusing,20: on,21: demographic,22: and,23: prior,24: medical,25: history,26:?,27: Your,28: first,29: text,30: must,31: be,32::,"33: """,34:Gender,35::,"36: ""","37:
",38:<,39:|,40:ass,41:istant,42:|>,"43:
",44:Gender,45::
L11,-0.061154,-0.093194,-0.025752,-0.121498,-0.140822,-0.008511,0.061621,-0.034486,0.053621,0.185142,0.033336,-0.339868,0.112117,-0.070204,-0.008511,0.033336,-0.025752,0.972319,0.020965,-0.121498,-0.047731,-0.140822,-0.388658,-0.030110,0.061621,0.104513,-0.131113,-0.088553,-0.131113,0.081346,-0.155564,-0.052186,-0.097856,0.033336,0.370979,0.199129,-0.909955,-0.838859,-0.093194,0.061621,-0.093194,-0.155564,-0.370082,0.688901,0.219748,-1.010656
L12,-0.061154,-0.034486,-0.083934,-0.056660,-0.116724,-0.004246,0.061621,-0.065669,-0.126294,-0.061154,-0.061154,-0.282048,-0.185717,-0.061154,-0.079337,-0.150626,-0.111974,0.497174,0.053621,-0.111974,-0.021414,-0.480225,-0.097856,-0.038882,-0.083934,-0.248896,-0.227390,-0.126294,-0.211558,-0.201142,-0.407586,-0.322168,0.353279,0.170958,0.069558,-0.180628,-0.718900,-0.688919,-0.206336,-0.079337,-0.030110,-0.175565,-0.150626,0.680354,0.253196,-0.522189
L13,-0.145712,-0.111974,-0.079337,-0.079337,-0.145712,-0.111974,0.096850,-0.079337,-0.065669,-0.079337,-0.074760,-0.310540,0.253196,-0.206336,-0.056660,-0.079337,-0.170527,-0.265335,0.266268,-0.061154,0.061621,-0.322168,-0.131113,-0.012793,-0.079337,-0.195974,-0.093194,-0.126294,-0.206336,0.077432,-0.304776,-0.259825,0.341303,0.399799,0.329182,0.640961,-0.304776,-0.265335,-0.065669,-0.061154,-0.079337,-0.017094,-0.038882,0.310720,-0.363965,0.127155
L14,-0.145712,-0.083934,-0.121498,-0.093194,-0.126294,-0.170527,-0.065669,-0.079337,-0.126294,-0.121498,-0.012793,-0.635518,-0.008511,0.008439,0.033336,-0.088553,-0.206336,-0.160527,-0.047731,-0.121498,0.029230,-0.276446,0.112117,-0.021414,0.033336,0.096850,-0.121498,-0.056660,-0.150626,0.020965,-0.088553,-0.065669,0.081346,0.304489,-0.426879,0.827737,-0.034486,-0.809871,-0.206336,0.037426,-0.061154,-0.034486,-0.333933,0.718253,-0.008511,-1.010656
L15,-0.056660,0.029230,-0.121498,-0.097856,-0.079337,-0.093194,-0.030110,-0.093194,-0.097856,-0.061154,0.029230,0.096850,-0.008511,-0.047731,-0.088553,-0.111974,-0.079337,0.008439,0.141970,-0.126294,-0.034486,-0.107246,-0.008511,0.000000,-0.008511,-0.065669,-0.126294,-0.004246,-0.038882,-0.116724,0.170958,0.069558,0.037426,-0.175565,-0.088553,0.163789,0.081346,0.449671,0.178075,0.037426,-0.025752,-0.131113,-0.131113,0.219748,0.571650,-0.819441
L16,0.073502,-0.074760,-0.111974,-0.056660,-0.140822,-0.126294,-0.017094,0.029230,-0.079337,0.033336,-0.004246,0.742744,-0.287682,-0.299046,-0.030110,-0.030110,-0.079337,0.029230,0.246595,-0.065669,-0.056660,-0.043297,-0.034486,0.053621,0.089128,0.141970,-0.180628,-0.088553,-0.185717,-0.065669,-0.038882,-0.034486,0.020965,-0.248896,-0.047731,-0.107246,-0.180628,-0.135956,0.233262,0.020965,-0.004246,0.000000,-0.433394,0.774493,0.427812,0.714112
L17,-0.056660,-0.116724,-0.065669,-0.093194,-0.088553,0.029230,-0.093194,-0.145712,0.096850,-0.180628,0.149296,0.399799,-0.165514,-0.238085,-0.083934,0.025106,0.000000,-0.107246,0.081346,-0.030110,-0.021414,0.112117,-0.056660,0.029230,0.033336,0.000000,-0.382427,-0.061154,-0.038882,-0.150626,-0.034486,-0.126294,0.141970,-0.093194,0.329182,0.156569,0.199129,0.310720,-0.038882,0.061621,-0.061154,0.045557,-0.259825,-0.190832,0.192160,-0.299046
L18,-0.056660,-0.061154,0.029230,-0.070204,-0.034486,-0.025752,-0.102540,0.000000,-0.126294,-0.121498,0.000000,4.284872,0.946343,0.272740,-0.061154,-0.030110,-0.150626,-0.265335,0.298220,-0.097856,-0.145712,0.065597,-0.093194,0.134590,-0.030110,0.316912,-0.243476,-0.070204,-0.008511,-0.170527,-0.206336,-0.333933,-0.008511,0.170958,0.878290,0.427812,0.347309,-0.420407,-0.195974,0.096850,-0.056660,0.104513,-0.401237,1.390523,0.892276,0.065597
L19,0.000000,0.008439,-0.088553,-0.102540,-0.025752,0.141970,-0.008511,-0.030110,-0.116724,-0.185717,-0.004246,-0.107246,-0.038882,-0.131113,-0.004246,0.000000,-0.047731,0.057629,0.089128,-0.056660,0.061621,-0.222085,0.081346,0.029230,-0.052186,0.053621,0.077432,0.077432,-0.034486,-0.034486,-0.038882,-0.093194,-0.004246,-0.357886,0.705779,-0.195974,0.206049,0.246595,-0.034486,-0.043297,-0.088553,0.033336,0.004228,0.618387,-0.043297,0.212922
L20,0.025106,0.025106,0.029230,-0.030110,0.089128,-0.185717,-0.030110,-0.038882,0.000000,-0.093194,-0.025752,-0.401237,-0.322168,-0.111974,-0.030110,0.053621,-0.065669,-0.093194,0.057629,-0.030110,-0.093194,-0.034486,-0.093194,-0.008511,0.053621,-0.074760,-0.155564,-0.070204,-0.088553,0.025106,-0.065669,0.053621,-0.021414,-0.243476,0.219748,0.119665,0.134590,-0.287682,-0.061154,0.149296,-0.030110,0.069558,-0.079337,0.008439,0.486811,1.550084
L21,0.012632,-0.008511,0.000000,-0.030110,-0.061154,-0.030110,-0.061154,-0.030110,-0.025752,-0.030110,0.008439,2.719286,0.789997,0.279171,0.000000,-0.030110,0.000000,-0.043297,0.219748,0.053621,-0.056660,0.119665,0.000000,0.069558,0.061621,0.127155,0.156569,0.061621,-0.004246,-0.061154,-0.088553,-0.056660,0.008439,0.365114,0.926409,0.298220,-0.111974,-0.357886,-0.025752,0.065597,0.033336,0.156569,-0.150626,0.192160,0.718253,2.829217
L22,0.061621,-0.056660,0.053621,0.000000,-0.025752,-0.004246,-0.065669,0.061621,0.025106,-0.030110,-0.056660,-0.270875,-0.093194,0.029230,-0.038882,-0.061154,-0.061154,-0.116724,-0.030110,0.089128,-0.034486,0.081346,-0.121498,0.053621,-0.043297,0.069558,-0.061154,-0.065669,-0.030110,0.025106,-0.008511,-0.061154,-0.093194,0.089128,0.041500,-0.102540,0.037426,0.081346,-0.065669,0.053621,0.061621,-0.034486,-0.079337,0.253196,0.298220,2.898811
L23,0.029230,0.061621,-0.038882,0.053621,-0.061154,0.029230,-0.004246,-0.004246,0.061621,-0.126294,0.041500,-0.439951,-0.097856,-0.093194,0.053621,-0.052186,-0.004246,0.000000,-0.008511,0.053621,-0.030110,0.029230,-0.056660,0.029230,0.061621,-0.021414,-0.056660,-0.065669,0.049597,0.089128,-0.025752,-0.008511,-0.083934,-0.426879,0.279171,0.492006,-0.140822,-0.155564,-0.030110,-0.047731,0.053621,0.081346,0.073502,-0.025752,0.253196,3.196942
L24,0.096850,0.000000,0.029230,-0.004246,0.025106,0.279171,0.053621,0.029230,-0.088553,0.025106,0.000000,0.388371,0.081346,-0.008511,0.053621,0.061621,0.089128,-0.004246,0.061621,-0.030110,0.053621,0.096850,0.000000,-0.012793,-0.093194,0.000000,-0.061154,-0.008511,-0.061154,0.025106,-0.038882,0.025106,0.061621,0.073502,0.455062,0.323066,0.112117,0.089128,0.057629,0.004228,0.029230,0.163789,-0.363965,0.163789,0.178075,2.649894
L25,0.000000,0.000000,0.049597,0.020965,-0.088553,0.061621,-0.061154,0.049597,0.020965,0.000000,0.000000,1.386294,0.112117,0.053621,0.000000,-0.008511,-0.004246,0.033336,0.029230,0.057629,0.029230,0.127155,0.029230,0.029230,0.119665,-0.061154,0.089128,-0.030110,0.081346,-0.004246,0.029230,-0.004246,-0.025752,0.104513,0.178075,0.185142,0.089128,0.112117,0.029230,0.053621,0.081346,0.226528,-0.333933,0.365114,-0.111974,5.889253
L26,0.061621,0.029230,0.008439,0.029230,0.053621,0.057629,0.000000,0.053621,0.089128,0.061621,0.061621,0.073502,-0.038882,0.053621,0.029230,0.061621,-0.004246,0.049597,0.061621,0.149296,0.061621,0.053621,0.025106,0.053621,0.029230,0.089128,0.089128,0.081346,0.025106,0.061621,0.089128,0.061621,0.037426,0.359214,0.089128,0.285561,0.000000,0.053621,0.000000,0.096850,0.053621,0.233262,-0.299046,0.316912,-0.155564,11.323629
L27,0.029230,0.029230,-0.034486,0.089128,-0.038882,0.053621,0.029230,0.057629,0.061621,0.089128,0.061621,0.471062,0.061621,0.061621,0.029230,0.061621,0.053621,0.061621,0.029230,-0.034486,0.061621,0.029230,0.061621,0.029230,0.057629,0.000000,0.029230,0.020965,0.061621,0.061621,0.061621,0.061621,0.029230,0.065597,0.185142,0.127155,0.149296,0.061621,0.061621,0.000000,0.061621,0.206049,-0.426879,0.212922,-0.079337,2.668875
L28,0.053621,-0.056660,0.119665,0.089128,0.029230,0.089128,0.089128,0.119665,0.061621,0.061621,0.089128,0.119665,0.029230,0.089128,0.061621,0.089128,0.037426,0.057629,0.089128,0.141970,0.061621,0.089128,0.057629,0.089128,0.089128,0.112117,-0.004246,0.061621,0.089128,0.089128,0.061621,0.119665,0.061621,-0.017094,0.127155,0.112117,0.089128,-0.004246,-0.004246,0.119665,0.029230,0.298220,-0.558557,0.127155,-0.030110,8.772983
L29,0.029230,0.020965,0.061621,0.089128,0.053621,0.000000,0.029230,-0.004246,0.029230,0.029230,0.000000,0.061621,0.029230,0.029230,0.029230,0.029230,0.061621,0.029230,0.029230,-0.004246,0.029230,0.029230,0.029230,0.000000,0.029230,0.029230,0.029230,0.029230,0.029230,0.000000,0.029230,0.029230,0.029230,0.061621,0.029230,0.156569,-0.004246,0.029230,0.029230,0.061621,0.000000,0.096850,-0.201142,0.185142,0.089128,7.608021
L30,0.061621,0.178075,-0.030110,0.000000,-0.004246,0.000000,0.000000,0.000000,-0.004246,0.000000,-0.004246,0.000000,-0.004246,0.000000,0.000000,-0.004246,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004246,-0.004246,0.000000,0.000000,0.000000,-0.004246,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004246,0.029230,-0.034486,0.104513,-0.004246,0.000000,-0.004246,0.029230,0.000000,0.061621,-0.304776,0.178075,0.053621,11.343563
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.855599
