layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Output,7: a,8: single,9: chart,10:-,11:style,12: line,13: for,14: depression,15: using,16: this,17: pattern,18::,19: demographic,20: |,21: PM,22:H,23:.,24: Begin,25: exactly,26: with,27::,"28: """,29:Gender,30::,"31: ""","32:
",33:<,34:|,35:ass,36:istant,37:|>,"38:
",39:Gender,40::
L11,0.065667,0.078299,0.035558,0.017937,0.009009,0.069896,0.103093,0.061421,0.257823,0.090773,0.069896,0.229453,0.057157,-0.341906,0.061421,0.022372,0.099003,-0.055827,-0.463673,0.424874,-0.262356,-0.018265,0.123295,-0.046303,0.000000,-0.080041,0.069896,0.078299,0.406963,0.090773,-0.298287,0.344833,0.509910,-0.125160,-0.004535,0.090773,-0.022884,-0.172411,0.531416,-0.120045,-0.099843
L12,0.057157,0.048573,0.039916,0.026787,0.057157,-0.018265,0.111223,0.044254,0.162515,-0.151134,-0.009091,-0.216373,-0.027524,0.052874,0.035558,0.222233,0.052874,-0.084954,-0.274190,-0.027524,-0.130301,0.078299,0.298924,0.331930,-0.199660,-0.004535,-0.172411,-0.298287,-0.013667,0.185329,0.448267,-0.156411,0.229453,-0.130301,0.026787,0.044254,0.086632,-0.004535,0.758802,-0.109893,-1.506250
L13,0.048573,0.052874,-0.027524,0.052874,0.035558,0.044254,0.013483,-0.065442,0.229453,-0.135469,-0.032186,0.177782,-0.114956,-0.205200,0.131263,-0.080041,0.022372,0.103093,-0.109893,0.185329,0.236621,0.139168,0.048573,0.147011,0.074106,-0.009091,-0.080041,0.135223,0.192820,0.099003,0.107166,0.026787,0.331930,-0.387515,0.017937,-0.009091,0.123295,0.031182,0.044254,-0.292208,-0.151134
L14,0.078299,0.086632,0.035558,0.039916,-0.055827,0.004515,0.013483,-0.222006,0.111223,-0.151134,0.057157,0.143097,-0.167049,0.090773,0.057157,0.031182,0.115263,0.026787,0.013483,-0.084954,0.684043,0.123295,0.170178,-0.089893,0.004515,0.035558,-0.027524,0.264792,-0.065442,0.052874,0.022372,0.061421,-0.099843,0.074106,0.065667,0.074106,0.031182,0.103093,0.048573,-0.244864,0.078299
L15,0.078299,0.065667,0.103093,0.009009,0.111223,0.069896,0.099003,-0.004535,0.103093,-0.051054,0.052874,-0.407717,0.236621,-0.065442,0.103093,-0.089893,0.031182,0.131263,-0.130301,0.123295,0.009009,0.035558,-0.041575,0.207634,0.069896,0.026787,0.131263,0.143097,0.013483,0.147011,0.119287,0.061421,0.061421,0.035558,0.052874,0.052874,0.135223,0.035558,0.207634,-0.280160,0.412969
L16,0.057157,0.052874,0.017937,0.044254,0.057157,0.044254,0.057157,-0.018265,0.048573,-0.233370,0.026787,-0.227672,0.026787,-0.421415,-0.046303,-0.055827,0.022372,-0.060623,0.094896,0.430774,0.035558,0.026787,0.192820,0.044254,0.139168,-0.065442,-0.027524,0.004515,-0.183222,0.185329,-0.099843,0.264792,0.318858,-0.140663,0.078299,0.031182,0.082474,-0.380871,0.598278,0.388726,1.039572
L17,0.052874,0.052874,0.000000,0.048573,0.017937,0.048573,0.039916,-0.013667,0.061421,0.065667,0.099003,0.236621,-0.348296,-0.244864,-0.065442,-0.205200,0.017937,0.115263,0.044254,0.135223,-0.130301,-0.018265,-0.233370,-0.130301,0.009009,-0.041575,0.017937,-0.055827,0.004515,0.257823,0.271712,-0.188671,-0.161716,-0.177802,0.147011,0.026787,0.131263,0.052874,0.031182,0.147011,-0.585957
L18,0.048573,0.057157,0.022372,0.031182,0.039916,0.022372,0.039916,0.044254,0.123295,0.229453,0.119287,-0.027524,-0.065442,-0.280160,0.013483,0.086632,0.044254,0.048573,-0.109893,0.305613,-0.036870,0.115263,0.004515,0.009009,-0.194150,0.022372,-0.036870,-0.009091,-0.046303,0.127287,-0.051054,0.107166,0.292190,-0.013667,0.086632,0.099003,0.207634,0.285411,0.448267,-0.335557,-1.080623
L19,0.026787,0.065667,0.069896,0.057157,0.090773,-0.036870,0.069896,0.052874,0.052874,0.185329,0.135223,0.298924,0.022372,0.035558,-0.199660,-0.167049,0.044254,0.170178,0.009009,0.107166,0.009009,-0.120045,-0.027524,-0.114956,0.004515,0.026787,0.069896,-0.004535,-0.070285,0.207634,-0.084954,0.331930,0.298924,0.099003,0.086632,0.099003,0.090773,0.078299,0.344833,-0.080041,0.646830
L20,0.017937,0.022372,0.031182,0.026787,0.078299,0.065667,0.074106,0.094896,0.048573,0.222233,0.052874,0.200254,0.185329,0.048573,-0.022884,0.127287,0.044254,0.107166,0.039916,-0.156411,-0.027524,0.004515,0.135223,0.009009,0.022372,-0.004535,0.031182,0.044254,0.000000,0.082474,0.154793,0.264792,0.222233,-0.009091,0.026787,0.039916,0.123295,0.094896,-0.250661,-0.310557,0.902607
L21,0.052874,0.052874,0.009009,0.004515,0.013483,0.052874,0.004515,0.017937,0.052874,0.082474,-0.070285,-0.089893,0.086632,0.078299,0.052874,0.013483,0.026787,-0.022884,0.035558,0.013483,0.057157,-0.022884,0.000000,-0.140663,-0.009091,0.057157,0.039916,0.044254,0.111223,0.250806,0.078299,0.465459,0.086632,0.214960,0.057157,0.048573,0.123295,0.214960,0.135223,0.074106,-1.178596
L22,0.035558,0.026787,0.004515,0.013483,0.039916,0.035558,0.017937,0.031182,0.026787,0.115263,0.035558,0.119287,0.200254,0.094896,0.154793,-0.022884,-0.009091,0.004515,-0.036870,0.061421,-0.004535,0.044254,0.048573,0.000000,-0.004535,0.004515,-0.004535,-0.013667,0.039916,0.013483,-0.080041,0.214960,0.031182,0.031182,-0.032186,0.035558,0.009009,-0.027524,0.069896,-0.329248,-0.748946
L23,0.022372,0.039916,0.022372,0.009009,0.013483,0.035558,0.013483,0.009009,0.031182,-0.004535,-0.009091,0.013483,-0.055827,0.086632,-0.036870,0.017937,0.026787,0.031182,0.013483,0.039916,-0.027524,0.022372,0.031182,0.048573,0.065667,0.004515,0.026787,0.039916,-0.009091,0.022372,0.039916,0.482360,0.107166,-0.032186,0.065667,0.035558,0.139168,0.099003,0.222233,-0.172411,1.369161
L24,0.031182,0.022372,0.013483,-0.009091,0.035558,0.035558,0.017937,0.031182,0.022372,0.000000,0.031182,0.004515,0.069896,0.022372,0.048573,0.009009,0.035558,-0.004535,0.035558,0.013483,0.069896,0.009009,0.035558,0.044254,0.013483,0.026787,0.013483,0.017937,0.039916,-0.041575,0.004515,-0.188671,0.004515,-0.046303,0.031182,0.061421,0.177782,-0.060623,0.131263,-0.222006,-0.522947
L25,0.009009,0.031182,-0.004535,0.009009,0.009009,-0.013667,0.004515,0.013483,0.013483,-0.004535,0.017937,0.009009,0.103093,0.000000,0.022372,0.013483,0.009009,0.009009,0.026787,-0.013667,0.052874,0.103093,0.000000,0.035558,-0.004535,-0.004535,0.026787,0.026787,0.035558,0.013483,-0.104855,-0.135469,-0.018265,0.022372,0.031182,0.052874,0.074106,-0.099843,-0.080041,-0.125160,0.039916
L26,0.013483,0.009009,-0.009091,0.009009,-0.013667,-0.004535,0.000000,-0.004535,0.000000,-0.004535,0.031182,0.000000,0.048573,0.009009,0.057157,0.017937,-0.004535,0.000000,0.026787,0.009009,0.061421,-0.027524,0.017937,0.035558,0.017937,0.009009,0.026787,0.039916,0.074106,0.143097,-0.009091,0.170178,-0.004535,-0.009091,0.086632,0.026787,0.162515,-1.303747,-0.060623,0.009009,-1.054308
L27,0.009009,-0.009091,-0.004535,0.000000,-0.027524,0.000000,0.004515,-0.004535,-0.004535,0.004515,0.017937,0.017937,0.009009,0.000000,0.000000,0.000000,0.000000,0.013483,0.000000,-0.018265,0.004515,0.009009,0.013483,0.009009,-0.009091,0.009009,0.000000,0.013483,0.035558,-0.018265,-0.099843,0.004515,-0.009091,-0.018265,0.013483,0.013483,0.154793,-0.887266,-0.109893,0.078299,0.074106
L28,0.004515,0.004515,-0.013667,-0.009091,-0.013667,0.004515,0.009009,-0.004535,0.004515,0.009009,0.000000,0.009009,-0.004535,-0.004535,-0.009091,0.004515,0.000000,0.000000,-0.013667,-0.004535,-0.004535,0.004515,0.000000,0.000000,-0.018265,0.000000,0.000000,0.000000,0.000000,-0.032186,-0.104855,0.000000,-0.004535,-0.013667,-0.009091,0.009009,0.170178,-0.979278,0.000000,-0.004535,0.065667
L29,-0.009091,-0.004535,0.009009,-0.004535,0.004515,-0.013667,-0.004535,-0.004535,-0.004535,0.004515,0.000000,-0.009091,-0.009091,-0.013667,0.009009,-0.004535,-0.004535,0.000000,0.000000,0.017937,0.004515,-0.018265,0.004515,-0.004535,0.009009,-0.009091,-0.009091,0.000000,0.000000,-0.004535,0.017937,0.004515,0.004515,0.013483,0.009009,-0.009091,0.013483,-1.355036,0.044254,0.039916,0.357572
L30,-0.013667,-0.004535,-0.004535,0.000000,-0.018265,-0.004535,0.000000,-0.013667,-0.004535,0.000000,0.004515,-0.009091,-0.004535,-0.009091,0.004515,-0.004535,-0.009091,-0.004535,0.000000,-0.009091,0.004515,-0.018265,-0.004535,-0.009091,-0.009091,0.004515,-0.004535,-0.009091,-0.013667,0.000000,-0.032186,-0.009091,-0.013667,0.000000,-0.013667,-0.004535,0.009009,-0.084954,0.004515,0.009009,-0.018265
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.657563
