layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Clinical,7: task,8::,9: summarize,10: a,11: case,12: of,13: rheumatoid,14: arthritis,15:.,"16:
",17:Report,18: demographic,19: and,20: pertinent,21: prior,22: medical,23: history,24: in,25: concise,26: form,27:.,28: First,29: characters,30: must,31: be,32::,"33: """,34:Gender,35::,"36: ""","37:
",38:<,39:|,40:ass,41:istant,42:|>,"43:
",44:Gender,45::
L14,0.057759,-0.038572,-0.067064,-0.055570,0.067911,-0.209721,-0.090457,-0.067064,0.047502,0.037140,-0.096392,-0.120489,-0.055570,0.268582,-0.120489,-0.108368,-0.096392,-0.067064,0.000000,0.067911,-0.061301,0.037140,0.026668,0.102654,-0.032970,-0.005420,-0.114410,-0.090457,0.097764,-0.236749,0.042334,0.010753,-0.250543,-0.090457,-0.767180,-0.278713,-0.229923,0.324822,0.168716,0.087912,-0.090457,-0.096392,-0.151452,-0.016349,-0.566395,0.400045
L15,0.037140,-0.090457,-0.126606,-0.032970,-0.038572,-0.090457,0.037140,-0.055570,0.000000,-0.032970,-0.126606,-0.203076,-0.183403,-0.183403,-0.157761,0.047502,-0.176931,0.010753,0.154923,-0.055570,0.042334,0.102654,-0.021859,-0.055570,0.057759,-0.157761,-0.138951,-0.145182,-0.061301,0.177807,-0.067064,-0.072861,-0.072861,-0.132759,-0.345158,0.195745,-0.021859,0.005391,0.097764,0.177807,-0.038572,-0.010870,-0.044206,-0.061301,0.087912,-0.078692
L16,-0.084557,-0.102362,-0.067064,-0.055570,0.057759,-0.005420,0.005391,-0.096392,0.005391,0.062848,0.077962,-0.157761,-0.176931,-0.044206,0.037140,-0.090457,0.000000,-0.096392,0.107520,-0.151452,0.005391,-0.151452,0.016086,0.072949,0.067911,0.026668,-0.010870,-0.021859,0.010753,-0.330007,-0.038572,-0.078692,-0.229923,-0.044206,-0.449671,0.168716,-0.257511,-0.090457,0.082949,0.200179,0.037140,0.107520,-0.176931,0.112363,0.087912,1.004203
L17,-0.021859,-0.038572,0.005391,-0.126606,-0.096392,-0.055570,-0.005420,-0.032970,0.005391,0.121978,-0.027399,-0.005420,-0.151452,0.293073,0.121978,0.092850,-0.027399,0.000000,-0.027399,-0.145182,-0.032970,0.067911,0.010753,0.177807,-0.084557,-0.016349,-0.061301,-0.102362,-0.032970,-0.337554,-0.223144,-0.132759,-0.126606,0.077962,0.378066,0.320908,-0.055570,-0.157761,-0.021859,0.016086,-0.021859,0.026668,-0.084557,-0.027399,-0.138951,0.529037
L18,0.021391,-0.072861,0.057759,0.005391,-0.072861,0.010753,0.037140,0.067911,0.037140,0.000000,-0.090457,0.496672,-0.032970,5.441153,1.609438,0.400045,-0.027399,0.092850,0.449525,0.097764,0.026668,0.256108,0.087912,0.496672,0.067911,0.031918,0.077962,0.186816,-0.114410,-0.209721,-0.096392,0.092850,0.072949,0.332604,5.661025,-0.108368,-0.176931,-0.176931,0.191290,0.102654,0.005391,0.037140,-0.203076,-0.005420,-0.547527,-0.315081
L19,0.021391,-0.067064,-0.032970,-0.090457,0.031918,-0.049872,-0.032970,-0.102362,-0.126606,0.121978,0.067911,-0.229923,-0.145182,-0.360543,-0.315081,0.000000,0.057759,-0.096392,-0.044206,-0.096392,-0.021859,0.005391,0.005391,-0.005420,-0.157761,0.021391,-0.044206,-0.072861,-0.096392,-0.330007,0.000000,-0.067064,-0.223144,0.057759,0.234965,0.222062,-0.078692,-0.157761,0.067911,0.092850,0.067911,0.222062,-0.044206,0.062848,-0.203076,2.225646
L20,-0.132759,0.005391,-0.032970,-0.096392,0.097764,-0.229923,-0.027399,0.037140,0.005391,0.067911,-0.027399,-0.209721,0.047502,-0.044206,-0.108368,0.195745,-0.032970,-0.061301,-0.096392,-0.061301,0.067911,-0.055570,-0.096392,0.087912,-0.067064,-0.038572,-0.027399,-0.096392,-0.084557,-0.164110,-0.027399,-0.157761,-0.337554,0.016086,-0.209721,0.276812,-0.005420,-0.114410,-0.027399,0.026668,0.026668,0.092850,0.112363,0.021391,-0.552211,3.134083
L21,0.031918,-0.010870,-0.157761,-0.096392,-0.223144,0.005391,0.026668,0.000000,-0.061301,-0.021859,0.067911,0.191290,0.154923,0.745791,0.861863,0.072949,-0.084557,-0.067064,0.226382,0.005391,-0.067064,0.087912,-0.067064,0.222062,0.000000,-0.032970,0.021391,0.037140,-0.049872,-0.300375,-0.157761,-0.126606,-0.072861,0.010753,1.158070,0.126752,-0.132759,-0.027399,-0.170500,0.067911,0.026668,0.021391,-0.114410,-0.145182,-0.170500,3.542603
L22,-0.038572,0.021391,-0.145182,0.005391,-0.027399,0.005391,-0.126606,-0.067064,0.037140,0.057759,-0.032970,0.067911,-0.027399,-0.151452,-0.044206,-0.157761,-0.157761,0.037140,0.131502,0.000000,-0.067064,-0.032970,0.000000,-0.032970,-0.084557,0.026668,-0.038572,-0.005420,-0.090457,-0.271596,0.026668,-0.067064,-0.016349,0.150282,-0.497403,-0.055570,0.057759,0.031918,-0.084557,0.037140,-0.126606,-0.032970,-0.067064,0.112363,-0.078692,1.719867
L23,-0.038572,0.026668,0.037140,-0.032970,0.097764,0.005391,-0.032970,-0.005420,0.037140,0.026668,-0.027399,-0.061301,-0.027399,-0.552211,-0.519875,-0.096392,-0.126606,-0.032970,-0.005420,0.005391,0.000000,-0.055570,-0.096392,-0.090457,0.005391,0.005391,-0.061301,-0.027399,-0.061301,-0.120489,-0.090457,-0.120489,-0.151452,-0.157761,-0.038572,0.092850,-0.067064,-0.102362,-0.032970,-0.038572,-0.055570,-0.032970,0.042334,-0.157761,-0.084557,2.930112
L24,0.062848,-0.010870,0.000000,-0.032970,-0.010870,0.490071,0.005391,0.037140,-0.032970,0.026668,-0.067064,-0.032970,0.037140,0.247704,0.268582,0.077962,-0.027399,-0.027399,-0.038572,0.057759,-0.032970,-0.067064,0.097764,0.092850,0.037140,-0.067064,0.037140,0.000000,0.000000,0.005391,0.000000,-0.055570,0.164139,-0.005420,0.301105,-0.005420,-0.090457,-0.061301,0.067911,0.072949,0.005391,0.182322,-0.061301,0.016086,0.072949,5.071688
L25,-0.005420,0.057759,-0.067064,0.000000,0.062848,-0.005420,-0.084557,-0.032970,-0.027399,-0.067064,0.067911,-0.067064,-0.032970,0.414434,0.385446,0.062848,0.037140,0.026668,-0.005420,-0.032970,-0.027399,-0.005420,0.057759,0.000000,0.097764,0.000000,0.000000,0.000000,0.062848,-0.102362,0.062848,0.062848,0.154923,0.026668,-0.027399,-0.108368,0.005391,-0.102362,0.026668,0.131502,-0.055570,0.092850,0.087912,-0.120489,-0.322516,3.491252
L26,-0.027399,0.037140,-0.005420,0.031918,-0.010870,0.062848,0.026668,-0.055570,0.062848,-0.005420,-0.084557,-0.005420,0.021391,-0.157761,-0.157761,-0.102362,0.000000,0.026668,-0.072861,0.000000,-0.067064,0.000000,0.000000,0.026668,0.057759,0.057759,-0.067064,0.057759,0.000000,-0.005420,-0.072861,0.005391,0.092850,0.087912,-0.027399,0.052644,0.021391,0.031918,0.062848,0.047502,-0.067064,0.145620,0.016086,0.067911,-0.209721,10.804493
L27,-0.032970,-0.067064,-0.102362,0.026668,-0.084557,0.000000,-0.038572,0.000000,-0.067064,0.026668,0.000000,0.000000,0.026668,0.067911,0.226382,-0.010870,-0.072861,0.000000,-0.032970,-0.067064,0.037140,-0.067064,0.000000,0.000000,0.026668,-0.067064,-0.072861,-0.102362,0.000000,-0.032970,-0.084557,-0.067064,-0.038572,-0.005420,0.047502,-0.032970,0.000000,-0.067064,-0.102362,0.026668,-0.067064,0.213366,-0.090457,0.087912,-0.157761,5.071688
L28,-0.132759,-0.032970,0.000000,0.000000,-0.032970,0.000000,-0.032970,-0.067064,-0.032970,0.000000,-0.032970,-0.032970,-0.032970,-0.102362,-0.032970,-0.032970,0.000000,-0.032970,-0.067064,0.000000,0.000000,-0.032970,-0.102362,0.000000,-0.032970,0.000000,-0.032970,-0.032970,-0.032970,-0.032970,-0.032970,0.000000,-0.032970,-0.102362,0.107520,-0.157761,-0.032970,-0.067064,0.000000,-0.132759,-0.090457,0.191290,-0.352821,0.021391,-0.061301,8.003020
L29,-0.032970,-0.032970,0.000000,0.000000,-0.120489,0.000000,0.000000,0.000000,-0.032970,0.000000,-0.032970,-0.032970,0.000000,-0.032970,0.000000,-0.032970,-0.032970,-0.032970,-0.032970,-0.032970,-0.032970,-0.032970,0.000000,-0.032970,0.000000,-0.032970,-0.032970,-0.032970,0.000000,-0.032970,-0.032970,-0.032970,0.000000,0.000000,0.026668,-0.032970,-0.032970,-0.032970,0.000000,-0.102362,0.005391,0.037140,-0.462465,0.037140,-0.038572,5.976337
L30,0.067911,0.052644,-0.027399,-0.032970,-0.102362,0.005391,0.005391,0.000000,0.000000,0.000000,0.000000,-0.027399,0.000000,-0.032970,-0.027399,0.005391,-0.102362,-0.102362,0.005391,0.000000,0.000000,-0.032970,0.005391,0.005391,0.000000,-0.102362,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.132759,-0.102362,0.000000,-0.032970,-0.027399,-0.102362,0.000000,-0.132759,-0.016349,-0.072861,-0.322516,-0.067064,-0.120489,11.375342
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.037639
