layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:As,7: a,8: clinical,9: documentati,10: task,11: for,12: asthma,"13:,",14: summarize,15: demographic,16: information,17: and,18: significant,19: prior,20: medical,21: history,22: only,23:.,24: Begin,25: with,26::,"27: """,28:Gender,29::,"30: ""","31:
",32:<,33:|,34:ass,35:istant,36:|>,"37:
",38:Gender,39::
L11,-0.015693,-0.020980,0.065110,0.117398,-0.245386,0.020549,0.140041,0.158153,0.074911,0.140041,0.070023,0.050476,0.446889,0.262858,-0.791029,0.144600,-0.225433,0.005177,0.162630,-0.127050,0.020549,-0.169102,-0.410050,-0.828832,-0.047632,0.218234,-0.121100,0.201187,0.516989,-1.504561,-0.516943,-0.388116,-0.205871,0.000000,-0.053160,-0.138454,0.079776,-0.644625,-0.036940,-0.258913
L12,0.070023,-0.005204,0.328543,-0.075298,-0.115185,0.050476,0.266086,0.050476,0.015451,-0.133036,0.289967,-0.015693,-0.181629,0.103277,0.536849,0.358367,-0.403734,-0.194314,-0.187951,-0.086696,0.158153,-0.200718,0.179462,-1.449323,0.238313,-0.419599,-0.086696,-0.336768,-0.133036,0.229995,-0.265745,-0.015693,-0.252127,0.050476,0.045466,0.020549,-0.252127,0.838067,-0.372738,0.460247
L13,0.183845,0.158153,-0.031637,0.074911,0.130861,0.065110,-0.010435,0.209747,0.070023,-0.058718,-0.036940,-0.138454,0.045466,0.045466,0.079776,-0.200718,-0.218870,0.192554,0.045466,-0.092445,0.050476,-0.092445,-0.187951,0.065110,-0.205871,-0.689687,-0.590062,-0.225433,-1.079254,-0.010435,-0.499469,0.149138,-1.156389,-0.086696,0.025556,-0.031637,-0.103459,-0.781797,-0.232040,-0.723784
L14,0.371503,0.328543,0.188209,-0.015693,0.117398,0.025556,0.140041,0.266086,0.030667,0.098526,-0.075298,0.313290,-0.336768,0.025556,0.289967,0.020549,-0.064307,0.266086,0.070023,0.179462,0.313290,0.229995,-0.299207,-0.868120,0.257997,-0.015693,-0.133036,-0.403734,-0.299207,-0.984872,-0.144509,-0.489130,0.218234,-0.005204,-0.053160,-0.097647,-0.075298,-0.036940,-0.121100,-0.042409
L15,0.010327,-0.047632,0.010327,-0.005204,-0.042409,0.065110,0.025556,0.167087,-0.026227,-0.232040,0.084617,0.153655,-0.499469,0.162630,0.205476,-0.144509,0.005177,-0.015693,0.005177,0.093752,-0.200718,-0.677195,-0.194314,-0.452107,-0.036940,-0.218870,-0.175346,-0.258913,-0.458737,-0.858153,-0.609209,-0.218870,0.000000,0.074911,0.020549,-0.313487,-0.272625,-1.838580,0.103277,0.667974
L16,0.336083,0.297802,0.108006,0.035624,0.218234,0.040683,-0.036940,0.000000,0.070023,0.175060,0.170638,-0.053160,-0.336768,0.140041,0.343566,0.149138,0.045466,0.149138,0.140041,0.254743,-0.015693,0.098526,0.400091,0.167087,0.015451,-0.047632,-0.410050,-0.299207,-0.838510,-0.156730,0.126239,-0.698103,-0.342674,-0.031637,-0.031637,-0.015693,0.305576,-0.475508,-1.315398,0.400091
L17,0.103277,0.005177,0.070023,-0.005204,0.167087,0.098526,0.153655,0.074911,0.238313,-0.279552,0.167087,0.015451,0.350994,-0.075298,0.427884,-0.516943,0.045466,-0.036940,-0.069647,0.015451,0.000000,0.262858,-0.097647,-0.736876,0.045466,-0.109305,-0.286527,-0.252127,0.433351,-0.513424,-0.996194,-0.828832,0.025556,0.015451,-0.080981,0.010327,0.005177,0.473428,1.014361,1.380525
L18,0.158153,0.130861,0.030667,-0.015693,0.358367,-0.005204,0.213999,0.126239,0.541753,0.446889,0.055461,-0.133036,1.059089,0.035624,0.149138,1.053240,0.407112,-0.218870,0.297802,0.778104,0.561133,1.195201,0.084617,0.460247,0.093752,-0.187951,0.117398,0.243270,1.059089,0.205476,-1.007646,0.246562,0.149138,0.121595,0.084617,-0.069647,0.035624,-0.940824,-0.042409,1.121272
L19,0.130861,0.196880,0.140041,-0.005204,0.045466,0.070023,-0.005204,0.117398,-0.047632,0.060421,0.050476,0.117398,-0.115185,-0.031637,0.266086,-0.597677,-1.054811,-0.169102,-0.036940,0.144600,-0.015693,-0.042409,0.126239,-1.030950,0.209747,-0.086696,-0.299207,-0.930108,-1.269465,-0.410050,-0.736876,-0.940824,-0.187951,-0.103459,-0.092445,-0.258913,0.158153,-1.169844,-1.980363,-2.300826
L20,-0.020980,-0.053160,-0.047632,0.025556,-0.064307,-0.086696,-0.026227,-0.053160,-0.156730,-0.144509,0.000000,0.074911,-0.556496,-0.064307,0.162630,-0.759085,-0.047632,0.050476,-0.020980,-0.258913,-0.327974,-0.648639,-0.336768,-0.103459,0.065110,0.050476,0.343566,0.229995,-2.043229,-0.388116,0.020549,0.149138,0.167087,0.015451,-0.026227,0.045466,0.407112,-0.299207,-2.845104,-3.414297
L21,0.025556,0.025556,0.084617,-0.047632,-0.020980,-0.036940,0.093752,0.015451,0.158153,0.025556,0.025556,0.167087,0.541753,0.010327,-0.086696,0.667974,0.050476,0.050476,0.055461,0.000000,0.162630,0.262858,-0.015693,0.257997,-0.047632,0.035624,0.188209,0.201187,0.834422,0.364226,0.000000,0.516989,0.070023,0.020549,0.084617,-0.169102,-0.225433,-0.689687,-0.429241,-3.709492
L22,-0.053160,0.000000,-0.005204,-0.005204,0.030667,0.074911,-0.015693,-0.005204,-0.058718,-0.322154,-0.103459,0.060421,-1.504561,-0.357593,0.045466,-0.909016,-0.265745,-0.053160,-0.026227,-0.020980,-0.162897,-0.363623,-0.103459,-0.138454,0.074911,0.045466,-0.020980,-0.225433,-1.603998,-0.545552,-0.058718,-0.169102,-0.058718,0.070023,-0.020980,-0.075298,0.494164,0.646178,-2.484623,-5.664747
L23,-0.020980,-0.020980,-0.036940,-0.036940,0.005177,0.045466,-0.053160,-0.005204,-0.103459,-0.092445,-0.053160,0.093752,-1.269465,-0.127050,-0.005204,-0.232040,-0.042409,-0.115185,0.045466,-0.005204,-0.042409,0.005177,0.000000,-0.005204,-0.047632,-0.005204,0.000000,-0.238691,-1.668782,0.088954,-0.086696,-0.200718,-0.015693,0.084617,0.025556,0.050476,0.229995,0.098526,-1.543157,-2.709985
L24,0.121595,0.055461,0.000000,-0.036940,-0.075298,-0.403734,-0.026227,-0.026227,0.025556,0.045466,-0.005204,-0.026227,0.045466,-0.020980,-0.005204,0.025556,0.015451,-0.053160,-0.020980,-0.005204,-0.005204,0.025556,0.000000,-0.042409,-0.053160,0.025556,0.015451,0.218234,0.270908,0.218234,0.020549,0.015451,0.000000,0.015451,0.005177,-0.047632,0.561133,0.371503,-0.898634,0.243270
L25,0.000000,0.045466,-0.047632,-0.031637,-0.097647,0.015451,-0.031637,-0.036940,0.000000,0.045466,0.010327,0.025556,0.385899,-0.053160,0.025556,0.098526,0.045466,0.015451,-0.020980,0.010327,0.030667,0.015451,0.045466,-0.064307,0.015451,0.015451,0.065110,0.162630,-0.162897,0.364226,0.108006,0.070023,-0.031637,-0.127050,-0.036940,-0.156730,0.209747,0.074911,-1.091704,-4.433270
L26,-0.047632,-0.097647,0.045466,0.000000,0.130861,0.010327,0.025556,-0.036940,-0.075298,-0.005204,-0.005204,0.030667,-0.455417,0.025556,0.015451,-0.075298,-0.053160,0.000000,0.010327,-0.005204,-0.005204,0.000000,0.074911,0.000000,0.000000,0.045466,-0.058718,-0.181629,-0.181629,0.254743,0.030667,-0.020980,0.025556,0.055461,-0.053160,-0.026227,0.845315,0.084617,-0.212349,-0.403734
L27,0.000000,-0.005204,0.015451,0.000000,0.020549,0.000000,0.045466,0.045466,0.015451,0.065110,0.015451,0.015451,0.065110,0.045466,0.000000,0.000000,0.000000,0.015451,0.045466,0.000000,0.000000,0.010327,0.045466,0.015451,0.010327,0.015451,0.015451,0.098526,0.010327,0.093752,0.015451,0.000000,-0.031637,-0.053160,-0.005204,-0.042409,0.584840,-0.047632,0.025556,-1.583304
L28,0.045466,0.025556,0.045466,0.000000,0.015451,-0.005204,0.000000,0.000000,-0.036940,0.015451,0.000000,0.000000,0.000000,0.000000,-0.005204,0.015451,0.000000,0.000000,-0.005204,0.000000,0.000000,-0.005204,0.000000,0.000000,-0.005204,0.015451,0.000000,0.015451,0.055461,0.183845,0.000000,0.050476,0.040683,0.000000,0.015451,0.045466,0.274110,0.000000,0.098526,-4.433270
L29,0.025556,0.025556,-0.005204,0.045466,0.045466,0.030667,0.000000,0.000000,0.045466,-0.005204,0.000000,-0.005204,0.030667,0.000000,0.000000,0.000000,0.000000,0.000000,-0.005204,0.000000,0.000000,0.000000,0.000000,0.045466,0.000000,0.000000,0.000000,0.000000,0.000000,0.045466,0.000000,0.000000,0.000000,0.045466,0.020549,0.040683,0.714315,0.108006,0.088954,0.778104
L30,-0.010435,0.010327,0.000000,-0.005204,0.000000,0.000000,-0.005204,0.000000,0.000000,0.000000,0.000000,-0.005204,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.005204,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.005204,-0.005204,0.045466,-0.005204,0.000000,-0.005204,-0.005204,-0.005204,0.000000,0.020549,0.313290,-0.005204,0.065110,-1.646718
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.433270
