layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:A,7: patient,8: is,9: being,10: evaluated,11: for,12: multiple,13: sclerosis,14:.,"15:
",16:Prov,17:ide,18: a,19: brief,20: presentatio,21: focused,22: on,23: demographic,24: details,25: and,26: prior,27: medical,28: history,29:.,30: Your,31: response,32: must,33: start,34: with,35::,"36: """,37:Gender,38::,"39: ""","40:
",41:<,42:|,43:ass,44:istant,45:|>,"46:
",47:Gender,48::
L22,0.005970,0.005970,-0.061748,-0.087556,-0.120782,0.005970,-0.087556,-0.623755,0.035298,-0.061748,-0.155149,-0.120782,0.000000,-1.257263,-0.787260,-0.183520,-0.055399,0.005970,-0.061748,-0.120782,-0.061748,-0.087556,-0.061748,-0.502873,0.005970,-0.120782,-0.120782,-0.094113,-0.148180,-0.212719,-0.120782,-0.061748,-0.061748,0.005970,-0.120782,-0.120782,-0.399495,-0.338870,-0.373062,-0.148180,-0.277751,-0.435862,-0.055399,-0.155149,-0.120782,-0.114047,-0.564117,-0.512823,5.008597
L23,-0.055399,-0.120782,-0.055399,-0.087556,-0.183520,-0.030397,-0.373062,-0.373062,-0.373062,-0.094113,-0.120782,-0.061748,-0.183520,-0.748546,-0.343081,-0.190740,-0.055399,0.029501,-0.061748,-0.120782,0.000000,0.005970,0.005970,-0.120782,-0.120782,-0.242796,-0.120782,-0.055399,-0.127561,-0.087556,-0.120782,-0.055399,0.063790,-0.030397,-0.120782,-0.120782,-0.693147,-0.657849,0.502407,-0.569394,-0.183520,-0.183520,0.035298,-0.061748,0.074963,-0.183520,-0.717390,-0.313973,0.029501
L24,-0.055399,-0.061748,-0.061748,-0.120782,-0.183520,0.699117,0.096942,0.129030,-0.087556,-0.061748,-0.030397,0.000000,0.005970,0.320085,-0.155149,-0.120782,-0.061748,-0.061748,-0.061748,0.005970,-0.061748,-0.030397,-0.120782,-0.120782,-0.120782,-0.030397,0.000000,-0.030397,-0.183520,-0.087556,-0.061748,-0.120782,0.005970,-0.061748,-0.087556,-0.030397,0.069392,0.442688,0.134280,0.069392,-0.061748,-0.127561,0.063790,-0.061748,0.134280,-0.242796,-0.183520,-0.155149,3.920727
L25,-0.120782,-0.030397,-0.242796,-0.120782,-0.250459,-0.030397,0.069392,0.129030,-0.120782,-0.183520,-0.120782,-0.055399,-0.094113,1.070270,-0.120782,-0.087556,-0.061748,-0.120782,0.000000,-0.120782,-0.183520,-0.120782,-0.061748,0.069392,-0.120782,-0.061748,-0.155149,-0.061748,-0.061748,-0.120782,-0.061748,-0.061748,-0.120782,-0.120782,-0.183520,-0.055399,-0.061748,0.710952,0.129030,-0.030397,-0.061748,-0.030397,-0.087556,0.005970,0.195212,-0.024244,0.123753,-0.841327,1.880516
L26,-0.120782,-0.148180,-0.030397,-0.155149,-0.120782,-0.120782,-0.055399,-0.183520,-0.155149,-0.055399,-0.061748,-0.155149,-0.183520,-0.558867,-0.183520,-0.120782,-0.155149,-0.087556,-0.087556,-0.087556,-0.120782,-0.087556,-0.120782,-0.155149,-0.120782,-0.155149,-0.155149,-0.148180,-0.030397,-0.120782,-0.120782,-0.155149,-0.120782,-0.148180,-0.087556,-0.120782,0.041061,-0.564117,0.069392,-0.055399,-0.148180,-0.061748,0.165210,-0.087556,0.261903,-0.301753,-0.305809,-0.373062,10.366841
L27,-0.120782,-0.120782,-0.120782,0.000000,0.000000,-0.030397,-0.055399,-0.055399,0.000000,-0.061748,-0.055399,-0.087556,0.035298,0.631399,-0.087556,-0.120782,-0.087556,-0.087556,-0.055399,-0.030397,0.029501,0.035298,-0.087556,-0.087556,0.035298,-0.183520,-0.120782,0.000000,0.000000,-0.087556,0.035298,-0.120782,-0.087556,-0.120782,0.000000,-0.061748,-0.155149,0.000000,0.063790,-0.030397,-0.061748,-0.030397,0.005970,-0.087556,0.289178,-0.297712,0.129030,-0.155149,3.700636
L28,-0.055399,-0.061748,-0.087556,-0.087556,-0.087556,-0.120782,-0.087556,-0.087556,-0.087556,-0.087556,-0.087556,-0.030397,0.000000,-0.120782,-0.087556,-0.155149,0.029501,-0.024244,-0.087556,-0.055399,-0.087556,-0.087556,-0.087556,-0.120782,-0.087556,-0.030397,0.035298,-0.087556,-0.155149,-0.087556,-0.087556,-0.120782,-0.087556,-0.120782,-0.055399,-0.087556,-0.114047,-0.250459,0.063790,-0.087556,0.035298,0.000000,-0.087556,-0.030397,0.387338,-0.548451,0.005970,-0.061748,8.701197
L29,-0.155149,-0.120782,-0.087556,-0.087556,-0.030397,-0.087556,-0.120782,-0.030397,-0.030397,-0.148180,0.000000,-0.030397,-0.087556,0.000000,-0.148180,-0.087556,0.000000,-0.030397,-0.030397,-0.087556,-0.087556,-0.120782,-0.030397,0.000000,-0.030397,-0.148180,-0.030397,-0.030397,-0.030397,-0.120782,-0.030397,0.000000,0.000000,0.000000,-0.120782,-0.148180,-0.087556,-0.030397,-0.087556,-0.087556,-0.120782,-0.087556,-0.087556,-0.087556,-0.055399,-0.364403,0.035298,-0.055399,7.648765
L30,0.035298,0.035298,-0.030397,-0.087556,-0.087556,-0.087556,-0.087556,0.000000,-0.120782,0.000000,-0.120782,0.000000,-0.120782,-0.148180,-0.120782,-0.030397,0.000000,-0.087556,0.000000,-0.120782,-0.120782,-0.087556,0.000000,-0.087556,-0.120782,-0.087556,0.000000,-0.030397,-0.120782,0.000000,-0.030397,0.000000,-0.120782,-0.087556,0.000000,-0.030397,-0.148180,-0.087556,-0.030397,0.000000,-0.120782,-0.120782,-0.120782,-0.120782,-0.087556,-0.334677,-0.087556,-0.061748,10.066748
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.779425
