condition,prompt_id,cot_label,num_tokens,keyword_used,condition_token_indices,condition_token_labels,l18_condition_last,l18_condition_mean,l18_condition_max,l18_full_mean,l18_full_max
rheumatoid_arthritis,1,A_var1,212,arthritis,"30,71", arthritis_30| arthritis_71,0.0,0.00048828125,0.0009765625,0.00012260338045516105,0.015869140625
rheumatoid_arthritis,10,A_var10,218,arthritis,"29,69,141", arthritis_29| arthritis_69| arthritis_141,0.00079345703125,0.005377451578776042,0.01513671875,0.0005861334844466744,0.041259765625
rheumatoid_arthritis,11,C_var1,207,arthritis,"30,79,131", arthritis_30| arthritis_79| arthritis_131,1.430511474609375e-05,0.0005016326904296875,0.00139617919921875,0.00023034920439052122,0.037353515625
rheumatoid_arthritis,12,C_var2,210,arthritis,"32,81,134", arthritis_32| arthritis_81| arthritis_134,4.482269287109375e-05,0.0007505416870117188,0.0020294189453125,0.0001659075419108073,0.01226806640625
rheumatoid_arthritis,13,C_var3,209,arthritis,"27,77,132", arthritis_27| arthritis_77| arthritis_132,0.0,0.0002056757609049479,0.00060272216796875,9.170103301271868e-05,0.006561279296875
rheumatoid_arthritis,14,C_var4,209,arthritis,"31,80,133", arthritis_31| arthritis_80| arthritis_133,1.2874603271484375e-05,0.0005591710408528646,0.0016021728515625,0.00016091771102978283,0.0228271484375
rheumatoid_arthritis,15,C_var5,206,arthritis,"28,77,130", arthritis_28| arthritis_77| arthritis_130,0.005859375,0.0460205078125,0.11474609375,0.006933341905908677,0.45703125
rheumatoid_arthritis,16,C_var6,209,arthritis,"29,77,134", arthritis_29| arthritis_77| arthritis_134,0.000255584716796875,0.0011723836263020833,0.0026702880859375,0.0010017322010971142,0.1630859375
rheumatoid_arthritis,17,C_var7,212,arthritis,"30,80,135", arthritis_30| arthritis_80| arthritis_135,5.817413330078125e-05,0.001980463663736979,0.005706787109375,0.00026109533489875075,0.0177001953125
rheumatoid_arthritis,18,C_var8,209,arthritis,"28,79,134", arthritis_28| arthritis_79| arthritis_134,1.1920928955078125e-06,1.0033448537190756e-05,2.6345252990722656e-05,5.843821895179566e-06,0.0004787445068359375
rheumatoid_arthritis,19,C_var9,215,arthritis,"33,82,138", arthritis_33| arthritis_82| arthritis_138,0.0,0.0092620849609375,0.025634765625,0.0015429829442223837,0.1259765625
rheumatoid_arthritis,2,A_var2,209,arthritis,"32,72", arthritis_32| arthritis_72,0.0,0.0052490234375,0.010498046875,0.00031770587537847635,0.02880859375
rheumatoid_arthritis,20,C_var10,209,arthritis,"29,79,133", arthritis_29| arthritis_79| arthritis_133,0.0,0.00010538101196289062,0.000278472900390625,5.525379089647503e-05,0.00848388671875
rheumatoid_arthritis,3,A_var3,208,arthritis,"27,69,152", arthritis_27| arthritis_69| arthritis_152,0.00035858154296875,0.0028088887532552085,0.00799560546875,0.00035544542165902944,0.0223388671875
rheumatoid_arthritis,4,A_var4,218,arthritis,"31,71,141", arthritis_31| arthritis_71| arthritis_141,0.0001049041748046875,0.002216339111328125,0.006439208984375,0.000446192715146126,0.06689453125
rheumatoid_arthritis,5,A_var5,213,arthritis,"28,68,141", arthritis_28| arthritis_68| arthritis_141,0.000522613525390625,0.010951995849609375,0.0322265625,0.0010125424380593457,0.09375
rheumatoid_arthritis,6,A_var6,207,arthritis,"29,70", arthritis_29| arthritis_70,0.0,0.04296875,0.0859375,0.005372273173309179,0.431640625
rheumatoid_arthritis,7,A_var7,215,arthritis,"30,71,142", arthritis_30| arthritis_71| arthritis_142,0.000152587890625,0.0040938059488932295,0.0120849609375,0.00023795726687409158,0.025390625
rheumatoid_arthritis,8,A_var8,214,arthritis,"28,68,135", arthritis_28| arthritis_68| arthritis_135,0.0002460479736328125,0.0028444925944010415,0.0081787109375,0.00039591744681385075,0.05810546875
rheumatoid_arthritis,9,A_var9,217,arthritis,"33,74,141", arthritis_33| arthritis_74| arthritis_141,0.000255584716796875,0.0027135213216145835,0.00762939453125,0.000690389888077837,0.0732421875
sarcoidosis,1,A_var1,210,oid,"28,68",oid_28|oid_68,0.0228271484375,0.17059326171875,0.318359375,0.0038732437860398063,0.318359375
sarcoidosis,10,A_var10,215,oid,"27,66,137",oid_27|oid_66|oid_137,0.0250244140625,0.12471516927083333,0.275390625,0.003568782362827035,0.27734375
sarcoidosis,11,C_var1,204,oid,"28,76,127",oid_28|oid_76|oid_127,0.0057373046875,0.14725748697916666,0.400390625,0.004560564078536688,0.400390625
sarcoidosis,12,C_var2,207,oid,"30,78,130",oid_30|oid_78|oid_130,0.005615234375,0.19620768229166666,0.48828125,0.006898520649343297,0.48828125
sarcoidosis,13,C_var3,206,oid,"25,74,128",oid_25|oid_74|oid_128,0.004302978515625,0.216400146484375,0.62890625,0.005961263064041878,0.62890625
sarcoidosis,14,C_var4,206,oid,"29,77,129",oid_29|oid_77|oid_129,0.00390625,0.15185546875,0.431640625,0.004710558548714351,0.431640625
sarcoidosis,15,C_var5,203,oid,"26,74,126",oid_26|oid_74|oid_126,0.018798828125,0.2728678385416667,0.5859375,0.015893532137565426,0.5859375
sarcoidosis,16,C_var6,206,oid,"27,74,130",oid_27|oid_74|oid_130,0.00506591796875,0.08795166015625,0.158203125,0.0034678190657236045,0.34375
sarcoidosis,17,C_var7,209,oid,"28,77,131",oid_28|oid_77|oid_131,0.0166015625,0.2848307291666667,0.6953125,0.010162353515625,0.6953125
sarcoidosis,18,C_var8,206,oid,"26,76,130",oid_26|oid_76|oid_130,0.0020904541015625,0.15515645345052084,0.458984375,0.0033897473974135316,0.458984375
sarcoidosis,19,C_var9,212,oid,"31,79,134",oid_31|oid_79|oid_134,0.020751953125,0.189208984375,0.421875,0.00902287465221477,0.421875
sarcoidosis,2,A_var2,207,oid,"30,69",oid_30|oid_69,0.030029296875,0.1024169921875,0.1748046875,0.0035439827591900665,0.2392578125
sarcoidosis,20,C_var10,206,oid,"27,76,129",oid_27|oid_76|oid_129,0.0033721923828125,0.17031351725260416,0.453125,0.00397519231999962,0.453125
sarcoidosis,3,A_var3,205,oid,"25,66,113,148",oid_25|oid_66| Avoid_113|oid_148,0.008056640625,0.14064788818359375,0.48828125,0.0049323849561737805,0.48828125
sarcoidosis,4,A_var4,215,oid,"29,68,137",oid_29|oid_68|oid_137,0.0081787109375,0.10648600260416667,0.263671875,0.004670738619427349,0.291015625
sarcoidosis,5,A_var5,210,oid,"26,65,137",oid_26|oid_65|oid_137,0.009033203125,0.17293294270833334,0.427734375,0.007088833763485863,0.427734375
sarcoidosis,6,A_var6,205,oid,"27,67",oid_27|oid_67,0.08251953125,0.112548828125,0.142578125,0.00925289247094131,0.390625
sarcoidosis,7,A_var7,212,oid,"28,68,138",oid_28|oid_68|oid_138,0.01007080078125,0.09218343098958333,0.2392578125,0.0037567930401496167,0.2392578125
sarcoidosis,8,A_var8,211,oid,"26,65,131",oid_26|oid_65|oid_131,0.01324462890625,0.14666748046875,0.369140625,0.004546866032749556,0.369140625
sarcoidosis,9,A_var9,214,oid,"31,71,137",oid_31|oid_71|oid_137,0.01068115234375,0.15232340494791666,0.310546875,0.005242499235634492,0.4296875
