layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Prep,7:are,8: a,9: brief,10: patient,11: presentatio,12: for,13: asthma,14:.,"15:
",16:Prior,17:it,18:ize,19: demographic,20: information,21: followed,22: by,23: major,24: PM,25:H,26:.,27: Begin,28: exactly,29: with,30::,"31: """,32:Gender,33::,"34: ""","35:
",36:<,37:|,38:ass,39:istant,40:|>,"41:
",42:Gender,43::
L11,-0.120220,-0.120220,-0.060377,-0.246843,-0.183873,-0.120220,-0.308713,-0.308713,0.131569,-0.056236,-0.872264,-0.314046,-0.495282,2.442291,0.379059,-0.433157,-0.308713,-0.120220,-0.433157,-0.246843,0.067947,-0.060377,-0.561525,-0.369000,-0.308713,0.191384,0.000000,-0.120220,0.318437,0.253902,0.007782,0.067947,2.505470,-0.124634,-0.808903,-1.881276,-0.060377,-0.060377,0.000000,-0.246843,-0.495282,0.436215,1.252719,-0.445277
L12,-0.183873,-0.183873,-0.056236,-0.056236,-0.308713,-0.561525,-0.060377,-0.120220,-0.246843,-0.183873,-0.308713,0.007782,-0.433157,-1.760694,-0.183873,-0.374666,-0.308713,-0.246843,-0.308713,-0.246843,-0.808903,-0.369000,-0.369000,-0.246843,-0.120220,-0.246843,-0.183873,-0.183873,-0.308713,-0.120220,-0.246843,0.504532,0.817817,0.504532,-0.749319,-0.617872,0.007782,-0.183873,-0.183873,-0.374666,-0.120220,-0.246843,1.066824,-0.068710
L13,-0.183873,-0.120220,-0.308713,-0.308713,-0.183873,-0.246843,-0.308713,-0.246843,-0.120220,-0.120220,0.000000,-0.495282,-0.060377,-0.246843,0.007782,-0.120220,-0.246843,-0.183873,-0.246843,-0.741089,-0.625144,-0.433157,-0.561525,-0.183873,-0.246843,0.191384,-0.056236,-0.120220,-0.308713,-0.369000,0.000000,-0.060377,-0.501713,0.379059,0.000000,-0.741089,-0.056236,-0.056236,-0.056236,-0.056236,-0.369000,-0.308713,0.191384,1.738220
L14,-0.183873,-0.183873,-0.060377,-0.056236,0.007782,-0.308713,-0.369000,-0.369000,-0.246843,-0.433157,-0.433157,-1.386111,-0.183873,-1.933898,-0.246843,-0.374666,-0.183873,-0.120220,-0.433157,-0.495282,-0.495282,-0.246843,-0.246843,-0.060377,-0.308713,0.379059,0.504532,-0.183873,-0.120220,-0.120220,-0.308713,-0.120220,-0.808903,-0.757617,0.060621,-1.738229,-0.308713,-0.183873,-0.120220,-0.495282,-0.862963,-1.188329,0.318437,-0.749319
L15,-0.060377,-0.120220,-0.308713,-0.308713,-0.246843,-0.120220,-0.060377,-0.120220,-0.120220,-0.246843,0.131569,-0.561525,-0.183873,-0.625144,-0.501713,-0.183873,-0.308713,-0.056236,0.067947,-0.685305,-0.625144,-0.060377,-0.308713,-0.308713,-0.120220,-0.056236,-0.183873,-0.056236,0.000000,0.191384,-0.246843,0.000000,1.129343,-0.495282,0.067947,0.499804,-0.120220,0.067947,-0.060377,-0.183873,-0.246843,1.066824,1.257174,3.688820
L16,-0.241856,-0.246843,-0.183873,-0.060377,0.007782,-0.246843,-0.120220,-0.183873,-0.183873,-0.246843,0.007782,-0.183873,0.131569,-1.760694,-0.308713,-0.183873,-0.183873,-0.183873,-0.433157,-0.369000,-0.183873,-0.246843,-0.183873,-0.308713,-0.183873,0.131569,0.253902,0.067947,-0.120220,-0.183873,-0.183873,0.131569,-0.495282,0.067947,-0.495282,0.628580,0.191384,0.067947,-0.056236,-0.120220,-0.241856,0.197815,-1.434109,0.624405
L17,-0.120220,-0.246843,-0.120220,-0.369000,0.191384,-0.308713,-0.183873,0.007782,0.000000,-0.120220,0.131569,-0.433157,-0.433157,0.067947,-0.369000,0.131569,-0.183873,-0.120220,-0.120220,0.000000,-0.308713,-0.120220,-0.433157,-0.120220,-0.120220,-0.060377,0.000000,-0.056236,-0.120220,0.067947,0.067947,-0.246843,1.317536,0.318437,-0.625144,-0.808903,-0.120220,-0.433157,-0.246843,-0.060377,-0.120220,-0.183873,1.510950,2.447711
L18,0.007782,0.007782,-0.246843,-0.183873,-0.056236,0.007782,0.067947,0.191384,0.067947,0.379059,0.504532,1.257174,0.441253,9.651948,1.382335,0.379059,-0.056236,-0.120220,0.318437,0.628580,0.693117,0.628580,0.318437,0.000000,-0.060377,0.817817,-0.056236,0.191384,0.191384,0.318437,0.628580,0.817817,9.570538,1.941384,0.499804,0.499804,-0.056236,0.191384,-0.056236,-0.433157,-0.056236,-0.124634,3.682550,0.693117
L19,-0.433157,-0.308713,-0.183873,-0.183873,-0.308713,0.124696,-0.060377,-0.056236,-0.183873,-0.246843,0.131569,0.318437,0.131569,-2.248823,-0.495282,-0.561525,-0.120220,-0.246843,-0.246843,0.000000,-0.308713,-0.246843,-0.183873,-0.120220,-0.183873,0.131569,0.007782,-0.120220,0.000000,-0.056236,-0.246843,-0.433157,0.000000,0.504532,0.191384,0.379059,-0.685305,-0.308713,-0.246843,-0.308713,-0.120220,0.441253,0.067947,0.178398
L20,0.000000,-0.056236,-0.183873,-0.120220,0.007782,-0.308713,-0.120220,-0.183873,0.000000,-0.120220,0.191384,-0.308713,-0.433157,-2.979088,-1.001777,-0.369000,0.007782,0.007782,-0.120220,-0.369000,-0.246843,-0.060377,-0.369000,-0.056236,-0.060377,-0.433157,0.067947,0.007782,-0.120220,-0.120220,0.000000,-0.369000,-2.771674,-0.120220,-0.124634,-0.625144,-0.183873,0.000000,-0.060377,0.131569,0.568478,0.312739,-1.434109,5.049795
L21,-0.183873,-0.120220,-0.246843,-0.183873,-0.183873,-0.183873,-0.060377,-0.183873,-0.060377,-0.120220,0.067947,0.441253,0.253902,3.193499,0.441253,0.067947,-0.120220,-0.183873,0.007782,0.191384,0.131569,0.318437,0.007782,0.000000,-0.183873,-0.060377,-0.308713,-0.183873,0.007782,-0.120220,0.441253,0.504532,5.062534,0.817817,0.689203,0.124696,-0.246843,-0.308713,-0.060377,-0.369000,-0.685305,-0.808903,0.441253,6.070677
L22,-0.060377,-0.183873,-0.120220,0.000000,-0.120220,-0.060377,-0.060377,0.067947,0.000000,-0.060377,-0.872264,-0.625144,-0.495282,-4.441432,-1.760694,-0.554700,-0.120220,-0.120220,-0.246843,-0.561525,-0.308713,-0.120220,-0.120220,-0.183873,-0.308713,-0.308713,-0.369000,0.067947,-0.056236,-0.060377,-0.120220,-0.808903,-1.240962,-0.183873,-0.120220,-0.495282,-0.495282,0.067947,-0.183873,-0.369000,0.253902,-0.685305,-1.434109,2.270782
L23,-0.060377,-0.120220,-0.120220,-0.120220,0.007782,-0.060377,-0.056236,-0.056236,0.067947,0.131569,-0.246843,0.131569,0.131569,-4.441432,-1.370611,-0.561525,-0.120220,-0.120220,-0.056236,-0.060377,-0.120220,-0.183873,-0.246843,-0.060377,-0.120220,-0.120220,-0.120220,-0.120220,-0.183873,-0.246843,-0.183873,-1.001777,-2.366534,0.191384,-0.308713,-0.554700,-0.183873,-0.060377,-0.183873,0.067947,-0.183873,-1.240962,-1.001777,-1.519608
L24,-0.056236,-0.183873,-0.060377,-0.120220,-0.183873,0.689203,-0.060377,-0.183873,-0.060377,-0.120220,-0.056236,-0.120220,-0.120220,1.252719,-0.056236,0.067947,-0.060377,-0.060377,-0.183873,-0.060377,-0.183873,-0.183873,-0.060377,-0.120220,-0.183873,-0.246843,0.000000,-0.183873,-0.246843,0.000000,-0.120220,-0.120220,1.066824,0.191384,0.007782,0.007782,-0.183873,-0.056236,-0.120220,-0.183873,-0.303409,0.191384,0.191384,4.890289
L25,-0.060377,-0.183873,-0.060377,-0.120220,-0.183873,-0.120220,-0.246843,-0.183873,-0.183873,-0.246843,-0.056236,-0.183873,-0.246843,3.001905,0.379059,0.131569,-0.060377,-0.120220,-0.120220,-0.056236,-0.060377,-0.183873,0.000000,-0.060377,-0.056236,0.000000,0.007782,-0.120220,-0.120220,0.000000,0.007782,0.253902,1.005864,0.312739,-0.120220,0.131569,-0.060377,0.000000,-0.183873,-0.060377,-0.179189,0.504532,-1.325501,-0.115824
L26,-0.120220,-0.060377,-0.120220,-0.120220,0.000000,-0.120220,-0.060377,-0.120220,-0.120220,-0.120220,-0.369000,-0.183873,-0.120220,-2.248823,-0.625144,-0.369000,-0.183873,-0.060377,-0.060377,-0.060377,-0.183873,-0.183873,-0.120220,-0.060377,-0.183873,-0.120220,-0.183873,-0.060377,-0.060377,-0.124634,-0.183873,-0.369000,-0.561525,0.067947,-0.183873,-0.183873,-0.120220,0.007782,-0.056236,-0.120220,-0.179189,-0.561525,-0.495282,7.908694
L27,0.000000,-0.120220,-0.120220,-0.183873,0.000000,-0.060377,-0.120220,-0.183873,-0.120220,-0.183873,-0.183873,-0.183873,-0.183873,-0.056236,-0.056236,-0.056236,-0.183873,-0.183873,-0.060377,-0.060377,-0.120220,-0.183873,-0.060377,-0.183873,-0.183873,-0.060377,-0.183873,-0.060377,-0.183873,-0.060377,-0.060377,0.000000,0.131569,0.000000,-0.183873,0.067947,0.000000,-0.060377,-0.120220,-0.056236,-0.303409,0.253902,-0.374666,4.430756
L28,-0.120220,-0.060377,-0.120220,-0.060377,0.000000,-0.120220,-0.120220,-0.060377,-0.060377,-0.060377,-0.120220,-0.060377,-0.060377,-0.183873,-0.120220,-0.060377,-0.120220,-0.120220,-0.060377,0.000000,-0.060377,-0.120220,-0.060377,-0.060377,-0.120220,-0.120220,-0.060377,-0.060377,-0.120220,-0.120220,-0.183873,-0.246843,-0.183873,0.000000,-0.120220,-0.060377,-0.060377,-0.120220,-0.060377,0.067947,-0.929963,-0.120220,-0.120220,4.262620
L29,-0.060377,-0.120220,-0.120220,-0.120220,-0.120220,-0.120220,-0.120220,0.000000,-0.060377,-0.120220,0.000000,0.000000,0.000000,-0.060377,-0.060377,0.000000,-0.060377,-0.060377,-0.060377,0.000000,-0.060377,-0.120220,0.000000,-0.060377,-0.120220,-0.060377,-0.120220,-0.060377,0.000000,-0.060377,-0.120220,-0.060377,0.000000,-0.183873,-0.183873,-0.183873,-0.120220,-0.060377,-0.120220,0.067947,-0.617872,-0.060377,-0.060377,7.358133
L30,0.000000,-0.056236,-0.060377,-0.120220,-0.120220,-0.060377,-0.060377,-0.060377,-0.060377,0.000000,0.000000,0.000000,0.000000,-0.060377,0.000000,0.000000,-0.060377,0.000000,-0.060377,-0.060377,0.000000,0.000000,-0.060377,0.000000,-0.120220,-0.060377,0.000000,-0.060377,-0.060377,0.000000,0.000000,0.000000,0.000000,-0.120220,0.000000,0.000000,0.000000,-0.120220,-0.120220,-0.060377,-0.369000,0.000000,-0.060377,6.825399
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.140856
