layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:You,7: are,8: a,9: helpful,10: clinical,11: assistant,12: for,13: inpatient,14: documentati,15:.,16: Condition,17::,18: rheumatoid,19: arthritis,20:.,"21:
",22:Create,23: a,24: concise,25: patient,26: summary,27: emphasizing,28: demographic,29: and,30: PM,31:H,32:.,33: Start,34: with,35::,"36: """,37:Gender,38::,"39: ""","40:
",41:<,42:|,43:ass,44:istant,45:|>,"46:
",47:Gender,48::
L11,-0.060259,0.062343,-0.060259,0.056833,0.186213,-0.060259,0.056833,0.000000,-0.066490,0.000000,-0.251314,0.126195,-0.185836,-0.185836,-0.251314,-0.251314,-0.251314,0.056833,2.386130,2.632772,-0.066490,0.062343,0.000000,0.000000,-0.060259,0.000000,-0.060259,0.062343,-0.066490,0.000000,-0.124384,0.191055,-0.005865,-0.124384,-0.060259,-0.124384,0.056833,0.760970,-0.005865,-0.060259,-0.124384,0.000000,-0.124384,-0.066490,-0.131028,-0.005865,-0.098238,0.434286,0.313658
L12,-0.060259,-0.124384,0.126195,0.062343,-0.060259,-0.214410,-0.066490,0.000000,-0.066490,0.062343,0.062343,-0.060259,0.000000,0.062343,-0.060259,0.000000,0.062343,-0.375225,0.313658,0.251964,0.000000,0.056833,0.062343,0.000000,-0.005865,-0.185836,0.062343,0.000000,0.126195,-0.124384,-0.066490,0.131336,0.062343,-0.124384,-0.185836,0.247408,-0.131028,1.070942,0.313658,-0.229009,0.186213,0.000000,-0.066490,0.062343,-0.124384,-0.060259,0.322168,-0.464173,0.693147
L13,0.062343,0.000000,-0.066490,-0.060259,-0.005865,-0.060259,0.056833,0.062343,0.000000,0.126195,-0.066490,-0.005865,-0.066490,0.126195,0.067823,0.247408,-0.185836,-0.131028,-0.566953,0.375789,-0.185836,-0.060259,-0.060259,-0.005865,-0.185836,0.005831,0.000000,-0.124384,0.062343,0.000000,-0.185836,0.131336,0.247408,-0.251314,-0.221683,0.056833,-0.005865,-0.221683,0.434286,-0.005865,0.056833,0.000000,0.000000,-0.124384,-0.124384,0.000000,-0.379490,-0.289633,0.760970
L14,-0.124384,-0.060259,0.000000,0.121027,0.056833,-0.124384,-0.066490,-0.060259,0.056833,-0.060259,0.062343,-0.005865,0.056833,-0.131028,0.186213,0.247408,-0.060259,-0.131028,0.375789,-0.536493,-0.060259,0.062343,-0.066490,-0.060259,0.000000,0.191055,0.247408,0.056833,-0.005865,0.062343,-0.060259,-0.060259,0.062343,-0.060259,-0.124384,0.000000,-0.066490,-0.687316,0.121027,0.062343,-0.158057,0.062343,-0.124384,0.062343,-0.124384,-0.243824,-0.281851,0.000000,0.062343
L15,0.056833,0.121027,-0.066490,0.000000,-0.060259,0.000000,0.056833,0.000000,-0.005865,-0.005865,-0.124384,0.000000,0.121027,-0.060259,-0.060259,0.062343,-0.375225,0.000000,0.251964,-0.005865,-0.005865,-0.005865,0.062343,0.056833,-0.060259,-0.158057,0.000000,-0.060259,-0.158057,-0.066490,0.126195,-0.124384,-0.066490,0.000000,-0.005865,-0.158057,-0.409861,0.313658,0.251964,-0.131028,-0.060259,0.126195,-0.060259,0.000000,-0.060259,-0.131028,-0.566953,0.814174,1.070942
L16,0.126195,0.062343,0.000000,-0.060259,0.126195,-0.060259,-0.124384,-0.060259,0.000000,-0.124384,-0.060259,-0.060259,0.126195,-0.005865,0.000000,0.186213,-0.066490,-0.345873,-0.124384,0.000000,0.067823,-0.060259,-0.124384,-0.066490,-0.066490,-0.131028,-0.251314,-0.005865,-0.221683,-0.060259,-0.124384,0.067823,0.062343,-0.060259,-0.124384,0.000000,-0.124384,-0.117783,0.126195,-0.124384,0.000000,0.062343,0.000000,0.062343,-0.060259,-0.185836,-0.313350,-0.464173,-0.011765
L17,0.000000,-0.124384,0.062343,0.056833,0.067823,0.000000,0.062343,0.121027,0.000000,0.062343,0.062343,0.000000,-0.060259,-0.066490,0.062343,0.000000,-0.131028,-0.066490,0.626657,-0.251314,0.062343,0.000000,-0.060259,-0.060259,-0.060259,0.441833,-0.060259,0.056833,-0.131028,0.056833,-0.060259,-0.060259,0.186213,0.005831,0.005831,0.000000,-0.066490,0.755490,0.186213,0.000000,-0.117783,0.000000,0.121027,-0.060259,0.126195,0.056833,-0.445739,1.004666,0.387766
L18,0.062343,0.062343,0.062343,0.000000,-0.124384,0.000000,0.062343,0.126195,0.062343,0.000000,0.186213,1.191616,0.000000,0.626657,0.626657,0.126195,-0.185836,0.062343,6.148656,6.210659,0.879360,0.247408,0.000000,0.313658,-0.060259,2.202409,0.247408,0.000000,0.568763,0.191055,0.434286,0.693147,0.126195,0.000000,0.191055,0.441833,0.687282,7.460265,0.186213,0.309375,0.371765,-0.005865,0.126195,0.186213,-0.131028,-0.060259,-0.325422,3.323604,-0.619875
L19,0.000000,-0.060259,-0.066490,0.056833,-0.060259,0.131336,-0.185836,-0.060259,0.000000,0.062343,-0.060259,0.056833,0.000000,0.000000,0.186213,0.062343,0.126195,-0.066490,-0.497273,-0.502092,0.062343,0.000000,-0.060259,-0.060259,0.000000,-0.593064,-0.124384,0.000000,-0.060259,-0.060259,-0.005865,0.186213,0.126195,0.062343,-0.060259,0.062343,-0.473519,0.191055,-0.243824,-0.251314,0.056833,-0.066490,0.067823,-0.124384,-0.066490,-0.005865,0.126195,0.575364,0.441833
L20,0.121027,-0.124384,-0.060259,0.000000,0.126195,-0.124384,0.000000,0.062343,0.000000,0.000000,-0.060259,-0.251314,-0.060259,0.000000,-0.066490,0.062343,-0.066490,0.062343,-0.468835,-0.593064,-0.066490,-0.060259,-0.060259,-0.060259,-0.060259,-0.536493,-0.131028,-0.060259,-0.005865,-0.124384,0.062343,-0.251314,0.056833,0.000000,0.000000,-0.131028,-0.192904,-0.664327,0.191055,-0.251314,-0.066490,0.000000,0.056833,-0.066490,0.062343,0.313658,-0.164930,-0.784955,4.824376
L21,-0.060259,0.000000,-0.124384,-0.005865,-0.124384,0.000000,-0.005865,-0.060259,0.056833,0.062343,0.062343,0.379797,0.062343,0.379797,0.186213,-0.060259,-0.060259,0.000000,0.879360,1.950910,0.126195,0.000000,-0.060259,0.062343,-0.060259,0.441833,0.126195,0.062343,0.251964,-0.066490,0.062343,0.000000,0.000000,0.000000,0.000000,0.186213,0.313658,1.690290,0.191055,0.191055,0.313658,-0.124384,-0.060259,0.000000,-0.060259,0.000000,-0.185836,0.000000,4.504800
L22,-0.060259,-0.060259,-0.060259,-0.060259,-0.066490,-0.060259,-0.124384,-0.060259,-0.124384,-0.060259,-0.066490,-0.436648,-0.060259,-0.251314,-0.066490,0.000000,-0.131028,0.062343,-0.625325,-0.974998,-0.192904,-0.060259,-0.060259,-0.124384,-0.060259,-0.531506,-0.185836,-0.060259,-0.251314,-0.066490,-0.060259,0.000000,-0.124384,0.000000,-0.060259,-0.066490,-0.313350,-0.658661,0.005831,-0.098238,-0.131028,-0.185836,0.000000,-0.060259,-0.066490,0.186213,0.056833,-0.759637,0.942836
L23,0.000000,0.000000,0.000000,-0.005865,0.000000,0.000000,-0.124384,-0.060259,0.000000,-0.060259,-0.005865,-0.281851,0.062343,-0.251314,0.000000,-0.060259,0.000000,-0.251314,-0.817531,-1.504077,-0.124384,0.000000,-0.060259,-0.185836,0.000000,-0.753406,-0.060259,0.000000,0.000000,-0.185836,-0.060259,-0.005865,0.000000,-0.060259,-0.060259,-0.066490,-0.379490,-0.722823,0.195875,-0.124384,-0.185836,-0.124384,0.000000,0.056833,-0.060259,-0.066490,-0.251314,-0.281851,0.126195
L24,0.000000,0.062343,-0.060259,-0.060259,-0.060259,0.062343,0.000000,-0.060259,-0.124384,0.000000,-0.124384,0.121027,0.000000,-0.131028,-0.060259,-0.124384,-0.060259,0.000000,0.062343,0.247408,-0.060259,-0.060259,-0.060259,-0.060259,-0.060259,0.000000,-0.060259,-0.060259,-0.060259,0.000000,-0.060259,0.000000,-0.060259,-0.060259,0.000000,0.056833,0.062343,0.693147,0.313658,-0.060259,0.126195,-0.060259,0.000000,-0.066490,0.000000,-0.060259,-0.185836,0.062343,4.588125
L25,0.126195,0.062343,0.062343,-0.060259,-0.060259,0.000000,-0.060259,-0.060259,0.000000,0.000000,0.000000,0.062343,-0.060259,-0.185836,-0.060259,0.056833,-0.060259,-0.060259,0.441833,0.942836,0.000000,0.000000,-0.060259,0.000000,0.000000,-0.005865,0.062343,0.000000,0.062343,0.056833,0.000000,0.000000,0.062343,-0.060259,-0.060259,0.056833,0.126195,0.449323,0.251964,0.056833,0.121027,-0.060259,-0.066490,0.000000,0.000000,-0.185836,0.062343,-0.664327,2.734975
L26,-0.124384,-0.124384,0.000000,-0.060259,-0.066490,0.000000,0.000000,0.000000,0.062343,-0.060259,-0.066490,-0.185836,-0.060259,-0.124384,-0.060259,0.062343,0.000000,0.000000,-0.317358,-0.693147,-0.060259,0.000000,-0.060259,-0.124384,-0.060259,-0.317358,0.000000,0.062343,-0.066490,-0.066490,0.056833,-0.060259,-0.005865,0.000000,0.000000,-0.060259,-0.060259,-0.375225,0.121027,-0.060259,-0.060259,-0.066490,0.062343,0.062343,-0.060259,-0.060259,-0.251314,-0.506935,10.979146
L27,0.000000,0.000000,0.000000,0.000000,-0.060259,0.000000,0.000000,0.000000,0.062343,0.000000,0.000000,0.062343,0.000000,0.000000,0.000000,0.000000,0.062343,0.000000,0.251964,0.247408,0.126195,-0.060259,0.000000,0.000000,0.000000,-0.060259,0.000000,0.000000,0.000000,0.000000,0.000000,-0.060259,0.000000,0.000000,0.000000,0.062343,0.062343,0.000000,0.121027,-0.060259,-0.005865,0.000000,-0.060259,0.056833,-0.117783,-0.305382,0.062343,-0.066490,4.682510
L28,0.062343,0.000000,0.000000,0.062343,0.056833,0.000000,0.000000,0.000000,0.062343,0.062343,0.062343,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062343,0.062343,0.062343,0.000000,0.000000,0.062343,0.000000,0.062343,0.000000,0.000000,0.062343,0.000000,0.062343,0.062343,0.000000,0.062343,0.062343,0.062343,0.000000,-0.060259,0.062343,0.186213,0.062343,0.000000,0.062343,0.000000,-0.060259,0.067823,-0.405465,0.000000,-0.060259,7.480732
L29,0.000000,0.000000,0.000000,0.062343,0.056833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062343,0.000000,0.000000,0.000000,0.000000,0.062343,0.062343,0.062343,0.000000,0.000000,0.000000,0.000000,0.062343,0.062343,0.000000,0.062343,0.062343,0.062343,0.062343,0.062343,0.000000,0.000000,0.000000,0.062343,0.000000,0.000000,0.062343,0.000000,0.000000,0.000000,0.062343,0.000000,0.000000,-0.185836,0.126195,0.000000,7.830460
L30,0.062343,0.062343,-0.060259,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.060259,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.060259,0.000000,0.000000,0.000000,0.000000,-0.060259,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.005865,0.000000,-0.185836,0.000000,-0.060259,11.470163
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.398480
