layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Write,7: a,8: hand,9:off,10:-,11:style,12: summary,13: for,14: a,15: patient,16: with,17: depression,18:.,19: Include,20: demographic,21: first,"22:,",23: then,24: key,25: PM,26:H,27:.,28: Begin,29: exactly,30: with,31::,"32: """,33:Gender,34::,"35: ""","36:
",37:<,38:|,39:ass,40:istant,41:|>,"42:
",43:Gender,44::
L11,0.067011,0.067011,0.067011,-0.120882,0.375312,0.067011,0.125454,0.252414,0.004938,-0.239363,0.000000,0.129812,-0.178369,0.000000,0.000000,0.508843,0.818601,1.196020,0.004938,0.129812,0.004938,-0.126484,0.004938,-0.120882,-0.061244,-0.066521,0.260077,-0.066521,0.312133,0.121078,0.004938,0.004938,0.375312,2.080678,-0.184304,-0.504246,-0.252022,0.062370,0.000000,0.000000,-0.126484,-0.184304,0.297534,2.814400,0.428304
L12,0.062370,0.062370,0.067011,0.000000,0.062370,-0.126484,0.067011,0.129812,0.062370,-0.433070,0.000000,0.067011,0.375312,0.188900,-0.055994,-0.440733,-0.126484,-0.433070,-0.433070,-0.055994,0.447474,0.062370,0.129812,0.000000,0.062370,0.004938,0.129812,0.129812,-0.184304,-0.120882,-0.190274,-0.252022,0.319353,0.818601,-0.066521,-0.317835,-0.373794,-0.061244,-0.061244,0.000000,-0.120882,-0.184304,0.572265,0.755517,0.678184
L13,0.062370,0.004938,0.004938,-0.066521,0.125454,0.004938,-0.061244,-0.061244,-0.126484,-0.061244,0.062370,0.062370,0.252414,0.004938,0.067011,0.502873,-0.061244,-0.184304,0.062370,0.062370,0.125454,0.121078,0.121078,0.004938,-0.055994,-0.061244,0.382092,0.129812,0.067011,0.000000,-0.245673,-0.066521,-0.061244,0.134150,0.566663,-0.071826,-0.184304,-0.061244,0.067011,-0.061244,0.129812,0.062370,0.121078,0.555363,-0.184304
L14,0.129812,0.125454,0.000000,0.062370,-0.061244,-0.184304,0.125454,0.188900,0.004938,-0.120882,-0.061244,0.000000,0.188900,0.062370,-0.061244,-0.184304,-0.120882,-0.500156,-0.190274,0.188900,0.062370,0.067011,0.062370,0.000000,0.004938,-0.055994,0.000000,0.004938,-0.061244,-0.061244,-0.061244,-0.120882,0.188900,-0.366625,-0.066521,0.053024,-0.311055,0.062370,0.188900,-0.120882,-0.366625,-0.178369,0.192990,1.061633,0.184794
L15,0.000000,0.067011,-0.184304,0.062370,-0.061244,0.004938,0.067011,0.121078,0.000000,0.062370,0.004938,0.004938,0.252414,0.004938,-0.184304,0.129812,0.125454,-0.126484,-0.126484,-0.004963,-0.120882,0.000000,0.004938,0.188900,0.062370,0.062370,-0.184304,0.000000,0.062370,0.062370,0.000000,0.125454,0.184794,0.561029,0.129812,-0.126484,0.009852,0.188900,0.129812,0.000000,0.000000,-0.245673,-0.071826,0.746171,1.317124
L16,0.129812,0.004938,-0.061244,0.062370,0.004938,0.062370,-0.061244,-0.120882,0.062370,-0.373794,0.067011,-0.311055,0.000000,0.062370,-0.120882,-0.440733,0.125454,-0.252022,-0.120882,-0.061244,-0.061244,0.129812,0.188900,0.067011,-0.184304,-0.120882,0.125454,0.004938,0.062370,-0.061244,0.121078,-0.066521,0.129812,-0.055994,0.004938,-0.055994,-0.120882,-0.126484,0.009852,0.062370,0.188900,0.134150,0.319353,-0.512477,0.415317
L17,0.004938,0.125454,0.000000,-0.184304,0.062370,0.004938,0.062370,0.004938,0.125454,-0.184304,-0.061244,-0.126484,0.188900,-0.061244,-0.311055,-0.066521,0.252414,0.000000,-0.190274,0.062370,0.062370,0.121078,-0.311055,0.004938,0.062370,0.125454,-0.120882,0.062370,0.000000,0.000000,0.121078,0.125454,0.004938,0.953224,0.192990,0.000000,-0.563335,0.129812,0.004938,0.062370,0.129812,-0.061244,0.566663,1.068459,1.714600
L18,0.062370,0.004938,0.188900,0.121078,0.375312,0.188900,0.561029,0.561029,0.693147,2.008944,0.375312,0.626626,0.502873,0.319353,0.755517,2.698766,1.259810,7.145453,1.005280,0.496867,1.948735,0.755517,0.693147,0.312133,0.125454,0.129812,0.693147,0.067011,0.188900,0.252414,0.125454,0.192990,0.566663,6.641789,1.569028,0.688184,0.561029,0.188900,0.252414,0.252414,-0.184304,0.009852,0.930057,5.377339,3.329726
L19,-0.120882,0.000000,0.062370,0.000000,0.067011,0.067011,-0.120882,0.000000,0.062370,0.067011,0.062370,0.062370,0.312133,0.188900,0.067011,-0.373794,-0.311055,-0.252022,-0.184304,0.125454,-0.304321,0.067011,-0.184304,0.062370,0.062370,0.000000,0.129812,0.125454,0.188900,0.192990,0.129812,-0.120882,0.067011,-0.245673,-0.184304,0.062370,-0.071826,-0.245673,-0.120882,0.004938,0.071630,0.004938,0.621321,0.945561,0.615988
L20,-0.061244,-0.061244,0.000000,0.004938,0.188900,-0.066521,-0.061244,0.062370,0.000000,-0.317835,0.062370,0.004938,-0.120882,-0.061244,-0.245673,-0.567693,-0.440733,-0.814029,-0.373794,0.067011,-0.252022,-0.120882,-0.184304,0.062370,0.188900,0.067011,-0.184304,0.188900,0.004938,0.004938,0.000000,0.062370,0.062370,-1.004202,-0.055994,-0.311055,-0.245673,-0.061244,0.004938,0.062370,0.129812,0.252414,0.188900,-0.668696,3.999018
L21,0.004938,0.062370,-0.061244,-0.061244,-0.184304,0.067011,0.067011,0.125454,0.129812,0.129812,0.004938,0.062370,-0.184304,0.252414,0.693147,1.640629,0.626626,3.015826,0.062370,0.067011,0.814225,0.192990,0.188900,0.000000,0.000000,0.000000,0.000000,-0.061244,0.000000,0.004938,-0.126484,0.000000,0.192990,3.579385,0.873817,0.998007,0.375312,-0.311055,0.000000,0.062370,0.067011,-0.184304,-0.184304,1.552396,6.850010
L22,0.004938,-0.061244,-0.120882,0.000000,0.004938,0.062370,-0.061244,-0.061244,-0.120882,-0.184304,0.004938,0.000000,-0.184304,-0.184304,-0.563335,-1.118612,-0.496083,-1.181132,-0.626136,0.004938,-0.373794,-0.061244,0.000000,0.067011,-0.126484,-0.120882,-0.120882,-0.126484,-0.055994,0.000000,0.000000,-0.120882,-0.311055,-0.496083,-0.373794,-0.055994,-0.563335,-0.245673,0.004938,-0.055994,0.000000,0.134150,0.188900,-0.433070,-0.456237
L23,0.004938,0.000000,0.000000,0.000000,-0.184304,0.062370,0.067011,0.062370,0.000000,0.062370,0.062370,0.125454,0.062370,-0.061244,-0.252022,-1.149384,-0.311055,-1.570597,-0.440733,0.062370,-0.061244,0.004938,-0.184304,-0.120882,0.062370,-0.055994,-0.061244,0.000000,0.062370,0.000000,-0.055994,-0.061244,-0.440733,-0.945168,-0.184304,0.009852,-0.373794,-0.252022,0.000000,-0.066521,0.067011,-0.120882,-0.311055,-0.311055,-0.290988
L24,0.067011,0.062370,0.062370,0.067011,0.004938,0.441125,0.000000,0.062370,0.000000,0.067011,0.000000,0.062370,0.004938,0.004938,0.067011,0.375312,0.004938,0.502873,-0.055994,-0.055994,0.067011,-0.061244,0.004938,0.000000,0.062370,0.004938,0.000000,0.062370,0.062370,0.062370,-0.184304,0.067011,0.067011,0.572265,0.382092,0.067011,0.062370,0.000000,0.062370,0.062370,0.071630,0.014742,-0.120882,0.121078,4.682956
L25,0.125454,0.000000,-0.055994,-0.055994,0.000000,0.062370,0.062370,0.004938,0.062370,-0.055994,0.000000,0.004938,-0.120882,-0.061244,0.188900,0.631903,0.004938,1.569028,0.062370,0.004938,0.004938,0.000000,0.062370,-0.055994,0.004938,0.062370,0.062370,0.004938,0.000000,0.004938,0.062370,-0.061244,0.192990,1.327679,0.319353,0.125454,0.125454,0.188900,0.000000,0.067011,0.312133,0.129812,0.129812,-0.576465,3.222039
L26,0.062370,0.062370,0.062370,-0.061244,0.004938,0.004938,0.062370,-0.055994,-0.061244,-0.120882,0.004938,0.004938,-0.055994,0.004938,-0.126484,-0.621517,-0.184304,-0.500156,-0.184304,-0.061244,-0.061244,-0.061244,-0.061244,-0.055994,0.004938,0.000000,-0.120882,0.000000,0.062370,0.004938,0.000000,-0.061244,0.004938,-0.366625,0.125454,0.000000,-0.120882,-0.245673,0.067011,-0.055994,0.071630,0.071630,0.000000,-0.440733,9.337523
L27,0.000000,-0.061244,-0.061244,-0.061244,0.004938,0.000000,0.000000,0.062370,-0.055994,-0.055994,-0.061244,0.000000,-0.061244,0.067011,0.067011,0.125454,0.067011,0.129812,0.067011,0.004938,0.000000,0.004938,-0.120882,-0.061244,-0.061244,-0.061244,-0.055994,-0.061244,0.062370,-0.055994,0.004938,-0.055994,0.067011,0.129812,0.184794,-0.061244,0.067011,0.067011,0.000000,0.004938,0.197064,0.076227,0.252414,-0.190274,3.703865
L28,0.004938,-0.061244,0.004938,0.004938,0.004938,0.004938,0.000000,0.125454,-0.055994,0.000000,0.000000,0.000000,0.000000,0.004938,-0.055994,-0.061244,0.067011,0.062370,0.004938,0.004938,-0.061244,-0.061244,0.004938,0.004938,0.000000,0.004938,0.062370,0.004938,0.000000,0.000000,0.004938,0.004938,-0.055994,-0.061244,0.057708,-0.061244,-0.055994,-0.055994,0.004938,0.004938,0.382092,-0.178369,-0.061244,-0.055994,7.805696
L29,0.004938,0.062370,0.004938,0.004938,0.062370,0.000000,0.000000,0.000000,-0.055994,0.000000,-0.055994,0.000000,0.000000,0.004938,0.004938,0.000000,0.000000,0.000000,0.000000,-0.061244,0.000000,-0.061244,0.000000,0.000000,0.004938,0.004938,0.004938,0.000000,0.000000,0.000000,0.000000,0.000000,0.004938,0.000000,0.004938,0.000000,0.000000,0.062370,0.067011,0.004938,0.129812,-0.233094,0.067011,0.067011,7.446833
L30,0.067011,0.129812,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004938,0.062370,-0.245673,0.062370,0.062370,10.030626
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.962429
