layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:For,7: the,8: patient,9: with,10: the,11: multiple,12: sclerosis,13: below,"14:,",15: compose,16: a,17: brief,18: presentatio,19: about,20: its,21: demographic,22: information,23:.,"24:
",25:You,26: must,27: start,28: with,29: the,30: following,31::,"32: """,33:Gender,34::,"35: ""","36:
",37:<,38:|,39:ass,40:istant,41:|>,"42:
",43:Gender,44::
L11,-0.052644,0.056089,0.043894,-0.137201,0.114930,-0.144581,0.000000,0.068138,-0.080043,0.258412,-0.167054,-0.087011,0.392562,0.043894,-0.045910,-0.025975,-0.115382,-0.019418,0.080043,-0.159507,0.253449,0.120628,0.050010,0.043894,-0.039221,0.074108,0.031548,-0.012903,0.186586,-0.019418,-0.144581,-0.377027,0.212834,0.025318,0.025318,-0.555617,-0.506561,0.050010,0.012739,-0.012903,-0.066249,-0.304924,0.120628,1.059392,0.357316
L12,-0.108214,0.043894,-0.019418,-0.012903,-0.045910,-0.122602,0.012739,-0.052644,-0.167054,-0.045910,0.019048,0.103436,-0.555617,0.103436,0.114930,-0.025975,-0.039221,-0.019418,0.218002,0.126294,-0.108214,-0.274943,-0.167054,-0.174659,0.154151,-0.045910,-0.052644,0.137530,0.181253,0.012739,-0.080043,-0.137201,-0.101096,0.000000,0.413976,-0.377027,-0.283418,0.207639,0.103436,-0.052644,0.012739,-0.101096,0.170500,0.409730,1.203973
L13,-0.080043,-0.019418,0.068138,-0.052644,-0.101096,-0.073122,0.012739,0.074108,0.109199,0.025318,0.074108,0.012739,-0.480313,-0.012903,-0.101096,0.074108,-0.101096,0.037740,0.114930,0.012739,-0.059423,-0.101096,0.080043,0.170500,-0.080043,0.012739,-0.137201,0.068138,0.031548,0.012739,-0.045910,0.006390,0.148641,0.074108,-0.159507,0.062132,0.091808,-0.012903,-0.012903,0.043894,-0.006431,-0.115382,0.085942,-0.454736,2.516455
L14,0.031548,0.080043,-0.039221,0.012739,0.103436,-0.094029,-0.039221,-0.073122,0.109199,0.137530,-0.052644,-0.052644,-0.300585,0.050010,0.154151,-0.159507,0.012739,0.012739,0.218002,0.223144,0.202417,-0.039221,-0.262364,0.165080,0.050010,-0.052644,-0.073122,0.043894,-0.039221,0.006390,-0.129875,0.043894,0.165080,-0.233615,0.085942,0.343772,-0.533517,-0.039221,0.114930,0.091808,-0.073122,-0.400669,-0.152016,-0.115382,-0.174659
L15,0.043894,-0.039221,0.068138,-0.019418,-0.039221,-0.052644,-0.012903,0.043894,0.103436,-0.080043,-0.019418,-0.052644,0.451402,0.043894,-0.059423,0.006390,0.037740,-0.108214,0.126294,0.050010,0.025318,0.056089,0.019048,0.202417,0.037740,-0.006431,-0.115382,0.012739,-0.019418,-0.019418,-0.019418,-0.152016,-0.052644,0.388223,0.705886,0.074108,-0.108214,-0.012903,0.207639,0.109199,-0.052644,-0.291965,0.143101,0.263350,0.620025
L16,-0.087011,-0.094029,-0.019418,-0.052644,-0.059423,-0.052644,-0.052644,-0.019418,-0.073122,-0.080043,-0.006431,0.074108,1.234278,-0.019418,0.103436,-0.087011,-0.080043,0.103436,-0.101096,-0.032576,0.238411,0.091808,-0.052644,-0.137201,0.137530,0.025318,-0.073122,-0.019418,-0.012903,-0.019418,-0.052644,0.103436,-0.144581,0.031548,0.348307,-0.266540,0.348307,0.143101,0.074108,0.012739,0.154151,-0.528067,0.577765,-0.152016,0.479573
L17,-0.073122,-0.080043,0.074108,0.000000,0.012739,-0.080043,0.043894,0.012739,-0.066249,0.050010,-0.159507,-0.019418,-0.174659,0.043894,-0.032576,-0.019418,-0.019418,0.012739,-0.087011,0.025318,-0.032576,0.159630,-0.073122,0.006390,-0.174659,-0.012903,-0.039221,0.043894,-0.006431,-0.073122,-0.052644,0.085942,-0.032576,0.316120,0.401182,0.097638,-0.137201,0.143101,0.120628,-0.115382,0.143101,-0.052644,-0.349376,0.025318,-0.039221
L18,0.019048,-0.101096,0.012739,0.012739,-0.045910,0.050010,0.006390,-0.012903,0.268264,0.518488,0.170500,0.019048,10.772323,1.045969,0.647237,0.103436,0.137530,0.050010,0.080043,0.062132,0.334639,0.503104,0.186586,0.126294,0.148641,-0.012903,-0.019418,-0.073122,0.050010,0.120628,0.012739,0.154151,0.050010,2.185763,0.388223,0.592051,-0.101096,-0.129875,0.056089,-0.039221,-0.094029,-0.304924,-0.019418,1.299283,-0.209614
L19,-0.073122,-0.045910,0.006390,-0.019418,0.019048,0.025318,-0.012903,0.103436,-0.129875,0.068138,-0.012903,0.043894,0.749237,0.043894,0.137530,-0.052644,-0.025975,0.006390,-0.073122,0.050010,-0.087011,-0.221542,0.025318,0.126294,0.191891,0.019048,0.050010,-0.039221,0.019048,0.037740,0.012739,0.068138,0.000000,0.680244,0.056089,0.434941,0.434941,0.043894,-0.039221,-0.039221,0.097638,-0.221542,0.302002,0.463573,2.273975
L20,-0.019418,0.043894,0.056089,-0.019418,-0.006431,-0.087011,-0.006431,0.074108,0.120628,-0.019418,-0.052644,-0.039221,-0.291965,-0.144581,-0.094029,-0.019418,0.012739,0.012739,-0.052644,0.043894,0.037740,0.062132,0.126294,-0.052644,-0.019418,0.037740,0.043894,0.043894,0.012739,0.043894,-0.080043,0.137530,0.109199,0.343772,0.563272,0.258412,-0.129875,0.025318,0.085942,-0.039221,0.012739,0.000000,0.533640,-0.190044,6.246653
L21,0.037740,0.043894,0.103436,-0.052644,-0.108214,0.012739,0.012739,0.012739,0.282863,0.320782,0.085942,0.170500,7.210231,0.316120,0.186586,0.012739,0.025318,0.025318,-0.006431,0.043894,0.320782,0.297252,0.109199,0.218002,0.181253,0.012739,0.043894,-0.006431,0.074108,0.306730,0.074108,-0.144581,-0.045910,1.292265,0.282863,0.109199,0.126294,0.043894,-0.045910,0.097638,-0.066249,-0.287682,0.282863,0.858227,7.029996
L22,0.043894,0.137530,-0.019418,0.062132,-0.115382,0.074108,0.074108,0.074108,-0.052644,-0.080043,0.103436,0.109199,-0.217550,-0.122602,-0.087011,0.043894,0.012739,0.074108,0.043894,-0.019418,-0.241745,-0.094029,-0.052644,-0.052644,-0.080043,0.074108,0.012739,-0.019418,0.043894,0.019048,0.043894,0.043894,-0.174659,0.006390,-0.045910,0.012739,-0.159507,0.043894,0.043894,0.037740,-0.080043,-0.025975,0.273154,0.487478,3.282452
L23,0.109199,0.043894,0.043894,0.074108,-0.039221,0.043894,0.012739,0.043894,-0.025975,-0.115382,0.043894,0.080043,0.159630,-0.059423,0.043894,-0.019418,0.074108,0.074108,0.074108,-0.019418,-0.274943,-0.080043,0.012739,0.043894,-0.115382,0.131928,-0.039221,-0.019418,0.074108,-0.080043,0.043894,-0.019418,-0.213574,-0.550046,0.503104,0.085942,-0.182322,-0.006431,-0.080043,-0.052644,0.091808,0.137530,-0.045910,0.080043,2.596020
L24,0.050010,0.074108,0.043894,-0.052644,0.012739,0.808077,0.012739,0.097638,0.031548,0.006390,-0.080043,0.012739,0.779090,0.031548,0.043894,0.037740,0.012739,0.043894,0.074108,0.012739,0.137530,0.137530,-0.019418,0.043894,-0.066249,-0.080043,0.012739,0.043894,-0.019418,-0.052644,-0.012903,-0.080043,-0.059423,0.383866,0.430783,0.202417,0.043894,-0.115382,0.012739,-0.019418,0.031548,-0.377027,-0.122602,0.388223,6.201133
L25,0.080043,0.043894,-0.012903,0.012739,-0.052644,0.012739,0.097638,0.006390,-0.019418,-0.012903,0.012739,-0.080043,3.490272,0.043894,0.012739,0.012739,0.043894,0.012739,-0.012903,-0.019418,0.043894,-0.052644,0.012739,-0.012903,0.043894,-0.019418,0.012739,-0.019418,-0.073122,0.019048,0.012739,0.012739,0.074108,0.165080,0.447312,-0.019418,0.074108,-0.052644,0.074108,0.074108,0.148641,-0.480313,0.379490,-0.152016,7.973270
L26,0.037740,0.037740,0.043894,-0.080043,-0.025975,0.097638,0.006390,-0.019418,-0.039221,0.074108,-0.039221,-0.073122,-0.372365,-0.052644,0.043894,0.012739,0.012739,-0.019418,-0.052644,-0.019418,-0.073122,-0.039221,-0.019418,0.012739,0.006390,-0.052644,-0.012903,0.012739,-0.019418,-0.012903,0.043894,0.043894,-0.006431,-0.108214,0.320782,-0.073122,-0.052644,-0.108214,0.068138,0.019048,0.131928,-0.596680,0.068138,-0.304924,10.573124
L27,-0.052644,-0.073122,-0.019418,-0.019418,-0.080043,0.043894,-0.080043,-0.052644,0.043894,0.012739,-0.052644,-0.052644,0.297252,-0.080043,-0.019418,-0.019418,-0.052644,-0.073122,-0.019418,-0.080043,0.012739,-0.052644,-0.052644,-0.052644,-0.019418,-0.073122,-0.052644,-0.052644,-0.080043,-0.052644,-0.052644,-0.019418,-0.073122,0.037740,0.097638,-0.080043,-0.019418,0.012739,-0.006431,0.012739,0.218002,-0.596680,0.202417,-0.174659,3.370826
L28,0.006390,0.012739,-0.080043,-0.025975,-0.019418,0.006390,0.006390,-0.073122,0.006390,-0.039221,-0.080043,-0.073122,-0.073122,-0.115382,-0.052644,-0.115382,-0.025975,-0.115382,-0.115382,0.006390,-0.108214,-0.073122,-0.115382,-0.080043,-0.115382,-0.108214,-0.115382,-0.115382,-0.115382,-0.108214,0.006390,-0.052644,0.006390,-0.025975,0.126294,-0.052644,0.006390,-0.080043,-0.025975,-0.115382,0.258412,-0.596680,-0.045910,-0.137201,9.208182
L29,-0.080043,-0.108214,-0.108214,-0.080043,-0.080043,-0.115382,-0.101096,-0.108214,-0.108214,-0.101096,-0.108214,-0.115382,0.006390,-0.115382,-0.108214,-0.115382,-0.025975,-0.115382,-0.025975,-0.025975,0.006390,-0.108214,-0.108214,-0.108214,-0.080043,0.006390,-0.115382,-0.108214,0.006390,-0.101096,-0.115382,0.000000,-0.115382,-0.080043,-0.080043,-0.080043,-0.108214,-0.080043,-0.108214,0.006390,0.012739,-0.464889,-0.019418,0.043894,8.068138
L30,-0.073122,0.068138,-0.144581,-0.108214,-0.115382,0.006390,-0.144581,-0.115382,-0.108214,-0.032576,-0.115382,-0.032576,-0.108214,0.000000,-0.115382,-0.101096,-0.115382,0.000000,-0.115382,-0.115382,-0.108214,-0.115382,-0.115382,-0.115382,-0.108214,-0.032576,-0.101096,-0.115382,-0.115382,-0.108214,0.006390,-0.025975,0.000000,0.000000,-0.032576,-0.115382,-0.108214,-0.115382,-0.115382,0.000000,-0.080043,-0.331357,0.031548,0.012739,11.926610
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.731012
