layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:A,7: patient,8: is,9: being,10: evaluated,11: for,12: rheumatoid,13: arthritis,14:.,"15:
",16:Prov,17:ide,18: a,19: brief,20: presentatio,21: focused,22: on,23: demographic,24: details,25: and,26: prior,27: medical,28: history,29:.,30: Your,31: response,32: must,33: start,34: with,35::,"36: """,37:Gender,38::,"39: ""","40:
",41:<,42:|,43:ass,44:istant,45:|>,"46:
",47:Gender,48::
L11,-0.251964,-0.275634,-0.217478,-0.125769,-0.090323,-0.251964,-0.184141,-0.065751,0.159332,0.061694,0.061694,0.000000,1.919592,0.255347,-0.184141,-0.032335,0.000000,-0.251964,-0.130937,-0.343771,-0.495787,-0.437800,-0.251964,-0.060909,-0.032335,-0.162519,0.091169,-0.032335,-0.060909,0.219500,-0.251964,-0.437800,0.061694,0.000000,0.053110,-0.974786,-0.473646,2.798389,-0.178692,-0.702279,-0.430783,0.151550,-0.151880,0.061694,-0.217478,-0.337382,-0.200671,2.213257,-1.062893
L12,-0.100323,-0.157186,-0.246133,-0.157186,-0.246133,-0.223143,-0.022990,-0.287682,0.131825,-0.281640,-0.343771,-0.337382,0.503526,-0.125769,-0.343771,0.159332,-0.217478,0.159332,-0.184141,-0.211844,0.159332,-0.217478,-0.120628,-0.376348,-0.281640,-0.211844,-0.281640,-0.376348,-0.466374,-0.060909,-0.125769,-0.343771,-0.376348,-0.004556,-0.495787,-0.569322,-0.217478,2.961517,-0.318454,-1.089562,-0.403195,0.131825,-0.032335,-0.090323,-0.032335,-0.151880,-0.287682,1.981628,-0.488353
L13,-0.125769,0.031322,-0.151880,-0.151880,-0.246133,-0.100323,-0.369747,-0.125769,-0.125769,-0.246133,-0.184141,-0.211844,-0.318454,-0.275634,-0.056089,-0.251964,-0.125769,-0.246133,-0.120628,-0.032335,-0.343771,-0.157186,-0.211844,-0.369747,0.095310,0.095310,-0.065751,-0.027652,0.031322,-0.070618,-0.246133,-0.312223,-0.157186,-0.275634,0.065958,-0.510825,-0.793469,0.860201,-0.369747,-0.716136,-0.343771,0.123825,0.091169,-0.151880,-0.022990,-0.184141,-0.541597,-0.503278,3.054858
L14,-0.120628,-0.090323,0.000000,-0.090323,-0.027652,-0.350202,0.000000,-0.157186,-0.178692,-0.281640,-0.157186,-0.157186,-0.090323,-0.223143,0.000000,-0.027652,-0.060909,-0.151880,0.031322,0.000000,-0.027652,0.000000,-0.070618,-0.437800,-0.281640,-0.151880,-0.056089,0.031322,0.159332,-0.189621,-0.120628,-0.275634,-0.337382,0.026907,0.031322,-0.343771,-0.480972,0.057411,0.503526,0.151550,-0.466374,-0.125769,-0.056089,0.061694,-0.312223,-0.644357,-0.763764,0.226773,-0.526093
L15,-0.065751,-0.125769,-0.004556,-0.060909,0.159332,-0.056089,-0.090323,-0.217478,0.004535,-0.032335,-0.157186,-0.095310,0.435318,-0.157186,-0.090323,0.000000,-0.090323,0.159332,-0.125769,-0.032335,0.000000,0.031322,-0.095310,-0.287682,-0.217478,-0.162519,0.091169,0.127833,-0.350202,-0.085360,-0.157186,-0.217478,-0.032335,0.000000,0.000000,-0.382992,-0.389681,1.841991,0.393270,-0.466374,0.127833,0.091169,0.099434,-0.151880,-0.211844,-0.246133,-0.403195,1.971552,0.867864
L16,-0.240336,-0.115513,0.031322,-0.151880,-0.056089,-0.095310,-0.090323,-0.533815,-0.223143,-0.195130,-0.312223,-0.246133,-0.027652,0.000000,0.095310,-0.090323,-0.157186,-0.125769,-0.125769,-0.130937,-0.095310,-0.125769,-0.125769,-0.337382,-0.376348,0.000000,-0.090323,-0.095310,-0.306031,-0.246133,-0.184141,-0.095310,-0.189621,-0.157186,-0.184141,-0.306031,-0.337382,0.241162,0.226773,-0.410021,0.233993,0.000000,0.226773,-0.125769,0.226773,-0.518430,-0.257829,-0.157186,2.991176
L17,-0.125769,-0.032335,-0.217478,-0.157186,0.000000,0.000000,-0.318454,-0.090323,-0.125769,-0.223143,-0.095310,-0.090323,-0.100323,-0.151880,-0.217478,-0.217478,-0.157186,-0.095310,-0.189621,-0.157186,-0.151880,-0.032335,-0.095310,-0.120628,-0.157186,-0.343771,-0.184141,-0.032335,0.159332,0.040094,-0.281640,-0.189621,-0.251964,-0.090323,-0.178692,-0.184141,-0.589606,0.897941,0.248279,-0.376348,-0.451985,-0.240336,-0.022990,-0.151880,0.074433,-0.299877,-0.622943,1.782627,-0.382992
L18,-0.095310,0.061694,-0.085360,0.123825,-0.157186,-0.125769,0.119801,1.104654,1.036092,0.411507,0.197359,0.035718,4.556552,1.669420,0.852479,0.189869,0.095310,-0.037041,-0.125769,0.091169,0.503526,-0.027652,-0.027652,0.567378,0.159332,0.061694,0.289952,0.040094,0.733241,0.470003,0.035718,0.035718,-0.032335,0.189869,0.061694,-0.125769,0.061694,12.458304,1.655627,0.159332,-0.363189,-0.090323,-0.051293,-0.151880,-0.115513,-0.027652,0.248279,5.696177,3.496507
L19,-0.184141,-0.246133,-0.125769,-0.095310,-0.151880,0.004535,-0.065751,-0.281640,-0.032335,-0.157186,-0.056089,-0.217478,-0.657429,-0.376348,-0.437800,-0.095310,0.061694,-0.056089,-0.095310,-0.056089,0.035718,-0.032335,0.099434,-0.146603,-0.060909,0.035718,-0.090323,0.000000,0.099434,0.004535,-0.027652,-0.060909,-0.120628,-0.056089,-0.022990,-0.151880,-0.927719,0.976273,0.159332,0.912648,0.562210,-0.287682,-0.146603,-0.189621,0.009050,0.095310,0.498017,-0.151880,1.576163
L20,-0.125769,-0.275634,-0.157186,-0.120628,0.065958,-0.312223,0.004535,-0.541597,-0.382992,-0.184141,-0.275634,-0.184141,-0.661824,-0.627189,-0.343771,0.061694,0.000000,-0.125769,-0.184141,-0.027652,-0.151880,-0.065751,-0.151880,-0.312223,-0.189621,0.004535,-0.157186,-0.189621,-0.410021,-0.125769,-0.090323,0.031322,-0.120628,-0.056089,-0.403195,-0.376348,-0.251964,-0.818916,0.316799,-0.337382,-0.533815,-0.151880,0.065958,-0.157186,0.189869,0.167054,0.380924,-0.648695,8.843176
L21,-0.065751,-0.151880,-0.090323,-0.120628,-0.251964,-0.211844,-0.090323,0.660812,0.248279,0.123825,-0.027652,0.065958,0.670157,0.602824,0.632238,0.004535,-0.056089,-0.090323,0.123825,-0.151880,-0.125769,-0.095310,0.123825,0.380924,0.127833,-0.022990,0.004535,-0.090323,-0.032335,0.349376,-0.065751,-0.151880,-0.120628,-0.056089,-0.085360,0.159332,0.316799,1.971552,0.411507,0.182321,-0.403195,-0.211844,-0.115513,-0.032335,0.035718,0.135801,-0.416894,0.283126,7.194587
L22,-0.151880,-0.056089,-0.189621,-0.125769,-0.120628,-0.027652,-0.157186,-0.622943,-0.251964,-0.246133,-0.251964,-0.125769,-0.882767,-0.882767,-0.627189,-0.337382,-0.120628,-0.032335,-0.184141,-0.065751,-0.184141,-0.090323,-0.095310,-0.473646,-0.151880,-0.223143,-0.120628,-0.151880,-0.125769,-0.376348,-0.157186,-0.157186,-0.125769,-0.090323,-0.184141,-0.090323,-0.403195,-0.518430,-0.503278,-0.246133,-0.281640,-0.318454,-0.032335,-0.157186,-0.056089,-0.085360,-0.561321,-0.561321,4.827731
L23,-0.151880,-0.184141,-0.060909,-0.095310,-0.060909,-0.032335,-0.337382,-0.473646,-0.281640,-0.060909,-0.090323,-0.090323,-0.725482,-0.601977,-0.437800,-0.189621,-0.095310,-0.125769,-0.184141,-0.125769,-0.125769,-0.032335,-0.095310,-0.125769,-0.090323,-0.251964,-0.246133,0.000000,-0.125769,-0.189621,-0.056089,0.031322,-0.090323,-0.060909,-0.157186,-0.217478,-0.754055,-0.939280,0.498017,-0.416894,-0.151880,-0.281640,-0.120628,0.026907,0.074433,-0.178692,-0.618714,-0.473646,0.380924
L24,0.004535,0.004535,-0.060909,-0.189621,-0.120628,0.530628,0.035718,0.127833,-0.090323,-0.125769,-0.095310,-0.027652,0.123825,0.189869,-0.095310,-0.157186,-0.095310,-0.189621,-0.151880,-0.060909,-0.151880,-0.211844,-0.151880,-0.095310,-0.090323,-0.060909,-0.060909,-0.125769,-0.090323,-0.125769,-0.060909,-0.032335,-0.157186,-0.095310,-0.120628,-0.095310,0.065958,0.602824,0.131825,0.099434,0.000000,-0.157186,-0.120628,0.031322,0.044452,-0.363189,-0.466374,0.061694,4.383616
L25,-0.060909,-0.120628,-0.065751,-0.151880,-0.217478,-0.125769,-0.027652,0.189869,-0.125769,-0.090323,-0.060909,-0.095310,0.349376,0.342945,-0.032335,-0.032335,-0.151880,-0.060909,-0.120628,0.000000,-0.090323,-0.120628,-0.065751,0.000000,-0.060909,-0.095310,-0.060909,-0.060909,-0.090323,-0.065751,-0.125769,-0.120628,-0.090323,-0.095310,-0.095310,-0.095310,-0.032335,0.746257,0.189869,-0.056089,-0.027652,0.031322,-0.065751,-0.120628,0.226773,-0.115513,0.065958,-0.754055,2.477302
L26,-0.095310,-0.157186,-0.032335,-0.125769,-0.120628,-0.095310,-0.151880,-0.246133,-0.090323,-0.090323,-0.090323,-0.032335,-0.343771,-0.189621,-0.217478,-0.120628,-0.095310,-0.120628,-0.125769,-0.125769,-0.125769,-0.090323,-0.151880,-0.157186,-0.060909,-0.184141,-0.157186,-0.090323,-0.095310,-0.120628,-0.125769,-0.120628,-0.095310,-0.060909,-0.090323,-0.060909,0.035718,-0.533815,0.065958,-0.032335,-0.211844,-0.032335,0.070204,-0.060909,0.204794,-0.363189,-0.281640,-0.437800,9.952387
L27,-0.120628,-0.125769,-0.125769,-0.125769,-0.090323,-0.090323,-0.157186,-0.056089,-0.090323,0.000000,-0.060909,-0.090323,0.095310,0.189869,-0.056089,-0.125769,-0.120628,-0.125769,-0.090323,-0.120628,-0.125769,-0.090323,-0.125769,-0.120628,-0.090323,-0.056089,-0.157186,-0.090323,-0.125769,-0.090323,-0.120628,-0.120628,-0.090323,-0.090323,-0.090323,-0.151880,-0.189621,0.095310,0.061694,-0.151880,0.000000,-0.065751,-0.027652,-0.120628,0.204794,-0.480972,0.065958,-0.162519,3.666355
L28,-0.184141,-0.125769,-0.120628,-0.032335,-0.032335,-0.032335,-0.060909,-0.090323,-0.120628,-0.032335,0.000000,0.000000,0.000000,-0.120628,0.000000,-0.120628,0.000000,0.000000,0.000000,-0.151880,0.000000,0.000000,-0.151880,-0.120628,-0.032335,0.000000,-0.120628,0.000000,0.000000,-0.120628,-0.120628,-0.120628,-0.120628,-0.120628,-0.120628,-0.032335,0.000000,-0.217478,0.000000,-0.120628,0.000000,-0.151880,-0.032335,-0.120628,0.387116,-0.768654,0.091169,-0.060909,8.587285
L29,0.000000,-0.032335,-0.120628,-0.120628,-0.032335,-0.090323,-0.120628,0.000000,-0.090323,-0.032335,0.000000,-0.120628,-0.120628,-0.120628,-0.120628,-0.120628,0.000000,0.000000,-0.032335,-0.120628,-0.120628,0.000000,-0.120628,-0.120628,0.000000,0.000000,-0.120628,0.000000,-0.090323,-0.120628,0.000000,0.000000,-0.120628,-0.120628,-0.120628,0.000000,-0.090323,0.000000,-0.090323,-0.120628,-0.120628,-0.090323,-0.090323,-0.090323,-0.027652,-0.423814,0.031322,-0.032335,7.993380
L30,0.061694,0.061694,-0.032335,-0.090323,-0.090323,0.000000,0.000000,0.000000,0.000000,-0.120628,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.120628,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.120628,0.000000,-0.120628,0.000000,0.000000,0.000000,0.000000,0.031322,-0.032335,0.000000,0.000000,-0.090323,-0.032335,-0.125769,-0.090323,-0.369747,0.031322,-0.060909,9.959454
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.693347
