layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:The,7: patient,8: carries,9: a,10: diagnosis,11: of,12: multiple,13: sclerosis,14:.,"15:
",16:Sum,17:mar,18:ize,19: demographic,20: profile,21: and,22: past,23: medical,24: history,25: in,26: 2,27:-,28:4,29: sentences,30:.,31: Start,32: with,33::,"34: """,35:Gender,36::,"37: ""","38:
",39:<,40:|,41:ass,42:istant,43:|>,"44:
",45:Gender,46::
L21,-0.020514,-0.112720,0.034916,-0.025708,-0.177258,-0.020514,0.137331,0.574729,0.101291,0.005063,-0.052095,0.230225,0.039806,2.738052,0.794439,0.641052,-0.084707,-0.084707,-0.020514,0.105868,0.128442,0.068654,0.005063,0.039806,0.163534,-0.052095,-0.052095,0.005063,-0.118418,-0.124148,0.163534,-0.090247,0.039806,-0.090247,0.105868,0.785222,0.307783,0.073383,0.073383,-0.147405,0.068654,0.039806,-0.084707,-0.112720,-0.041457,0.884313,2.578908
L22,0.039806,-0.025708,0.034916,-0.052095,-0.057457,-0.020514,0.189067,-0.279257,-0.246251,0.010101,-0.025708,0.034916,0.132897,-0.214300,-0.499887,-0.299597,-0.118418,-0.118418,0.034916,-0.118418,-0.118418,-0.090247,-0.025708,-0.118418,-0.147405,-0.052095,0.010101,-0.084707,-0.025708,-0.052095,-0.272568,-0.020514,0.034916,-0.025708,0.039806,0.068654,-0.153305,0.005063,0.039806,-0.090247,0.005063,-0.020514,-0.090247,-0.057457,0.030002,0.427223,3.160343
L23,0.034916,0.068654,0.010101,-0.112720,-0.020514,0.005063,-0.220609,-0.341561,-0.272568,-0.112720,0.034916,-0.220609,-0.057457,-0.658231,-0.560250,-0.272568,-0.118418,-0.020514,-0.020514,-0.020514,0.010101,0.005063,-0.118418,-0.025708,-0.052095,-0.052095,-0.052095,-0.084707,0.005063,0.034916,-0.112720,-0.090247,-0.112720,-0.084707,-0.057457,-0.025708,0.292745,-0.272568,-0.084707,-0.052095,-0.025708,-0.052095,-0.079197,0.010101,-0.272568,-0.068268,2.502101
L24,0.068654,-0.020514,0.010101,0.005063,-0.025708,0.466189,0.068654,0.285141,0.010101,0.010101,-0.020514,-0.052095,0.101291,0.446896,-0.057457,-0.084707,0.005063,0.034916,0.034916,-0.020514,-0.118418,-0.084707,0.034916,-0.084707,0.010101,-0.084707,-0.147405,-0.057457,-0.020514,-0.052095,-0.118418,-0.084707,-0.084707,-0.025708,0.068654,0.201593,0.172117,-0.025708,-0.112720,-0.057457,0.073383,0.010101,0.044672,-0.299597,-0.025708,0.092075,4.932646
L25,-0.052095,0.005063,0.096694,-0.084707,-0.057457,-0.020514,0.068654,0.068654,-0.052095,-0.020514,0.010101,-0.052095,-0.057457,0.884313,0.063904,-0.020514,-0.020514,-0.118418,-0.084707,0.010101,-0.020514,-0.112720,-0.118418,-0.052095,0.005063,0.005063,0.005063,-0.118418,-0.084707,-0.052095,0.010101,-0.052095,-0.052095,0.005063,0.039806,0.234249,0.105868,-0.112720,0.010101,-0.084707,0.010101,0.034916,0.137331,-0.239779,0.193260,0.034916,6.524933
L26,-0.084707,-0.052095,-0.052095,-0.084707,-0.020514,-0.025708,-0.118418,0.010101,-0.052095,-0.118418,-0.020514,-0.084707,-0.020514,-0.306470,-0.084707,-0.025708,-0.084707,-0.084707,-0.084707,-0.084707,-0.052095,-0.052095,-0.052095,-0.118418,-0.052095,-0.052095,-0.084707,-0.052095,-0.084707,-0.052095,-0.052095,-0.084707,-0.084707,-0.020514,0.226185,-0.084707,-0.020514,-0.084707,-0.084707,-0.084707,-0.015346,-0.112720,0.020101,-0.233348,0.105868,-0.214300,10.770017
L27,0.005063,-0.084707,-0.052095,0.005063,-0.084707,0.005063,-0.052095,0.068654,-0.084707,-0.084707,0.034916,-0.084707,0.034916,0.728063,0.010101,-0.052095,0.005063,-0.052095,-0.118418,-0.118418,-0.084707,0.005063,-0.084707,-0.118418,-0.084707,-0.084707,-0.052095,-0.084707,-0.052095,-0.052095,-0.084707,-0.084707,-0.084707,0.000000,0.005063,0.101291,-0.020514,-0.084707,0.034916,0.034916,0.068654,-0.052095,0.078088,-0.265924,0.034916,0.005063,3.325109
L28,-0.118418,-0.118418,-0.084707,0.005063,-0.025708,-0.084707,0.034916,-0.084707,-0.025708,-0.112720,-0.112720,0.005063,-0.052095,-0.112720,-0.084707,0.005063,0.000000,0.000000,-0.084707,0.000000,-0.118418,0.005063,-0.052095,0.005063,-0.118418,-0.112720,0.005063,0.000000,-0.118418,-0.112720,-0.118418,0.000000,-0.025708,0.005063,0.010101,0.068654,0.068654,0.005063,0.034916,0.005063,-0.112720,0.000000,0.110424,-0.516765,0.159214,-0.025708,8.507035
L29,0.000000,0.005063,-0.052095,-0.052095,-0.057457,0.034916,0.034916,-0.112720,-0.118418,-0.084707,-0.118418,-0.084707,-0.052095,-0.084707,-0.118418,-0.118418,0.005063,0.005063,-0.084707,-0.084707,0.005063,0.034916,0.000000,-0.084707,-0.084707,0.005063,0.034916,0.034916,0.005063,0.000000,-0.118418,0.005063,-0.084707,0.005063,-0.052095,0.005063,-0.084707,-0.084707,0.005063,0.000000,-0.084707,0.005063,0.010101,-0.265924,0.010101,0.005063,6.880405
L30,-0.020514,-0.020514,0.005063,-0.084707,-0.084707,-0.084707,-0.118418,0.005063,0.005063,0.034916,-0.084707,0.000000,0.000000,0.000000,0.005063,-0.112720,-0.112720,-0.084707,0.005063,0.000000,0.000000,-0.112720,0.005063,0.005063,0.000000,0.005063,0.005063,-0.118418,-0.112720,0.005063,-0.118418,0.005063,0.005063,0.005063,0.034916,-0.052095,0.034916,-0.112720,0.000000,-0.084707,-0.084707,-0.084707,-0.084707,-0.246251,-0.020514,-0.025708,11.200792
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.877906
