layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Create,7: a,8: consult,9:-,10:note,11: style,12: brief,13: for,14: rheumatoid,15: arthritis,16: that,17: emphasizes,18: demographic,19: and,20: relevant,21: past,22: medical,23: history,24:.,25: Begin,26: with,27::,"28: """,29:Gender,30::,"31: ""","32:
",33:<,34:|,35:ass,36:istant,37:|>,"38:
",39:Gender,40::
L11,-0.059276,0.089406,0.177513,-0.007220,0.323019,-0.014493,0.301966,0.431499,0.468200,0.165391,-0.066939,-0.623668,-1.437940,-0.491817,4.553111,2.064028,0.864614,0.422109,-0.159560,-0.021819,-0.051672,-0.044124,0.153121,0.140699,0.115381,-0.168034,-0.106159,0.537793,0.307271,0.280460,-0.275760,-1.296866,0.373791,-0.163788,0.333382,0.014286,-0.412681,-0.823589,0.247308,1.168079,0.821264
L12,0.177513,0.089406,-0.059276,0.171470,-0.202669,-0.094231,0.463686,0.247308,-0.364927,0.134429,-1.270891,0.795621,-0.126362,0.558584,0.590975,0.021353,-1.063257,0.285880,0.700312,-0.685971,0.312548,-0.134558,0.207188,-0.168034,0.490473,-0.364927,0.663944,1.597854,0.028370,0.285880,0.076161,-0.664769,-2.854897,0.312548,0.140699,0.153121,0.082805,-0.215973,-0.521670,1.615170,1.562295
L13,-0.007220,0.000000,-0.126362,-0.146981,-0.220447,-0.059276,-0.094231,0.076161,-0.130452,0.055958,0.280460,-0.401870,-1.233152,-0.082443,-0.474324,-0.036634,-0.807329,-0.370122,-0.247721,0.562691,-0.434660,-0.412681,-0.074661,0.108950,1.802486,0.201323,0.606786,0.894467,0.062738,-0.700359,-0.468561,0.554460,1.325101,0.171470,0.189489,-0.168034,0.076161,-0.275760,-1.258152,-0.678853,2.972065
L14,0.275010,0.280460,0.055958,0.042259,0.490473,-0.014493,0.007168,0.115381,0.230310,0.328214,-0.445833,0.102478,0.035339,0.000000,0.957165,0.224580,-0.737263,0.328214,-0.462830,1.103391,0.146929,0.195423,0.218816,0.685923,0.795621,0.102478,0.440802,-0.294899,-0.324313,-2.737130,1.723530,0.979024,-1.964009,0.275010,-0.044124,0.146929,0.128120,-0.423610,-0.445833,1.064457,-2.536482
L15,0.115381,0.121771,0.007168,0.280460,0.275010,0.014286,0.537793,0.258481,0.378729,0.102478,0.280460,0.055958,-0.007220,0.000000,1.064457,0.940452,-0.565020,0.153121,-0.515628,0.000000,0.128120,0.146929,0.431499,0.755881,-0.309498,0.236008,1.176988,-0.094231,-0.090286,2.905044,0.973604,0.082805,-0.610334,0.183518,0.082805,-0.044124,-0.110167,-0.767799,1.447336,2.812683,-0.546211
L16,0.207188,0.269531,0.269531,0.076161,-0.090286,-0.051672,-0.159560,-0.007220,0.312548,0.247308,0.984415,0.291271,0.134429,0.481623,0.140699,-0.329301,0.440802,-0.066939,-0.558711,-0.007220,0.140699,0.128120,0.195423,0.189489,0.201323,0.021353,0.095963,-0.122289,-0.189540,0.973604,0.049132,-0.256981,-0.118232,1.016163,0.165391,-0.051672,0.082805,-0.334313,0.236008,0.189489,0.802094
L17,0.069472,0.035339,0.213019,-0.044124,0.398242,0.082805,0.115381,0.159275,0.264021,0.014286,-0.090286,-0.106159,-0.106159,-0.044124,1.054482,-0.106159,0.633867,-0.159560,-0.159560,-0.176581,0.296633,0.134429,0.134429,-0.029199,0.782549,-0.163788,0.490473,0.171470,-0.207084,1.702777,1.074334,0.014286,-0.122289,-0.407261,0.153121,0.021353,0.076161,0.042259,-2.369444,1.340282,0.082805
L18,0.218816,0.171470,0.258481,0.069472,-0.066939,0.121771,0.641471,0.431499,0.207188,0.562691,0.134429,-0.090286,-0.021819,-0.224942,11.153099,5.196101,0.610700,0.338523,1.956128,1.000415,0.333382,0.633867,0.808525,1.010941,0.864614,0.134429,0.486058,0.562691,0.153121,10.404398,1.811931,0.870656,-0.344414,-0.423610,-0.014493,-0.007220,-0.252340,-0.142823,-0.685971,5.931473,1.773603
L19,0.095963,0.095963,0.140699,-0.014493,-0.066939,0.775949,-0.106159,-0.007220,0.230310,0.264021,0.870656,-0.051672,0.146929,0.007168,-0.309498,-0.168034,0.153121,0.285880,0.301966,-0.364927,0.128120,0.195423,0.146929,0.516561,0.481623,0.069472,0.368828,-0.229456,-0.202669,3.389854,0.516561,0.633867,2.589000,-0.391175,-0.256981,-0.044124,-0.146981,-0.515628,0.412631,2.954228,6.181110
L20,0.028370,0.042259,0.042259,-0.074661,0.159275,-0.021819,0.213019,0.121771,-0.007220,0.076161,0.280460,0.241674,0.062738,0.296633,-0.630402,-0.630402,-0.126362,0.035339,-0.185202,-0.066939,0.076161,0.095963,-0.059276,0.000000,0.454595,0.171470,0.102478,0.269531,0.477169,0.115381,0.445420,0.021353,-1.422902,-0.130452,0.171470,0.007168,0.021353,-0.324313,0.894467,0.195423,8.477242
L21,0.014286,-0.106159,-0.074661,-0.130452,-0.238547,-0.021819,0.035339,0.089406,-0.044124,-0.066939,-0.349503,-0.163788,-0.074661,0.000000,2.241008,1.531664,0.426815,0.115381,1.021358,-0.014493,0.082805,0.171470,-0.074661,0.089406,1.103391,0.069472,0.134429,0.177513,0.827573,4.229500,-0.256981,-0.044124,1.574289,0.000000,-0.036634,-0.044124,-0.007220,-0.299742,0.721514,0.195423,4.908565
L22,0.076161,0.014286,0.049132,0.076161,-0.172298,0.089406,0.007168,-0.051672,-0.134558,0.049132,-0.220447,-0.059276,0.014286,-0.118232,-1.437940,-1.296866,-0.198274,0.042259,-0.807329,-0.074661,0.108950,-0.114191,-0.126362,-0.429120,-0.401870,0.069472,0.055958,-0.130452,-0.233991,-0.233991,0.323019,0.121771,-0.021819,-0.098191,0.089406,-0.014493,0.007168,-0.429120,0.140699,-1.002634,3.496500
L23,-0.044124,-0.036634,-0.098191,0.049132,0.055958,0.007168,0.014286,0.014286,-0.007220,-0.159560,-0.082443,0.241674,0.076161,0.000000,-1.296866,-1.350931,-0.021819,-0.066939,-0.207084,-0.059276,0.049132,-0.059276,-0.090286,-0.086357,-0.066939,-0.021819,-0.098191,0.000000,-0.597176,-1.889905,0.541986,-0.243124,-0.722338,-0.146981,-0.014493,0.007168,0.201323,-0.142823,-0.021819,-0.485952,-1.245574
L24,0.213019,0.140699,0.028370,0.000000,-0.106159,0.693143,0.014286,-0.114191,0.049132,0.042259,-0.014493,-0.014493,-0.066939,-0.086357,0.128120,0.177513,-0.021819,-0.051672,0.042259,0.049132,-0.082443,0.021353,0.082805,-0.066939,0.007168,0.014286,-0.014493,-0.051672,0.285880,0.481623,0.312548,0.440802,0.069472,-0.086357,0.108950,-0.007220,0.049132,-1.220882,0.201323,0.562691,5.541876
L25,0.028370,-0.014493,-0.029199,-0.059276,-0.163788,-0.151156,-0.044124,-0.021819,-0.059276,-0.021819,-0.130452,0.014286,-0.051672,-0.146981,1.519145,0.685923,0.000000,0.014286,0.171470,0.014286,0.042259,0.014286,0.042259,-0.051672,-0.014493,0.007168,0.014286,0.028370,0.363841,0.445420,0.541986,0.082805,0.153121,-0.007220,-0.066939,-0.094231,0.115381,-1.245574,0.481623,-0.840118,3.921894
L26,-0.082443,0.049132,0.028370,-0.036634,-0.146981,-0.059276,-0.036634,-0.021819,-0.059276,0.014286,-0.051672,-0.029199,-0.036634,-0.021819,-0.584189,-0.509622,-0.066939,-0.051672,-0.044124,-0.029199,-0.021819,-0.021819,0.014286,-0.051672,-0.021819,-0.051672,-0.036634,-0.051672,-0.138682,-0.418131,0.146929,-0.074661,-0.021819,0.021353,0.055958,0.007168,0.121771,-1.323533,0.189489,-0.329301,5.941204
L27,-0.014493,-0.029199,-0.021819,-0.007220,0.055958,0.007168,0.000000,-0.029199,-0.021819,-0.051672,0.007168,-0.029199,-0.066939,-0.021819,0.358828,0.296633,-0.021819,-0.029199,-0.036634,-0.021819,-0.021819,-0.051672,0.007168,-0.007220,-0.021819,-0.021819,0.007168,0.000000,0.095963,0.000000,0.264021,0.007168,0.014286,0.082805,0.102478,0.028370,0.159275,-1.777433,0.224580,-0.275760,2.409591
L28,-0.021819,0.028370,-0.021819,-0.007220,0.108950,0.000000,-0.021819,-0.021819,-0.036634,-0.029199,0.014286,-0.007220,-0.021819,-0.029199,-0.014493,0.014286,-0.021819,-0.021819,-0.007220,-0.029199,-0.021819,0.007168,-0.051672,-0.007220,-0.021819,-0.021819,-0.021819,-0.051672,-0.059276,-0.074661,0.089406,-0.021819,0.082805,0.089406,-0.051672,0.007168,0.258481,-1.843387,0.042259,-0.021819,5.329578
L29,-0.029199,-0.044124,0.000000,-0.007220,-0.007220,-0.007220,-0.036634,-0.036634,0.007168,-0.036634,-0.036634,-0.029199,-0.007220,-0.036634,-0.007220,-0.007220,-0.029199,-0.036634,-0.021819,-0.036634,-0.021819,0.000000,0.000000,0.000000,-0.021819,-0.036634,0.000000,-0.036634,-0.007220,-0.036634,-0.007220,-0.036634,-0.036634,-0.029199,0.007168,0.000000,0.049132,-1.453207,-0.082443,0.062738,7.413693
L30,0.049132,0.049132,0.000000,0.000000,-0.036634,0.007168,-0.036634,-0.036634,0.000000,0.000000,0.000000,0.000000,-0.036634,-0.029199,-0.036634,-0.036634,0.000000,-0.036634,0.000000,0.000000,-0.036634,0.000000,-0.029199,0.000000,-0.029199,0.000000,-0.036634,0.000000,0.000000,0.000000,-0.021819,0.000000,-0.036634,0.007168,-0.007220,-0.007220,0.028370,-0.603734,0.000000,-0.082443,7.452891
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.056696
