layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Pro,7:du,8:ce,9: a,10: discharge,11:-,12:brief,13: style,14: summary,15: for,16: sarc,17:oid,18:osis,"19:,",20: limited,21: to,22: demographic,23: and,24: prior,25: medical,26: history,27:.,28: Start,29: with,30::,"31: """,32:Gender,33::,"34: ""","35:
",36:<,37:|,38:ass,39:istant,40:|>,"41:
",42:Gender,43::
L11,-0.072313,-0.308006,-0.077325,0.027522,-0.014050,-0.487772,0.138737,-0.205829,0.537402,-0.123600,-1.873565,-0.289199,-1.706614,0.605666,-0.800969,0.610729,0.076092,1.474098,-0.113130,-0.843294,-0.599869,1.317642,-0.760364,1.443827,-0.450599,0.114148,0.526474,-0.595642,0.032036,0.422340,0.446436,0.205292,-0.014050,-0.876256,1.474098,1.711827,-0.421824,-0.264661,0.109990,0.049892,0.720619,1.155787,0.833862,1.801701
L12,0.000000,-0.087425,-0.150266,0.027522,-0.566539,-0.638744,-0.150266,-0.023528,0.130608,-0.976019,-1.563588,0.197688,-0.308006,1.949801,1.101640,-0.510757,-0.320743,0.801006,0.782039,1.807822,-0.118352,1.555858,-0.542250,0.504252,-0.562450,-0.234812,0.833862,0.385071,0.434461,-1.079979,-0.028301,0.333115,-1.136315,0.227763,-1.052959,0.333115,-0.450599,-0.128877,-0.033096,0.205292,0.403879,2.824323,-2.002685,-2.234288
L13,-0.077325,-0.161134,-0.004662,-0.289199,0.022987,-0.240711,0.174523,-0.359958,0.088939,-0.457924,-0.755402,-0.018778,-0.643158,1.855484,0.531953,0.264128,-0.359958,0.962578,0.088939,0.610729,-0.205829,0.659998,1.366253,0.278311,0.242468,0.410071,1.582965,-1.438483,-0.177661,-0.380158,-0.107936,0.664794,0.249740,1.975929,-0.674615,-1.121930,0.385071,-0.047623,-0.052513,-0.023528,-0.134181,1.356718,0.009258,-1.136315
L14,0.004640,-0.380158,-0.134181,-0.033096,0.299216,-0.301698,0.084675,-0.102769,0.249740,0.326427,-0.534284,0.109990,0.285328,0.319693,0.339759,-0.082362,-0.679190,-1.039717,-0.775398,1.190321,-0.457924,-0.023528,0.693096,-0.735798,-0.264661,-0.042757,0.058702,0.292296,-0.077325,0.022987,0.093185,0.212839,0.359431,0.339759,-0.876256,-1.121930,-0.353315,-0.211559,0.036530,0.027522,-0.697706,0.515425,0.515425,2.064710
L15,-0.223118,0.109990,-0.188833,-0.107936,-0.067326,-0.234812,-0.072313,-0.102769,-0.033096,-0.340159,-0.457924,0.162736,-0.320743,-0.780460,0.416224,-0.264661,0.481525,-0.205829,-0.848712,-0.821907,-0.450599,0.702355,1.635068,1.776836,0.339759,0.004640,0.067435,2.031114,-0.188833,-0.760364,0.292296,-0.480226,0.306089,0.773492,-1.243251,-0.683787,-0.625617,0.205292,0.158776,-0.177661,-0.716570,-1.136315,0.359431,2.656417
L16,-0.258620,-0.118352,0.205292,-0.373379,0.013856,-0.155685,-0.134181,-0.033096,-0.097628,-0.503037,-0.308006,-0.346715,-0.240711,-0.558377,-0.740663,-1.309918,-0.554321,-0.009345,0.397649,0.440466,-0.314354,0.242468,0.013856,0.537402,0.205292,-0.346715,0.041004,0.610729,-0.102769,-0.200131,0.782039,0.235143,-0.780460,0.271245,0.174523,0.397649,-0.495375,0.097413,-0.234812,0.080393,-0.538259,-2.074088,-2.804097,-2.425142
L17,-0.107936,0.049892,-0.052513,-0.102769,-0.150266,-0.188833,-0.023528,-0.082362,-0.097628,-0.314354,0.126518,-0.004662,0.076092,0.801006,0.058702,-0.161134,0.122412,-0.400774,-0.393855,1.507609,-0.570645,-0.264661,1.613070,0.574738,-0.258620,0.027522,0.264128,1.120016,-0.270740,-0.421824,-0.144875,-0.554321,1.465542,-0.228948,-0.785548,-0.951634,-0.252615,-0.097628,-0.183232,0.009258,-1.227256,0.469965,2.666810,3.561871
L18,-0.155685,-0.177661,-0.107936,-0.097628,0.054307,-0.346715,0.109990,-0.102769,0.190026,0.080393,0.434461,0.170609,0.548213,1.223703,0.027522,-0.217322,1.867053,1.744859,1.663667,0.595463,0.190026,0.101623,2.661627,0.620779,0.333115,0.428419,1.287299,2.106310,-0.289199,-0.097628,-0.150266,0.170609,1.939156,1.555858,-0.052513,0.716084,0.138737,0.049892,-0.246645,-0.346715,-0.258620,0.537402,-1.196014,3.291941
L19,-0.037915,-0.150266,-0.211559,0.142777,-0.223118,-0.205829,-0.097628,-0.102769,0.009258,0.138737,-0.558377,-0.327173,-0.200131,-0.252615,-0.166613,-0.647591,-0.194466,-0.554321,-1.400033,-1.150909,-0.643158,-0.366646,-1.968809,-0.510757,-0.223118,-0.258620,-0.495375,-0.480226,-0.023528,-0.837904,-0.927830,-1.196014,-1.001014,-1.363007,-1.656631,-1.732575,-0.652045,-0.033096,0.009258,-0.200131,-1.458277,-0.480226,-2.325169,0.720619
L20,-0.023528,-0.139514,-0.102769,-0.052513,0.058702,-0.023528,-0.052513,-0.023528,-0.128877,-0.102769,-1.026649,-0.188833,-0.155685,-0.550281,-0.188833,-0.228948,0.403879,1.024558,0.697736,1.507609,-0.674615,0.292296,0.326427,0.045458,-0.380158,-0.258620,-0.380158,-0.092513,-0.211559,-0.205829,0.264128,-0.518538,-0.139514,-0.082362,-0.688405,-1.079979,-0.314354,0.130608,-0.047623,-0.150266,-0.421824,-0.018778,-0.832543,2.217594
L21,-0.023528,-0.123600,0.049892,0.027522,-0.052513,0.045458,0.158776,-0.155685,-0.211559,-0.123600,-0.161134,-0.052513,-0.107936,0.158776,-0.102769,0.093185,-0.373379,0.004640,-0.155685,0.509854,-0.276855,0.146801,0.857814,0.579959,0.162736,0.158776,-0.161134,0.118288,-0.052513,0.109990,0.080393,-0.546258,0.841910,0.385071,0.706952,0.333115,-0.252615,-0.134181,-0.102769,-0.077325,-0.270740,-0.904579,-1.196014,-1.196014
L22,-0.155685,0.109990,-0.033096,0.027522,0.058702,-0.004662,-0.004662,0.049892,-0.102769,0.080393,-0.234812,-0.077325,-0.047623,0.054307,-0.004662,0.166680,-0.373379,-0.144875,-0.599869,0.558907,-0.234812,-0.018778,-0.018778,0.205292,-0.077325,-0.033096,-0.077325,0.101623,-0.052513,-0.082362,-0.052513,-0.816632,-0.028301,0.278311,-0.480226,-0.400774,-0.234812,0.009258,0.109990,-0.234812,-0.546258,-0.428941,-0.697706,-0.033096
L23,-0.052513,0.080393,-0.134181,0.004640,-0.155685,-0.023528,-0.047623,0.109990,-0.102769,-0.023528,-0.107936,-0.052513,-0.023528,0.162736,0.027522,-0.240711,1.582965,-0.428941,-0.205829,0.227763,-0.033096,0.009258,0.058702,-0.087425,0.080393,-0.102769,0.080393,-0.023528,0.000000,-0.052513,-0.042757,-0.177661,0.801006,0.130608,-0.052513,-0.258620,0.058702,-0.087425,-0.052513,-0.004662,-0.134181,-0.177661,0.027522,0.190026
L24,0.049892,0.049892,-0.155685,-0.023528,0.109990,-0.308006,0.018432,0.000000,0.000000,0.027522,-0.033096,-0.052513,0.000000,0.049892,-0.052513,0.097413,0.452371,-0.037915,-0.033096,0.049892,-0.188833,0.080393,0.182304,0.080393,0.049892,0.080393,0.000000,0.049892,-0.023528,0.000000,-0.077325,-0.289199,0.256960,0.162736,0.197688,0.000000,0.000000,0.080393,-0.042757,0.018432,-0.927830,-0.301698,-0.436108,3.611321
L25,-0.155685,-0.033096,-0.155685,-0.052513,-0.134181,-0.023528,-0.102769,-0.052513,-0.102769,0.000000,0.109990,0.032036,0.000000,0.049892,-0.134181,-0.211559,0.569489,-0.037915,0.256960,0.080393,-0.155685,0.009258,0.242468,-0.018778,0.000000,-0.033096,0.032036,0.150809,0.080393,0.080393,-0.023528,-0.228948,0.162736,0.142777,0.174523,-0.018778,-0.052513,-0.047623,-0.072313,-0.072313,-1.814763,-0.028301,-1.400033,-4.264808
L26,-0.023528,0.027522,-0.023528,-0.052513,-0.155685,-0.102769,-0.052513,0.027522,0.097413,-0.052513,-0.102769,0.049892,0.049892,0.049892,-0.023528,-0.102769,1.544012,0.242468,-0.200131,-0.052513,-0.052513,0.032036,0.097413,-0.052513,-0.004662,0.049892,0.049892,-0.052513,0.080393,-0.052513,0.027522,-0.414758,-0.134181,0.009258,-0.023528,-0.134181,-0.052513,0.080393,0.049892,-0.004662,-1.541620,0.045458,-0.472736,2.253401
L27,0.018432,0.000000,0.018432,-0.052513,0.067435,0.032036,0.027522,0.101623,-0.052513,-0.052513,0.097413,0.000000,0.000000,0.049892,0.049892,-0.052513,0.919016,0.101623,0.101623,0.049892,0.049892,0.049892,0.049892,-0.052513,0.080393,0.000000,0.000000,-0.033096,0.049892,0.049892,-0.052513,0.212839,0.049892,-0.052513,0.049892,-0.052513,0.018432,0.049892,0.027522,0.067435,-1.541620,-0.228948,-0.346715,1.465542
L28,-0.033096,-0.033096,0.049892,0.000000,0.000000,-0.052513,0.101623,0.049892,0.000000,0.000000,-0.033096,0.018432,-0.018778,0.000000,0.000000,0.000000,-0.976019,0.080393,-0.082362,0.000000,-0.023528,0.000000,0.027522,0.000000,0.000000,0.027522,0.018432,0.000000,0.080393,-0.052513,0.049892,-0.638744,-0.144875,-0.052513,-0.004662,0.018432,0.000000,0.097413,0.000000,0.205292,-1.499080,-0.246645,-0.082362,0.720619
L29,-0.102769,-0.134181,0.000000,0.027522,0.000000,0.000000,0.000000,-0.033096,0.000000,0.000000,0.000000,0.000000,0.000000,-0.052513,-0.052513,0.000000,0.849893,0.049892,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.052513,0.000000,0.027522,-0.004662,-0.082362,-0.018778,0.000000,-0.052513,0.000000,0.049892,0.000000,0.032036,-1.873565,-0.014050,0.009258,2.656417
L30,-0.102769,-0.052513,0.000000,0.000000,0.000000,0.000000,-0.052513,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.052513,0.000000,-0.052513,-0.052513,0.000000,0.000000,-0.052513,0.000000,0.027522,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.052513,-0.052513,-0.052513,-0.052513,-0.052513,-0.023528,0.000000,-0.072313,-0.652045,0.000000,-0.023528,2.473509
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.400033
