layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:A,7: patient,8: presented,9: with,10: depression,11:.,12: A,13: patient,14: has,15: the,16: following,17: condition,18::,19: depression,20:.,"21:
",22:Prov,23:ide,24: information,25: about,26: its,27: demographic,28: and,29: past,30: medical,31: history,32:.,33: You,34: must,35: start,36: with,37: the,38: following,39::,"40: """,41:Gender,42::,"43: ""","44:
",45:<,46:|,47:ass,48:istant,49:|>,"50:
",51:Gender,52::
L11,0.038915,0.031253,0.068993,-0.091350,0.200671,-0.182321,0.068993,0.322773,0.226313,0.154151,0.732062,0.317010,0.061558,0.251314,0.160930,-0.087011,0.068993,0.373204,0.105360,1.010157,0.076373,-0.241162,0.098192,-0.028171,-0.298320,-0.082692,0.068993,0.187599,-0.336472,0.011834,0.068993,-0.048790,0.245122,-0.028171,0.400160,0.167664,1.055362,0.061558,0.003960,-0.370374,-1.172719,1.540445,0.147325,-0.965080,0.747214,0.506052,-0.082692,-0.082692,-0.246225,-0.828948,0.631778,1.329136,-1.295321
L12,0.105360,0.154151,0.133531,-0.082692,-0.216223,-0.135801,0.200671,-0.122257,0.098192,0.000000,-0.277156,0.167664,0.038915,0.068993,0.031253,-0.122257,-0.087011,0.126563,0.219964,-0.144934,0.038915,0.194156,0.007905,-0.241162,-0.525482,-0.182321,-0.020041,-0.325422,-0.423483,-0.117783,0.160930,-0.370374,-0.091350,-0.182321,-0.211309,0.154151,0.105360,0.061558,0.098192,0.405465,0.046520,1.341662,0.644357,-1.370545,-1.018569,0.098192,-0.061369,-0.028171,0.068993,0.187599,0.819710,1.977162,0.126563
L13,0.000000,0.061558,-0.087011,-0.177571,-0.052966,0.003960,-0.087011,-0.020041,0.281712,0.007905,0.194156,0.140452,0.105360,0.200671,0.038915,0.038915,0.038915,0.007905,0.226313,0.098192,0.345502,0.054067,-0.061369,-0.364643,0.187599,0.031253,0.105360,0.194156,0.311212,-0.117783,-0.087011,-0.309073,0.529694,-0.061369,0.061558,-0.091350,-0.052966,0.068993,-0.241162,-0.251314,-0.810930,0.068993,-0.525482,0.160930,-0.168137,0.219964,0.038915,-0.024098,-0.149532,-0.024098,0.054067,0.693147,1.462667
L14,0.068993,-0.020041,0.038915,0.061558,0.140452,-0.387765,0.293617,0.160930,-0.246225,-0.024098,-0.020041,-0.168137,0.038915,0.287682,0.126563,-0.052966,0.007905,0.345502,0.356675,0.068993,0.003960,-0.399530,0.061558,0.251314,0.317010,0.061558,-0.024098,-0.473183,0.105360,0.031253,0.105360,0.378654,0.281712,0.003960,-0.052966,-0.061369,0.126563,0.068993,0.068993,-0.246225,-0.441832,0.378654,0.334202,0.257468,-0.454255,-0.087011,0.098192,0.187599,-0.216223,-0.182321,-0.163453,1.573893,0.160930
L15,0.007905,-0.057158,0.007905,0.031253,0.133531,-0.182321,0.126563,0.031253,-0.091350,-0.061369,-0.282405,-0.206419,0.007905,-0.028171,-0.144934,-0.061369,-0.028171,0.098192,0.031253,0.154151,-0.065597,0.061558,-0.144934,0.287682,0.061558,-0.032261,0.061558,-0.518793,0.287682,0.038915,0.160930,-0.003976,-0.399530,0.000000,-0.177571,-0.095707,0.119545,-0.052966,0.068993,-0.282405,-0.448024,1.573893,0.660886,-0.492476,0.405465,0.061558,0.194156,0.068993,-0.182321,-0.241162,0.219964,2.848042,-0.206419
L16,-0.113329,-0.108894,0.133531,-0.057158,-0.211309,-0.087011,0.105360,-0.325422,-0.061369,0.007905,-0.236124,-0.028171,0.068993,-0.282405,0.194156,0.031253,0.098192,-0.177571,-0.122257,-0.187095,-0.091350,-0.251314,0.126563,0.126563,0.038915,-0.028171,-0.078391,-0.364643,-0.182321,0.007905,0.076373,-0.113329,-0.177571,0.007905,0.007905,0.003960,0.046520,-0.052966,0.257468,-0.091350,-0.381934,0.648515,0.441833,-0.309073,0.200671,0.167664,0.061558,0.098192,0.007905,-0.454255,1.060872,1.491655,1.694595
L17,0.194156,0.160930,-0.082692,0.219964,-0.020041,0.098192,-0.282405,0.126563,0.160930,-0.024098,0.287682,0.322773,0.003960,0.105360,-0.082692,0.068993,0.000000,-0.028171,0.251314,0.356675,0.154151,-0.498991,-0.028171,-0.028171,0.003960,0.031253,0.038915,-0.330932,0.133531,0.133531,-0.177571,0.226313,-0.149532,0.038915,-0.144934,-0.113329,0.068993,0.011834,0.098192,0.378654,-0.689186,0.623303,-0.032261,-0.594955,-0.282405,-0.330932,-0.024098,-0.024098,0.133531,-0.358945,0.275706,0.762140,-0.287682
L18,0.098192,0.194156,0.160930,0.068993,-0.149532,-0.020041,0.098192,1.329136,0.769520,0.481838,3.776585,1.402042,0.351104,1.329136,1.354033,0.187599,0.105360,0.263584,0.601797,1.825572,1.082612,0.415991,-0.052966,-0.020041,0.194156,0.038915,0.362215,0.520304,0.257468,0.384074,0.476924,0.739667,0.207143,-0.057158,0.007905,0.098192,0.351104,0.226313,0.098192,0.543615,-0.411435,4.333028,0.619039,0.023530,-0.934309,-0.057158,-0.091350,0.068993,-0.149532,-0.144934,1.469993,2.978925,4.162596
L19,-0.122257,-0.091350,-0.122257,-0.091350,-0.117783,-0.065597,-0.113329,-0.251314,-0.032261,-0.028171,0.105360,-0.052966,-0.028171,0.038915,-0.117783,-0.024098,-0.144934,-0.057158,-0.271934,0.098192,0.174353,-0.226124,-0.113329,-0.087011,0.098192,-0.117783,-0.211309,0.031253,-0.024098,-0.052966,0.098192,0.257468,0.105360,-0.087011,0.038915,0.068993,-0.087011,0.007905,-0.052966,0.061558,-0.552695,1.694595,0.328504,0.584253,0.697107,0.068993,-0.122257,-0.122257,0.038915,0.226313,2.710164,2.631089,1.354033
L20,-0.057158,0.061558,0.154151,0.038915,0.167664,-0.187095,0.133531,-0.282405,-0.246225,0.003960,-0.405465,-0.061369,0.105360,-0.405465,-0.154151,0.068993,-0.052966,-0.122257,-0.087011,-0.405465,0.251314,-0.314493,0.007905,-0.206419,-0.117783,-0.020041,0.061558,-0.330932,-0.057158,-0.028171,-0.024098,-0.271934,-0.016000,-0.144934,0.000000,0.105360,0.000000,0.007905,0.068993,-0.303682,-0.122257,-0.370374,0.548213,-0.182321,-0.266739,-0.052966,0.007905,-0.082692,0.105360,-0.052966,0.708895,0.968853,5.197444
L21,-0.082692,-0.052966,0.003960,-0.091350,-0.082692,-0.117783,0.031253,0.980829,0.506052,0.187599,1.082612,0.669049,0.068993,0.697107,0.160930,-0.113329,0.068993,-0.020041,0.068993,0.606136,0.389465,-0.091350,-0.052966,-0.113329,-0.113329,0.007905,0.133531,0.133531,-0.122257,0.068993,0.098192,0.481838,0.356675,-0.144934,-0.082692,-0.187095,-0.061369,0.011834,-0.113329,-0.087011,0.038915,1.245937,0.194156,-0.282405,-0.559615,0.011834,-0.211309,-0.117783,-0.082692,-0.182321,-0.154151,0.962810,8.866120
L22,0.038915,-0.024098,-0.020041,-0.028171,0.003960,-0.082692,-0.154151,-0.538996,-0.314493,-0.277156,-0.750305,-0.758744,0.000000,-0.473183,-0.024098,-0.061369,-0.061369,-0.087011,-0.149532,-0.330932,-0.342043,-0.498991,0.038915,0.031253,0.038915,-0.057158,-0.342043,-0.435679,-0.182321,-0.091350,-0.091350,-0.241162,-0.211309,-0.144934,-0.117783,-0.052966,0.038915,-0.028171,0.000000,-0.028171,-0.187095,0.126563,-0.087011,-0.135801,-0.158791,-0.149532,0.000000,-0.144934,-0.182321,-0.266739,0.098192,0.986764,4.553542
L23,-0.211309,-0.144934,0.031253,-0.117783,-0.028171,0.031253,-0.342043,-0.594955,-0.282405,-0.277156,-0.914308,-0.566584,-0.154151,-0.466834,-0.087011,-0.091350,-0.144934,-0.061369,-0.091350,-0.122257,-0.216223,-0.376137,-0.024098,0.031253,-0.024098,-0.091350,-0.282405,-0.061369,-0.117783,-0.144934,0.003960,-0.113329,-0.113329,-0.091350,-0.144934,0.003960,-0.028171,-0.052966,-0.122257,-0.082692,-0.498991,-0.126752,0.046520,-0.298320,-0.236124,-0.024098,-0.024098,-0.024098,-0.082692,-0.177571,-0.177571,0.351104,-0.154151
L24,-0.087011,0.003960,-0.028171,-0.057158,-0.057158,0.697107,0.007905,0.126563,-0.057158,-0.117783,0.105360,-0.182321,-0.113329,0.031253,-0.087011,-0.087011,-0.028171,-0.028171,-0.113329,-0.082692,-0.091350,0.105360,-0.087011,-0.144934,-0.087011,0.003960,-0.117783,-0.149532,-0.061369,-0.024098,-0.061369,-0.057158,-0.028171,-0.087011,-0.113329,-0.028171,-0.082692,-0.087011,-0.057158,-0.061369,-0.154151,0.446922,0.322773,0.011834,-0.113329,0.000000,0.098192,0.038915,0.011834,-0.631589,-0.201553,0.496437,3.947267
L25,-0.117783,-0.149532,-0.057158,-0.172843,-0.087011,-0.057158,0.046520,0.160930,-0.028171,-0.061369,0.724399,0.038915,-0.024098,0.031253,-0.057158,-0.091350,-0.087011,-0.057158,-0.061369,0.384074,-0.057158,0.061558,-0.144934,-0.087011,-0.052966,-0.122257,0.003960,0.038915,-0.024098,-0.087011,0.031253,-0.057158,-0.057158,-0.028171,0.003960,-0.028171,-0.211309,-0.061369,-0.177571,-0.087011,-0.149532,0.784119,0.194156,-0.122257,-0.024098,-0.057158,-0.154151,-0.144934,-0.020041,-0.486004,0.126563,-0.448024,5.709427
L26,-0.091350,-0.117783,-0.082692,-0.149532,-0.117783,-0.028171,0.007905,-0.182321,-0.061369,-0.211309,-0.466834,-0.091350,-0.177571,-0.177571,-0.211309,-0.113329,-0.144934,-0.061369,-0.144934,-0.149532,-0.087011,-0.087011,-0.028171,-0.057158,-0.028171,-0.144934,-0.122257,-0.087011,-0.028171,-0.028171,-0.082692,-0.061369,-0.028171,-0.028171,-0.061369,-0.113329,-0.144934,-0.028171,-0.144934,-0.144934,0.007905,-0.411435,0.090972,-0.061369,-0.091350,-0.122257,0.007905,-0.087011,0.174353,-0.566584,0.083699,-0.251314,9.675952
L27,-0.028171,-0.061369,-0.091350,-0.144934,-0.061369,0.000000,-0.028171,0.038915,-0.082692,-0.028171,-0.082692,0.000000,-0.113329,-0.024098,-0.087011,-0.028171,0.000000,-0.028171,-0.117783,-0.117783,0.000000,-0.113329,-0.028171,-0.028171,-0.028171,-0.032261,-0.177571,-0.091350,-0.032261,-0.061369,-0.144934,-0.113329,-0.032261,-0.144934,-0.028171,-0.028171,-0.028171,-0.028171,-0.113329,0.000000,-0.028171,-0.149532,0.160930,-0.032261,-0.091350,-0.024098,-0.052966,-0.113329,0.076373,-0.793230,0.269663,-0.216223,3.182672
L28,-0.028171,0.000000,0.000000,-0.024098,0.003960,-0.113329,-0.057158,-0.028171,-0.028171,-0.061369,-0.028171,-0.028171,-0.144934,-0.028171,-0.061369,-0.061369,0.000000,-0.024098,-0.061369,-0.061369,0.000000,-0.028171,-0.028171,-0.061369,-0.028171,-0.028171,-0.113329,-0.061369,-0.061369,0.000000,-0.057158,-0.028171,-0.028171,-0.113329,-0.061369,-0.028171,0.000000,-0.028171,-0.061369,-0.061369,-0.087011,-0.411435,0.068993,-0.024098,-0.061369,-0.057158,-0.091350,-0.061369,0.232622,-0.885038,0.068993,-0.057158,8.149918
L29,-0.032261,-0.028171,0.000000,0.031253,-0.082692,0.000000,0.000000,-0.113329,0.000000,0.000000,0.000000,-0.113329,-0.028171,0.000000,0.000000,0.000000,0.000000,-0.113329,0.000000,-0.061369,0.000000,0.000000,0.031253,-0.028171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.117783,-0.028171,0.000000,0.000000,-0.113329,0.000000,0.000000,0.000000,-0.028171,-0.028171,-0.087011,-0.082692,-0.082692,-0.028171,0.000000,-0.024098,0.038915,-0.669616,0.007905,-0.082692,8.333754
L30,0.098192,0.038915,-0.028171,-0.113329,-0.117783,0.000000,0.000000,0.000000,0.000000,-0.113329,0.000000,0.000000,0.000000,-0.113329,0.000000,0.000000,-0.113329,0.000000,0.000000,0.000000,-0.113329,0.000000,0.000000,0.000000,0.000000,-0.113329,-0.113329,-0.113329,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.113329,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.052966,-0.113329,0.000000,0.000000,-0.028171,-0.028171,0.000000,-0.082692,-0.423483,0.031253,-0.052966,9.362103
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.935615
