layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:A,7: patient,8: has,9: asthma,10:.,11: Write,12: a,13: concise,14: clinical,15: summary,16: covering,17: demographic,18: and,19: relevant,20: past,21: medical,22: history,23:.,24: ,"25:
",26:Begin,27: exactly,28: with,29::,"30: """,31:Gender,32::,"33: ""","34:
",35:<,36:|,37:ass,38:istant,39:|>,"40:
",41:Gender,42::
L11,-0.124182,-0.247134,0.000000,-0.247134,0.000000,-0.247134,0.378316,0.250489,0.625166,2.380433,-0.371352,0.000000,0.123437,0.000000,0.123437,-0.997896,-0.124182,-0.124182,-0.371352,-0.124182,-0.124182,0.000000,0.000000,-0.247134,0.500528,0.749866,-0.120058,0.378316,0.879074,0.000000,0.625166,3.003305,-0.247134,-0.120058,-0.745521,0.000000,0.000000,-0.124182,-0.247134,0.129867,0.373304,2.627987,0.879074
L12,-0.124182,-0.124182,-0.124182,-0.124182,-0.371352,-0.501098,0.378316,-0.622639,-0.124182,-1.875098,-0.247134,-0.124182,-0.124182,-0.376656,-0.247134,0.373304,0.129867,0.000000,0.129867,-0.247134,-0.124182,-0.247134,-0.622639,-0.124182,0.000000,0.504943,0.000000,0.000000,0.000000,-0.124182,0.625166,2.004575,0.000000,-0.251817,-0.622639,0.000000,-0.124182,0.123437,-0.247134,0.129867,2.004575,0.378316,2.375016
L13,0.000000,-0.124182,-0.124182,-0.247134,-0.124182,-0.247134,-0.247134,-0.247134,-0.124182,-0.501098,0.378316,0.000000,-0.124182,0.373304,0.000000,0.500528,-0.124182,-0.753242,0.378316,-0.124182,-0.376656,0.123437,-0.247134,0.129867,0.000000,0.378316,-0.251817,-0.124182,-0.124182,-0.251817,0.250489,0.250489,0.250489,0.000000,-0.876838,0.000000,-0.124182,-0.247134,0.129867,0.000000,-0.376656,-1.182164,3.376253
L14,-0.124182,-0.124182,-0.124182,-0.247134,0.250489,-0.622639,0.123437,0.129867,-0.124182,-1.502026,0.000000,0.000000,0.123437,-0.247134,0.000000,-0.376656,0.123437,-0.371352,-0.124182,0.000000,0.000000,0.123437,0.250489,-0.247134,0.000000,-0.124182,-0.124182,0.000000,-0.247134,-0.997896,-0.371352,-0.622639,0.250489,0.000000,-1.502026,0.129867,-0.124182,0.000000,-0.251817,-0.495092,-0.622639,-0.745521,-1.124356
L15,-0.124182,0.000000,0.123437,-0.124182,0.000000,-0.371352,-0.124182,0.000000,0.129867,0.250489,-0.745521,0.129867,0.129867,-0.124182,-0.247134,0.000000,0.000000,-0.247134,0.129867,0.250489,-0.247134,-0.371352,-0.251817,0.000000,-0.124182,0.250489,0.250489,0.129867,0.500528,-0.247134,0.000000,1.380756,-0.247134,-0.376656,-0.124182,-0.124182,0.000000,0.000000,-0.124182,-0.371352,-0.876838,0.378316,2.004575
L16,-0.124182,-0.371352,0.129867,-0.124182,0.000000,0.000000,0.000000,-0.997896,-0.124182,-0.997896,-1.124356,-0.124182,-0.124182,-0.247134,-0.247134,-0.247134,-0.247134,-0.622639,0.250489,0.250489,0.000000,0.123437,0.129867,-0.247134,-0.376656,0.500528,0.000000,0.123437,0.250489,-0.247134,0.250489,-0.247134,0.000000,-0.124182,-0.997896,0.000000,0.000000,0.000000,0.000000,0.000000,-0.376656,-1.923867,-1.007844
L17,0.000000,-0.124182,0.000000,-0.371352,0.129867,-0.124182,-0.501098,0.129867,-0.371352,0.625166,-0.376656,-0.124182,0.000000,-0.124182,0.000000,-0.124182,0.129867,-0.376656,-0.124182,0.000000,0.250489,0.000000,0.250489,0.378316,0.000000,-0.371352,-0.124182,-0.247134,0.129867,-0.371352,-0.247134,1.626752,0.250489,-0.247134,-1.438531,0.000000,0.000000,0.000000,0.129867,-0.124182,-0.371352,0.500528,1.755788
L18,0.250489,0.000000,0.000000,0.000000,0.000000,0.250489,0.625166,3.879768,2.750853,9.632196,7.722296,1.004233,1.004233,0.749866,2.380433,0.879074,0.500528,2.253919,0.749866,1.004233,2.130084,1.132064,2.380433,1.132064,0.378316,1.755788,-0.124182,0.250489,0.378316,-0.124182,0.625166,9.563208,2.000634,0.749866,0.123437,0.378316,0.378316,0.129867,-0.124182,0.504943,0.373304,8.317945,2.130084
L19,-0.124182,0.000000,-0.247134,-0.124182,-0.247134,-0.247134,0.000000,-1.308886,-0.371352,-1.124356,-0.876838,-0.124182,-0.124182,-0.247134,-0.124182,0.129867,-0.124182,-0.247134,-0.247134,0.000000,0.000000,0.000000,0.129867,0.129867,-0.247134,-0.876838,-0.124182,0.000000,0.000000,-0.745521,-0.622639,-1.124356,-0.247134,-0.371352,-0.247134,-0.371352,-0.247134,-0.247134,-0.124182,0.123437,0.625166,-0.247134,2.123121
L20,-0.247134,0.000000,0.123437,0.000000,0.000000,-0.495092,0.000000,-0.622639,-0.247134,-2.245281,-0.745521,0.000000,-0.124182,0.000000,-0.124182,-0.247134,0.129867,-0.371352,0.000000,0.000000,-0.124182,-0.124182,-0.622639,0.000000,-0.247134,-1.364443,0.378316,0.123437,0.129867,0.000000,-0.247134,-2.972858,-0.495092,-0.247134,-0.501098,0.000000,0.129867,0.000000,0.000000,0.378316,0.000000,-2.178629,4.995024
L21,-0.124182,0.000000,-0.371352,-0.124182,-0.124182,-0.124182,0.129867,2.997493,1.004233,5.245537,2.380433,0.000000,0.250489,-0.124182,0.378316,0.129867,0.000000,1.255840,0.129867,0.129867,0.625166,0.123437,0.250489,0.129867,0.129867,0.756738,0.123437,0.123437,-0.124182,-0.124182,0.250489,5.119763,1.122608,0.749866,0.123437,-0.124182,-0.247134,0.129867,-0.247134,-0.247134,-0.753242,0.378316,9.374156
L22,-0.124182,0.000000,-0.124182,0.000000,0.129867,0.000000,-0.247134,-1.681017,-0.247134,-4.222435,-1.124356,0.000000,-0.124182,-0.124182,-0.371352,-0.247134,-0.124182,-1.256255,-0.376656,0.000000,-0.124182,-0.371352,-0.376656,-0.124182,-0.376656,-1.502026,0.000000,0.000000,0.000000,-0.124182,-0.876838,-1.681017,-0.376656,-0.247134,-0.501098,0.123437,0.000000,0.000000,-0.124182,0.378316,-0.124182,-2.839487,-1.350261
L23,-0.124182,0.000000,0.000000,0.123437,-0.124182,0.000000,-0.622639,-1.124356,-0.247134,-4.222435,-1.364443,0.000000,0.123437,0.000000,-0.124182,0.129867,0.123437,0.000000,-0.376656,0.000000,-0.124182,0.000000,-0.124182,0.000000,-0.495092,-0.622639,0.000000,0.000000,0.123437,-0.124182,-1.256255,-3.308820,0.256154,-0.247134,-0.622639,0.000000,-0.247134,0.123437,0.000000,-0.371352,-0.622639,-1.124356,-2.721828
L24,0.000000,0.000000,0.000000,0.000000,-0.124182,0.378316,0.250489,0.500528,0.123437,0.625166,-0.124182,0.000000,0.000000,-0.124182,-0.124182,-0.124182,0.000000,0.123437,0.000000,-0.124182,0.123437,0.000000,0.000000,0.129867,-0.124182,0.500528,0.000000,-0.124182,0.000000,-0.124182,0.000000,1.255840,0.625166,0.000000,-0.124182,0.129867,0.000000,0.000000,0.129867,-0.120058,-0.371352,0.123437,4.744740
L25,0.123437,0.129867,0.123437,0.123437,-0.247134,0.129867,0.378316,0.625166,0.000000,2.004575,0.378316,0.000000,0.123437,0.000000,0.250489,0.000000,0.129867,0.250489,0.250489,0.000000,0.129867,0.129867,0.129867,0.129867,0.250489,1.004233,0.000000,0.000000,0.123437,0.000000,0.378316,2.130084,0.749866,0.000000,0.123437,0.129867,-0.124182,0.000000,0.000000,-0.120058,0.129867,-1.502026,-1.949173
L26,-0.124182,0.000000,0.129867,0.129867,0.000000,0.129867,0.000000,-0.622639,-0.124182,-1.875098,-0.371352,0.000000,0.000000,0.000000,0.000000,-0.124182,0.000000,-0.124182,0.000000,0.123437,0.000000,-0.124182,-0.124182,0.000000,-0.124182,-0.495092,-0.124182,0.129867,0.000000,0.000000,-0.371352,-0.745521,0.000000,0.000000,-0.124182,0.000000,0.129867,0.129867,-0.120058,-0.120058,-0.622639,-0.622639,5.703644
L27,0.123437,0.000000,0.000000,0.129867,0.129867,0.129867,0.129867,0.378316,0.129867,0.879074,0.129867,0.129867,0.000000,0.129867,0.129867,0.129867,0.129867,0.123437,0.000000,0.129867,0.129867,0.129867,0.123437,0.129867,0.129867,0.500528,0.123437,0.129867,0.129867,0.123437,0.250489,0.250489,0.250489,0.000000,0.129867,0.129867,0.129867,0.250489,0.000000,0.129867,0.250489,-0.247134,2.241583
L28,0.129867,0.000000,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.000000,0.129867,0.250489,0.129867,0.129867,0.129867,0.129867,0.129867,0.256154,-0.495092,0.123437,0.129867,4.230227
L29,0.000000,0.000000,0.129867,0.129867,0.000000,0.129867,0.000000,0.000000,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.000000,0.000000,0.129867,0.000000,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.129867,0.000000,0.129867,0.007272,0.123437,0.129867,7.773898
L30,0.129867,0.129867,0.000000,0.129867,0.000000,0.000000,0.129867,0.129867,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.129867,0.129867,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.129867,0.000000,0.000000,0.000000,0.129867,0.129867,0.000000,0.000000,0.129867,0.129867,0.129867,0.129867,0.000000,0.129867,0.129867,6.902780
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.830321
