layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Write,7: a,8: short,9: paragraph,10: (,11:2,12:-,13:4,14: sentences,15:),16: for,17: a,18: sarc,19:oid,20:osis,21: patient,"22:,",23: including,24: demographic,25: and,26: clinically,27: relevant,28: PM,29:H,30:.,31: Start,32: exactly,33: with,34::,"35: """,36:Gender,37::,"38: ""","39:
",40:<,41:|,42:ass,43:istant,44:|>,"45:
",46:Gender,47::
L12,0.071459,0.036368,0.098672,0.098672,0.188475,0.064539,-0.061088,0.036368,-0.022473,-0.204794,-0.057158,0.064539,0.098672,0.157320,0.253780,-0.022473,0.098672,0.131678,0.036368,0.000000,0.036368,-0.346148,0.036368,0.287682,-0.014926,0.098672,0.064539,-0.030077,0.157320,0.230524,0.163629,0.157320,0.036368,-0.030077,-0.089034,0.125163,0.663070,0.427444,-0.335732,-0.270546,0.007380,0.007380,0.091937,0.007380,-0.084993,-0.030077,0.811753,0.850467
L13,0.125163,0.098672,0.064539,-0.089034,0.098672,0.036368,0.036368,-0.089034,0.125163,0.253780,0.007380,0.007380,-0.089034,0.098672,-0.130362,-0.030077,0.091937,0.282111,0.131678,-0.246564,-0.093090,0.377929,-0.089034,0.000000,-0.117783,0.098672,0.036368,0.007380,-0.030077,0.036368,0.224624,0.057570,0.007380,-0.126151,-0.251314,0.091937,0.528447,0.218689,0.000000,-0.305117,-0.065032,0.125163,0.007380,0.224624,0.125163,-0.195745,0.144581,0.537143
L14,0.098672,-0.022473,-0.057158,0.036368,-0.089034,0.007380,0.029199,0.036368,0.064539,0.125163,0.036368,0.036368,0.064539,0.157320,-0.065032,-0.030077,0.157320,0.098672,0.000000,-0.315218,0.029199,-0.030077,0.007380,0.071459,0.282111,0.218689,0.098672,0.029199,0.091937,0.163629,0.125163,0.036368,0.029199,-0.022473,-0.057158,0.071459,-0.399925,0.501897,0.036368,-0.492476,0.188475,0.131678,0.131678,-0.061088,0.007380,0.036368,-0.061088,0.036368
L15,0.036368,0.007380,0.036368,0.098672,0.036368,0.098672,0.064539,-0.057158,0.036368,0.029199,-0.030077,0.036368,-0.030077,0.036368,0.000000,-0.030077,0.000000,-0.093090,0.098672,-0.022473,0.224624,0.352221,0.064539,-0.057158,0.098672,0.064539,0.036368,0.000000,-0.022473,0.377929,0.036368,0.036368,0.125163,0.125163,-0.191250,-0.246564,0.293222,0.230524,-0.213927,-0.340926,0.098672,0.224624,0.036368,0.064539,-0.030077,0.007380,1.223775,0.293222
L16,0.224624,-0.022473,0.036368,0.036368,0.098672,0.064539,-0.089034,-0.030077,0.098672,0.098672,0.071459,-0.057158,0.007380,0.098672,0.412845,0.007380,-0.030077,-0.097164,-0.030077,-0.340926,0.007380,-0.213927,0.007380,0.064539,-0.022473,0.131678,0.036368,0.007380,-0.089034,0.000000,-0.126151,-0.151685,-0.057158,-0.121958,-0.061088,-0.246564,0.036368,0.194592,-0.147383,-0.084993,0.218689,0.224624,0.098672,0.043485,-0.204794,0.750717,0.528447,1.529272
L17,0.007380,-0.022473,0.131678,0.036368,-0.022473,-0.022473,-0.030077,-0.022473,-0.022473,-0.022473,0.157320,0.036368,0.036368,0.098672,-0.117783,-0.022473,-0.022473,-0.089034,0.125163,0.287682,0.064539,-0.223143,-0.121958,0.071459,0.131678,-0.151685,0.036368,0.036368,-0.053245,0.125163,-0.089034,-0.117783,-0.030077,0.029199,-0.057158,0.064539,0.663070,0.253780,-0.089034,-0.310155,-0.121958,-0.022473,0.007380,0.071459,-0.147383,-0.340926,0.624154,0.057570
L18,0.036368,0.007380,0.064539,0.036368,-0.022473,0.007380,0.157320,0.157320,0.224624,0.064539,0.036368,0.105360,0.007380,-0.022473,0.224624,0.064539,0.036368,0.036368,0.474622,2.291412,1.977162,2.797733,0.412845,0.036368,1.170071,0.474622,-0.022473,0.163629,0.163629,0.850467,0.169899,0.157320,0.163629,0.000000,0.188475,0.470004,9.047398,1.529272,0.537143,-0.204794,0.000000,0.098672,0.036368,0.098672,-0.186776,0.105360,1.585449,-0.587786
L19,-0.117783,-0.030077,0.036368,-0.022473,0.224624,0.224624,-0.030077,0.036368,-0.030077,0.282111,0.036368,0.098672,0.064539,0.036368,0.157320,0.064539,0.163629,0.064539,-0.030077,0.064539,0.029199,-0.213927,-0.089034,-0.030077,-0.186776,-0.061088,-0.089034,-0.030077,0.007380,0.064539,0.064539,-0.030077,0.000000,-0.182322,-0.151685,-0.315218,0.118606,-0.275412,0.007380,0.071459,0.021979,0.098672,0.098672,0.071459,-0.030077,-0.045462,0.309661,-0.746391
L20,-0.030077,-0.030077,-0.089034,-0.030077,0.194592,-0.089034,0.000000,-0.030077,-0.117783,0.000000,0.000000,0.000000,-0.030077,0.000000,-0.030077,0.007380,-0.084993,0.036368,-0.061088,0.036368,-0.340926,-0.147383,-0.151685,-0.089034,-0.340926,-0.121958,-0.089034,-0.030077,0.007380,-0.121958,-0.305117,0.000000,-0.057158,-0.030077,-0.089034,-0.117783,-0.542176,-0.241836,-0.275412,-0.310155,-0.061088,0.036368,-0.030077,0.224624,0.230524,0.000000,0.372840,1.700023
L21,-0.022473,-0.030077,-0.022473,0.000000,-0.022473,-0.057158,0.000000,-0.022473,-0.022473,-0.030077,0.036368,0.098672,0.036368,0.036368,-0.151685,-0.030077,0.071459,0.163629,0.036368,0.537143,0.412845,1.413693,0.163629,-0.030077,0.230524,0.036368,0.036368,-0.030077,-0.061088,0.163629,0.194592,0.036368,0.131678,0.000000,0.036368,0.470004,1.667008,0.537143,0.479220,0.230524,-0.057158,0.007380,-0.022473,0.131678,0.098672,0.000000,0.532804,3.225962
L22,-0.057158,-0.089034,0.036368,0.036368,0.007380,-0.084993,-0.030077,0.007380,-0.057158,-0.182322,0.000000,-0.030077,0.007380,0.098672,-0.022473,-0.022473,-0.089034,-0.089034,-0.093090,-0.310155,-0.378066,0.532804,-0.030077,-0.057158,-0.089034,-0.057158,-0.057158,-0.030077,-0.117783,-0.213927,-0.182322,-0.030077,-0.057158,0.000000,-0.030077,-0.147383,0.057570,-0.089034,-0.030077,-0.121958,-0.089034,0.036368,-0.030077,-0.089034,-0.084993,-0.151685,0.362583,1.742413
L23,-0.030077,0.000000,0.007380,0.036368,-0.089034,0.036368,-0.022473,-0.117783,0.007380,0.036368,0.007380,-0.057158,-0.030077,0.007380,0.036368,0.007380,0.036368,-0.117783,-0.022473,-0.656779,-0.468523,-0.535827,-0.241836,-0.030077,-0.117783,-0.061088,-0.057158,0.007380,-0.089034,-0.121958,-0.121958,0.036368,0.036368,0.036368,-0.089034,-0.399925,-0.126151,0.064539,-0.151685,-0.089034,-0.061088,-0.084993,-0.089034,0.194592,0.071459,-0.462623,-0.072969,1.249583
L24,0.098672,-0.084993,0.007380,0.036368,-0.022473,0.528447,-0.030077,0.007380,0.007380,0.036368,-0.030077,-0.057158,0.007380,0.036368,0.036368,-0.030077,-0.057158,0.036368,0.098672,0.007380,-0.089034,0.036368,0.036368,0.036368,0.036368,-0.030077,0.000000,0.036368,0.064539,-0.030077,0.036368,-0.117783,0.098672,0.064539,0.007380,0.036368,0.417735,0.352221,0.036368,-0.030077,-0.022473,0.036368,0.007380,0.163629,-0.080969,-0.057158,0.212719,1.926679
L25,0.036368,-0.089034,0.036368,0.000000,-0.061088,0.098672,-0.089034,-0.057158,0.036368,0.036368,0.000000,0.007380,0.036368,-0.022473,0.000000,-0.030077,-0.030077,0.098672,-0.030077,0.163629,0.412845,0.352221,0.036368,-0.030077,-0.022473,0.098672,0.036368,0.036368,0.000000,0.098672,0.036368,0.036368,-0.057158,0.000000,-0.022473,0.036368,0.608154,0.407931,0.036368,0.036368,-0.057158,-0.022473,-0.030077,0.163629,0.071459,0.163629,-0.169076,3.990765
L26,0.064539,-0.030077,-0.089034,0.000000,0.036368,-0.030077,0.007380,0.036368,0.036368,-0.030077,-0.030077,0.000000,0.000000,0.007380,0.000000,-0.022473,0.007380,0.000000,0.000000,-0.151685,-0.310155,-0.121958,-0.030077,0.007380,0.007380,0.000000,-0.057158,-0.030077,0.000000,-0.022473,0.000000,0.036368,0.000000,-0.030077,-0.057158,0.169899,-0.147383,0.098672,-0.084993,-0.057158,0.007380,0.131678,0.036368,0.138150,-0.045462,-0.030077,-0.251314,9.615093
L27,-0.030077,0.007380,-0.030077,-0.057158,0.036368,-0.030077,0.000000,0.007380,0.000000,0.007380,0.000000,-0.057158,0.007380,0.007380,-0.057158,-0.030077,0.000000,0.000000,0.000000,0.036368,-0.022473,-0.089034,-0.030077,-0.057158,-0.030077,0.000000,0.007380,0.000000,-0.030077,-0.057158,0.000000,-0.030077,0.000000,0.000000,0.036368,0.007380,0.064539,0.248017,-0.057158,-0.030077,-0.057158,0.098672,0.007380,0.200671,0.014706,0.064539,-0.030077,3.276445
L28,-0.030077,-0.030077,0.007380,0.000000,-0.030077,-0.030077,-0.030077,0.000000,0.000000,0.007380,-0.030077,0.000000,-0.030077,-0.030077,-0.030077,-0.030077,-0.030077,-0.030077,-0.030077,0.007380,-0.030077,0.007380,-0.030077,-0.030077,0.000000,0.007380,-0.030077,0.000000,-0.030077,-0.030077,-0.030077,-0.030077,-0.030077,-0.030077,0.000000,0.064539,-0.022473,0.157320,-0.057158,-0.030077,-0.057158,-0.057158,-0.030077,0.352221,-0.270546,0.007380,0.036368,7.617676
L29,-0.030077,-0.030077,-0.030077,0.007380,-0.084993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030077,0.000000,-0.030077,0.000000,-0.030077,0.000000,-0.030077,0.007380,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007380,0.000000,-0.030077,0.000000,0.000000,-0.030077,0.000000,-0.030077,0.000000,0.036368,0.000000,0.000000,0.000000,0.036368,0.000000,0.000000,-0.030077,0.064539,-0.084993,0.098672,-0.022473,6.084600
L30,0.036368,0.036368,-0.030077,0.007380,-0.089034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007380,0.000000,0.000000,0.000000,0.000000,0.000000,0.064539,-0.151685,0.157320,-0.057158,9.543789
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.225149
