layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:The,7: patient,8: carries,9: a,10: diagnosis,11: of,12: asthma,13:.,"14:
",15:Sum,16:mar,17:ize,18: demographic,19: profile,20: and,21: past,22: medical,23: history,24: in,25: 2,26:-,27:4,28: sentences,29:.,30: Start,31: with,32::,"33: """,34:Gender,35::,"36: ""","37:
",38:<,39:|,40:ass,41:istant,42:|>,"43:
",44:Gender,45::
L12,0.000000,0.060168,-0.123613,-0.059898,-0.305933,-0.311210,0.067441,-0.562521,-0.249652,-0.059898,-0.186982,0.000000,-1.640905,-0.191666,-0.182320,0.000000,0.252174,-0.059898,0.007722,0.007722,0.000000,-0.059898,0.123793,0.316335,-0.123613,0.000000,0.123793,-0.182320,0.000000,0.190042,-0.059898,-0.119237,0.067441,-0.182320,0.123793,-0.371173,-0.311210,-0.428991,0.060168,0.190042,0.067441,-0.182320,0.130619,-0.119237,0.183611,1.238256
L13,0.000000,-0.059898,-0.249652,0.000000,-0.059898,-0.059898,0.000000,-0.059898,-0.059898,-0.064021,-0.123613,0.000000,-0.685418,0.316335,-0.244690,-0.059898,0.067441,-0.059898,-0.244690,0.130619,-0.059898,0.007722,-0.059898,0.007722,0.000000,-0.059898,0.067441,-0.123613,-0.748930,-0.123613,-0.059898,-0.371173,-0.249652,-0.376806,0.316335,0.007722,-0.434962,-0.305933,0.067441,0.060168,0.000000,0.067441,0.000000,-0.625699,0.000000,1.064438
L14,-0.059898,0.000000,-0.059898,0.190042,0.190042,-0.434962,-0.059898,0.252174,0.123793,-0.059898,-0.123613,-0.119237,-2.257057,0.376627,-0.186982,0.123793,0.000000,0.000000,-0.186982,-0.249652,0.130619,-0.059898,0.130619,0.252174,0.000000,0.067441,0.067441,-0.059898,-0.685418,-0.496709,0.000000,-0.123613,-0.311210,-0.428991,-0.562521,1.113992,-0.562521,-0.816751,0.000000,0.190042,0.000000,0.007722,-0.059898,0.060168,0.060168,0.067441
L15,-0.059898,-0.059898,-0.059898,0.007722,0.067441,0.000000,0.060168,-0.186982,-0.123613,-0.123613,-0.186982,0.316335,-0.311210,0.130619,0.067441,0.060168,0.123793,0.123793,-0.182320,-0.059898,0.190042,-0.059898,0.067441,0.067441,0.067441,0.060168,0.130619,0.000000,-0.191666,0.067441,0.000000,-0.186982,-0.119237,-0.311210,0.629122,0.376627,-0.371173,-0.059898,0.316335,0.130619,0.067441,-0.059898,-0.186982,0.753312,0.753312,1.316049
L16,0.067441,-0.119237,0.000000,0.067441,0.130619,-0.123613,-0.186982,-0.748930,-0.311210,-0.186982,-0.123613,0.000000,-0.748930,-0.119237,0.123793,0.000000,0.007722,-0.186982,-0.059898,-0.059898,0.000000,0.130619,0.252174,0.190042,0.067441,-0.059898,0.000000,0.130619,0.501477,0.438502,-0.059898,0.123793,0.130619,-0.059898,0.624981,0.310670,0.000000,0.304972,0.190042,0.067441,0.000000,0.067441,0.067441,1.860401,0.371294,2.250877
L17,-0.064021,0.067441,-0.123613,0.000000,-0.059898,-0.123613,-0.316515,0.376627,0.067441,-0.059898,0.067441,0.000000,0.565134,-0.059898,-0.119237,0.000000,-0.059898,-0.123613,0.000000,-0.059898,0.000000,0.000000,0.067441,0.316335,0.123793,0.067441,0.000000,0.000000,0.067441,0.438502,0.130619,0.130619,-0.182320,-0.434962,0.565134,-0.249652,-0.064021,-0.503099,-0.059898,0.130619,0.000000,0.067441,-0.123613,0.376627,1.134144,1.518608
L18,0.067441,0.123793,0.190042,-0.059898,-0.186982,-0.059898,0.130619,2.446041,1.316049,0.438502,0.565134,1.821036,11.690129,4.572143,1.069772,0.000000,-0.059898,0.190042,0.816937,0.443490,0.130619,0.816937,0.565134,1.134144,0.123793,0.000000,0.000000,0.123793,0.443490,0.753312,0.000000,0.252174,0.629122,0.376627,7.370599,1.504932,0.246131,0.371294,0.252174,0.252174,0.252174,0.000000,-0.055791,1.657853,5.776059,0.637352
L19,-0.064021,0.000000,-0.123613,-0.123613,0.060168,-0.182320,0.060168,-1.009651,-0.434962,-0.186982,-0.128009,-0.186982,-1.768733,-0.059898,0.000000,0.000000,0.123793,-0.128009,-0.376806,-0.191666,0.316335,0.123793,0.130619,0.130619,0.060168,-0.059898,-0.123613,0.007722,0.183611,0.123793,0.067441,-0.059898,-0.064021,-0.503099,0.556285,0.246131,0.190042,0.624981,-0.064021,-0.059898,0.067441,-0.059898,0.252174,1.545410,1.411170,0.355121
L20,0.000000,-0.059898,0.067441,0.067441,0.252174,-0.249652,0.376627,-0.254640,-0.496709,0.067441,-0.123613,-0.311210,-2.374831,-0.496709,-0.119237,-0.186982,-0.059898,0.000000,-0.376806,-0.186982,0.067441,0.007722,-0.244690,-0.434962,0.060168,0.123793,0.123793,-0.059898,0.123793,-0.059898,0.123793,0.000000,0.000000,-0.059898,-1.815250,-0.244690,0.067441,0.569530,0.123793,0.067441,0.000000,0.130619,0.252174,0.565134,0.673573,2.666898
L21,-0.059898,-0.059898,-0.059898,-0.123613,-0.186982,0.000000,0.376627,2.133196,0.569530,0.123793,-0.186982,1.316049,6.263213,1.571513,1.192271,-0.059898,-0.123613,-0.059898,0.316335,0.067441,0.130619,0.190042,-0.059898,0.376627,0.190042,-0.123613,-0.123613,-0.249652,-0.186982,0.693143,-0.123613,0.067441,0.067441,0.258180,2.064793,0.753312,0.443490,0.381932,-0.305933,0.067441,0.000000,-0.059898,-0.371173,-0.625699,1.698379,5.472882
L22,-0.059898,0.000000,-0.123613,-0.059898,-0.059898,0.000000,-0.371173,-1.378550,-0.625699,-0.123613,-0.182320,-0.496709,-2.913768,-1.492490,-0.685418,-0.123613,0.067441,0.000000,-0.311210,-0.371173,-0.186982,-0.186982,-0.371173,-0.249652,-0.123613,-0.059898,0.000000,0.000000,-0.059898,-0.496709,0.000000,0.000000,-0.059898,-0.123613,-0.376806,-0.186982,-0.123613,-0.249652,-0.249652,0.130619,-0.059898,-0.186982,0.000000,-0.249652,-0.332601,2.320251
L23,0.000000,0.000000,-0.059898,0.000000,0.000000,0.000000,-0.693140,-1.442061,-0.816751,-0.123613,0.067441,-0.249652,-3.473278,-1.815250,-0.870818,-0.059898,0.067441,0.067441,-0.059898,-0.123613,-0.064021,-0.123613,-0.186982,-0.059898,0.000000,0.000000,0.000000,0.000000,0.067441,-0.311210,-0.059898,0.067441,-0.123613,-0.562521,-1.196233,0.252174,-0.305933,-0.244690,-0.182320,-0.059898,-0.059898,0.067441,-0.059898,-0.870818,-0.191666,0.665637
L24,0.000000,0.000000,0.067441,0.000000,-0.119237,0.501477,0.252174,0.501477,0.067441,0.060168,0.123793,0.067441,1.440968,0.000000,0.067441,0.000000,0.000000,-0.059898,0.000000,-0.059898,0.000000,0.007722,0.000000,-0.059898,0.000000,0.000000,0.000000,-0.059898,0.000000,-0.123613,0.000000,0.000000,-0.059898,0.067441,0.629122,0.190042,0.067441,0.067441,0.000000,0.007722,0.067441,0.007722,-0.244690,0.060168,0.190042,6.180490
L25,0.000000,-0.059898,-0.059898,-0.059898,-0.059898,-0.059898,0.258180,0.753312,0.067441,0.123793,-0.123613,0.123793,3.072183,0.252174,0.190042,0.123793,-0.059898,-0.059898,0.067441,0.000000,0.000000,0.067441,0.067441,-0.059898,-0.059898,0.000000,-0.059898,-0.059898,0.067441,0.067441,0.000000,-0.059898,0.000000,0.130619,0.569530,0.252174,-0.059898,0.000000,0.130619,0.000000,-0.059898,0.007722,-0.119237,0.501477,-0.382472,3.255402
L26,0.000000,-0.119237,0.067441,-0.059898,0.000000,-0.059898,-0.182320,-0.440968,-0.059898,-0.059898,-0.059898,-0.123613,-1.378550,-0.249652,-0.311210,-0.059898,-0.059898,0.000000,-0.059898,0.000000,-0.059898,0.000000,-0.123613,-0.119237,0.000000,-0.059898,-0.059898,-0.123613,-0.059898,-0.244690,-0.059898,0.000000,0.000000,0.000000,-0.186982,-0.059898,0.000000,-0.059898,0.067441,0.007722,-0.059898,0.007722,-0.177680,-0.059898,-0.186982,8.605624
L27,-0.123613,-0.059898,-0.059898,0.000000,-0.059898,-0.059898,-0.059898,0.316335,0.000000,-0.059898,0.000000,-0.059898,0.753312,0.067441,0.000000,-0.059898,0.000000,0.000000,0.000000,0.000000,-0.059898,0.000000,0.000000,-0.059898,0.000000,-0.059898,0.000000,0.000000,0.000000,-0.059898,-0.059898,0.000000,-0.059898,-0.059898,0.067441,0.067441,0.000000,-0.059898,0.067441,-0.059898,-0.059898,0.007722,-0.365570,0.130619,-0.059898,4.074108
L28,0.000000,-0.059898,0.000000,0.000000,0.000000,0.000000,-0.059898,-0.059898,0.000000,-0.059898,0.000000,-0.059898,-0.059898,-0.059898,0.000000,0.000000,-0.059898,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.059898,-0.059898,0.000000,-0.059898,-0.059898,-0.059898,-0.123613,0.000000,0.000000,-0.059898,-0.059898,-0.059898,0.000000,0.258180,-0.618479,0.000000,0.000000,6.343110
L29,-0.059898,-0.059898,0.000000,0.000000,-0.059898,-0.059898,0.000000,0.000000,-0.059898,-0.059898,0.000000,-0.059898,0.000000,0.000000,-0.059898,-0.059898,-0.059898,0.000000,-0.059898,0.000000,-0.059898,-0.059898,-0.059898,-0.059898,0.000000,-0.059898,-0.059898,-0.059898,-0.059898,0.000000,-0.059898,-0.059898,-0.059898,0.000000,0.000000,0.000000,0.000000,-0.059898,0.000000,-0.123613,0.000000,-0.059898,-0.305933,0.067441,-0.059898,7.355495
L30,0.067441,0.007722,-0.059898,0.000000,0.000000,-0.059898,-0.059898,-0.059898,-0.059898,0.000000,0.000000,-0.059898,0.000000,-0.059898,-0.059898,0.000000,-0.059898,0.000000,0.000000,0.000000,0.000000,-0.059898,-0.059898,0.000000,0.000000,-0.059898,-0.059898,-0.059898,-0.059898,-0.059898,-0.059898,0.000000,-0.059898,-0.059898,0.000000,-0.059898,-0.059898,-0.059898,0.000000,0.000000,-0.059898,-0.123613,-0.182320,0.060168,-0.059898,7.852784
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.204454
