layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:A,7: patient,8: has,9: multiple,10: sclerosis,11:.,12: Write,13: a,14: concise,15: clinical,16: summary,17: covering,18: demographic,19: and,20: relevant,21: past,22: medical,23: history,24:.,25: ,"26:
",27:Begin,28: exactly,29: with,30::,"31: """,32:Gender,33::,"34: ""","35:
",36:<,37:|,38:ass,39:istant,40:|>,"41:
",42:Gender,43::
L12,0.061369,0.031155,0.031155,0.124791,0.061369,-0.222353,0.215520,-0.128121,-0.065383,0.025001,-0.135341,0.031155,0.031155,0.061369,-0.032157,0.000000,0.090697,0.061369,0.124791,0.096460,0.000000,-0.006349,-0.006349,-0.032157,-0.032157,0.000000,-0.025642,0.061369,0.096460,-0.092782,0.000000,0.284512,0.344577,0.152341,-0.157320,-0.032157,0.250611,0.000000,0.061369,-0.032157,0.130362,0.543207,0.061369,0.366751
L13,0.000000,-0.032157,0.031155,0.000000,0.215520,0.061369,0.124791,0.215520,0.152341,0.031155,-0.195061,0.000000,-0.065383,0.025001,0.055399,0.031155,0.215520,0.000000,0.124791,0.124791,-0.032157,0.061369,0.061369,0.061369,0.031155,0.090697,-0.099750,0.061369,0.031155,-0.092782,0.061369,-0.006349,0.850908,0.279739,0.124791,-0.120953,-0.065383,-0.058649,0.000000,0.130362,0.119189,-0.065383,-0.375845,2.162886
L14,0.031155,0.031155,0.000000,0.031155,0.090697,-0.032157,0.124791,0.061369,0.124791,0.119189,0.184429,0.279739,0.184429,0.000000,0.061369,0.025001,0.152341,0.031155,-0.032157,0.061369,0.061369,0.031155,0.061369,0.000000,0.031155,0.000000,0.061369,0.031155,0.124791,0.031155,-0.128121,0.055399,-0.092782,0.152341,-0.099750,-0.187398,0.220609,0.096460,0.090697,-0.032157,-0.187398,0.096460,0.184429,0.037271
L15,0.025001,0.061369,-0.006349,0.000000,0.096460,0.031155,0.096460,0.152341,0.000000,0.096460,0.434573,0.031155,0.184429,0.061369,0.031155,0.061369,0.096460,0.090697,0.124791,-0.092782,0.090697,0.031155,0.090697,0.061369,0.090697,0.000000,0.090697,0.090697,0.061369,0.157761,-0.187398,-0.128121,-0.038715,0.184429,-0.317663,-0.250411,0.055399,0.067304,0.031155,0.031155,0.119189,0.090697,0.462858,1.102823
L16,0.031155,-0.032157,0.061369,-0.032157,-0.032157,0.061369,0.124791,-0.226313,0.025001,0.220609,1.724122,0.061369,0.000000,-0.065383,0.119189,-0.092782,-0.065383,0.090697,-0.065383,0.000000,0.031155,0.124791,0.031155,0.061369,-0.099750,-0.065383,0.215520,0.090697,0.000000,0.090697,0.031155,0.189678,-0.218408,0.215520,-0.058649,-0.313324,0.152341,0.025001,0.061369,0.124791,-0.304704,0.000000,-0.222353,-0.045315
L17,-0.032157,0.000000,0.119189,-0.065383,0.061369,0.031155,-0.065383,0.184429,0.090697,-0.032157,0.245673,0.096460,0.061369,0.000000,0.000000,0.061369,-0.065383,-0.065383,-0.032157,-0.099750,0.096460,0.031155,0.061369,0.119189,0.124791,0.061369,0.025001,0.061369,0.000000,0.025001,-0.128121,-0.222353,0.470794,0.096460,-0.128121,-0.437622,0.245673,0.031155,0.000000,0.157761,-0.032157,-0.283472,0.157761,0.730419
L18,0.124791,0.031155,0.000000,0.096460,-0.032157,0.031155,0.189678,0.783844,0.409676,0.157761,15.223596,1.599260,0.220609,0.157761,0.000000,0.312683,0.220609,0.061369,0.279739,0.312683,-0.032157,0.409676,0.124791,0.375484,0.409676,-0.032157,0.312683,0.031155,0.090697,0.124791,0.031155,0.124791,4.048367,0.284512,-0.032157,-0.313324,0.031155,0.130362,0.031155,0.037271,0.037271,0.308043,1.059898,1.228974
L19,0.031155,0.000000,0.031155,0.061369,-0.032157,0.220609,-0.065383,-0.065383,0.090697,0.220609,-0.254484,-0.099750,0.061369,0.061369,0.031155,-0.065383,0.096460,0.061369,0.000000,-0.032157,0.090697,0.157761,0.061369,0.031155,0.215520,0.096460,0.000000,0.090697,0.031155,0.061369,-0.187398,-0.283472,0.090697,-0.092782,-0.164755,-0.128121,0.000000,0.096460,0.000000,0.061369,0.090697,0.340082,-0.283472,1.963832
L20,0.000000,0.031155,0.090697,0.061369,0.031155,0.000000,0.090697,-0.135341,-0.006349,-0.032157,-0.408635,-0.313324,0.031155,0.031155,0.090697,-0.032157,0.000000,0.000000,0.025001,-0.092782,0.000000,-0.032157,0.090697,-0.187398,0.090697,0.000000,-0.218408,-0.006349,0.119189,-0.032157,-0.099750,-0.128121,-0.099750,0.124791,-0.099750,-0.157320,0.000000,0.061369,0.061369,0.124791,0.215520,0.146891,-0.452437,3.532670
L21,-0.065383,-0.032157,0.061369,-0.032157,-0.032157,0.000000,0.025001,0.279739,0.096460,0.000000,4.228957,0.783844,-0.032157,0.096460,-0.032157,0.090697,0.124791,-0.032157,0.279739,0.000000,-0.032157,0.124791,-0.025642,0.000000,0.124791,-0.065383,0.157761,0.031155,0.031155,-0.092782,0.061369,0.000000,0.968090,0.184429,0.000000,-0.032157,-0.006349,0.061369,0.000000,0.031155,0.000000,-0.128121,-0.099750,4.199009
L22,0.031155,0.000000,0.061369,0.061369,-0.032157,0.090697,-0.157320,-0.099750,-0.006349,-0.128121,-0.375845,-0.128121,0.000000,-0.006349,0.000000,-0.032157,0.061369,0.000000,-0.157320,0.090697,0.124791,0.119189,-0.006349,-0.006349,0.031155,-0.032157,-0.214479,-0.065383,0.031155,0.090697,-0.032157,-0.065383,-0.149940,0.025001,0.000000,0.031155,0.061369,0.061369,0.000000,0.000000,0.067304,0.308043,-0.418204,0.693147
L23,-0.032157,-0.032157,0.025001,0.090697,-0.065383,0.000000,-0.218408,-0.157320,-0.157320,0.090697,-0.609419,-0.157320,-0.065383,0.000000,0.119189,-0.032157,0.031155,0.000000,0.090697,0.000000,0.000000,-0.065383,0.025001,0.090697,0.061369,0.031155,-0.157320,0.031155,0.061369,-0.065383,0.031155,-0.250411,-0.085861,0.409676,-0.065383,-0.065383,-0.032157,0.090697,0.061369,0.061369,0.152341,0.000000,-0.128121,0.673977
L24,0.157761,0.096460,0.000000,0.000000,-0.032157,0.724302,0.061369,0.000000,-0.032157,0.031155,0.845488,-0.006349,0.061369,0.061369,0.000000,0.000000,-0.006349,0.061369,0.090697,0.090697,-0.032157,0.061369,0.031155,0.000000,0.061369,0.000000,0.031155,0.031155,0.031155,-0.032157,0.000000,0.031155,0.375484,0.250611,0.090697,0.031155,-0.032157,0.124791,-0.032157,0.130362,-0.149940,0.031155,0.124791,4.324552
L25,0.061369,0.031155,0.000000,0.000000,-0.092782,0.031155,0.090697,0.031155,0.000000,0.061369,1.599260,0.061369,0.031155,0.000000,0.000000,0.061369,0.031155,0.000000,0.124791,0.000000,0.096460,0.031155,0.031155,0.000000,0.061369,0.090697,0.124791,0.061369,0.061369,0.000000,-0.032157,0.031155,0.535827,0.157761,0.000000,0.090697,0.061369,0.124791,0.031155,0.189678,-0.120953,0.061369,-0.353065,3.190112
L26,0.031155,0.061369,0.061369,0.031155,0.000000,0.031155,0.000000,-0.065383,0.061369,-0.032157,-0.258574,-0.065383,-0.032157,0.031155,-0.032157,0.000000,0.061369,-0.032157,-0.032157,-0.065383,0.000000,0.000000,0.025001,0.000000,0.031155,0.090697,0.061369,0.061369,0.000000,0.061369,0.090697,0.184429,-0.065383,0.124791,0.061369,0.031155,0.031155,0.096460,0.000000,0.189678,0.037271,0.061369,-0.283472,11.326089
L27,0.031155,-0.032157,0.000000,0.061369,0.061369,0.000000,0.000000,0.031155,-0.032157,0.000000,0.968090,0.031155,0.000000,0.031155,0.000000,0.000000,0.000000,0.031155,0.031155,0.031155,0.000000,0.000000,0.000000,0.000000,0.031155,0.061369,0.000000,0.031155,0.000000,0.000000,0.000000,0.061369,0.090697,0.090697,-0.032157,0.000000,0.090697,0.124791,0.031155,0.284512,-0.149940,0.215520,0.025001,2.606900
L28,0.031155,0.061369,0.031155,0.031155,0.031155,0.000000,0.000000,0.000000,0.000000,0.031155,0.061369,0.031155,0.031155,0.031155,0.031155,0.000000,0.031155,0.000000,0.031155,0.031155,0.000000,0.031155,0.031155,0.031155,0.000000,0.000000,0.000000,0.061369,0.031155,0.000000,0.031155,0.096460,-0.065383,-0.032157,0.090697,0.061369,0.000000,0.031155,0.061369,0.284512,-0.309005,0.152341,0.061369,9.539377
L29,-0.032157,-0.065383,0.031155,0.031155,0.061369,0.000000,0.000000,0.031155,0.000000,0.031155,0.000000,0.031155,0.031155,0.000000,0.000000,0.031155,0.000000,0.000000,0.031155,0.000000,0.000000,0.000000,0.031155,0.000000,0.000000,0.000000,0.000000,0.000000,0.031155,0.000000,0.000000,0.031155,0.000000,0.061369,0.000000,0.031155,0.031155,0.031155,0.000000,0.061369,-0.214479,0.124791,0.096460,6.419108
L30,0.061369,0.061369,0.000000,0.031155,0.031155,0.000000,0.031155,0.000000,0.000000,0.031155,0.000000,0.000000,0.000000,0.000000,0.031155,0.000000,0.000000,0.000000,0.000000,0.031155,0.000000,0.000000,0.031155,0.000000,0.000000,0.000000,0.000000,0.000000,0.031155,0.000000,0.000000,0.000000,0.000000,-0.032157,0.000000,0.031155,0.031155,0.000000,0.031155,0.061369,-0.092782,0.031155,0.061369,11.764340
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.463564
