layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:A,7: patient,8: is,9: being,10: evaluated,11: for,12: asthma,13:.,"14:
",15:Prov,16:ide,17: a,18: brief,19: presentatio,20: focused,21: on,22: demographic,23: details,24: and,25: prior,26: medical,27: history,28:.,29: Your,30: response,31: must,32: start,33: with,34::,"35: """,36:Gender,37::,"38: ""","39:
",40:<,41:|,42:ass,43:istant,44:|>,"45:
",46:Gender,47::
L11,0.060217,0.000000,0.439354,0.000000,0.188046,-0.064077,0.254367,0.686210,0.875449,0.375114,0.311524,0.188046,0.875449,0.629052,0.375114,0.000000,0.439354,0.254367,0.000000,-0.185077,-0.064077,0.123129,0.066689,0.621672,0.123129,0.316562,0.375114,0.503892,0.686210,0.123129,-0.313282,0.311524,0.188046,0.686210,-1.250954,-0.693113,4.258948,0.006873,0.259700,-0.563909,0.060217,0.193744,0.066689,-0.189235,0.006873,-0.071456,3.809689,-0.569988
L12,0.000000,0.000000,0.316562,0.188046,0.066689,-0.064077,0.254367,-0.313282,0.066689,0.123129,-0.064077,-0.064077,-1.126514,-0.124699,0.503892,0.379842,0.188046,0.066689,-0.056751,0.753348,0.316562,0.316562,0.123129,0.123129,0.188046,-0.124699,0.000000,0.254367,0.254367,-0.124699,-0.313282,0.123129,0.375114,0.439354,0.379842,-0.185077,3.309502,0.495523,-0.942439,0.006873,0.316562,0.188046,0.249005,0.066689,0.129208,0.066689,4.496629,-0.132542
L13,0.000000,0.066689,-0.056751,-0.064077,0.188046,0.066689,-0.371548,0.000000,-0.064077,0.123129,0.249005,0.188046,0.311524,0.629052,0.249005,0.129208,0.000000,0.311524,0.000000,0.379842,0.188046,-0.124699,-0.249336,0.439354,0.999595,0.060217,0.188046,0.254367,0.875449,0.060217,0.188046,0.311524,-0.124699,-0.064077,-0.124699,-0.318010,0.629052,-0.193410,-0.433420,-1.064645,0.503892,0.066689,0.060217,0.254367,0.123129,-0.189235,-0.136486,3.717567
L14,0.000000,0.129208,0.129208,0.188046,0.439354,0.000000,0.193744,0.188046,0.123129,0.254367,-0.064077,0.188046,-1.510876,-0.124699,-0.124699,0.249005,0.311524,0.249005,0.188046,0.188046,0.316562,0.129208,-0.308576,-0.376560,0.129208,0.311524,0.439354,0.686210,0.000000,0.249005,0.188046,0.060217,0.439354,0.499716,-0.313282,-0.499375,0.564515,1.121317,0.746833,-1.192465,-0.124699,-0.056751,0.000000,-0.185077,-0.742589,-1.006382,-0.632898,-1.495374
L15,0.129208,0.188046,0.254367,0.375114,0.375114,0.129208,0.311524,0.188046,0.375114,0.129208,0.060217,0.375114,-0.499375,0.066689,0.249005,0.060217,0.188046,0.188046,0.123129,0.629052,0.316562,0.311524,-0.626426,0.000000,0.123129,0.188046,0.129208,-0.313282,0.000000,0.000000,-0.064077,0.000000,0.188046,1.247800,-0.376560,-0.376560,2.256691,-0.124699,-0.056751,0.379842,-0.064077,0.066689,-0.056751,-0.124699,-0.185077,-0.371548,2.381429,0.700003
L16,0.066689,0.129208,0.188046,0.188046,0.129208,0.060217,0.188046,-0.693113,-0.249336,0.066689,0.316562,0.000000,-0.249336,0.000000,0.066689,-0.064077,0.000000,0.123129,0.249005,-0.056751,0.316562,0.000000,-0.371548,-0.249336,0.188046,0.316562,0.249005,0.311524,0.188046,0.123129,0.129208,0.249005,0.254367,0.379842,0.254367,-0.185077,0.375114,0.629052,-0.124699,0.629052,-0.056751,0.439354,0.129208,0.316562,-0.180936,-0.505072,-0.438753,3.133660
L17,0.123129,0.066689,0.439354,0.060217,0.123129,0.066689,-0.249336,0.621672,0.000000,-0.124699,0.188046,0.000000,0.311524,-0.124699,0.188046,0.060217,0.249005,0.249005,0.249005,0.311524,0.316562,0.316562,0.311524,0.254367,-0.308576,0.129208,0.311524,0.629052,0.568429,0.060217,-0.056751,0.066689,0.188046,0.439354,0.316562,-0.371548,1.190759,-0.064077,-0.185077,-0.693113,-0.124699,0.316562,0.129208,0.129208,0.254367,-0.874042,2.877615,0.576211
L18,0.129208,0.254367,0.254367,0.316562,0.123129,0.188046,0.629052,2.759104,2.440815,1.065876,0.881179,0.564515,6.610012,2.877615,0.693130,0.499716,0.375114,0.499716,0.693130,2.567037,0.564515,0.439354,2.127380,0.753348,0.693130,1.381083,1.004659,2.943680,2.066396,0.375114,0.439354,0.311524,0.629052,1.255690,0.875449,1.813335,10.260717,4.252689,1.753062,0.503892,0.499716,0.006873,0.066689,-0.056751,0.254367,0.188046,9.731298,3.946557
L19,-0.185077,0.066689,0.000000,0.000000,0.000000,0.000000,0.000000,-1.126514,0.060217,-0.064077,0.066689,-0.056751,-1.510876,-0.376560,0.060217,-0.064077,0.066689,-0.124699,0.066689,0.316562,0.375114,0.188046,0.188046,0.188046,0.311524,-0.056751,0.066689,-0.064077,0.375114,0.066689,0.123129,0.129208,0.129208,0.066689,0.066689,-0.882340,0.434900,0.249005,1.255690,0.621672,-0.438753,0.000000,-0.064077,0.000000,0.311524,0.499716,-1.203892,1.309239
L20,-0.056751,0.000000,0.123129,0.066689,0.129208,-0.313282,0.439354,-0.064077,-0.313282,-0.124699,0.129208,0.066689,-1.626688,-0.376560,0.254367,0.129208,0.129208,0.123129,-0.124699,0.249005,0.188046,-0.064077,-0.249336,0.188046,0.188046,-0.064077,0.000000,-0.686240,-0.249336,0.000000,0.066689,0.123129,0.129208,-0.189235,0.060217,-0.313282,-1.885498,0.066689,-0.499375,-0.933629,-0.064077,0.188046,-0.056751,0.129208,0.439354,0.881179,-1.757692,8.441080
L21,0.123129,-0.064077,0.000000,0.000000,-0.249336,-0.249336,-0.064077,2.381429,0.816261,0.439354,0.066689,0.443789,2.505916,0.693130,-0.064077,0.000000,-0.124699,0.129208,0.060217,0.066689,-0.185077,0.503892,0.753348,0.503892,0.316562,0.311524,0.188046,0.129208,1.004659,-0.064077,-0.249336,-0.124699,0.000000,0.066689,0.629052,1.130266,4.252689,1.056330,1.182338,-0.438753,-0.313282,-0.124699,0.000000,-0.313282,0.193744,-1.192465,1.130266,8.208805
L22,0.000000,0.188046,0.000000,0.000000,0.000000,0.060217,0.060217,-1.379319,-0.249336,-0.249336,-0.189235,-0.185077,-3.184174,-0.686240,-0.189235,0.000000,0.000000,0.000000,0.000000,-0.185077,0.060217,0.000000,-1.006382,-0.056751,-0.124699,-0.249336,0.000000,-0.124699,-0.499375,0.066689,0.000000,0.129208,0.123129,0.066689,0.123129,-0.626426,-1.510876,-0.249336,0.000000,-0.563909,-0.810025,0.000000,-0.124699,0.000000,0.316562,-0.810025,-1.757692,4.684457
L23,0.060217,0.123129,0.129208,0.060217,0.000000,0.129208,-0.313282,-0.563909,-0.376560,-0.056751,0.123129,0.060217,-2.778987,-0.499375,-0.124699,0.066689,0.000000,0.000000,0.060217,0.000000,0.000000,-0.124699,-0.308576,0.000000,-0.308576,-0.124699,0.123129,-0.124699,-0.249336,-0.064077,0.000000,0.123129,-0.064077,0.188046,0.060217,-1.313078,-2.673682,0.753348,-0.817807,-0.244921,-0.189235,0.129208,0.129208,0.254367,-0.249336,-0.865812,-1.064645,-2.143260
L24,0.066689,0.060217,0.123129,0.000000,-0.185077,0.999595,0.316562,0.564515,0.066689,0.123129,0.066689,0.060217,0.693130,-0.056751,0.123129,-0.124699,0.066689,0.123129,-0.124699,0.066689,0.000000,0.000000,0.000000,-0.056751,0.188046,0.066689,-0.124699,0.188046,0.000000,0.000000,-0.064077,-0.056751,-0.056751,0.000000,0.188046,0.311524,1.255690,0.503892,0.316562,0.066689,-0.064077,0.066689,0.066689,0.066689,-0.180936,-0.185077,-0.313282,2.883804
L25,0.000000,-0.056751,0.188046,-0.056751,-0.124699,-0.064077,0.249005,0.629052,-0.064077,-0.064077,-0.124699,0.123129,1.631239,0.123129,0.123129,-0.064077,0.000000,-0.064077,0.000000,0.000000,-0.056751,0.060217,0.066689,0.060217,0.000000,-0.064077,0.000000,0.000000,0.066689,-0.064077,0.060217,0.060217,0.000000,-0.056751,-0.056751,0.188046,1.075333,0.439354,0.066689,0.311524,0.188046,-0.124699,-0.056751,0.066689,0.193744,0.629052,-1.644385,-1.215452
L26,0.000000,-0.124699,0.060217,0.000000,0.066689,-0.064077,-0.056751,-0.313282,0.000000,0.000000,-0.064077,0.000000,-1.192465,-0.124699,-0.124699,-0.064077,-0.056751,-0.064077,0.000000,-0.064077,0.000000,-0.064077,-0.064077,0.000000,-0.124699,-0.064077,-0.064077,0.000000,-0.124699,-0.056751,0.000000,-0.064077,0.000000,0.000000,0.000000,0.000000,-0.626426,-0.056751,0.000000,-0.124699,-0.056751,0.129208,0.066689,0.129208,-0.244921,-0.433420,-0.313282,7.243685
L27,-0.064077,-0.064077,0.000000,-0.064077,0.000000,-0.064077,0.000000,0.188046,0.000000,0.000000,0.000000,0.000000,0.629052,0.123129,0.000000,0.000000,0.000000,0.000000,0.000000,0.060217,0.000000,0.000000,0.000000,0.000000,-0.064077,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.056751,0.000000,0.000000,-0.056751,0.000000,0.129208,0.066689,-0.064077,0.000000,0.066689,0.123129,0.000000,0.066689,-0.180936,0.254367,-0.189235,4.000505
L28,0.000000,0.000000,-0.056751,-0.056751,0.000000,-0.064077,-0.056751,-0.124699,-0.056751,-0.056751,-0.056751,-0.056751,-0.064077,-0.056751,0.000000,-0.056751,-0.064077,0.000000,-0.056751,-0.124699,-0.056751,-0.064077,-0.056751,-0.056751,-0.064077,-0.124699,-0.124699,-0.124699,-0.124699,-0.056751,-0.064077,-0.056751,-0.064077,-0.056751,-0.124699,-0.056751,-0.124699,0.123129,0.000000,-0.056751,0.000000,-0.056751,-0.064077,0.379842,-0.557867,0.000000,-0.124699,5.368870
L29,0.066689,-0.056751,0.000000,0.000000,-0.056751,0.000000,0.000000,-0.064077,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.056751,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.066689,0.000000,0.060217,-0.240526,0.000000,0.000000,7.807313
L30,0.066689,0.066689,0.000000,0.000000,-0.124699,0.000000,0.000000,0.060217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060217,0.000000,0.000000,0.060217,0.060217,0.000000,0.060217,0.060217,-0.180936,0.060217,0.000000,6.875718
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.476207
