layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:For,7: the,8: patient,9: with,10: the,11: rheumatoid,12: arthritis,13: below,"14:,",15: compose,16: a,17: brief,18: presentatio,19: about,20: its,21: demographic,22: information,23:.,"24:
",25:You,26: must,27: start,28: with,29: the,30: following,31::,"32: """,33:Gender,34::,"35: ""","36:
",37:<,38:|,39:ass,40:istant,41:|>,"42:
",43:Gender,44::
L11,-0.004706,-0.162795,-0.038282,-0.196506,0.123505,-0.196506,-0.135545,-0.231393,-0.162795,0.375280,-0.103797,3.697876,2.450276,-0.249304,-0.384558,-0.140936,0.023203,-0.196506,-0.062975,-0.255347,0.244510,-0.038282,-0.067987,0.013986,-0.009434,-0.038282,-0.140936,-0.067987,-0.048086,-0.196506,-0.225494,-0.377685,0.148096,-0.124850,-0.173906,-1.266947,-0.781439,-0.067987,-0.062975,-0.124850,-0.357346,-0.311436,0.098293,1.722934,-0.553181
L12,-0.004706,0.115171,0.018605,-0.038282,-0.033416,-0.078088,-0.038282,0.023203,-0.078088,0.000000,0.054808,0.485146,0.000000,-0.067987,-0.130183,-0.196506,-0.162795,-0.062975,0.183885,0.000000,-0.140936,-0.317867,-0.377685,-0.261426,0.076787,-0.190808,-0.162795,-0.103797,0.023203,0.013986,-0.162795,-0.073025,-0.377685,0.045880,0.562963,-0.761134,-0.612021,0.368807,0.115171,-0.103797,-0.157285,-0.377685,0.287682,0.207052,2.292677
L13,-0.009434,0.000000,-0.103797,-0.038282,-0.225494,-0.098602,-0.162795,-0.009434,0.183885,0.251836,0.045880,-0.693147,-0.660811,-0.196506,-0.249304,-0.062975,-0.067987,-0.067987,0.054808,-0.196506,-0.140936,-0.286118,-0.018958,0.251836,0.139966,-0.225494,-0.225494,-0.009434,-0.073025,-0.130183,-0.219629,-0.317867,-0.364080,0.214657,0.013986,-0.384558,-0.426818,-0.009434,-0.038282,-0.162795,-0.130183,-0.255347,-0.130183,-0.741233,3.663802
L14,0.115171,0.059243,-0.038282,-0.009434,0.301668,-0.196506,0.115171,0.115171,-0.073025,-0.103797,-0.073025,0.620122,-0.103797,0.054808,-0.103797,-0.062975,0.115171,0.110978,0.199389,0.054808,0.054808,-0.196506,-0.509262,0.183885,0.237130,-0.073025,-0.073025,-0.073025,-0.004706,-0.162795,-0.219629,-0.135545,-0.151806,-0.202237,0.461754,0.013986,-0.741233,-0.004706,-0.004706,-0.130183,-0.190808,-0.434038,0.127646,0.400759,-0.895383
L15,-0.014185,0.023203,0.000000,-0.038282,-0.157285,-0.103797,-0.009434,0.054808,0.023203,-0.098602,-0.231393,0.939493,-0.043172,0.179971,-0.004706,0.054808,0.085445,-0.073025,-0.043172,0.139966,-0.162795,-0.098602,0.054808,0.368807,0.115171,-0.162795,-0.038282,-0.073025,0.110978,0.054808,-0.135545,-0.173906,-0.384558,0.244510,0.683713,-0.078088,-0.190808,0.054808,0.179971,0.045880,-0.196506,-0.324339,0.355735,0.871156,1.324568
L16,-0.004706,0.119347,-0.067987,-0.093434,0.059243,-0.103797,0.139966,-0.009434,-0.357346,-0.261426,-0.038282,0.139966,-0.103797,-0.135545,-0.009434,-0.196506,0.148096,-0.038282,-0.103797,-0.130183,0.179971,0.054808,-0.261426,-0.196506,0.115171,0.054808,-0.038282,-0.009434,-0.093434,-0.038282,-0.103797,-0.098602,-0.103797,-0.208000,0.054808,-0.448637,0.176042,0.148096,0.023203,-0.103797,0.027780,-0.746171,0.975533,0.041385,1.631723
L17,-0.135545,-0.073025,0.054808,-0.103797,-0.009434,-0.103797,0.054808,0.076787,-0.048086,0.054808,-0.073025,1.185493,0.490910,-0.103797,0.045880,-0.103797,0.013986,-0.038282,-0.196506,-0.130183,-0.009434,0.054808,0.000000,-0.062975,0.054808,0.023203,-0.130183,-0.162795,-0.073025,-0.038282,0.115171,0.023203,-0.441311,0.490910,0.437800,0.135876,-0.330854,0.000000,0.063658,0.023203,-0.057987,-0.190808,-0.317867,0.375280,-0.791749
L18,0.054808,0.054808,-0.038282,0.054808,-0.038282,-0.073025,0.023203,-0.009434,0.871156,1.003458,0.431721,13.666438,5.206660,1.314531,1.446642,0.179971,0.059243,-0.004706,0.308589,0.123505,0.743501,0.752390,0.308589,0.123505,0.431721,-0.093434,0.059243,0.054808,0.244510,0.244510,-0.038282,0.059243,0.119347,4.630435,0.388101,0.557602,-0.053024,-0.311436,0.183885,-0.073025,-0.130183,-0.292388,0.322287,3.043627,-0.872655
L19,0.054808,-0.067987,0.054808,-0.073025,-0.009434,0.308589,0.054808,0.023203,-0.391479,-0.237328,0.076787,0.009346,0.115171,0.449849,0.168137,-0.162795,0.085445,-0.043172,0.054808,-0.038282,0.045880,-0.267542,0.139966,0.473518,0.266329,-0.009434,-0.073025,0.085445,-0.103797,-0.009434,-0.009434,-0.073025,-0.586379,0.413259,0.018605,0.322287,0.449849,-0.168335,0.123505,-0.103797,0.179971,0.076787,0.831070,0.287682,2.897389
L20,0.115171,0.054808,0.054808,0.023203,0.244510,-0.168335,0.110978,0.054808,0.013986,-0.350657,0.013986,-0.761134,-0.638339,0.068053,-0.009434,-0.062975,0.054808,0.054808,-0.038282,0.054808,-0.038282,0.054808,0.148096,-0.237328,-0.196506,0.054808,-0.038282,0.054808,0.148096,-0.009434,-0.038282,-0.073025,-0.014185,-0.213798,0.752390,0.355735,-0.344012,0.023203,0.183885,-0.038282,-0.093434,-0.124850,0.789310,-0.419650,8.289444
L21,-0.009434,0.054808,-0.038282,0.013986,-0.067987,-0.038282,-0.073025,0.023203,0.562963,0.308589,0.362293,2.009568,2.383277,0.431721,0.244510,-0.009434,-0.038282,0.023203,-0.103797,0.023203,0.368807,0.315462,0.244510,0.368807,0.244510,-0.073025,-0.073025,0.023203,0.085445,0.437800,-0.038282,-0.038282,0.000000,1.742852,0.431721,0.144039,0.244510,-0.009434,-0.130183,-0.009434,-0.033416,-0.124850,0.229695,0.615059,7.765009
L22,0.110978,0.054808,0.018605,0.115171,-0.073025,-0.038282,0.013986,0.054808,-0.364080,-0.231393,-0.103797,-0.577975,-0.791749,-0.419650,-0.237328,0.172097,-0.009434,0.054808,0.085445,-0.038282,-0.419650,-0.357346,-0.231393,-0.384558,-0.419650,0.115171,0.018605,0.023203,-0.103797,-0.009434,0.115171,-0.103797,-0.384558,-0.185142,-0.043172,0.045880,-0.231393,0.172097,0.023203,-0.043172,0.013986,0.004684,0.059243,-0.018958,1.925584
L23,0.139966,-0.033416,0.054808,0.119347,0.054808,0.054808,-0.038282,0.045880,-0.231393,-0.168335,0.045880,-0.889653,-0.486095,-0.103797,-0.162795,0.139966,0.085445,0.081126,0.172097,-0.009434,-0.448637,-0.038282,0.023203,-0.103797,-0.219629,0.018605,0.023203,0.110978,0.054808,0.045880,-0.038282,-0.103797,-0.665367,-1.171637,0.431721,-0.073025,-0.249304,0.076787,0.023203,0.054808,0.179971,-0.124850,-0.509262,-0.109019,1.984072
L24,0.148096,0.115171,0.054808,0.045880,-0.009434,0.659731,-0.014185,0.076787,0.023203,0.054808,0.054808,0.013986,0.301668,0.054808,0.115171,0.110978,0.018605,-0.103797,0.076787,-0.103797,0.172097,0.023203,-0.038282,0.018605,0.110978,-0.009434,-0.038282,0.081126,-0.073025,0.023203,0.081126,0.110978,-0.014185,0.552211,0.375280,0.237130,0.172097,0.045880,0.179971,0.115171,0.183885,-0.364080,-0.384558,0.425605,5.486354
L25,0.045880,0.054808,0.050354,-0.038282,0.050354,0.054808,0.110978,0.110978,0.110978,0.054808,0.139966,1.057073,1.373299,0.054808,0.050354,-0.038282,0.045880,-0.038282,0.013986,0.054808,0.115171,0.054808,0.076787,-0.009434,0.294700,0.110978,0.054808,0.115171,0.085445,0.023203,0.050354,-0.009434,0.110978,0.301668,0.431721,0.059243,0.172097,0.172097,0.085445,-0.009434,0.148096,-0.279888,0.237130,-0.190808,5.520615
L26,-0.038282,0.054808,0.023203,-0.038282,0.115171,0.054808,0.115171,-0.038282,-0.067987,0.054808,0.110978,-0.231393,-0.292388,-0.004706,0.023203,0.085445,-0.038282,-0.009434,0.115171,-0.073025,-0.009434,0.085445,-0.004706,0.054808,-0.009434,-0.038282,0.023203,-0.038282,0.023203,0.045880,0.115171,-0.009434,0.023203,-0.135545,0.237130,-0.009434,-0.038282,-0.067987,0.191667,-0.062975,0.072430,-0.582168,-0.078088,-0.384558,9.466809
L27,0.076787,0.081126,-0.038282,0.115171,-0.004706,0.081126,0.023203,-0.009434,0.115171,0.110978,0.023203,0.115171,0.244510,0.110978,0.115171,-0.038282,0.023203,0.110978,0.110978,0.023203,0.023203,0.023203,-0.004706,0.054808,0.115171,0.023203,0.023203,0.023203,-0.009434,0.045880,0.023203,0.054808,0.054808,0.139966,0.176042,0.085445,0.115171,0.110978,0.054808,-0.009434,0.191667,-0.796944,0.244510,-0.078088,2.995967
L28,0.023203,0.023203,0.023203,0.110978,-0.009434,0.023203,0.023203,-0.004706,0.139966,0.023203,0.023203,0.023203,0.054808,0.023203,-0.009434,0.054808,0.023203,0.054808,0.023203,0.023203,0.023203,0.023203,-0.009434,0.023203,0.085445,0.023203,0.054808,0.054808,0.023203,0.023203,0.023203,0.023203,-0.004706,0.054808,0.172097,0.027780,-0.038282,0.023203,-0.038282,0.023203,0.375280,-0.954572,0.089746,-0.004706,8.470112
L29,-0.009434,0.110978,0.023203,0.054808,0.045880,0.023203,0.000000,0.000000,0.000000,0.023203,0.027780,-0.009434,-0.009434,-0.009434,0.023203,-0.004706,-0.009434,-0.009434,-0.009434,-0.004706,-0.004706,-0.009434,0.023203,-0.009434,0.054808,0.054808,0.000000,0.023203,-0.009434,-0.009434,-0.004706,-0.009434,-0.009434,0.023203,0.054808,-0.009434,-0.009434,-0.009434,0.054808,0.054808,0.115171,-0.493757,0.054808,-0.004706,8.149719
L30,0.059243,0.148096,0.081126,-0.009434,-0.009434,0.000000,0.023203,-0.004706,-0.004706,-0.004706,0.000000,0.110978,0.000000,0.000000,0.027780,-0.004706,-0.004706,0.000000,-0.004706,-0.004706,-0.004706,-0.004706,-0.004706,0.000000,-0.009434,-0.004706,-0.004706,0.000000,0.000000,0.000000,0.000000,-0.009434,0.110978,0.023203,-0.009434,-0.004706,0.000000,0.023203,-0.009434,0.023203,0.023203,-0.249304,0.076787,-0.004706,10.026392
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.544841
