layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Please,7: draft,8: a,9: short,10: admission,11:-,12:style,13: patient,14: presentatio,15: for,16: sarc,17:oid,18:osis,"19:,",20: including,21: demographic,22: and,23: pertinent,24: PM,25:H,26:.,27: Start,28: exactly,29: with,30::,"31: """,32:Gender,33::,"34: ""","35:
",36:<,37:|,38:ass,39:istant,40:|>,"41:
",42:Gender,43::
L11,-0.305809,-0.183520,-0.120781,-0.183520,-0.055399,-0.364403,-0.242796,-0.242796,-0.176351,-0.431243,-0.553645,-0.183520,0.134280,0.383264,0.129030,-0.493021,-0.242796,0.948114,0.693147,-0.120781,-0.176351,-0.242796,-0.176351,-0.183520,-0.305809,0.442688,-0.250459,0.000000,-0.120781,-0.183520,0.195212,0.502407,3.017938,0.134280,-0.558867,-0.301752,-0.120781,-0.176351,-0.120781,-0.305809,-0.493021,0.558760,2.945069,-0.827534
L12,-0.242796,-0.061748,-0.301752,-0.183520,-0.114047,-0.493021,-0.183520,-0.120781,-0.120781,-0.242796,-0.242796,-0.242796,-0.183520,-0.364403,-0.558867,-0.061748,-0.061748,-0.242796,-0.309883,-0.242796,0.005970,-0.368723,-0.242796,-0.120781,-0.242796,0.005970,-0.368723,-0.183520,-0.364403,-0.242796,0.011905,0.063790,1.011056,0.502407,-0.742236,-0.800505,-0.120781,-0.120781,-0.120781,-0.242796,-0.114047,0.565586,0.888359,0.605591
L13,-0.183520,-0.120781,-0.242796,-0.183520,-0.301752,-0.242796,-0.305809,-0.183520,-0.242796,-0.183520,-0.305809,-0.242796,-0.120781,-0.055399,-0.120781,-0.055399,-0.305809,-0.558867,-0.618184,-0.055399,-0.055399,-0.120781,-0.120781,-0.183520,-0.305809,0.005970,-0.242796,0.000000,-0.305809,-0.435862,-0.190740,-0.250459,-0.176351,0.315728,-0.055399,-0.869498,-0.176351,-0.120781,-0.301752,-0.114047,-0.305809,-0.061748,0.289178,1.053706
L14,-0.120781,-0.120781,0.005970,-0.183520,-0.183520,-0.431243,-0.250459,-0.055399,-0.055399,-0.183520,-0.183520,-0.242796,-0.242796,-0.183520,-0.368723,-0.309883,-0.305809,-0.250459,-0.250459,0.005970,-0.183520,-0.176351,-0.305809,-0.055399,-0.250459,-0.055399,0.129030,-0.301752,-0.242796,0.005970,-0.493021,-0.114047,-0.681242,-0.074569,0.005970,-0.990858,-0.055399,-0.176351,-0.120781,-0.373061,-0.548450,-0.558867,0.320085,-1.186167
L15,-0.120781,-0.183520,-0.242796,-0.183520,-0.242796,-0.242796,-0.242796,-0.120781,-0.120781,-0.183520,-0.305809,-0.120781,-0.120781,-0.055399,-0.431243,-0.564116,-0.313973,0.129030,0.000000,-0.120781,-0.120781,-0.301752,-0.120781,-0.242796,0.005970,-0.242796,-0.055399,0.005970,-0.061748,0.000000,-0.183520,-0.250459,0.005970,0.134280,-0.373061,-0.120781,-0.055399,-0.120781,-0.120781,-0.309883,-0.242796,-0.754894,1.764443,0.888359
L16,-0.055399,-0.235192,-0.120781,-0.242796,-0.242796,-0.368723,-0.183520,-0.183520,-0.309883,-0.242796,-0.120781,-0.242796,-0.364403,-0.305809,-0.120781,-0.435862,-0.183520,-0.435862,0.005970,-0.055399,-0.183520,-0.431243,-0.183520,-0.061748,-0.176351,-0.183520,-0.242796,-0.183520,-0.183520,0.063790,0.005970,-0.242796,-0.800505,0.000000,-0.114047,-0.493021,-0.120781,0.005970,-0.114047,-0.055399,-0.360102,-0.426646,-0.623755,0.058156
L17,-0.242796,-0.242796,-0.242796,-0.368723,-0.120781,-0.183520,-0.120781,-0.242796,-0.183520,-0.061748,-0.368723,-0.120781,-0.373061,-0.120781,-0.120781,0.190274,0.005970,-0.120781,0.069392,-0.120781,-0.061748,-0.055399,-0.183520,-0.120781,-0.061748,-0.183520,-0.055399,0.005970,-0.183520,-0.120781,-0.055399,-0.055399,1.257031,0.375067,-0.305809,-0.742236,-0.183520,-0.176351,-0.176351,0.011905,-0.422069,-0.553645,0.756937,1.208155
L18,-0.176351,-0.120781,-0.055399,-0.055399,-0.055399,0.069392,-0.055399,0.195212,-0.114047,0.005970,0.693147,0.442688,1.133910,1.760332,0.699117,0.129030,0.247982,5.512631,2.010502,0.069392,-0.055399,1.378781,0.069392,0.069392,0.134280,0.948114,0.387338,0.129030,0.069392,0.129030,0.134280,0.572365,9.762273,1.565367,0.058156,-0.250459,-0.061748,0.074963,0.005970,-0.242796,-0.242796,0.058156,0.843011,0.625009
L19,-0.176351,-0.242796,-0.055399,-0.250459,-0.183520,0.005970,-0.183520,-0.176351,-0.183520,-0.120781,-0.183520,-0.183520,-0.364403,-0.183520,-0.242796,-0.120781,-0.183520,-0.305809,-0.301752,-0.176351,-0.120781,-0.618184,-0.242796,-0.120781,-0.305809,-0.183520,0.257284,-0.120781,0.005970,-0.176351,-0.235192,-0.364403,-0.309883,-0.258181,-0.386191,-0.502873,-0.431243,-0.242796,-0.242796,-0.242796,-0.368723,-0.055399,-0.235192,2.551968
L20,-0.183520,-0.061748,-0.183520,-0.183520,-0.120781,-0.305809,-0.120781,-0.183520,-0.183520,-0.120781,-0.183520,-0.061748,-0.055399,-0.250459,-0.305809,-0.250459,-0.183520,-0.681242,-0.869498,-0.183520,-0.242796,-0.061748,-0.120781,-0.120781,0.000000,-0.426646,0.069392,-0.055399,-0.120781,-0.183520,-0.250459,-0.431243,-1.066208,-0.120781,-0.693147,-0.687176,-0.055399,0.005970,-0.120781,0.005970,0.011905,0.375067,-1.392299,7.339580
L21,-0.055399,-0.055399,-0.183520,-0.183520,-0.250459,-0.242796,-0.183520,-0.183520,-0.055399,-0.120781,0.195212,-0.120781,-0.120781,-0.120781,-0.055399,-0.120781,0.005970,0.883421,0.324424,-0.242796,-0.055399,0.320085,0.005970,-0.120781,-0.242796,-0.120781,-0.120781,0.005970,0.005970,-0.183520,0.195212,0.005970,3.950667,0.631399,0.185311,-0.120781,-0.242796,-0.242796,-0.120781,-0.301752,-0.305809,-0.435862,0.379174,7.594724
L22,-0.183520,-0.061748,-0.183520,-0.120781,-0.242796,-0.176351,-0.055399,-0.055399,-0.242796,-0.120781,-0.309883,-0.061748,-0.242796,-0.558867,-0.309883,-0.305809,-0.120781,-0.748545,-1.129008,-0.183520,-0.061748,-0.497935,-0.120781,-0.120781,-0.183520,-0.242796,-0.431243,0.005970,-0.242796,-0.183520,-0.242796,-0.681242,-0.618184,0.005970,-0.127561,-0.493021,-0.368723,-0.120781,-0.183520,-0.120781,-0.176351,-0.061748,-0.141260,2.363561
L23,-0.120781,-0.183520,-0.120781,-0.055399,-0.120781,-0.120781,-0.183520,0.005970,-0.055399,-0.061748,-0.055399,-0.120781,-0.120781,-0.373061,-0.055399,-0.055399,-0.061748,-1.380322,-0.876666,-0.120781,-0.120781,-0.055399,-0.183520,-0.183520,0.000000,-0.120781,-0.183520,0.005970,-0.183520,-0.120781,-0.114047,-0.869498,-1.057550,0.069392,-0.564116,-0.431243,-0.183520,-0.242796,-0.120781,-0.055399,-0.250459,-0.990858,-0.242796,1.604635
L24,-0.055399,0.069392,-0.055399,-0.120781,-0.183520,0.631399,-0.055399,-0.183520,0.063790,-0.120781,-0.183520,-0.061748,-0.120781,-0.120781,-0.120781,0.005970,0.005970,-0.120781,0.063790,-0.055399,0.000000,-0.055399,0.000000,-0.183520,0.005970,-0.055399,-0.120781,-0.061748,0.005970,-0.055399,-0.120781,0.063790,0.762539,0.261903,0.005970,0.000000,-0.183520,-0.120781,-0.176351,0.074963,-0.478422,-0.368723,0.257284,4.441805
L25,-0.055399,-0.055399,-0.120781,-0.055399,-0.183520,-0.183520,-0.183520,-0.120781,-0.055399,-0.120781,0.005970,-0.120781,-0.055399,-0.061748,0.005970,-0.061748,-0.055399,0.252644,0.442688,-0.120781,-0.120781,0.005970,-0.120781,-0.120781,0.000000,-0.120781,-0.055399,0.000000,-0.120781,0.000000,0.000000,0.195212,1.396718,0.315728,0.000000,0.129030,0.005970,-0.183520,-0.055399,0.069392,-0.426646,0.379174,-0.754894,4.253699
L26,-0.120781,-0.061748,-0.055399,-0.183520,-0.120781,0.005970,-0.061748,0.005970,-0.120781,-0.055399,-0.061748,-0.061748,-0.055399,-0.368723,-0.120781,0.000000,-0.120781,-0.564116,-0.435862,-0.061748,-0.183520,-0.183520,-0.061748,-0.120781,-0.055399,-0.120781,0.005970,-0.061748,-0.055399,0.000000,-0.114047,-0.114047,-0.368723,0.069392,-0.120781,-0.055399,-0.242796,0.011905,-0.114047,0.074963,-0.417513,-0.250459,-0.618184,10.335492
L27,-0.120781,0.000000,-0.061748,-0.061748,0.000000,-0.061748,0.000000,-0.120781,-0.055399,-0.183520,0.000000,-0.061748,0.000000,-0.183520,-0.120781,-0.055399,-0.120781,-0.120781,0.005970,0.000000,0.000000,-0.061748,0.000000,-0.120781,-0.120781,-0.061748,-0.055399,-0.120781,0.000000,-0.120781,0.005970,0.005970,0.063790,0.063790,-0.061748,0.000000,-0.120781,-0.055399,0.000000,0.011905,-0.483264,0.252644,-0.250459,3.632055
L28,-0.061748,-0.120781,0.000000,0.000000,-0.120781,-0.061748,-0.120781,0.000000,-0.120781,-0.120781,-0.061748,0.000000,-0.061748,0.000000,-0.061748,0.000000,-0.120781,-0.120781,0.000000,-0.061748,0.000000,0.000000,-0.061748,-0.120781,0.000000,0.000000,0.000000,-0.183520,-0.120781,-0.120781,-0.120781,-0.176351,-0.055399,0.000000,-0.183520,-0.120781,0.000000,-0.120781,-0.061748,0.261903,-0.669477,-0.114047,-0.242796,7.905156
L29,-0.061748,-0.061748,0.000000,0.000000,-0.055399,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.120781,-0.120781,-0.120781,0.000000,-0.120781,0.000000,0.000000,0.000000,-0.120781,-0.120781,0.000000,-0.120781,-0.061748,-0.120781,0.000000,-0.061748,0.000000,0.000000,0.000000,-0.120781,0.000000,0.000000,-0.120781,-0.120781,-0.120781,0.000000,-0.055399,0.000000,0.005970,-0.417513,0.069392,0.063790,7.936328
L30,-0.055399,0.005970,0.000000,0.000000,-0.120781,0.000000,0.000000,0.000000,0.000000,0.000000,-0.061748,0.000000,0.000000,0.000000,-0.061748,0.000000,0.000000,0.000000,0.000000,0.000000,-0.120781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.120781,0.000000,0.000000,0.000000,0.000000,0.000000,-0.120781,-0.120781,-0.061748,-0.120781,-0.426646,-0.061748,-0.120781,10.154450
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.825120
