layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Output,7: a,8: single,9: chart,10:-,11:style,12: line,13: for,14: sarc,15:oid,16:osis,17: using,18: this,19: pattern,20::,21: demographic,22: |,23: PM,24:H,25:.,26: Begin,27: exactly,28: with,29::,"30: """,31:Gender,32::,"33: ""","34:
",35:<,36:|,37:ass,38:istant,39:|>,"40:
",41:Gender,42::
L13,-0.004728,0.014051,-0.004728,-0.004728,-0.048317,-0.014252,-0.048317,-0.038465,0.041575,-0.114836,-0.033575,0.160863,0.018692,0.041575,0.004706,0.055058,-0.068317,-0.088726,-0.033575,0.009390,-0.023867,0.249210,0.094450,-0.114836,-0.120141,0.081491,-0.023867,-0.004728,-0.073381,0.059513,0.004706,0.050584,0.059513,-0.099088,0.132348,-0.141647,-0.019048,-0.009479,0.037040,-0.004728,-0.099088,-0.023867,0.140579
L14,0.023310,0.055058,-0.023867,-0.023867,-0.004728,0.018692,-0.019048,0.018692,0.059513,-0.174798,-0.068317,0.132348,-0.136227,0.046090,-0.043379,-0.099088,-0.083585,0.041575,-0.023867,-0.009479,0.046090,-0.099088,0.152798,-0.033575,-0.293983,0.041575,-0.063280,-0.023867,0.050584,0.211753,-0.058267,-0.099088,-0.058267,0.023310,-0.053280,0.085829,0.037040,-0.009479,-0.004728,0.072758,-0.186097,0.041575,-0.203289
L15,-0.038465,-0.004728,0.032485,0.009390,-0.014252,0.014051,-0.033575,-0.093894,-0.023867,-0.009479,0.004706,-0.023867,0.009390,0.063947,-0.014252,-0.033575,0.046090,0.041575,-0.099088,-0.043379,-0.083585,0.107243,-0.174798,0.023310,-0.407814,0.241830,-0.130836,-0.023867,0.000000,0.124050,0.009390,-0.014252,-0.033575,-0.028709,-0.004728,-0.063280,-0.004728,-0.038465,-0.004728,-0.174798,-0.125474,-0.152575,0.454545
L16,0.018692,0.032485,-0.009479,-0.033575,-0.004728,-0.019048,0.000000,-0.048317,0.037040,-0.186097,0.000000,0.000000,0.014051,-0.099088,-0.038465,-0.130836,-0.104310,-0.120141,-0.023867,-0.083585,0.027908,0.271029,-0.169196,-0.004728,-0.088726,0.009390,0.111471,-0.053280,-0.043379,0.136472,-0.220782,-0.158085,-0.043379,-0.058267,0.107243,-0.093894,0.032485,-0.004728,0.050584,-0.147096,0.068362,0.107243,0.693135
L17,0.014051,0.000000,-0.043379,0.000000,-0.009479,0.000000,-0.004728,-0.014252,-0.038465,-0.120141,-0.004728,-0.014252,-0.203289,-0.197525,-0.058267,-0.028709,-0.033575,-0.038465,-0.004728,-0.014252,0.068362,0.085829,-0.009479,-0.038465,-0.244591,-0.053280,-0.068317,-0.019048,-0.019048,0.124050,-0.038465,0.027908,0.090149,-0.048317,-0.004728,-0.048317,0.081491,-0.014252,0.063947,-0.023867,-0.109559,0.132348,-0.019048
L18,-0.009479,0.018692,-0.043379,-0.014252,0.027908,0.037040,-0.038465,-0.004728,0.000000,-0.019048,-0.009479,0.046090,-0.120141,-0.147096,0.000000,0.144669,-0.068317,-0.038465,-0.023867,0.014051,0.090149,0.102997,-0.163625,-0.033575,-0.093894,-0.033575,-0.114836,-0.028709,-0.063280,0.102997,-0.158085,0.081491,-0.244591,0.249210,0.041575,0.027908,-0.019048,-0.009479,0.037040,0.046090,0.572992,-0.214917,-0.594392
L19,-0.053280,-0.028709,-0.014252,-0.043379,0.094450,-0.083585,-0.009479,0.041575,0.023310,0.063947,0.014051,0.063947,-0.088726,0.027908,-0.028709,-0.104310,-0.130836,-0.068317,-0.038465,0.009390,0.004706,-0.009479,-0.114836,0.000000,-0.088726,0.085829,-0.043379,-0.004728,0.014051,0.204091,-0.125474,0.018692,0.041575,0.111471,0.124050,0.085829,-0.009479,-0.014252,-0.019048,-0.073381,0.085829,-0.326139,-0.114836
L20,-0.038465,-0.028709,-0.043379,-0.043379,-0.068317,-0.014252,-0.058267,-0.014252,-0.043379,0.063947,-0.028709,-0.053280,-0.058267,-0.043379,0.009390,0.014051,-0.023867,-0.028709,-0.033575,0.014051,-0.058267,-0.058267,-0.043379,-0.009479,-0.078470,0.050584,-0.063280,-0.053280,-0.023867,0.014051,-0.019048,0.136472,-0.058267,0.115682,0.081491,-0.004728,-0.063280,-0.053280,0.032485,0.156839,-0.088726,-0.281404,0.912495
L21,-0.028709,-0.014252,-0.048317,-0.023867,-0.033575,-0.009479,-0.028709,-0.063280,-0.004728,-0.004728,-0.014252,0.041575,0.023310,0.037040,-0.033575,0.009390,-0.093894,-0.130836,-0.019048,-0.038465,0.059513,-0.088726,0.000000,-0.019048,0.115682,-0.114836,0.172839,-0.019048,-0.009479,0.023310,0.136472,0.204091,0.000000,0.249210,0.000000,0.188587,-0.014252,0.009390,0.023310,0.132348,0.204091,0.196369,0.313288
L22,-0.014252,-0.019048,-0.033575,-0.053280,-0.009479,-0.019048,-0.028709,-0.033575,-0.053280,0.037040,-0.043379,-0.009479,-0.019048,-0.009479,-0.019048,-0.114836,-0.053280,-0.038465,-0.028709,-0.023867,-0.043379,0.085829,0.014051,-0.058267,-0.088726,-0.093894,-0.058267,-0.033575,-0.028709,-0.043379,0.009390,-0.120141,-0.088726,0.136472,-0.063280,0.009390,-0.053280,-0.023867,-0.028709,-0.125474,0.046090,-0.174798,-0.766501
L23,-0.004728,0.000000,-0.028709,-0.014252,-0.023867,-0.014252,-0.014252,-0.033575,-0.014252,-0.023867,-0.038465,-0.009479,-0.093894,0.004706,-0.023867,-0.099088,-0.058267,-0.023867,-0.009479,-0.038465,-0.028709,0.063947,-0.141647,-0.053280,-0.043379,-0.038465,-0.019048,-0.004728,0.000000,-0.033575,-0.093894,0.347189,-0.120141,0.119874,0.004706,-0.058267,0.023310,-0.014252,0.102997,-0.043379,0.059513,-0.038465,1.205840
L24,-0.004728,0.023310,-0.023867,-0.009479,0.018692,0.115682,-0.004728,0.018692,-0.023867,-0.033575,-0.004728,-0.028709,0.009390,-0.019048,-0.009479,-0.004728,-0.014252,-0.038465,-0.004728,-0.033575,-0.023867,0.023310,0.000000,-0.033575,0.014051,0.000000,-0.019048,-0.009479,-0.033575,0.000000,0.009390,0.046090,-0.048317,-0.063280,-0.004728,-0.073381,0.009390,0.023310,0.115682,-0.120141,0.119874,-0.114836,0.518334
L25,-0.004728,0.004706,-0.043379,-0.033575,-0.043379,-0.023867,-0.028709,-0.028709,-0.004728,-0.023867,-0.033575,-0.009479,-0.009479,-0.023867,-0.004728,-0.038465,-0.033575,0.000000,-0.019048,-0.014252,-0.004728,-0.023867,0.000000,0.037040,-0.023867,-0.014252,0.004706,-0.019048,0.004706,0.004706,0.014051,-0.048317,-0.058267,0.041575,-0.033575,-0.009479,-0.014252,0.004706,0.077134,-0.136227,-0.083585,-0.174798,0.124050
L26,-0.004728,-0.004728,0.000000,0.000000,-0.019048,0.014051,-0.009479,0.004706,-0.019048,0.000000,0.004706,-0.014252,0.027908,0.000000,0.014051,0.004706,-0.014252,0.009390,-0.023867,0.009390,0.004706,0.009390,0.000000,0.000000,-0.004728,0.000000,-0.014252,-0.004728,0.000000,0.041575,0.077134,0.072758,-0.043379,0.132348,0.000000,-0.033575,0.027908,0.014051,0.124050,-1.137025,-0.043379,-0.043379,-0.136227
L27,-0.004728,-0.004728,-0.014252,0.009390,-0.033575,0.004706,0.009390,-0.009479,-0.009479,0.009390,0.009390,-0.014252,-0.014252,0.009390,-0.004728,-0.004728,0.000000,0.004706,0.000000,0.000000,0.004706,-0.004728,0.000000,-0.009479,-0.009479,-0.009479,0.004706,0.009390,0.004706,-0.009479,0.000000,-0.063280,-0.093894,-0.009479,-0.004728,-0.033575,-0.004728,-0.019048,0.115682,-0.726696,-0.078470,0.023310,0.184673
L28,-0.019048,0.000000,-0.004728,-0.009479,-0.009479,-0.004728,-0.004728,0.000000,-0.009479,0.009390,-0.014252,-0.004728,-0.009479,-0.009479,-0.009479,-0.009479,0.004706,-0.014252,-0.009479,-0.004728,0.009390,-0.009479,-0.004728,0.000000,0.000000,-0.009479,-0.009479,-0.009479,-0.009479,-0.004728,-0.023867,-0.088726,-0.088726,0.000000,-0.014252,-0.028709,-0.009479,-0.009479,0.124050,-0.581653,-0.028709,-0.048317,0.119874
L29,-0.019048,-0.023867,0.000000,0.004706,-0.009479,-0.014252,-0.009479,0.009390,-0.004728,-0.014252,-0.009479,-0.019048,0.000000,0.000000,-0.014252,-0.004728,-0.009479,0.004706,-0.004728,-0.004728,-0.009479,0.009390,0.000000,-0.019048,0.000000,-0.004728,-0.009479,-0.009479,0.004706,0.000000,0.004706,-0.004728,-0.014252,-0.009479,0.000000,-0.009479,0.000000,-0.009479,0.018692,-0.781845,0.032485,0.018692,0.347189
L30,-0.009479,-0.009479,0.000000,0.000000,-0.023867,-0.004728,-0.004728,-0.009479,-0.004728,-0.009479,0.000000,-0.004728,-0.009479,0.000000,0.004706,-0.004728,-0.009479,-0.004728,-0.009479,0.000000,-0.004728,0.000000,0.004706,-0.014252,0.000000,-0.004728,-0.009479,0.000000,-0.004728,0.000000,-0.009479,0.000000,-0.053280,-0.004728,0.000000,-0.004728,-0.023867,-0.014252,0.014051,0.014051,0.004706,-0.009479,0.333766
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.726696
