layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:For,7: this,8: depression,9: case,"10:,",11: draft,12: a,13: brief,14: presentatio,15: that,16: includes,17: demographic,18: information,19: and,20: prior,21: medical,22: history,23:.,24: ,"25:
",26:The,27: response,28: must,29: start,30: with,31::,"32: """,33:Gender,34::,"35: ""","36:
",37:<,38:|,39:ass,40:istant,41:|>,"42:
",43:Gender,44::
L16,0.127561,0.065813,0.065813,0.059423,0.065813,-0.063179,0.065813,-0.122898,-0.589829,0.251314,-0.063179,-0.182321,-0.122898,0.065813,0.006780,-0.063179,-0.063179,-0.122898,-0.063179,-0.063179,0.006780,0.191351,0.191351,-0.178248,-0.122898,0.127561,-0.501796,0.059423,0.127561,0.065813,-0.115235,-0.122898,-0.055959,-0.436555,-0.312942,0.127561,0.065813,0.006780,0.256591,0.006780,0.127561,-0.365460,0.384846,0.317835,0.425668
L17,0.127561,0.065813,0.065813,-0.063179,0.065813,0.065813,-0.122898,0.375543,0.380205,0.438913,0.127561,-0.063179,0.006780,-0.122898,0.000000,0.127561,0.065813,0.065813,-0.055959,-0.122898,0.065813,0.127561,0.196953,0.065813,0.065813,-0.063179,0.447647,-0.055959,0.006780,0.065813,0.065813,0.443289,0.006780,0.506735,0.127561,0.059423,-0.063179,0.006780,0.065813,0.065813,0.133531,0.006780,0.133531,0.510825,0.272257
L18,0.065813,-0.055959,0.065813,0.127561,0.133531,0.006780,-0.063179,0.251314,8.895815,2.394177,1.506342,0.065813,0.251314,0.506735,0.185717,0.000000,-0.063179,1.006019,0.317835,0.191351,0.256591,0.196953,1.253734,0.562527,-0.063179,0.251314,3.019594,0.127561,-0.063179,0.006780,0.133531,0.502629,0.256591,1.197831,0.366154,-0.034606,0.317835,0.000000,0.256591,0.000000,0.191351,-0.365460,0.622695,1.363937,1.506342
L19,0.006780,0.000000,-0.063179,0.000000,0.185717,0.191351,0.127561,0.000000,0.191351,-0.122898,-0.063179,0.065813,0.000000,0.000000,0.065813,-0.063179,-0.063179,-0.249858,-0.249858,-0.063179,0.191351,0.127561,0.438913,0.127561,-0.122898,-0.063179,-0.190518,0.065813,0.006780,0.133531,0.065813,0.443289,0.443289,0.307885,0.191351,0.127561,0.185717,-0.186411,0.191351,0.000000,0.317835,-0.055959,0.375543,-0.041673,0.297834
L20,0.000000,-0.063179,0.065813,0.065813,0.127561,-0.249858,0.000000,-0.122898,-0.312942,-0.312942,-0.186411,0.065813,0.065813,0.059423,0.127561,0.065813,0.065813,-0.186411,-0.063179,-0.063179,0.127561,-0.186411,-0.303682,-0.122898,0.127561,-0.249858,-0.385262,0.000000,0.065813,0.006780,0.000000,0.065813,-0.254234,-0.041673,0.384846,-0.186411,-0.182321,0.065813,0.127561,0.065813,0.196953,0.133531,0.438913,-0.198783,3.801205
L21,0.065813,0.065813,-0.122898,-0.122898,-0.063179,0.006780,-0.063179,0.191351,1.377754,0.502629,0.443289,0.065813,0.127561,0.380205,-0.063179,0.127561,0.127561,0.380205,0.251314,0.317835,0.065813,0.127561,0.000000,0.375543,0.127561,0.498505,1.444114,0.000000,0.000000,0.065813,0.065813,0.065813,0.251314,2.389199,0.443289,0.434517,0.312872,-0.186411,0.065813,0.000000,-0.055959,-0.115235,0.059423,1.576239,4.775343
L22,0.000000,0.065813,-0.063179,0.000000,0.000000,0.000000,-0.122898,0.000000,-1.161790,-0.686367,-0.370374,0.000000,0.000000,-0.055959,0.065813,-0.182321,0.000000,-0.308301,-0.249858,-0.122898,-0.063179,-0.122898,0.065813,-0.312942,-0.063179,-0.559615,-0.879558,0.000000,-0.055959,0.000000,-0.122898,-0.063179,-0.249858,0.570249,0.127561,0.000000,-0.122898,-0.063179,0.065813,0.000000,0.000000,-0.115235,0.312872,0.430102,2.134850
L23,-0.055959,0.006780,0.065813,-0.055959,-0.063179,0.065813,-0.063179,-0.122898,-1.098611,-0.186411,-0.122898,0.000000,0.006780,0.065813,0.127561,0.065813,0.127561,-0.122898,-0.063179,-0.063179,-0.055959,0.000000,0.065813,-0.063179,0.065813,-0.308301,-1.058606,0.065813,0.065813,0.065813,0.065813,-0.063179,-0.589829,-0.285417,0.375543,0.127561,-0.122898,0.000000,-0.055959,0.065813,0.133531,-0.122898,-0.182321,-0.154151,1.662430
L24,0.127561,0.065813,0.000000,0.065813,-0.122898,0.808660,0.000000,0.000000,0.502629,-0.055959,-0.055959,0.000000,0.006780,0.000000,0.006780,-0.055959,0.065813,0.065813,0.000000,0.000000,0.065813,0.000000,0.000000,0.000000,0.000000,0.065813,0.317835,0.065813,0.000000,0.000000,0.065813,0.000000,0.006780,0.443289,0.380205,0.251314,0.065813,0.127561,0.065813,0.006780,0.072162,-0.107631,-0.055959,0.185717,2.998110
L25,-0.063179,0.000000,0.000000,0.127561,-0.063179,0.000000,0.065813,-0.063179,0.752570,0.000000,0.006780,0.065813,0.065813,0.065813,-0.055959,0.000000,0.065813,0.127561,0.065813,0.065813,0.000000,0.065813,0.000000,0.127561,0.000000,0.185717,0.502629,0.006780,0.000000,0.000000,0.065813,0.072162,0.191351,0.510825,0.191351,-0.245500,-0.063179,0.065813,-0.063179,0.065813,0.191351,0.006780,0.185717,-0.447138,3.871626
L26,-0.063179,0.006780,0.006780,0.006780,-0.055959,0.000000,0.006780,0.065813,-0.436555,0.000000,0.000000,0.065813,0.000000,0.000000,0.065813,0.065813,0.065813,0.000000,0.000000,0.065813,0.065813,0.000000,0.065813,-0.055959,0.000000,-0.122898,-0.055959,0.000000,0.000000,-0.055959,-0.055959,0.000000,-0.063179,-0.182321,0.191351,0.065813,0.000000,-0.055959,0.133531,0.127561,0.139466,-0.360570,-0.006826,-0.122898,10.235124
L27,0.000000,0.000000,0.000000,0.065813,-0.122898,0.065813,0.065813,0.000000,0.065813,0.000000,-0.055959,-0.055959,0.065813,0.000000,0.000000,0.065813,0.065813,0.000000,0.000000,-0.055959,0.065813,0.000000,0.065813,0.000000,0.065813,0.127561,0.065813,0.065813,0.065813,0.000000,0.065813,0.065813,-0.063179,0.065813,0.127561,-0.063179,0.065813,0.006780,0.006780,0.065813,0.256591,-0.299085,0.121555,-0.130620,3.761516
L28,-0.122898,0.000000,-0.055959,0.000000,-0.055959,0.000000,0.065813,0.065813,0.000000,0.000000,0.000000,0.000000,0.000000,0.065813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.122898,0.000000,0.000000,0.000000,0.065813,0.000000,0.065813,0.065813,0.000000,0.000000,0.000000,-0.122898,-0.122898,0.065813,0.127561,0.065813,0.000000,0.065813,-0.055959,0.065813,0.261841,-0.608406,0.000000,-0.063179,7.865678
L29,0.000000,0.065813,-0.055959,-0.055959,0.000000,0.000000,0.000000,-0.122898,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065813,0.000000,0.065813,0.000000,0.065813,0.000000,0.065813,-0.420889,0.065813,0.065813,7.264749
L30,0.065813,0.065813,0.000000,0.065813,-0.122898,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065813,0.000000,0.065813,0.000000,0.000000,-0.122898,0.000000,0.000000,0.000000,0.000000,0.000000,-0.055959,-0.055959,-0.303682,0.000000,0.000000,9.538005
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.956258
