layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Could,7: you,8: summarize,9: a,10: rheumatoid,11: arthritis,12: case,13: in,14: 4,15:-,16:5,17: sentences,"18:,",19: focusing,20: on,21: demographic,22: and,23: prior,24: medical,25: history,26:?,27: Your,28: first,29: text,30: must,31: be,32::,"33: """,34:Gender,35::,"36: ""","37:
",38:<,39:|,40:ass,41:istant,42:|>,"43:
",44:Gender,45::
L11,-0.028492,0.027703,-0.051885,-0.057820,-0.240141,0.000000,-0.057820,-0.138358,0.033152,0.091216,2.023109,0.193495,0.111521,-0.225956,0.033152,-0.016998,-0.028492,0.966685,-0.057820,-0.184571,-0.051885,-0.402660,-0.481303,0.116534,0.070490,0.150935,-0.094187,-0.211970,-0.125538,0.049325,-0.112879,-0.028492,0.005602,-0.051885,0.005602,0.193495,-1.397594,-0.806026,-0.112879,0.043963,-0.028492,0.000000,-0.369599,0.715370,0.351606,-1.444114
L12,0.059963,-0.138358,-0.081917,0.038572,-0.088033,-0.112879,-0.051885,0.000000,0.054658,-0.125538,0.106483,0.011173,-0.164504,-0.144831,-0.171148,-0.119189,-0.171148,0.580268,-0.069796,-0.028492,0.096331,-0.329753,0.005602,-0.112879,-0.088033,-0.240141,-0.321971,-0.205050,-0.177837,-0.081917,-0.415345,-0.361502,0.438617,0.141226,0.027703,-0.353470,-0.912086,-0.837978,-0.112879,-0.016998,-0.106610,-0.119189,-0.269129,0.243166,0.586537,-0.254530
L13,-0.119189,-0.088033,0.121521,-0.028492,-0.057820,-0.088033,-0.088033,-0.119189,-0.112879,-0.063790,0.022223,-0.028492,0.096331,-0.016998,-0.088033,0.038572,-0.171148,-0.385993,0.070490,-0.057820,0.027703,-0.381869,-0.063790,0.027703,-0.075838,-0.184571,0.059963,-0.125538,-0.112879,0.116534,-0.240141,-0.369599,0.641262,0.096331,0.515310,0.567609,-0.454396,0.080907,-0.005634,-0.028492,-0.057820,-0.081917,-0.157903,0.005602,-0.547055,0.202711
L14,-0.138358,-0.106610,0.005602,0.065241,-0.088033,-0.112879,-0.028492,-0.040120,-0.028492,-0.157903,0.488097,-0.063790,-0.131928,-0.063790,0.005602,0.038572,-0.233024,-0.291434,0.038572,-0.177837,0.193495,-0.205050,0.243166,-0.138358,0.011173,0.238751,-0.088033,-0.057820,-0.119189,-0.088033,-0.119189,-0.063790,-0.005634,0.277802,-0.247310,1.024792,0.116534,-1.046617,-0.144831,-0.045985,0.091216,-0.112879,-0.419610,0.949443,0.198114,-1.655423
L15,-0.081917,-0.057820,0.005602,0.065241,-0.016998,0.065241,-0.088033,0.065241,0.005602,-0.119189,0.339677,-0.081917,-0.069796,-0.057820,0.091216,-0.045985,-0.112879,0.000000,0.111521,-0.028492,0.043963,0.033152,0.005602,0.096331,0.059963,0.174803,0.033152,0.179509,0.146093,0.033152,0.243166,0.234317,0.059963,-0.184571,-0.051885,0.059963,0.065241,0.508576,0.386561,0.080907,0.065241,-0.088033,-0.218939,0.211844,1.109786,-0.806026
L16,-0.045985,0.049325,-0.088033,-0.028492,0.070490,-0.028492,-0.057820,-0.119189,-0.119189,0.033152,-0.094187,-0.138358,0.049325,0.075712,-0.057820,-0.028492,0.033152,0.096331,0.126484,-0.057820,0.000000,0.070490,-0.144831,-0.011300,0.043963,0.160551,-0.269129,-0.112879,-0.040120,-0.112879,0.111521,-0.094187,0.165324,0.033152,0.070490,-0.373672,-0.112879,0.091216,0.234317,0.038572,-0.028492,0.005602,-0.681974,0.945086,0.789478,1.719954
L17,-0.112879,-0.088033,0.000000,0.126484,-0.051885,0.005602,0.033152,-0.051885,0.160551,-0.119189,0.378898,-0.177837,0.054658,-0.051885,-0.094187,0.005602,0.011173,-0.034289,-0.034289,-0.177837,-0.057820,0.229862,-0.028492,0.005602,0.131422,0.038572,-0.476768,0.005602,-0.005634,-0.119189,-0.119189,-0.112879,0.290487,-0.034289,0.474208,0.347646,0.207288,0.548316,-0.022728,0.033152,-0.057820,0.075712,-0.349478,-0.659995,0.453006,-1.121340
L18,-0.016998,-0.057820,0.065241,-0.112879,-0.112879,0.000000,-0.112879,-0.022728,0.000000,-0.151346,6.583378,0.554789,0.709861,0.269255,-0.151346,-0.151346,-0.088033,-0.276509,0.184192,-0.119189,-0.144831,0.303013,-0.051885,0.075712,-0.045985,0.174803,-0.254530,-0.051885,-0.088033,-0.081917,-0.247310,-0.390134,0.000000,0.011173,1.201723,0.515310,0.256296,-0.638489,-0.314249,-0.138358,0.038572,-0.040120,-0.432513,1.389099,1.411261,0.174803
L19,-0.022728,-0.022728,0.005602,-0.057820,0.070490,0.174803,-0.051885,-0.119189,-0.057820,-0.112879,-0.314249,-0.063790,0.086075,-0.088033,0.027703,-0.028492,0.005602,0.033152,0.216379,0.155755,-0.051885,-0.247310,0.005602,0.065241,-0.075838,0.070490,0.146093,0.000000,-0.028492,-0.028492,-0.063790,-0.144831,0.016713,-0.291434,0.891261,-0.144831,0.086075,0.355551,-0.022728,0.016713,-0.028492,0.131422,0.165324,1.052627,0.351606,0.726299
L20,-0.051885,0.033152,0.038572,-0.119189,0.096331,-0.119189,-0.112879,-0.057820,0.155755,-0.144831,-0.739132,-0.211970,-0.254530,-0.151346,-0.094187,0.005602,0.000000,-0.094187,-0.028492,0.038572,-0.119189,-0.240141,-0.088033,-0.119189,0.000000,-0.171148,-0.365542,-0.057820,0.005602,-0.094187,-0.028492,-0.040120,-0.057820,-0.261803,0.170075,0.054658,0.027703,-0.276509,-0.119189,0.193495,0.005602,0.080907,-0.261803,0.054658,0.567609,3.633735
L21,-0.057820,-0.081917,-0.119189,-0.034289,-0.057820,-0.088033,-0.088033,-0.081917,-0.088033,0.070490,1.102351,0.641262,0.554789,0.070490,-0.088033,-0.081917,-0.112879,-0.164504,0.165324,-0.075838,0.011173,0.136336,-0.171148,0.096331,-0.088033,0.096331,0.141226,0.005602,0.005602,-0.028492,-0.088033,-0.022728,-0.191351,0.096331,0.886642,0.277802,-0.138358,-0.233024,-0.106610,-0.045985,-0.051885,0.016713,-0.205050,0.016713,0.363394,3.088485
L22,0.005602,0.033152,-0.057820,-0.040120,-0.144831,-0.034289,-0.028492,0.005602,-0.119189,-0.119189,-0.247310,-0.314249,-0.191351,-0.088033,-0.144831,-0.106610,-0.051885,-0.144831,-0.112879,-0.088033,-0.138358,-0.028492,-0.151346,-0.112879,0.000000,-0.016998,-0.057820,-0.063790,-0.088033,-0.177837,-0.057820,-0.119189,-0.057820,-0.144831,0.106483,-0.198177,0.106483,-0.034289,-0.034289,0.000000,-0.094187,-0.157903,-0.321971,0.049325,0.508576,3.474476
L23,-0.051885,0.005602,-0.075838,-0.051885,-0.144831,-0.119189,0.033152,-0.112879,-0.088033,-0.081917,-0.844493,-0.454396,-0.131928,-0.063790,-0.112879,-0.057820,-0.034289,-0.057820,-0.151346,-0.119189,0.005602,-0.057820,-0.144831,-0.171148,-0.028492,-0.016998,-0.057820,-0.028492,-0.112879,-0.075838,-0.081917,-0.028492,-0.144831,-0.504293,0.141226,0.216379,-0.261803,-0.151346,-0.119189,-0.171148,-0.088033,0.049325,0.091216,-0.261803,0.243166,3.666438
L24,0.016713,0.011173,-0.088033,-0.051885,-0.081917,0.290487,-0.034289,-0.151346,-0.119189,-0.112879,0.022223,0.091216,-0.075838,-0.028492,-0.119189,-0.138358,0.038572,0.000000,0.005602,-0.112879,-0.112879,-0.022728,0.000000,0.005602,-0.081917,-0.051885,-0.088033,-0.028492,-0.028492,0.005602,-0.028492,0.005602,-0.016998,0.005602,0.548316,0.170075,0.011173,-0.040120,-0.094187,-0.022728,-0.119189,0.011173,-0.687545,-0.125538,0.269255,2.859307
L25,-0.088033,-0.057820,-0.088033,0.000000,-0.177837,-0.081917,-0.112879,-0.119189,-0.028492,-0.138358,0.521999,0.229862,0.027703,0.005602,-0.119189,-0.045985,-0.112879,-0.057820,-0.045985,-0.088033,-0.112879,0.043963,-0.088033,-0.081917,-0.081917,-0.016998,-0.119189,-0.034289,-0.138358,-0.022728,-0.034289,-0.028492,-0.088033,0.038572,0.401713,0.096331,0.038572,-0.051885,-0.088033,-0.051885,-0.028492,0.106483,-0.385993,0.339677,-0.144831,5.746490
L26,-0.022728,-0.028492,-0.051885,-0.151346,-0.138358,-0.034289,-0.088033,-0.144831,0.005602,-0.081917,-0.198177,-0.198177,-0.144831,-0.081917,-0.081917,0.038572,-0.088033,-0.051885,-0.112879,-0.106610,-0.057820,0.005602,-0.119189,-0.081917,-0.081917,-0.088033,-0.057820,-0.081917,-0.051885,-0.112879,-0.144831,-0.081917,0.011173,0.216379,0.080907,0.101420,-0.088033,-0.138358,-0.106610,0.043963,-0.106610,0.091216,-0.436851,0.256296,-0.198177,10.351254
L27,0.000000,-0.028492,0.033152,-0.112879,-0.075838,-0.112879,0.027703,-0.112879,-0.081917,-0.081917,0.141226,0.038572,-0.051885,-0.081917,0.033152,-0.051885,-0.051885,0.059963,-0.112879,-0.081917,-0.051885,0.000000,-0.081917,-0.112879,-0.051885,0.005602,-0.081917,-0.075838,-0.051885,-0.081917,-0.081917,-0.081917,-0.081917,-0.022728,0.216379,0.116534,-0.022728,-0.051885,0.027703,-0.011300,-0.051885,0.146093,-0.665445,0.131422,-0.100379,2.387628
L28,-0.057820,-0.088033,0.000000,-0.112879,-0.057820,0.000000,-0.081917,-0.081917,-0.112879,-0.112879,-0.016998,-0.081917,-0.112879,-0.112879,-0.081917,-0.081917,0.000000,-0.112879,-0.112879,-0.112879,0.000000,-0.081917,-0.088033,-0.112879,-0.144831,-0.112879,-0.112879,-0.028492,-0.112879,-0.112879,-0.112879,-0.081917,-0.112879,-0.075838,0.033152,0.005602,-0.016998,-0.051885,-0.144831,-0.081917,-0.034289,0.264954,-0.762943,0.101420,-0.106610,9.081517
L29,-0.088033,-0.119189,-0.088033,-0.081917,-0.057820,-0.034289,-0.112879,-0.112879,-0.112879,-0.112879,-0.151346,-0.112879,0.000000,0.000000,0.000000,0.000000,-0.081917,-0.112879,-0.112879,-0.112879,-0.112879,0.000000,-0.119189,-0.112879,-0.112879,-0.112879,-0.112879,0.000000,-0.112879,0.000000,-0.034289,-0.112879,-0.112879,-0.081917,-0.112879,-0.051885,-0.081917,-0.112879,-0.081917,-0.088033,0.000000,-0.016998,-0.508955,-0.016998,-0.051885,7.636275
L30,-0.057820,0.096331,-0.034289,-0.112879,-0.119189,-0.034289,-0.034289,0.000000,0.000000,0.000000,-0.040120,-0.034289,0.000000,-0.034289,-0.034289,-0.144831,-0.112879,0.000000,-0.034289,0.000000,0.000000,0.000000,-0.112879,-0.034289,0.000000,0.000000,0.000000,-0.034289,-0.034289,0.000000,-0.112879,0.000000,0.000000,0.000000,-0.034289,-0.034289,-0.034289,-0.034289,-0.112879,-0.088033,-0.028492,-0.081917,-0.423892,0.027703,-0.081917,10.732899
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.683483
