layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Prov,7:ide,8: 4,9: bullet,10: points,11: summar,12:izing,13: demographic,14: and,15: past,16: medical,17: history,18: for,19: asthma,20:.,21: Start,22: exactly,23: with,24::,"25: """,26:Gender,27::,"28: ""","29:
",30:<,31:|,32:ass,33:istant,34:|>,"35:
",36:Gender,37::
L14,0.018854,-0.121257,0.028149,-0.019216,-0.170808,0.116636,0.009471,0.041931,0.064488,-0.058792,-0.205261,-0.033874,-0.349560,-0.228907,0.133431,0.023512,-0.110572,-0.009562,0.133431,-0.137503,0.145845,-0.211121,-0.053758,-0.148482,0.349749,0.082175,-0.014377,0.046484,-0.089537,-1.515614,-0.137503,0.064488,-0.099999,0.028149,0.145845,-1.606239,0.099554,-0.518249
L15,-0.024078,-0.028964,-0.024078,-0.028964,0.064488,-0.019216,0.068939,-0.053758,0.170220,0.009471,0.322552,-0.084347,0.116636,0.041931,0.125069,-0.058792,0.095237,-0.137503,0.023512,0.213420,0.073371,0.194015,-0.053758,-0.024078,-0.211121,-0.038808,0.608365,-0.024078,0.336243,0.739248,-0.222943,0.028149,0.037358,0.023512,-0.063851,0.000000,0.994509,-0.309864
L16,0.009471,-0.126643,-0.068936,-0.043767,0.137586,0.112393,-0.053758,-0.063851,-0.033874,-0.187887,0.009471,-0.009562,-0.110572,-0.024078,-0.019216,-0.028964,-0.024078,0.037358,0.090902,-0.019216,-0.486792,0.166198,-0.084347,-0.115900,0.068939,-0.019216,-0.009562,0.129259,-0.222943,-0.673508,-0.205261,-0.024078,-0.068936,0.004747,0.243706,0.329421,0.213420,-0.322921
L17,0.018854,0.023512,-0.048750,-0.089537,0.103852,0.028149,-0.089537,-0.063851,0.018854,-0.038808,-0.265459,-0.094754,-0.063851,-0.187887,-0.079183,-0.043767,-0.014377,-0.063851,-0.265459,-0.019216,0.099554,-0.356332,-0.074046,-0.165180,-0.084347,-0.486792,0.103852,0.273102,-0.222943,-0.510292,0.145845,-0.009562,-0.068936,0.068939,0.205703,0.711608,0.510505,2.135430
L18,0.051015,-0.024078,-0.068936,0.004747,-0.048750,-0.063851,-0.053758,-0.126643,-0.211121,-0.148482,-0.165180,-0.084347,-0.048750,0.018854,0.018854,0.086548,0.099554,0.336243,-0.068936,1.062543,0.427165,-0.079183,0.055527,0.162161,0.182188,0.343019,0.145845,0.308671,-0.132059,-1.537512,0.095237,0.086548,0.014173,0.032764,0.068939,0.770559,0.842751,-0.370015
L19,-0.028964,-0.126643,-0.024078,-0.004769,0.004747,-0.089537,-0.024078,-0.024078,0.004747,0.166198,0.095237,0.064488,-0.019216,-0.014377,0.099554,-0.048750,-0.033874,-0.284249,-0.110572,-0.463832,0.197926,-0.121257,-0.014377,-0.074046,-0.165180,-0.222943,-0.514263,-0.089537,-0.329515,-0.356332,0.037358,-0.024078,0.032764,-0.004769,-0.028964,0.433354,-1.473207,-1.908505
L20,-0.024078,-0.024078,-0.028964,-0.028964,-0.043767,0.037358,-0.053758,0.004747,0.060018,-0.014377,0.060018,-0.053758,0.000000,0.166198,0.108131,-0.094754,-0.110572,-0.290591,0.082175,-0.479080,-0.014377,-0.121257,-0.074046,-0.043767,-0.074046,-0.316371,-0.650448,0.004747,-0.419436,-0.741057,0.116636,-0.038808,-0.024078,0.060018,0.186146,0.329421,-1.140707,-2.249243
L21,-0.068936,0.004747,-0.142978,-0.084347,-0.105272,0.000000,-0.084347,-0.074046,-0.019216,-0.105272,-0.053758,-0.063851,0.009471,-0.099999,0.046484,-0.126643,-0.043767,-0.033874,0.014173,0.315636,-0.126643,-0.009562,-0.089537,-0.019216,-0.105272,-0.121257,-0.038808,0.336243,0.137586,-0.089537,0.125069,-0.053758,-0.033874,-0.009562,0.103852,0.315636,-1.186399,-1.816609
L22,0.009471,-0.058792,-0.079183,-0.084347,-0.009562,-0.033874,-0.053758,-0.058792,-0.176469,-0.058792,-0.079183,0.004747,-0.058792,-0.105272,-0.063851,0.055527,-0.079183,-0.089537,-0.121257,-0.110572,-0.234907,-0.038808,-0.053758,0.000000,-0.089537,-0.154017,0.099554,0.037358,0.032764,-0.079183,0.000000,0.014173,-0.048750,-0.099999,-0.009562,0.086548,-1.630239,-3.528476
L23,-0.028964,-0.053758,-0.014377,-0.079183,0.000000,-0.024078,-0.058792,0.004747,0.004747,0.004747,-0.019216,-0.058792,-0.019216,-0.019216,-0.079183,-0.058792,-0.043767,0.023512,0.028149,-0.530305,-0.211121,0.004747,-0.019216,-0.043767,0.014173,-0.132059,0.457733,0.363075,-0.342833,0.028149,0.046484,0.145845,0.051015,0.133431,0.343019,0.051015,-0.205261,-1.068907
L24,0.004747,0.009471,-0.074046,0.004747,-0.058792,0.137586,-0.024078,-0.019216,0.032764,-0.028964,-0.014377,0.014173,0.018854,-0.028964,-0.024078,0.004747,-0.028964,0.041931,-0.019216,0.041931,-0.048750,-0.019216,0.009471,-0.024078,-0.019216,0.037358,-0.211121,0.108131,0.046484,-0.009562,-0.068936,0.041931,0.023512,0.051015,-0.094754,0.141724,-0.563185,0.166198
L25,-0.043767,-0.048750,-0.105272,-0.053758,-0.058792,-0.014377,0.009471,-0.024078,0.009471,0.000000,0.009471,0.009471,0.009471,0.037358,-0.019216,0.009471,0.028149,0.028149,-0.028964,-0.024078,0.051015,-0.019216,0.014173,0.009471,0.004747,0.041931,-0.234907,0.023512,0.095237,-0.053758,-0.038808,0.004747,0.000000,0.009471,-0.818882,-0.154017,-0.835201,-3.920386
L26,0.041931,0.009471,0.004747,-0.028964,0.037358,0.009471,0.004747,0.004747,-0.019216,0.009471,0.009471,0.009471,0.009471,-0.009562,-0.009562,0.004747,0.009471,0.000000,0.009471,-0.009562,0.018854,0.014173,-0.019216,-0.019216,-0.058792,-0.009562,0.009471,0.077782,0.041931,0.009471,-0.019216,0.095237,0.009471,0.141724,-1.705902,-0.033874,0.009471,-0.303398
L27,0.009471,-0.019216,0.018854,0.000000,0.032764,0.000000,0.009471,0.009471,0.004747,0.009471,0.004747,0.014173,0.014173,-0.019216,0.004747,-0.019216,-0.019216,0.014173,0.014173,0.023512,0.009471,0.004747,0.009471,0.009471,-0.004769,0.000000,-0.079183,0.082175,0.014173,0.014173,-0.028964,0.014173,0.028149,0.178215,-1.014963,-0.068936,0.103852,-0.921048
L28,-0.004769,-0.024078,0.000000,0.000000,-0.009562,0.004747,0.004747,0.009471,-0.028964,0.009471,0.009471,0.000000,0.000000,0.004747,0.009471,0.000000,0.000000,0.000000,0.009471,0.221078,0.037358,0.004747,0.004747,-0.019216,-0.024078,0.000000,-0.079183,0.082175,0.000000,-0.019216,-0.014377,0.004747,-0.019216,0.158107,-1.559900,-0.048750,-0.079183,-2.295401
L29,-0.033874,-0.028964,0.000000,0.000000,-0.028964,-0.028964,0.009471,0.009471,0.009471,0.009471,0.000000,0.009471,0.009471,0.014173,0.009471,0.004747,0.009471,0.000000,0.000000,-0.170808,0.009471,0.004747,0.004747,0.000000,0.009471,0.009471,0.000000,0.009471,0.009471,-0.024078,-0.014377,0.009471,-0.019216,-0.009562,-1.432524,0.055527,0.018854,1.022280
L30,0.000000,-0.024078,-0.019216,0.004747,0.009471,0.009471,0.004747,0.000000,0.000000,0.009471,0.000000,0.009471,0.004747,0.000000,0.000000,0.000000,-0.024078,0.004747,0.004747,0.018854,0.000000,0.004747,0.000000,0.000000,-0.028964,0.004747,0.009471,0.004747,-0.028964,0.000000,0.000000,0.032764,0.000000,0.014173,-0.165180,0.004747,0.055527,-0.880067
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.247641
