layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Patient,7: diagnosis,8::,9: multiple,10: sclerosis,11:.,"12:
",13:Write,14: a,15: concise,16: clinical,17: summary,18: covering,19: demographic,20: and,21: relevant,22: past,23: medical,24: history,25:.,26: Begin,27: exactly,28: with,29::,"30: """,31:Gender,32::,"33: ""","34:
",35:<,36:|,37:ass,38:istant,39:|>,"40:
",41:Gender,42::
L13,-0.120516,0.004357,0.000000,-0.120516,-0.058444,-0.063084,0.067536,0.067536,0.157265,0.030110,-0.287399,0.038549,-0.086614,-0.120516,-0.058444,-0.155607,-0.063084,0.091731,0.000000,0.004357,0.030110,-0.086614,-0.026550,-0.026550,-0.086614,-0.026550,-0.120516,-0.096184,-0.213366,0.030110,-0.063084,0.701843,0.063446,-0.026550,-0.287399,-0.091388,-0.058444,-0.058444,0.034338,0.004357,-0.224236,0.000000,1.825394
L14,0.004357,-0.026550,-0.031045,0.004357,0.095707,-0.120516,-0.026550,-0.026550,-0.031045,-0.125454,-0.280430,-0.120516,0.034338,-0.086614,-0.155607,-0.031045,-0.091388,0.034338,-0.026550,-0.120516,-0.058444,0.063446,-0.063084,0.004357,0.004357,0.004357,-0.058444,-0.091388,-0.091388,-0.063084,0.000000,-0.287399,-0.091388,-0.031045,-0.287399,0.004357,0.008696,-0.026550,-0.031045,-0.274667,0.000000,-0.091388,0.229238
L15,-0.063084,-0.058444,0.063446,0.000000,-0.150518,-0.091388,-0.150518,-0.125454,-0.213366,-0.026550,0.630063,-0.125454,-0.086614,0.000000,-0.031045,-0.058444,-0.091388,-0.026550,-0.058444,-0.091388,-0.091388,-0.150518,0.000000,0.000000,0.000000,-0.155607,0.004357,0.000000,0.030110,-0.181449,-0.120516,-0.091388,0.193899,-0.246336,-0.186698,0.063446,0.099667,-0.150518,-0.026550,-0.058444,-0.053825,0.193899,1.174279
L16,0.008696,-0.022076,0.004357,0.034338,-0.026550,-0.063084,-0.181449,0.004357,-0.058444,0.034338,1.041711,0.067536,0.067536,-0.150518,-0.120516,-0.058444,-0.120516,-0.091388,-0.181449,-0.125454,-0.031045,-0.063084,0.063446,-0.031045,-0.063084,-0.274667,-0.125454,-0.063084,-0.091388,-0.026550,0.034338,-0.287399,0.186679,-0.058444,-0.287399,0.095707,-0.026550,0.030110,0.000000,-0.287399,-0.031045,-0.130417,-0.287399
L17,-0.026550,-0.058444,0.000000,-0.063084,0.067536,-0.058444,0.063446,-0.026550,-0.125454,-0.063084,-0.120516,-0.120516,-0.063084,-0.063084,0.034338,0.000000,0.004357,-0.031045,-0.031045,-0.063084,-0.186698,0.000000,0.004357,-0.058444,0.004357,0.063446,0.034338,0.004357,-0.091388,0.034338,-0.058444,0.347022,0.193899,-0.186698,-0.287399,0.034338,-0.053825,-0.026550,0.008696,-0.115602,0.059339,0.000000,0.740064
L18,0.004357,-0.091388,0.000000,-0.026550,-0.058444,-0.026550,0.412717,-0.125454,0.222270,0.095707,7.811703,1.237044,0.193899,0.030110,0.004357,-0.063084,0.099667,0.034338,0.063446,0.157265,0.103612,0.034338,0.164700,0.067536,0.193899,0.164700,-0.026550,0.000000,-0.031045,0.004357,0.126960,3.174591,0.315671,0.030110,-0.120516,0.034338,-0.053825,0.067536,-0.031045,-0.086614,0.149774,0.653053,0.798726
L19,0.004357,0.004357,-0.026550,-0.031045,-0.063084,0.164700,-0.155607,0.000000,-0.026550,-0.026550,0.157265,-0.280430,-0.186698,-0.026550,-0.026550,-0.026550,-0.058444,0.067536,0.067536,-0.115602,0.004357,-0.026550,0.034338,0.004357,-0.026550,0.222270,0.000000,0.030110,-0.031045,-0.058444,-0.218786,0.249858,-0.058444,-0.155607,-0.224236,-0.031045,-0.058444,-0.120516,0.004357,0.067536,0.283306,-0.125454,2.351583
L20,-0.091388,-0.091388,-0.026550,-0.026550,-0.053825,-0.213366,-0.125454,-0.058444,-0.031045,-0.058444,-0.287399,-0.120516,-0.120516,-0.026550,0.000000,-0.026550,-0.058444,-0.058444,-0.150518,-0.125454,-0.155607,-0.026550,0.000000,-0.120516,-0.246336,-0.063084,-0.086614,0.063446,-0.031045,-0.186698,-0.155607,-0.091388,0.071610,-0.155607,-0.181449,0.004357,0.067536,-0.086614,-0.053825,-0.022076,-0.008772,-0.287399,4.220599
L21,0.004357,-0.058444,-0.086614,-0.091388,-0.213366,0.000000,0.034338,-0.120516,0.063446,0.030110,2.550059,0.322020,0.157265,0.000000,-0.086614,-0.125454,-0.026550,-0.026550,-0.086614,-0.026550,-0.120516,0.000000,0.034338,-0.150518,0.034338,-0.031045,-0.125454,-0.058444,-0.150518,-0.181449,-0.155607,0.978096,0.157265,-0.031045,0.034338,-0.091388,-0.086614,-0.063084,-0.058444,-0.091388,-0.218786,0.091731,3.050328
L22,-0.058444,-0.058444,0.000000,-0.120516,-0.063084,-0.058444,-0.155607,-0.058444,0.030110,-0.091388,-0.246336,-0.218786,-0.218786,0.000000,-0.150518,-0.031045,-0.058444,-0.091388,-0.031045,-0.125454,0.000000,-0.058444,-0.120516,-0.120516,-0.086614,0.034338,-0.063084,-0.031045,0.000000,-0.091388,-0.120516,-0.115602,-0.096184,0.000000,0.034338,0.030110,-0.026550,-0.058444,0.034338,-0.053825,0.038549,-0.287399,0.852276
L23,-0.058444,-0.063084,0.000000,0.030110,-0.063084,-0.086614,-0.125454,0.004357,-0.218786,-0.091388,-0.287399,-0.181449,-0.120516,0.000000,0.063446,-0.026550,0.034338,-0.031045,-0.026550,-0.026550,-0.091388,0.034338,0.000000,0.000000,0.000000,-0.058444,0.034338,-0.058444,0.000000,-0.120516,-0.280430,0.067536,0.283306,-0.058444,-0.120516,-0.031045,-0.086614,0.000000,0.008696,-0.086614,-0.181449,-0.181449,1.226853
L24,0.004357,0.034338,-0.063084,-0.026550,-0.026550,0.630063,-0.026550,-0.091388,-0.186698,0.034338,0.601759,-0.091388,-0.058444,-0.031045,-0.058444,-0.031045,-0.063084,-0.120516,-0.058444,-0.026550,-0.026550,-0.058444,0.004357,0.030110,-0.058444,-0.026550,0.000000,-0.063084,0.004357,0.000000,0.034338,0.383389,0.222270,0.095707,-0.031045,-0.091388,-0.058444,0.004357,0.126960,-0.240765,-0.125454,0.157265,3.969962
L25,-0.058444,-0.086614,-0.058444,-0.120516,-0.150518,-0.058444,0.000000,-0.026550,-0.091388,-0.063084,1.221718,-0.031045,0.000000,-0.058444,-0.031045,-0.091388,0.000000,-0.058444,-0.091388,0.004357,0.004357,-0.031045,0.004357,-0.058444,-0.120516,-0.026550,0.000000,-0.058444,0.000000,-0.031045,0.000000,0.516921,0.193899,0.034338,0.000000,0.034338,-0.086614,0.034338,0.099667,-0.086614,0.063446,-0.287399,4.621155
L26,-0.058444,-0.091388,0.004357,-0.058444,-0.091388,0.004357,-0.086614,-0.026550,-0.086614,-0.058444,-0.246336,-0.091388,-0.091388,0.004357,-0.086614,-0.026550,-0.058444,-0.026550,-0.026550,-0.058444,0.004357,0.004357,0.004357,-0.086614,-0.026550,-0.026550,-0.086614,0.004357,0.004357,-0.026550,0.099667,-0.181449,0.099667,0.034338,-0.026550,-0.058444,-0.022076,0.004357,0.042742,-0.022076,0.034338,-0.287399,11.201824
L27,-0.026550,0.004357,-0.026550,-0.026550,0.000000,0.000000,-0.031045,-0.026550,-0.120516,0.004357,0.790836,0.000000,0.034338,0.034338,0.034338,0.034338,0.034338,0.034338,0.034338,-0.026550,-0.058444,0.004357,0.004357,0.004357,0.004357,0.004357,0.000000,0.034338,0.000000,0.004357,0.034338,-0.091388,-0.026550,-0.091388,-0.058444,0.034338,0.004357,0.034338,0.042742,-0.268936,0.004357,-0.063084,3.263958
L28,-0.026550,-0.026550,0.000000,0.000000,0.000000,0.000000,0.004357,0.000000,0.000000,0.034338,-0.026550,0.004357,0.000000,0.004357,0.034338,0.034338,0.004357,0.000000,0.000000,0.034338,0.000000,0.034338,0.000000,-0.026550,0.000000,0.000000,0.000000,0.004357,0.004357,-0.026550,-0.026550,-0.026550,-0.091388,-0.058444,0.004357,0.004357,-0.086614,0.000000,0.134622,-0.287399,0.067536,-0.058444,9.463373
L29,-0.026550,0.000000,0.034338,0.034338,-0.058444,0.004357,0.004357,0.000000,0.000000,0.000000,0.000000,0.000000,0.004357,0.034338,0.000000,0.000000,0.000000,0.000000,0.000000,0.034338,0.000000,0.004357,0.000000,0.004357,0.000000,0.000000,0.000000,0.000000,0.034338,0.000000,0.034338,0.004357,0.034338,0.034338,0.034338,0.004357,0.063446,0.034338,0.034338,-0.287399,0.126960,0.095707,6.850667
L30,0.067536,0.038549,0.000000,0.034338,-0.086614,0.000000,0.034338,0.000000,0.000000,0.000000,0.034338,0.000000,0.000000,0.000000,0.000000,0.000000,0.034338,0.000000,0.000000,0.034338,0.034338,0.000000,0.000000,0.000000,0.034338,0.000000,0.000000,0.000000,0.000000,0.034338,0.000000,0.034338,0.000000,0.034338,0.034338,0.000000,-0.058444,0.034338,0.034338,-0.091388,0.034338,-0.026550,12.026540
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.831421
