layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Clinical,7: task,8::,9: summarize,10: a,11: case,12: of,13: asthma,14:.,"15:
",16:Report,17: demographic,18: and,19: pertinent,20: prior,21: medical,22: history,23: in,24: concise,25: form,26:.,27: First,28: characters,29: must,30: be,31::,"32: """,33:Gender,34::,"35: ""","36:
",37:<,38:|,39:ass,40:istant,41:|>,"42:
",43:Gender,44::
L11,0.030537,0.000000,-0.101921,-0.093374,-0.015625,-0.154797,-0.123614,-0.084899,-0.031499,-0.072321,-0.220241,-0.059898,-0.043571,0.547359,-0.023530,-0.145788,0.060169,0.327573,0.007722,0.150823,0.096015,0.022990,0.287682,0.030537,0.096015,-0.023530,0.030537,-0.055791,-0.732678,-0.076496,-0.072321,-0.215421,0.067441,2.418816,-0.136859,-0.327213,-0.393904,0.030537,-0.047628,0.000000,-0.132425,-0.015625,0.030537,0.215361,-0.618485
L12,-0.128010,0.000000,-0.011696,-0.007782,0.123794,-0.417161,0.030537,0.030537,-0.011696,-0.093374,-0.093374,-0.182322,-0.007782,-0.604200,-0.039531,0.096015,-0.064022,0.227784,0.123794,-0.093374,-0.215421,-0.106222,0.096015,-0.043571,-0.210625,0.157467,-0.249655,-0.220241,-0.490364,-0.035507,0.081830,0.270086,0.240054,-0.101921,0.264152,0.007722,0.433492,0.349674,-0.064022,-0.031499,-0.064022,0.196433,1.113997,-0.051701,-0.816761
L13,-0.031499,0.030537,-0.089128,-0.031499,0.038027,-0.145788,-0.064022,-0.128010,-0.031499,-0.119238,-0.159332,0.038027,-0.348953,-0.503103,-0.327213,-0.039531,0.060169,0.164068,-0.123614,-0.159332,-0.097638,-0.064022,0.074662,-0.055791,-0.177681,-0.254642,-0.205852,0.144134,-0.269756,-0.047628,0.096015,0.708532,-0.110542,0.745990,0.293479,0.000000,0.349674,0.164068,0.007722,-0.128010,-0.089128,-0.023530,-0.186984,0.103032,0.123794
L14,-0.035507,-0.027507,-0.072321,-0.064022,0.103032,-0.225083,-0.168464,-0.031499,0.060169,-0.119238,-0.035507,-0.196373,0.000000,-0.799369,-0.043571,-0.106222,-0.055791,-0.097638,-0.023530,0.038027,0.030537,0.067441,0.281851,-0.196373,-0.093374,-0.031499,-0.097638,0.215361,-0.371176,-0.007782,0.074662,-0.338024,-0.072321,-0.816761,-0.285101,-0.027507,0.130620,0.196433,0.007722,-0.093374,-0.159332,-0.205852,0.067441,-0.693147,0.281851
L15,-0.072321,-0.031499,-0.128010,-0.064022,-0.119238,0.060169,0.022990,0.030537,-0.039531,-0.043571,-0.072321,-0.136859,-0.196373,-0.163888,0.060169,-0.136859,0.022990,0.096015,0.022990,-0.031499,0.000000,-0.072321,-0.043571,-0.031499,-0.031499,-0.136859,-0.210625,-0.035507,0.116921,-0.159332,0.088947,0.209092,-0.300686,-0.290269,0.310672,0.007722,-0.051701,0.130620,0.137400,0.000000,-0.084899,-0.080689,0.110001,0.371296,0.215361
L16,-0.128010,-0.097638,-0.035507,-0.031499,0.030537,-0.128010,-0.043571,0.000000,0.157467,-0.064022,0.030537,-0.159332,-0.159332,-0.114880,-0.106222,-0.064022,-0.072321,0.030537,-0.128010,0.052842,-0.011696,0.038027,0.196433,0.030537,0.130620,0.007722,-0.154797,-0.093374,-0.503103,-0.123614,-0.177681,-0.150282,0.007722,-0.632978,0.045462,-0.114880,0.275986,-0.123614,0.190044,0.000000,0.096015,-0.136859,0.240054,0.349674,1.324336
L17,-0.023530,-0.055791,-0.093374,-0.093374,-0.031499,0.000000,-0.093374,-0.031499,0.030537,0.252175,-0.031499,0.060169,-0.031499,0.096015,0.150823,0.022990,-0.023530,0.022990,-0.163888,-0.031499,0.007722,-0.064022,0.164068,-0.097638,-0.128010,-0.059898,-0.072321,-0.114880,-0.647685,-0.159332,-0.285101,-0.154797,0.038027,0.150823,0.287682,0.081830,0.081830,0.000000,0.103032,-0.023530,0.103032,0.045462,-0.031499,-0.106222,0.837281
L18,0.060169,0.060169,-0.128010,0.030537,0.030537,0.007722,0.190044,0.157467,0.157467,0.060169,-0.119238,0.673577,0.130620,6.390826,0.850614,0.130620,0.215361,0.850614,0.246133,0.190044,0.349674,0.103032,1.048270,0.123794,0.144134,0.177140,0.227784,0.123794,-0.150282,0.060169,0.287682,0.202783,0.376629,9.925701,0.123794,-0.011696,-0.093374,0.221592,0.137400,-0.093374,0.007722,-0.173062,0.130620,0.338685,-0.201101
L19,-0.182322,-0.119238,-0.093374,-0.011696,0.123794,0.137400,-0.150282,-0.064022,0.067441,0.130620,0.060169,-0.254642,-0.128010,-0.496714,0.130620,-0.031499,-0.035507,-0.177681,-0.097638,-0.150282,0.060169,-0.055791,-0.084899,-0.106222,-0.084899,-0.055791,-0.150282,-0.093374,-0.465363,-0.128010,0.000000,-0.215421,-0.031499,-0.084899,0.413187,-0.059898,0.007722,-0.064022,0.130620,-0.023530,0.038027,-0.132425,0.030537,-0.477786,1.220121
L20,-0.084899,0.000000,-0.123614,0.030537,0.164068,-0.119238,0.030537,-0.031499,-0.064022,0.060169,0.096015,-0.132425,0.030537,-0.535680,0.060169,0.038027,-0.093374,-0.136859,-0.064022,0.030537,0.000000,-0.220241,-0.089128,-0.093374,0.030537,0.067441,-0.159332,-0.031499,-0.417161,-0.159332,-0.101921,-0.249655,-0.114880,-0.748938,0.233938,-0.023530,-0.459209,-0.119238,0.110001,0.030537,0.287682,0.233938,0.060169,-0.191667,2.270286
L21,-0.084899,0.000000,-0.154797,-0.031499,-0.031499,0.038027,0.123794,-0.064022,0.000000,0.000000,0.067441,0.477726,0.281851,1.860408,0.252175,0.007722,0.038027,0.542865,-0.031499,0.067441,0.123794,0.030537,0.227784,-0.084899,-0.023530,0.030537,0.157467,-0.093374,-0.177681,0.060169,0.000000,-0.023530,0.164068,1.532105,0.096015,0.116921,0.123794,0.030537,0.074662,-0.084899,-0.023530,-0.114880,-0.360003,0.468064,4.904930
L22,0.007722,-0.119238,-0.154797,-0.089128,-0.084899,0.030537,-0.186984,-0.031499,-0.055791,0.096015,-0.084899,-0.119238,-0.055791,-0.590115,-0.465363,-0.114880,0.000000,0.015385,0.007722,0.060169,-0.031499,0.030537,-0.150282,-0.084899,0.000000,-0.084899,-0.084899,-0.064022,-0.393904,-0.055791,0.000000,-0.089128,-0.119238,-1.196250,0.123794,-0.084899,-0.084899,-0.249655,0.196433,0.030537,-0.084899,-0.080689,-0.089128,-0.191667,2.737584
L23,-0.023530,-0.055791,0.000000,-0.093374,0.052842,0.060169,-0.150282,-0.055791,0.000000,0.157467,0.030537,0.030537,0.007722,-1.075622,-0.371176,-0.093374,0.060169,0.038027,-0.031499,0.060169,0.000000,-0.119238,0.000000,0.000000,-0.023530,0.000000,-0.119238,0.000000,-0.035507,-0.064022,0.000000,-0.093374,-0.201101,-0.549013,-0.110542,-0.145788,-0.093374,-0.084899,0.007722,-0.093374,0.015385,0.157467,-0.321851,-0.119238,2.675484
L24,-0.027507,-0.084899,-0.031499,-0.089128,-0.064022,0.428455,0.130620,0.000000,-0.023530,0.000000,0.000000,0.060169,0.096015,0.529259,-0.093374,-0.055791,0.030537,0.060169,-0.055791,-0.031499,-0.055791,-0.055791,-0.055791,0.000000,-0.055791,0.030537,0.007722,-0.031499,0.096015,-0.084899,0.000000,0.067441,0.137400,0.252175,0.096015,-0.055791,-0.031499,0.123794,0.164068,-0.023530,0.137400,0.150823,-0.084899,-0.123614,4.151223
L25,0.000000,-0.093374,-0.031499,0.000000,0.060169,0.030537,-0.093374,-0.114880,-0.031499,-0.064022,-0.064022,-0.031499,-0.055791,1.229232,0.067441,-0.023530,0.007722,-0.084899,-0.031499,-0.084899,0.000000,0.030537,0.000000,-0.064022,0.000000,0.030537,0.030537,-0.064022,-0.031499,-0.119238,0.000000,0.088947,0.022990,-0.076496,-0.123614,0.060169,-0.084899,0.030537,0.038027,-0.031499,0.074662,0.209092,-0.093374,-0.290269,2.508527
L26,0.030537,0.123794,-0.084899,0.000000,-0.089128,0.000000,-0.128010,-0.084899,-0.055791,0.030537,0.000000,0.060169,-0.023530,-0.254642,-0.159332,-0.031499,0.060169,0.030537,0.030537,-0.031499,0.030537,-0.114880,0.000000,-0.031499,0.000000,0.000000,0.060169,0.000000,-0.023530,0.000000,-0.119238,0.130620,0.088947,-0.097638,0.067441,0.060169,-0.055791,0.038027,0.110001,0.007722,0.240054,0.240054,0.103032,-0.163888,10.940090
L27,0.007722,0.030537,0.000000,-0.084899,-0.023530,0.000000,0.000000,0.000000,0.000000,0.000000,0.030537,0.000000,0.000000,0.067441,0.088947,0.000000,0.000000,-0.031499,-0.084899,-0.031499,0.000000,-0.035507,-0.035507,0.000000,0.000000,0.000000,0.000000,-0.035507,0.000000,-0.031499,-0.031499,0.030537,0.030537,-0.064022,-0.089128,-0.031499,0.000000,-0.031499,0.067441,0.000000,0.264152,0.030537,0.123794,-0.201101,5.806371
L28,-0.119238,-0.093374,0.000000,-0.035507,-0.089128,0.000000,0.000000,0.030537,-0.119238,0.000000,0.000000,0.000000,0.000000,0.030537,0.000000,0.000000,0.030537,-0.084899,0.000000,0.000000,-0.119238,0.000000,0.000000,0.000000,-0.119238,-0.084899,-0.035507,0.000000,0.000000,-0.084899,0.030537,0.000000,0.000000,-0.023530,-0.093374,0.030537,-0.035507,0.000000,-0.089128,-0.035507,0.209092,-0.354462,-0.023530,-0.055791,6.800161
L29,0.030537,0.030537,0.060169,-0.055791,-0.031499,0.000000,0.030537,0.000000,-0.084899,0.000000,0.000000,0.000000,-0.084899,-0.084899,0.030537,0.030537,0.030537,0.000000,-0.084899,0.000000,0.000000,-0.119238,-0.119238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030537,-0.119238,0.000000,0.000000,0.060169,0.000000,0.000000,-0.084899,0.000000,-0.084899,0.000000,-0.055791,-0.417161,0.007722,-0.023530,5.421598
L30,0.067441,0.067441,0.000000,-0.119238,-0.089128,0.030537,0.000000,-0.084899,0.000000,0.030537,-0.084899,-0.084899,0.000000,0.000000,0.000000,-0.119238,-0.084899,-0.084899,0.030537,0.030537,0.000000,-0.084899,-0.084899,0.030537,-0.084899,-0.084899,0.000000,-0.084899,-0.084899,-0.119238,0.000000,0.000000,0.000000,-0.084899,0.000000,0.030537,0.000000,-0.084899,-0.089128,0.030537,-0.055791,-0.244692,-0.055791,-0.064022,9.627630
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.685976
