layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Write,7: a,8: brief,9: chart,10:-,11:ready,12: overview,13: for,14: a,15: patient,16: with,17: sarc,18:oid,19:osis,20:.,"21:
",22:Include,23: demographic,24: and,25: past,26: medical,27: history,"28:,",29: keeping,30: it,31: succ,32:inct,33:.,34: The,35: response,36: must,37: start,38: with,39::,"40: """,41:Gender,42::,"43: ""","44:
",45:<,46:|,47:ass,48:istant,49:|>,"50:
",51:Gender,52::
L11,-0.061558,0.085767,0.022141,-0.007491,0.119440,-0.106190,-0.015038,0.057987,-0.045810,-0.127155,-0.170452,0.000000,-0.188310,0.043803,-0.015038,0.112795,0.729781,0.119440,1.794244,0.647338,0.405465,-0.069526,0.043803,-0.229695,0.022141,-0.097926,0.057987,0.119440,0.050920,0.022141,-0.102049,-0.030305,0.065005,0.057987,0.057987,0.085767,-0.030305,-0.069526,-0.007491,-0.022642,0.183565,2.432565,0.106107,-0.057597,-0.211090,0.043803,0.057987,0.085767,-0.077558,-0.248653,-0.148569,0.678109,0.065005
L12,-0.102049,0.057987,0.085767,-0.038027,0.022141,-0.359878,-0.102049,-0.077558,-0.007491,-0.061558,0.119440,-0.131401,0.092593,0.085767,0.029414,-0.077558,-0.192824,0.029414,-0.110348,-0.323129,-0.038027,-0.007491,0.152016,0.057987,-0.069526,-0.069526,-0.131401,-0.102049,-0.069526,-0.038027,-0.038027,-0.030305,0.065005,0.126041,-0.157265,-0.007491,-0.061558,0.029414,0.022141,-0.030305,0.085767,1.267578,0.237959,-0.170452,0.071973,0.065005,-0.069526,0.014815,0.043803,0.000000,0.249655,0.792520,-0.069526
L13,0.085767,0.085767,-0.061558,0.022141,-0.188310,-0.007491,0.029414,0.085767,0.029414,-0.022642,0.057987,-0.157265,-0.131401,-0.131401,0.000000,0.057987,0.065005,-0.102049,0.078894,-0.607380,0.000000,0.014815,0.057987,0.036634,0.085767,-0.015038,0.022141,0.158406,0.014815,-0.038027,-0.007491,0.050920,-0.007491,0.022141,-0.127155,-0.007491,-0.192824,-0.038027,-0.110348,-0.057597,-0.015038,-0.061558,0.071973,0.509332,0.158406,-0.030305,0.085767,-0.007491,0.092593,-0.030305,-0.197359,0.152016,0.960093
L14,-0.030305,-0.030305,-0.038027,-0.038027,0.092593,-0.215709,0.057987,-0.007491,-0.102049,-0.069526,-0.045810,0.057987,-0.139949,-0.102049,0.050920,0.022141,-0.170452,-0.131401,0.272644,-0.409203,-0.081599,-0.102049,-0.007491,-0.007491,0.085767,0.022141,0.085767,0.183565,0.183565,0.085767,-0.007491,-0.007491,0.000000,0.158406,-0.077558,0.029414,-0.131401,-0.097926,-0.093819,0.183565,0.126041,-0.061558,0.029414,0.343907,-0.267977,-0.122927,0.085767,0.106107,-0.069526,-0.277781,-0.069526,0.071973,-0.220349
L15,-0.007491,-0.038027,-0.038027,0.022141,-0.007491,0.014815,0.022141,-0.061558,-0.061558,0.022141,0.085767,0.272644,0.057987,0.126041,0.085767,0.000000,-0.197359,-0.258268,0.792520,0.208106,-0.131401,0.022141,0.022141,0.043803,-0.049723,-0.007491,0.050920,-0.007491,0.000000,-0.007491,-0.069526,0.057987,-0.102049,-0.144250,-0.069526,-0.097926,-0.102049,-0.007491,0.171064,0.085767,-0.131401,0.468136,0.306167,0.000000,-0.007491,-0.069526,0.249655,-0.030305,-0.069526,-0.102049,0.311646,0.603418,1.813901
L16,-0.022642,-0.007491,0.057987,-0.030305,0.057987,-0.131401,-0.069526,-0.069526,-0.007491,0.057987,-0.069526,0.189757,-0.038027,0.050920,0.014815,-0.258268,-0.349240,-0.045810,-0.045810,0.112795,-0.007491,0.057987,0.014815,0.022141,0.022141,0.152016,0.119440,0.029414,0.112795,0.119440,-0.038027,0.078894,0.022141,-0.197359,-0.061558,0.000000,0.050920,0.022141,0.065005,-0.135666,-0.093819,-0.093819,-0.188310,-0.122927,-0.007491,0.085767,0.214148,0.029414,0.119440,-0.239129,0.158406,-0.437695,0.078894
L17,0.057987,-0.038027,-0.038027,-0.038027,0.243824,-0.102049,-0.038027,0.112795,0.085767,-0.045810,-0.097926,0.119440,0.119440,0.085767,-0.038027,0.085767,0.057987,0.085767,0.370018,-0.077558,0.085767,0.085767,0.022141,0.029414,-0.015038,0.022141,0.022141,0.119440,0.119440,0.078894,-0.007491,0.119440,-0.061558,0.000000,0.057987,-0.038027,-0.093819,0.000000,0.126041,0.343907,0.022141,0.504838,-0.073534,0.085767,-0.139949,0.022141,-0.093819,0.092593,0.065005,0.029414,0.085767,0.509332,1.563628
L18,0.085767,0.029414,0.022141,0.057987,0.092593,-0.007491,0.119440,0.119440,0.152016,0.410428,0.463452,0.662842,0.343907,0.119440,0.092593,1.128026,2.170332,0.715288,8.375984,5.499551,1.609438,0.913301,0.243824,0.655120,0.338602,0.430036,0.214148,0.527110,0.214148,0.177334,0.243824,0.119440,0.410428,0.722561,0.243824,0.085767,-0.061558,0.000000,0.226124,0.338602,0.375160,5.654791,0.548898,0.527110,0.655120,0.065005,0.158406,0.000000,-0.030305,-0.157265,0.370018,0.931106,1.312760
L19,-0.122927,-0.122927,-0.015038,-0.069526,0.029414,0.085767,-0.030305,0.022141,-0.038027,0.057987,0.022141,0.000000,0.057987,0.000000,-0.038027,-0.102049,-0.258268,-0.258268,0.014815,-0.547562,-0.166037,-0.077558,0.065005,0.099372,0.119440,0.065005,0.057987,0.065005,-0.038027,0.022141,-0.069526,-0.030305,0.112795,-0.030305,-0.038027,-0.030305,0.119440,0.177334,0.085767,0.065005,-0.081599,0.071973,-0.102049,0.343907,0.071973,-0.081599,0.249655,-0.007491,0.092593,-0.077558,0.214148,0.527110,0.405465
L20,0.014815,-0.007491,0.022141,0.022141,0.126041,-0.166037,-0.061558,-0.007491,-0.038027,-0.007491,-0.038027,-0.069526,0.014815,0.057987,0.029414,-0.192824,-0.515813,-0.110348,-0.229695,-0.803495,-0.359878,-0.323129,0.057987,0.057987,-0.007491,0.000000,0.022141,-0.093819,-0.007491,-0.069526,0.119440,-0.038027,0.119440,-0.015038,0.119440,0.022141,0.022141,0.022141,0.050920,0.043803,0.237959,-0.485041,0.220154,0.099372,-0.061558,0.057987,0.085767,0.029414,0.158406,0.158406,0.870481,-0.890507,2.854066
L21,0.085767,-0.069526,-0.015038,0.022141,-0.038027,-0.122927,0.022141,-0.110348,-0.007491,0.152016,-0.007491,0.085767,-0.007491,0.112795,0.183565,0.343907,1.068307,0.171064,1.316768,1.465188,0.152016,0.085767,-0.038027,0.057987,0.085767,0.152016,-0.038027,0.022141,0.057987,0.119440,0.085767,-0.030305,-0.007491,0.183565,0.078894,0.050920,-0.007491,0.085767,-0.061558,0.085767,0.272644,1.722233,0.425170,0.385364,0.214148,-0.131401,-0.038027,-0.038027,-0.061558,-0.053653,-0.263111,0.685656,4.874513
L22,-0.030305,-0.007491,-0.015038,-0.007491,-0.170452,-0.030305,-0.007491,-0.038027,-0.007491,-0.069526,-0.015038,-0.131401,-0.015038,-0.069526,-0.131401,-0.354545,-0.234401,-0.258268,-0.409203,-0.975866,-0.409203,-0.287682,0.050920,-0.225011,-0.038027,0.000000,-0.038027,-0.007491,0.022141,0.050920,-0.007491,-0.030305,0.085767,-0.127155,0.057987,0.057987,0.022141,-0.007491,0.022141,0.057987,-0.065534,-0.472993,-0.030305,0.007435,-0.135666,0.014815,0.065005,0.022141,-0.015038,0.189757,0.164755,-0.253449,1.525407
L23,0.000000,0.112795,0.029414,-0.007491,-0.038027,0.085767,0.022141,0.085767,0.057987,0.057987,-0.030305,0.057987,0.057987,0.000000,-0.061558,-0.414837,-0.258268,-0.192824,-1.113650,-1.137811,-0.485041,-0.297682,-0.007491,-0.007491,-0.069526,-0.007491,0.057987,0.085767,0.022141,0.057987,-0.061558,0.000000,-0.061558,0.022141,0.022141,0.000000,0.085767,0.014815,0.022141,0.022141,-0.263111,-0.621174,0.311646,-0.102049,-0.127155,0.057987,0.022141,0.022141,-0.061558,0.071973,0.050920,-0.263111,0.544578
L24,0.085767,0.085767,-0.038027,-0.061558,0.085767,0.988264,0.057987,-0.069526,-0.038027,-0.069526,-0.061558,-0.038027,-0.030305,0.057987,0.022141,0.022141,0.092593,0.057987,-0.015038,0.152016,-0.069526,-0.007491,-0.061558,0.119440,-0.038027,-0.030305,0.057987,0.057987,-0.007491,-0.069526,-0.061558,0.085767,0.029414,-0.007491,0.085767,0.022141,0.119440,0.057987,0.057987,-0.038027,-0.007491,0.439698,0.226124,0.085767,-0.007491,-0.007491,0.099372,0.092593,0.164755,-0.077558,-0.161641,0.375160,6.385597
L25,-0.061558,0.085767,-0.007491,0.022141,0.000000,-0.007491,0.065005,0.022141,-0.030305,-0.069526,0.022141,-0.030305,-0.069526,0.022141,-0.007491,0.243824,0.119440,-0.038027,0.300657,0.965791,0.370018,0.214148,0.057987,0.057987,-0.038027,0.022141,-0.007491,-0.038027,-0.007491,-0.007491,0.085767,0.022141,0.000000,0.057987,0.057987,0.057987,0.085767,0.057987,0.000000,-0.030305,0.057987,0.635550,0.278310,0.057987,0.119440,0.119440,0.126041,0.119440,0.243824,0.036634,0.119440,-0.292670,3.656649
L26,0.057987,0.057987,0.022141,0.057987,0.022141,-0.030305,0.000000,0.022141,-0.007491,0.029414,0.029414,0.022141,-0.093819,0.000000,-0.061558,-0.131401,-0.038027,-0.069526,-0.386980,-0.287682,-0.166037,-0.166037,-0.030305,0.057987,0.029414,0.065005,-0.030305,0.000000,0.022141,-0.030305,-0.030305,0.000000,-0.030305,0.000000,0.022141,0.085767,-0.030305,-0.030305,0.065005,0.000000,0.000000,-0.282719,0.220154,0.000000,-0.030305,0.022141,0.065005,0.029414,0.261215,-0.053653,0.152016,-0.139949,12.158667
L27,-0.030305,0.057987,0.057987,-0.061558,-0.030305,0.022141,-0.030305,-0.030305,-0.030305,0.029414,0.000000,0.057987,0.000000,0.022141,0.000000,0.029414,-0.061558,0.029414,-0.038027,0.085767,-0.030305,-0.030305,0.057987,-0.061558,0.029414,-0.007491,-0.030305,0.000000,-0.030305,-0.061558,-0.007491,0.000000,0.000000,0.000000,-0.007491,-0.038027,0.057987,0.029414,-0.030305,-0.030305,-0.038027,0.085767,0.085767,-0.061558,-0.030305,0.119440,0.065005,-0.030305,0.226124,-0.139949,0.119440,-0.102049,6.146649
L28,-0.007491,0.022141,-0.030305,0.029414,0.057987,0.000000,-0.030305,-0.007491,-0.030305,-0.030305,-0.030305,-0.007491,-0.030305,0.000000,-0.030305,-0.061558,0.000000,0.000000,-0.007491,0.000000,-0.007491,0.085767,-0.030305,-0.007491,-0.030305,0.000000,-0.007491,-0.007491,-0.007491,0.000000,0.000000,-0.038027,0.029414,-0.030305,-0.007491,0.022141,0.000000,-0.007491,0.022141,0.000000,-0.061558,0.050920,0.085767,0.057987,0.000000,-0.061558,0.022141,-0.030305,0.195910,-0.455189,0.119440,-0.061558,9.843226
L29,-0.038027,-0.038027,-0.007491,-0.007491,0.022141,-0.007491,-0.007491,-0.007491,-0.007491,-0.007491,0.022141,0.000000,-0.007491,0.000000,-0.007491,0.000000,0.000000,-0.007491,-0.030305,-0.007491,-0.007491,-0.030305,-0.007491,0.000000,0.022141,0.000000,0.000000,-0.007491,0.022141,0.000000,-0.007491,-0.007491,0.000000,0.022141,0.022141,0.000000,-0.030305,0.022141,0.022141,-0.007491,0.022141,-0.030305,0.022141,0.022141,-0.007491,0.000000,0.000000,0.000000,0.057987,-0.239129,0.065005,0.057987,8.883897
L30,0.065005,0.029414,-0.030305,-0.007491,-0.007491,0.000000,0.000000,-0.030305,0.000000,0.000000,-0.030305,0.000000,-0.030305,0.000000,-0.030305,0.000000,-0.030305,-0.007491,-0.030305,0.000000,-0.030305,0.000000,-0.030305,0.000000,-0.030305,0.000000,0.000000,-0.007491,0.000000,-0.007491,-0.030305,-0.007491,0.000000,0.000000,-0.030305,-0.007491,0.000000,-0.007491,0.000000,-0.007491,-0.030305,-0.007491,-0.030305,-0.007491,-0.007491,-0.007491,-0.007491,-0.007491,0.022141,-0.161641,0.000000,0.022141,12.084165
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.700543
