layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Write,7: a,8: short,9: paragraph,10: (,11:2,12:-,13:4,14: sentences,15:),16: for,17: a,18: asthma,19: patient,"20:,",21: including,22: demographic,23: and,24: clinically,25: relevant,26: PM,27:H,28:.,29: Start,30: exactly,31: with,32::,"33: """,34:Gender,35::,"36: ""","37:
",38:<,39:|,40:ass,41:istant,42:|>,"43:
",44:Gender,45::
L12,-0.063422,0.064887,-0.124790,-0.124790,-0.183439,-0.063422,-0.124790,-0.063422,-0.124790,-0.496036,-0.183439,-0.063422,-0.124790,-0.063422,0.187892,-0.063422,0.000000,0.064887,-0.687574,-0.312188,-0.124790,0.125820,0.005571,-0.057487,-0.124790,-0.183439,0.000000,0.064887,0.187892,0.000000,0.000000,-0.245743,-0.245743,0.000000,1.187637,0.120882,-0.750631,-0.429493,0.187892,-0.124790,0.064887,-0.183439,-0.124790,-0.371143,0.876398,1.627155
L13,-0.063422,-0.063422,-0.252911,-0.124790,0.125820,-0.124790,-0.057487,-0.124790,-0.183439,0.313872,0.000000,-0.124790,-0.063422,-0.124790,-0.687574,-0.124790,-0.124790,0.000000,-0.687574,-0.057487,-0.183439,0.000000,-0.063422,0.187892,0.064887,-0.063422,-0.063422,0.187892,0.064887,0.059638,0.064887,-0.190173,-0.438114,0.059638,0.120882,-0.057487,-0.312188,-0.245743,-0.190173,0.000000,-0.183439,-0.057487,0.125820,-0.567325,0.365573,1.064516
L14,0.000000,-0.124790,-0.124790,0.000000,0.000000,-0.183439,-0.124790,-0.063422,0.064887,0.000000,-0.183439,-0.124790,-0.063422,-0.063422,-0.375200,-0.124790,0.000000,-0.063422,-0.375200,-0.438114,-0.183439,0.250693,0.440234,0.250693,0.000000,0.000000,-0.124790,0.187892,0.187892,0.064887,-0.124790,0.000000,-0.375200,-0.118481,-0.744732,0.809065,0.000000,-0.750631,0.125820,0.005571,0.064887,-0.190173,-0.057487,-0.124790,-0.433794,-0.245743
L15,0.000000,-0.124790,0.064887,0.059638,-0.057487,0.000000,-0.063422,0.000000,-0.063422,-0.252911,0.000000,-0.190173,-0.124790,-0.063422,0.187892,-0.252911,0.000000,-0.252911,-0.438114,0.380958,0.125820,-0.183439,-0.063422,-0.063422,0.000000,-0.183439,0.000000,0.250693,-0.063422,0.125820,-0.063422,0.059638,-0.375200,-0.183439,0.313872,0.255031,-0.371143,-0.562411,0.059638,0.125820,0.064887,0.000000,0.059638,-0.312188,0.992629,1.690938
L16,-0.057487,0.125820,-0.063422,0.000000,0.064887,-0.063422,0.000000,0.000000,-0.124790,0.187892,0.000000,-0.063422,0.000000,0.000000,0.562006,-0.124790,0.000000,-0.312188,-0.496036,-0.562411,-0.124790,0.000000,-0.245743,0.187892,0.000000,0.000000,0.000000,-0.063422,-0.124790,-0.063422,-0.124790,0.125820,0.000000,-0.375200,-0.124790,0.125820,-0.183439,-0.183439,0.059638,0.125820,0.125820,0.125820,-0.183439,0.809065,-0.069392,2.864271
L17,0.064887,0.000000,0.064887,0.000000,0.000000,0.000000,-0.063422,0.000000,0.000000,-0.063422,0.000000,0.064887,0.000000,0.000000,-0.190173,-0.063422,-0.063422,-0.190173,0.059638,-0.375200,-0.245743,0.000000,0.000000,-0.252911,-0.063422,-0.063422,0.000000,0.000000,-0.063422,-0.063422,-0.124790,0.064887,0.064887,0.064887,0.502973,0.373295,-0.124790,-0.562411,-0.124790,-0.057487,0.000000,0.005571,-0.183439,-0.496036,0.747507,0.574664
L18,0.125820,0.000000,0.064887,0.064887,-0.063422,0.187892,0.064887,0.373295,0.380958,0.250693,-0.124790,0.250693,0.125820,0.187892,0.502973,0.000000,0.000000,-0.063422,5.069112,4.637218,0.752784,0.250693,2.070320,0.629724,0.250693,0.440234,0.313872,1.690938,0.502973,0.250693,0.502973,0.250693,0.187892,0.623754,12.757324,2.438695,0.941663,0.440234,0.187892,0.125820,0.125820,0.125820,-0.183439,-0.069392,3.736203,-0.876583
L19,-0.124790,-0.245743,-0.124790,0.000000,0.000000,0.250693,0.000000,0.064887,0.000000,0.187892,0.000000,0.000000,-0.063422,0.000000,0.059638,0.064887,0.250693,-0.063422,-0.252911,0.000000,-0.124790,0.000000,-0.312188,0.059638,-0.063422,0.000000,-0.063422,0.000000,-0.063422,-0.063422,-0.057487,-0.124790,-0.245743,-0.687574,-0.260131,-0.252911,0.192511,0.309782,-0.131140,0.000000,0.064887,0.000000,-0.063422,-0.011236,0.178590,-0.087519
L20,0.000000,-0.124790,0.000000,0.000000,0.064887,-0.183439,-0.063422,-0.063422,0.064887,0.000000,0.125820,0.064887,0.064887,-0.063422,-0.124790,0.064887,-0.063422,0.064887,-0.750631,-0.124790,-0.252911,0.000000,-0.433794,-0.190173,0.064887,0.000000,0.064887,-0.312188,-0.312188,-0.063422,0.064887,0.000000,0.064887,-0.057487,-1.198396,-0.375200,-0.375200,-0.687574,-0.063422,0.064887,0.059638,0.064887,0.380958,0.373295,-0.005602,3.299552
L21,0.000000,-0.063422,-0.063422,0.000000,0.000000,0.000000,0.064887,0.125820,0.064887,-0.063422,-0.063422,0.000000,0.000000,-0.063422,-0.375200,-0.063422,0.187892,0.250693,1.563714,2.006298,0.373295,0.064887,0.693146,0.250693,-0.063422,-0.063422,-0.124790,0.440234,0.313872,0.064887,0.187892,0.125820,0.250693,0.687544,3.312659,0.752784,0.752784,0.255031,0.187892,0.064887,0.000000,0.064887,0.005571,-0.063422,0.871736,4.939683
L22,0.000000,0.064887,-0.063422,0.064887,0.064887,0.000000,-0.124790,-0.063422,0.059638,0.000000,0.000000,0.000000,0.000000,0.000000,-0.063422,0.064887,0.000000,-0.124790,-1.060246,0.059638,-0.190173,0.000000,-0.562411,-0.124790,0.064887,0.125820,-0.063422,-0.124790,-0.433794,0.064887,-0.057487,0.000000,-0.124790,-0.312188,-0.375200,-0.375200,-0.063422,-0.375200,-0.371143,0.000000,-0.063422,-0.124790,-0.118481,-0.312188,-0.260131,1.818401
L23,0.064887,0.000000,0.064887,0.000000,-0.124790,0.064887,0.064887,0.000000,0.000000,0.125820,0.064887,-0.063422,0.000000,0.000000,0.000000,0.064887,0.064887,0.000000,-1.189179,-1.126937,-0.375200,0.064887,-0.183439,-0.245743,0.000000,0.125820,-0.124790,-0.124790,-0.190173,-0.057487,0.064887,0.064887,-0.124790,-0.876583,-0.687574,0.000000,-0.183439,-0.375200,-0.124790,-0.057487,0.064887,0.250693,0.064887,-0.687574,-0.131140,0.715246
L24,-0.057487,0.000000,0.000000,0.000000,-0.057487,0.804077,-0.057487,-0.063422,0.000000,0.000000,-0.124790,0.000000,-0.063422,0.000000,0.064887,-0.063422,-0.063422,0.000000,0.814028,0.064887,0.064887,0.000000,0.000000,-0.063422,0.064887,0.000000,0.000000,0.064887,-0.063422,0.000000,0.000000,0.059638,0.064887,0.187892,0.629724,0.568355,0.064887,0.000000,0.000000,0.187892,0.000000,0.064887,-0.057487,0.125820,0.183252,3.647094
L25,-0.063422,0.000000,-0.063422,-0.063422,0.000000,-0.063422,-0.063422,0.059638,0.000000,-0.063422,-0.063422,-0.063422,-0.063422,0.064887,0.000000,0.000000,-0.063422,-0.057487,0.623754,0.373295,0.000000,-0.063422,0.125820,0.000000,0.064887,0.000000,0.000000,0.064887,-0.124790,0.000000,-0.063422,-0.063422,-0.063422,0.064887,1.131581,0.380958,0.000000,0.000000,0.064887,0.000000,0.064887,0.125820,0.064887,0.433014,-0.451186,2.390757
L26,0.064887,0.000000,0.064887,0.064887,0.000000,0.000000,0.000000,0.000000,0.064887,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.063422,0.000000,-0.687574,-0.375200,-0.124790,0.000000,-0.063422,0.000000,0.000000,0.000000,0.000000,-0.063422,0.000000,0.000000,0.000000,0.000000,-0.057487,0.130734,-0.245743,0.125820,-0.063422,-0.124790,-0.063422,0.064887,0.000000,0.070109,0.070109,-0.190173,-0.319850,8.800409
L27,0.000000,0.064887,0.000000,-0.063422,0.064887,0.000000,0.059638,0.000000,0.000000,-0.063422,0.059638,-0.063422,0.000000,-0.063422,-0.063422,-0.063422,0.000000,-0.063422,0.125820,-0.124790,0.000000,-0.063422,-0.063422,-0.063422,-0.063422,-0.063422,0.000000,0.059638,0.000000,0.000000,-0.063422,-0.063422,0.000000,0.059638,0.187892,0.125820,-0.063422,0.059638,0.059638,0.064887,0.000000,0.064887,0.005571,0.125820,-0.063422,3.054051
L28,-0.063422,-0.063422,0.000000,0.000000,-0.124790,0.000000,-0.063422,0.000000,0.000000,-0.063422,0.000000,0.000000,0.000000,0.000000,-0.063422,0.000000,0.000000,-0.063422,0.000000,0.059638,-0.063422,0.000000,-0.063422,-0.063422,-0.063422,-0.063422,0.000000,-0.063422,-0.063422,-0.063422,0.000000,-0.063422,0.059638,0.064887,0.000000,0.000000,-0.124790,-0.063422,0.000000,0.000000,-0.063422,0.380958,-0.371143,0.059638,-0.124790,6.665339
L29,-0.063422,-0.063422,0.000000,0.000000,0.000000,-0.063422,0.000000,-0.063422,0.000000,-0.063422,0.000000,-0.063422,0.000000,-0.063422,-0.063422,-0.063422,0.000000,-0.063422,0.059638,-0.063422,0.000000,-0.063422,0.000000,-0.063422,0.000000,-0.063422,0.000000,0.059638,-0.063422,-0.063422,-0.063422,-0.063422,0.000000,0.000000,0.000000,0.000000,-0.063422,0.000000,-0.063422,0.000000,-0.063422,0.000000,-0.183439,0.125820,-0.063422,7.187257
L30,0.000000,0.125820,-0.063422,-0.063422,0.000000,0.000000,0.000000,-0.063422,0.000000,-0.063422,-0.063422,-0.063422,-0.063422,0.000000,-0.063422,0.000000,0.000000,-0.063422,0.000000,-0.063422,0.000000,0.000000,-0.063422,0.000000,0.000000,-0.063422,0.000000,0.000000,-0.063422,-0.063422,0.000000,-0.063422,-0.063422,-0.063422,0.000000,-0.063422,-0.063422,-0.063422,0.000000,0.000000,0.000000,0.064887,-0.245743,0.064887,0.064887,8.236588
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.859810
