layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Prov,7:ide,8: 4,9: bullet,10: points,11: summar,12:izing,13: demographic,14: and,15: past,16: medical,17: history,18: for,19: rheumatoid,20: arthritis,21:.,22: Start,23: exactly,24: with,25::,"26: """,27:Gender,28::,"29: ""","30:
",31:<,32:|,33:ass,34:istant,35:|>,"36:
",37:Gender,38::
L13,0.029694,0.000000,0.086561,0.009996,-0.072920,0.014957,-0.062172,-0.072920,-0.010097,0.091157,-0.010097,0.053783,0.024806,0.067962,0.086561,-0.025437,0.005011,0.153379,0.131598,0.077305,0.153379,-0.010097,-0.056841,-0.072920,-0.111476,-0.243344,-0.358667,-0.094770,0.243947,0.005011,-0.702861,0.019894,0.014957,0.000000,0.034558,-0.035796,0.067962,-0.134195,0.274948
L14,-0.025437,-0.020297,-0.005036,-0.020297,0.005011,0.053783,0.024806,0.019894,0.091157,0.122752,-0.094770,0.034558,-0.035796,-0.230611,0.161960,-0.020297,-0.041015,0.063258,0.161960,0.207882,0.157678,0.081944,0.049011,0.024806,-0.035796,0.100286,-0.139956,-0.448903,0.095732,0.091157,-0.578982,0.135993,0.104820,0.077305,0.019894,0.000000,-0.484957,-0.169271,0.122752
L15,0.014957,0.014957,0.029694,0.009996,0.063258,0.029694,0.000000,0.005011,0.067962,-0.083785,0.118299,-0.025437,-0.030603,-0.056841,0.091157,0.005011,0.091157,-0.030603,-0.041015,0.049011,0.034558,0.305017,0.086561,-0.025437,-0.078338,-0.211811,-0.249772,0.341375,-0.083785,0.113826,0.077305,-0.067532,0.053783,-0.078338,-0.046263,-0.105877,0.000000,0.523652,-0.128467
L16,-0.020297,-0.015184,-0.010097,0.000000,0.072645,0.000000,0.000000,-0.030603,0.005011,-0.035796,0.077305,-0.062172,0.024806,-0.020297,0.029694,0.024806,-0.020297,0.091157,-0.041015,0.183095,-0.010097,0.019894,-0.010097,-0.020297,-0.072920,0.122752,-0.105877,-0.289231,0.113826,-0.030603,-0.111476,-0.020297,0.058532,0.029694,0.005011,-0.046263,0.383328,-0.330312,0.161960
L17,0.009996,0.014957,0.024806,0.000000,0.113826,-0.025437,-0.010097,0.024806,0.058532,-0.030603,-0.083785,-0.051538,0.049011,-0.025437,0.039399,-0.005036,0.019894,-0.030603,-0.025437,-0.094770,-0.056841,0.104820,-0.056841,0.024806,0.014957,-0.035796,-0.358667,0.207882,0.149060,-0.111476,-0.387850,0.077305,0.077305,-0.025437,0.100286,-0.062172,0.072645,0.195565,1.652402
L18,0.053783,0.063258,-0.062172,0.024806,-0.015184,-0.051538,-0.020297,-0.015184,-0.117108,-0.094770,-0.211811,-0.062172,-0.035796,0.091157,0.095732,0.014957,0.053783,0.157678,0.149060,1.053837,1.010902,0.232069,-0.005036,0.009996,0.014957,-0.122771,-0.015184,0.449561,0.305017,-0.005036,-0.395281,0.091157,0.039399,-0.041015,-0.020297,-0.083785,0.348491,0.499559,0.174694
L19,-0.020297,-0.062172,0.014957,0.000000,-0.025437,0.009996,-0.015184,0.039399,0.019894,0.109333,0.091157,0.000000,0.072645,0.029694,0.024806,-0.015184,-0.035796,-0.128467,-0.030603,-0.282546,-0.157442,-0.035796,-0.030603,-0.025437,-0.056841,-0.211811,-0.468772,-0.309560,-0.236957,-0.205622,-0.193357,-0.041015,0.058532,-0.035796,-0.020297,-0.163339,0.319719,-0.639005,-0.886044
L20,-0.005036,0.014957,-0.072920,-0.046263,0.039399,0.034558,0.014957,0.039399,0.009996,0.000000,-0.046263,0.000000,0.053783,0.063258,0.104820,-0.015184,-0.083785,-0.089263,-0.083785,0.058532,-0.269307,-0.151579,-0.078338,-0.025437,-0.051538,-0.078338,-0.169271,-0.365883,-0.062172,-0.175238,-0.289231,0.019894,0.067962,-0.030603,0.039399,0.029694,0.091157,-0.583474,-1.029941
L21,0.072645,0.044217,0.024806,-0.030603,0.014957,0.005011,0.000000,-0.035796,0.019894,-0.005036,-0.010097,0.029694,0.072645,0.049011,0.095732,-0.035796,0.000000,-0.005036,0.095732,0.376457,0.592629,0.029694,0.014957,0.014957,0.009996,0.000000,0.034558,0.086561,0.282551,0.362572,0.348491,0.109333,0.024806,-0.030603,-0.005036,0.131598,0.095732,-0.535145,-0.046263
L22,0.014957,0.005011,-0.005036,-0.015184,-0.010097,-0.005036,0.000000,0.024806,-0.035796,0.009996,-0.025437,-0.041015,0.019894,-0.041015,0.044217,0.009996,-0.056841,-0.030603,-0.030603,0.390152,-0.224305,-0.100308,-0.030603,-0.015184,-0.030603,-0.051538,-0.151579,0.019894,0.044217,0.034558,-0.056841,-0.056841,0.005011,-0.020297,-0.041015,-0.205622,-0.105877,-0.961957,-2.112487
L23,0.005011,-0.025437,-0.046263,-0.015184,0.000000,0.000000,-0.035796,-0.010097,-0.005036,0.034558,0.034558,-0.030603,0.014957,-0.020297,0.000000,0.029694,-0.010097,0.029694,0.034558,-0.452845,-0.472794,-0.025437,-0.025437,-0.041015,-0.025437,-0.030603,-0.051538,0.305017,0.603677,-0.089263,-0.062172,-0.020297,0.086561,-0.046263,0.153379,0.034558,-0.128467,-0.243344,-0.373152
L24,0.014957,0.024806,-0.015184,0.019894,-0.015184,0.312395,-0.015184,0.000000,0.009996,-0.056841,0.014957,0.005011,0.009996,-0.005036,0.000000,0.029694,-0.010097,-0.051538,-0.005036,0.199688,-0.083785,-0.035796,-0.015184,-0.020297,-0.041015,-0.015184,0.024806,-0.111476,0.058532,0.034558,-0.041015,-0.056841,0.034558,-0.005036,0.095732,0.157678,-0.020297,-0.323347,1.966891
L25,-0.005036,-0.005036,-0.056841,-0.015184,-0.056841,-0.010097,-0.025437,0.000000,0.014957,0.000000,-0.030603,-0.030603,0.000000,-0.041015,-0.020297,0.014957,-0.015184,0.005011,-0.005036,0.274948,0.000000,0.044217,0.014957,0.000000,0.024806,0.024806,0.009996,-0.139956,0.091157,0.058532,-0.015184,-0.015184,-0.015184,0.000000,0.049011,-0.211811,-0.139956,-0.648567,-2.399124
L26,0.024806,-0.005036,-0.015184,-0.010097,-0.020297,-0.015184,-0.015184,-0.020297,0.000000,-0.005036,-0.020297,0.009996,-0.041015,-0.025437,0.000000,-0.025437,0.009996,-0.015184,-0.030603,0.630773,-0.020297,-0.020297,-0.035796,-0.030603,-0.025437,-0.041015,0.029694,-0.005036,0.118299,0.063258,-0.046263,-0.015184,0.081944,0.014957,0.113826,-0.402767,0.009996,-0.163339,1.364424
L27,-0.010097,-0.015184,0.000000,-0.025437,0.024806,0.000000,-0.005036,-0.015184,-0.015184,0.000000,0.000000,-0.020297,0.000000,-0.030603,-0.046263,-0.025437,-0.015184,-0.005036,-0.020297,0.312395,0.019894,0.009996,0.000000,-0.005036,0.000000,-0.005036,0.029694,-0.025437,0.118299,0.014957,-0.015184,-0.030603,-0.010097,-0.015184,0.144723,-0.526603,-0.005036,-0.094770,0.067962
L28,-0.015184,0.000000,-0.025437,-0.020297,-0.035796,-0.025437,0.000000,0.000000,-0.035796,-0.005036,-0.005036,-0.030603,-0.015184,0.009996,0.009996,0.000000,-0.015184,-0.010097,0.014957,0.166223,-0.015184,-0.005036,-0.020297,-0.005036,0.000000,-0.041015,-0.025437,-0.089263,0.161960,-0.005036,0.009996,-0.020297,0.000000,-0.015184,0.174694,-0.648567,-0.025437,-0.078338,-1.149351
L29,-0.020297,-0.020297,-0.030603,-0.020297,-0.020297,-0.020297,-0.015184,0.000000,-0.005036,-0.010097,0.000000,0.000000,-0.020297,-0.010097,-0.005036,-0.020297,-0.005036,-0.005036,0.000000,0.063258,-0.020297,-0.015184,-0.015184,0.000000,0.014957,-0.015184,-0.030603,0.000000,-0.005036,-0.005036,-0.015184,0.014957,0.009996,-0.020297,0.029694,-0.275904,0.019894,0.024806,1.300832
L30,0.034558,0.014957,-0.015184,0.014957,-0.030603,-0.005036,0.000000,-0.020297,0.000000,-0.005036,-0.005036,-0.005036,0.000000,-0.015184,-0.020297,0.000000,0.000000,-0.005036,-0.005036,-0.030603,-0.020297,-0.010097,-0.005036,0.000000,0.000000,-0.025437,-0.035796,0.014957,-0.005036,-0.005036,0.000000,0.014957,-0.010097,-0.005036,0.000000,0.113826,-0.015184,0.009996,0.815731
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.345277
