layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Prep,7:are,8: a,9: brief,10: patient,11: presentatio,12: for,13: sarc,14:oid,15:osis,16:.,"17:
",18:Prior,19:it,20:ize,21: demographic,22: information,23: followed,24: by,25: major,26: PM,27:H,28:.,29: Begin,30: exactly,31: with,32::,"33: """,34:Gender,35::,"36: ""","37:
",38:<,39:|,40:ass,41:istant,42:|>,"43:
",44:Gender,45::
L11,-0.059089,-0.121890,0.123233,-0.063446,0.130453,-0.059089,-0.183962,-0.059089,0.004090,0.004090,-0.063446,-0.063446,-0.315384,0.252225,3.825428,2.073274,0.499284,-0.188900,-0.183962,0.063513,-0.059089,0.000000,0.000000,0.004090,-0.193863,-0.063446,0.000000,0.252225,0.130453,0.063513,0.193191,0.123233,0.313973,-0.067823,1.449807,-0.188900,-0.434573,-0.932819,0.186411,0.063513,0.063513,-0.063446,-0.117271,0.865859,1.632129,-0.219053
L12,-0.059089,0.004090,0.063513,0.000000,0.130453,-0.250144,-0.121890,-0.059089,0.000000,0.130453,-0.183962,0.123233,0.063513,0.004090,-0.188900,-0.131192,-0.054750,-0.121890,0.000000,-0.063446,0.004090,-0.183962,-0.309782,0.063513,-0.126530,0.004090,0.000000,0.063513,0.063513,-0.121890,-0.059089,0.063513,-0.183962,0.377762,0.823600,0.625324,-0.506735,-0.373204,0.130453,0.130453,0.004090,0.063513,0.193191,0.004090,0.509185,0.044095
L13,0.004090,-0.121890,-0.004107,0.000000,-0.121890,-0.121890,-0.183962,0.000000,-0.121890,0.000000,0.193191,0.071176,-0.183962,-0.244895,-0.629633,-0.629633,0.063513,-0.126530,-0.063446,-0.059089,0.000000,-0.250144,-0.309782,-0.121890,-0.126530,0.004090,0.000000,0.319943,0.130453,-0.126530,-0.121890,-0.063446,-0.126530,0.307967,0.372128,0.377762,0.071176,-0.493221,0.071176,0.130453,-0.121890,0.193191,-0.117271,-0.188900,-0.203863,1.842369
L14,-0.121890,0.004090,-0.063446,-0.059089,0.063513,-0.126530,-0.059089,0.000000,0.000000,-0.188900,-0.063446,-0.447312,0.000000,-0.188900,0.055791,-0.379174,-0.250144,-0.121890,0.063513,-0.059089,-0.121890,-0.004107,-0.183962,-0.059089,0.004090,-0.059089,0.063513,0.383364,0.319943,-0.121890,0.130453,0.063513,0.063513,0.193191,-0.872194,-0.506735,-0.063446,-0.872194,-0.121890,0.000000,0.063513,-0.121890,-0.367269,-0.693146,-0.183962,-0.076633
L15,-0.063446,-0.121890,0.063513,0.000000,0.000000,-0.183962,-0.059089,0.063513,0.000000,0.063513,0.193191,-0.315384,-0.379174,-0.255421,1.565879,0.372128,-0.379174,0.000000,-0.059089,0.004090,0.063513,-0.183962,-0.188900,0.063513,-0.126530,0.130453,0.130453,0.071176,0.000000,0.000000,0.130453,0.186411,-0.321018,0.063513,0.756660,0.130453,0.130453,0.616514,0.000000,0.193191,0.130453,0.000000,0.071176,0.629701,1.141399,2.497126
L16,-0.059089,0.008163,-0.059089,0.000000,0.130453,-0.121890,-0.063446,0.004090,-0.059089,0.000000,0.004090,-0.121890,-0.063446,0.000000,-0.315384,-0.063446,-0.183962,-0.121890,-0.121890,0.000000,-0.121890,-0.121890,0.000000,-0.063446,0.004090,-0.059089,0.004090,0.193191,0.130453,-0.121890,0.004090,0.115960,0.186411,0.186411,-0.373204,0.193191,-0.063446,0.504246,0.071176,0.313973,0.000000,0.130453,-0.234478,0.008163,-0.434573,-0.326684
L17,0.000000,-0.063446,0.004090,0.000000,0.130453,0.004090,0.063513,0.063513,0.000000,0.063513,0.193191,-0.126530,0.443003,0.372128,0.938982,0.383364,-0.379174,0.123233,-0.121890,0.063513,0.004090,0.063513,-0.183962,-0.121890,-0.188900,0.123233,0.130453,0.193191,0.130453,-0.126530,-0.059089,-0.059089,0.123233,-0.126530,0.945371,0.372128,-0.379174,-0.562694,0.130453,-0.117271,-0.059089,0.130453,0.008163,-0.054750,1.390384,1.019024
L18,0.130453,0.063513,0.000000,0.063513,0.063513,-0.059089,-0.059089,0.313973,0.063513,0.377762,0.816379,0.879558,0.377762,0.809107,12.297605,4.830932,0.938982,0.063513,0.063513,-0.059089,0.193191,0.443003,0.377762,0.319943,0.252225,0.063513,0.123233,0.443003,0.193191,0.258574,0.123233,0.252225,0.504246,0.938982,8.139009,0.737242,0.360765,-0.255421,0.063513,0.319943,0.186411,0.130453,0.071176,0.115960,1.987200,0.886338
L19,-0.183962,-0.117271,-0.054750,-0.126530,-0.059089,0.063513,-0.059089,0.063513,-0.059089,0.063513,0.130453,0.008163,0.252225,-0.250144,0.000000,-0.689056,-0.562694,-0.193863,-0.059089,-0.059089,0.063513,-0.059089,0.000000,0.000000,-0.059089,0.000000,0.004090,0.252225,0.193191,-0.054750,0.004090,0.063513,0.186411,-0.063446,0.186411,0.313973,0.245835,0.186411,-0.188900,0.063513,0.004090,0.071176,0.004090,0.443003,0.388936,1.048181
L20,0.004090,-0.121890,-0.059089,0.004090,0.123233,-0.250144,-0.059089,0.004090,0.063513,0.063513,0.063513,-0.188900,0.063513,0.000000,-0.760969,-1.419628,-0.752235,-0.063446,-0.063446,0.123233,0.004090,-0.126530,-0.121890,-0.063446,-0.126530,-0.059089,0.004090,-0.183962,0.063513,0.063513,0.000000,0.000000,-0.059089,-0.315384,-1.140457,0.193191,-0.059089,-0.309782,0.186411,0.130453,-0.063446,0.252225,0.383364,0.377762,-0.577187,5.044904
L21,0.004090,-0.059089,0.000000,-0.059089,0.063513,-0.063446,-0.059089,-0.121890,0.063513,0.063513,0.130453,0.504246,0.319943,0.252225,2.326877,1.638518,0.252225,0.004090,0.063513,0.063513,0.130453,0.258574,0.063513,0.252225,0.004090,0.063513,0.000000,0.000000,0.004090,-0.063446,-0.059089,0.004090,0.252225,0.313973,2.885807,0.499284,0.372128,-0.126530,-0.188900,-0.059089,0.004090,-0.059089,-0.244895,-0.193863,0.823600,6.141472
L22,0.063513,0.063513,0.000000,-0.059089,-0.063446,-0.059089,0.000000,0.004090,0.004090,-0.063446,-0.506735,-0.373204,-0.126530,-0.250144,-1.066350,-1.759494,-1.248671,-0.250144,-0.059089,-0.059089,-0.059089,-0.250144,-0.121890,0.000000,0.004090,0.000000,0.000000,-0.121890,0.000000,0.063513,-0.059089,0.000000,-0.063446,-0.250144,-0.493221,0.000000,-0.126530,-0.188900,-0.126530,0.130453,-0.004107,-0.063446,0.071176,-0.193863,-0.379174,1.187443
L23,0.063513,-0.059089,0.063513,0.000000,0.063513,-0.121890,0.123233,0.063513,-0.059089,0.000000,-0.121890,0.123233,-0.121890,-0.188900,-1.625964,-1.419628,-0.872194,-0.126530,0.063513,0.130453,0.000000,0.063513,0.063513,0.000000,0.000000,0.000000,0.000000,-0.059089,0.004090,0.123233,-0.059089,0.063513,-0.063446,-0.689056,-1.008530,0.313973,0.000000,-0.121890,0.000000,0.063513,0.063513,0.004090,0.004090,-0.815036,-0.188900,0.886338
L24,0.063513,0.000000,-0.059089,0.000000,0.000000,1.001113,-0.059089,0.000000,0.004090,0.000000,0.130453,0.004090,0.063513,0.252225,0.115960,0.377762,0.063513,0.063513,0.000000,0.063513,0.000000,0.004090,0.004090,0.063513,0.130453,0.000000,0.063513,0.004090,0.063513,0.004090,0.004090,0.063513,0.063513,0.123233,0.886338,0.319943,0.063513,0.063513,0.000000,0.071176,0.063513,0.071176,-0.174158,0.193191,0.504246,5.097564
L25,-0.059089,0.004090,0.004090,-0.059089,-0.059089,0.063513,-0.059089,-0.059089,0.063513,-0.059089,0.130453,0.000000,-0.059089,0.063513,0.629701,1.001113,0.377762,0.252225,0.063513,0.000000,0.063513,0.123233,0.063513,0.000000,0.004090,0.004090,0.063513,0.063513,0.063513,0.000000,0.004090,0.000000,0.123233,0.130453,0.756660,0.313973,0.123233,0.063513,0.000000,0.123233,0.063513,0.130453,0.008163,0.313973,-0.397301,2.817663
L26,0.063513,-0.059089,0.063513,0.004090,0.000000,0.004090,0.004090,0.004090,0.063513,0.063513,-0.121890,0.000000,0.063513,0.000000,-0.693146,-0.440922,-0.250144,-0.063446,0.004090,0.004090,-0.059089,0.063513,0.004090,0.000000,-0.059089,0.000000,-0.121890,-0.059089,0.000000,0.004090,0.004090,0.063513,0.063513,-0.059089,-0.188900,0.193191,0.004090,-0.059089,-0.059089,0.252225,0.004090,0.137621,0.016261,-0.188900,-0.309782,10.717172
L27,0.000000,0.004090,-0.063446,0.063513,0.063513,0.063513,0.004090,0.000000,-0.059089,0.004090,-0.059089,0.000000,0.063513,0.000000,-0.059089,0.130453,0.063513,0.004090,0.004090,0.004090,0.063513,0.000000,0.063513,-0.059089,0.000000,0.000000,0.063513,-0.059089,0.000000,0.004090,0.004090,0.000000,0.004090,0.004090,0.130453,0.123233,0.063513,-0.059089,0.000000,0.063513,0.063513,0.137621,-0.298671,0.130453,-0.063446,5.300036
L28,0.000000,0.063513,0.000000,0.000000,0.004090,0.063513,0.000000,0.004090,0.000000,0.004090,0.004090,0.004090,0.000000,0.004090,0.004090,0.004090,0.000000,-0.059089,0.063513,0.063513,0.000000,0.004090,0.000000,0.004090,0.000000,0.004090,0.000000,0.004090,0.063513,0.063513,0.004090,0.004090,0.004090,-0.121890,0.000000,0.123233,0.000000,0.063513,0.000000,0.063513,0.063513,0.258574,-0.672862,-0.059089,0.004090,7.298611
L29,0.004090,0.004090,0.063513,0.063513,0.000000,0.063513,0.063513,0.004090,0.000000,0.004090,0.004090,0.063513,0.000000,0.004090,0.063513,0.004090,0.063513,0.000000,0.004090,0.063513,0.004090,0.063513,0.000000,0.063513,0.063513,0.004090,0.063513,0.004090,0.004090,0.063513,0.004090,0.063513,0.004090,0.063513,0.063513,0.063513,0.063513,0.004090,0.063513,0.063513,0.063513,0.123233,-0.548408,0.004090,0.130453,7.741013
L30,0.063513,0.063513,0.004090,0.004090,-0.059089,0.004090,0.004090,0.004090,0.000000,0.004090,0.000000,0.004090,0.004090,0.000000,0.004090,0.004090,0.004090,0.000000,0.004090,0.004090,0.004090,0.004090,0.004090,0.004090,0.004090,0.004090,0.000000,0.004090,0.004090,0.004090,0.004090,0.004090,0.004090,0.004090,0.000000,0.004090,0.004090,0.000000,0.063513,0.063513,0.063513,0.063513,-0.183962,0.063513,0.004090,9.759909
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.826738
