layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Write,7: a,8: brief,9: chart,10:-,11:ready,12: overview,13: for,14: a,15: patient,16: with,17: depression,18:.,"19:
",20:Include,21: demographic,22: and,23: past,24: medical,25: history,"26:,",27: keeping,28: it,29: succ,30:inct,31:.,32: The,33: response,34: must,35: start,36: with,37::,"38: """,39:Gender,40::,"41: ""","42:
",43:<,44:|,45:ass,46:istant,47:|>,"48:
",49:Gender,50::
L11,-0.116339,-0.116339,0.093732,-0.097046,0.169718,-0.149345,-0.084387,0.067064,-0.183478,-0.248017,-0.162859,-0.369975,-0.278094,-0.149345,0.000000,0.226606,0.608760,0.570293,0.098982,-0.097046,-0.116339,-0.090697,-0.084387,-0.116339,0.005764,0.154976,0.011494,-0.065695,0.061644,-0.116339,0.129912,0.011494,-0.023393,-0.053425,-0.218818,-0.023393,0.039665,-0.136012,0.093732,2.989063,0.150013,-0.078118,-0.197465,0.134975,-0.023393,-0.116339,-0.190447,-0.233311,-0.169685,0.853062,0.039665
L12,-0.097046,-0.149345,0.061644,-0.035298,0.045205,-0.255452,-0.116339,-0.035298,-0.176558,-0.078118,0.028492,-0.421489,-0.023393,-0.035298,-0.149345,-0.116339,-0.270490,-0.301261,-0.156079,-0.059541,0.164828,0.164828,0.005764,-0.023393,-0.240637,-0.053425,-0.097046,-0.053425,-0.097046,-0.053425,0.034094,0.129912,-0.211649,-0.149345,-0.122854,-0.122854,-0.149345,-0.309104,0.005764,0.430205,0.189043,-0.466541,-0.218818,0.039665,-0.149345,0.000000,0.093732,-0.084387,-0.005797,1.110107,-0.109866
L13,-0.035298,-0.029328,-0.149345,-0.183478,-0.183478,-0.149345,-0.116339,-0.084387,-0.149345,0.005764,-0.097046,-0.183478,-0.305175,-0.129411,-0.211649,0.011494,-0.047346,-0.156079,0.028492,-0.035298,-0.023393,0.174585,0.061644,-0.090697,-0.053425,-0.116339,-0.035298,-0.090697,-0.097046,-0.059541,0.056195,0.150013,-0.023393,0.039665,0.005764,-0.029328,-0.122854,-0.078118,-0.035298,-0.270490,-0.156079,0.387972,0.134975,0.005764,0.005764,-0.116339,0.039665,-0.211649,-0.285757,0.134975,1.176429
L14,-0.142656,-0.084387,0.028492,0.000000,-0.023393,-0.317010,-0.029328,-0.005797,-0.116339,-0.183478,-0.129411,0.017192,-0.169685,-0.029328,0.028492,0.039665,-0.369975,-0.626083,-0.029328,-0.211649,0.034094,-0.005797,0.039665,-0.053425,-0.035298,0.000000,0.039665,-0.035298,-0.065695,-0.084387,0.098982,-0.059541,-0.097046,0.067064,-0.035298,-0.029328,-0.103436,0.072455,0.104204,-0.053425,-0.084387,0.253880,-0.197465,-0.023393,-0.084387,-0.090697,-0.305175,-0.568324,-0.005797,0.306294,-0.023393
L15,-0.059541,-0.090697,-0.116339,-0.116339,-0.097046,-0.116339,-0.084387,-0.065695,-0.084387,-0.084387,0.005764,0.134975,0.039665,0.005764,-0.122854,0.226606,-0.162859,-0.548121,0.000000,0.124823,-0.059541,-0.059541,0.005764,0.000000,-0.084387,-0.248017,-0.023393,0.000000,-0.240637,-0.071887,-0.129411,-0.169685,-0.116339,-0.122854,-0.116339,0.028492,0.067064,0.077817,-0.129411,0.651843,0.098982,-0.084387,-0.090697,-0.149345,0.039665,0.061644,-0.190447,-0.255452,0.459837,0.645801,1.802301
L16,-0.047346,-0.017493,-0.023393,-0.059541,0.039665,-0.278094,-0.097046,-0.156079,-0.116339,-0.023393,0.028492,0.198567,-0.183478,-0.122854,-0.084387,-0.190447,-0.255452,-0.513720,-0.190447,-0.029328,0.000000,-0.149345,-0.035298,0.005764,0.000000,-0.183478,-0.053425,-0.084387,-0.084387,-0.059541,0.039665,-0.278094,-0.035298,-0.122854,-0.065695,0.028492,-0.149345,-0.183478,-0.278094,-0.084387,-0.248017,-0.240637,-0.149345,-0.065695,0.226606,0.124823,0.039665,-0.293479,0.169718,-0.305175,0.323172
L17,0.028492,-0.053425,-0.097046,-0.090697,-0.035298,-0.116339,-0.084387,-0.097046,-0.084387,-0.129411,-0.029328,0.061644,0.061644,0.034094,-0.190447,0.005764,0.028492,-0.103436,0.072455,0.098982,-0.005797,-0.023393,-0.065695,-0.053425,-0.059541,-0.029328,0.061644,-0.149345,-0.084387,0.000000,0.005764,0.061644,0.093732,0.039665,-0.116339,-0.023393,0.174585,0.422657,-0.176558,0.944783,-0.084387,0.005764,-0.197465,0.000000,-0.084387,0.005764,-0.149345,0.045205,-0.078118,0.391886,1.930935
L18,-0.116339,-0.053425,0.067064,-0.023393,0.028492,0.039665,0.217346,0.193816,0.258354,0.583281,0.543802,1.022576,0.352040,0.039665,0.129912,1.557231,2.594737,8.492556,1.779156,0.828123,0.154976,0.792129,0.231203,0.323172,0.104204,0.732812,0.437695,0.124823,0.164828,0.039665,0.509669,1.071267,0.104204,0.067064,-0.023393,0.005764,0.134975,0.221987,0.415053,8.487691,0.877394,0.669754,1.022576,-0.017493,0.039665,0.072455,-0.084387,-0.240637,0.627452,1.650214,1.672168
L19,-0.211649,-0.183478,-0.176558,-0.097046,-0.084387,-0.176558,-0.097046,-0.097046,-0.116339,-0.065695,-0.023393,0.039665,-0.116339,-0.084387,-0.097046,-0.197465,-0.457367,-0.693147,-0.183478,-0.162859,0.039665,-0.053425,-0.211649,0.039665,-0.116339,-0.149345,-0.183478,-0.023393,-0.097046,-0.053425,-0.084387,-0.065695,-0.065695,-0.097046,0.039665,0.098982,-0.053425,-0.017493,-0.270490,0.145026,-0.116339,0.639722,0.124823,-0.226038,-0.035298,0.000000,-0.023393,-0.190447,0.159914,0.657849,0.495683
L20,-0.035298,-0.065695,-0.129411,0.028492,0.098982,-0.305175,-0.035298,0.005764,-0.029328,-0.183478,-0.053425,-0.183478,0.028492,-0.053425,-0.035298,-0.285757,-0.809486,-0.971241,-0.408359,-0.309104,-0.116339,0.124823,0.000000,0.124823,-0.149345,-0.218818,-0.183478,-0.084387,0.000000,-0.023393,0.005764,-0.149345,0.039665,-0.035298,0.000000,0.005764,-0.053425,0.093732,0.067064,-0.568324,0.231203,0.193816,-0.262942,0.039665,0.028492,0.028492,0.039665,0.140013,0.754791,-0.933784,2.083048
L21,-0.065695,-0.053425,-0.176558,-0.097046,-0.097046,-0.023393,-0.053425,0.000000,-0.122854,0.039665,-0.116339,-0.023393,0.011494,0.000000,0.289126,0.376137,1.364380,2.458056,0.028492,-0.023393,-0.053425,0.314769,0.028492,-0.053425,-0.149345,-0.035298,-0.029328,-0.053425,0.028492,-0.116339,-0.116339,0.280430,-0.053425,-0.029328,-0.053425,-0.023393,-0.084387,0.104204,0.314769,3.670945,0.570293,0.908165,0.530288,-0.211649,-0.084387,-0.053425,0.000000,-0.053425,-0.218818,0.318979,6.021935
L22,-0.023393,0.000000,-0.090697,-0.084387,-0.240637,-0.023393,-0.005797,-0.183478,0.000000,-0.149345,-0.035298,-0.341107,-0.129411,-0.218818,-0.404021,-0.538171,-0.349271,-1.183000,-0.664655,-0.588943,0.028492,-0.466541,-0.122854,0.005764,-0.149345,-0.023393,-0.084387,-0.084387,-0.116339,-0.035298,0.000000,-0.162859,-0.156079,-0.097046,-0.116339,-0.116339,0.028492,-0.035298,-0.248017,-0.777535,-0.183478,0.072455,-0.285757,-0.218818,0.093732,-0.035298,-0.029328,-0.078118,0.134975,-0.430338,1.432880
L23,0.000000,-0.084387,-0.035298,-0.035298,-0.122854,-0.053425,0.000000,0.061644,-0.029328,-0.023393,0.093732,0.000000,-0.116339,-0.035298,-0.122854,-0.687383,-0.412717,-1.393263,-0.693147,-0.620692,-0.035298,-0.035298,-0.129411,-0.116339,0.028492,-0.090697,-0.065695,-0.084387,0.005764,-0.023393,-0.053425,-0.149345,-0.211649,-0.053425,0.028492,-0.053425,-0.053425,-0.035298,-0.504105,-0.842492,0.331505,-0.183478,-0.395400,-0.084387,-0.023393,0.061644,-0.053425,-0.142656,-0.116339,-0.324978,0.249386
L24,-0.053425,0.056195,0.028492,-0.065695,-0.005797,0.877394,-0.023393,-0.023393,-0.116339,-0.035298,-0.097046,-0.065695,0.000000,-0.053425,0.000000,0.000000,0.280430,0.415053,0.000000,0.000000,0.000000,-0.023393,-0.116339,-0.023393,-0.053425,-0.053425,-0.084387,-0.116339,-0.035298,-0.053425,0.028492,-0.097046,-0.023393,-0.035298,-0.023393,0.000000,0.061644,0.061644,0.061644,0.481498,0.104204,0.104204,0.061644,-0.059541,0.067064,-0.084387,0.169718,-0.378379,-0.183478,0.271658,5.359445
L25,-0.023393,-0.053425,-0.059541,-0.084387,-0.084387,0.000000,0.000000,0.005764,-0.023393,-0.023393,0.005764,-0.053425,-0.035298,-0.053425,0.184246,0.217346,0.289126,1.641295,0.445130,0.226606,-0.029328,0.134975,-0.084387,0.061644,0.005764,-0.053425,0.061644,0.005764,-0.023393,-0.023393,0.093732,0.072455,0.129912,0.061644,-0.053425,0.000000,0.039665,0.061644,0.093732,0.576808,0.221987,0.072455,0.124823,0.098982,0.067064,0.093732,0.164828,-0.084387,0.193816,-0.374168,4.698324
L26,-0.023393,0.005764,-0.084387,-0.035298,-0.084387,-0.023393,0.028492,-0.023393,0.000000,0.005764,-0.023393,-0.065695,-0.065695,0.000000,-0.035298,-0.309104,-0.090697,-0.604692,-0.248017,-0.471160,-0.035298,-0.035298,0.000000,-0.035298,0.028492,0.000000,0.000000,-0.029328,-0.035298,0.028492,-0.035298,0.000000,-0.065695,-0.035298,0.000000,-0.035298,0.028492,0.028492,-0.090697,-0.374168,0.159914,-0.116339,-0.065695,-0.090697,0.129912,0.034094,0.119708,-0.293479,-0.156079,-0.190447,11.918484
L27,0.061644,0.028492,0.000000,0.028492,-0.035298,0.028492,0.000000,0.000000,0.000000,0.028492,0.000000,0.061644,-0.053425,0.028492,0.061644,0.000000,0.000000,0.164828,-0.035298,0.000000,0.000000,0.000000,-0.023393,0.028492,0.000000,0.000000,0.000000,0.000000,0.061644,0.000000,-0.035298,0.028492,-0.053425,0.000000,0.000000,0.028492,0.061644,0.061644,-0.029328,0.000000,0.093732,-0.065695,-0.035298,0.000000,0.088455,-0.023393,0.226606,-0.528319,0.124823,-0.218818,6.205048
L28,0.000000,0.000000,0.000000,-0.035298,0.028492,0.000000,0.000000,0.000000,0.000000,0.000000,-0.035298,-0.035298,0.000000,-0.035298,0.000000,0.000000,0.000000,-0.035298,0.028492,0.000000,-0.035298,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.035298,-0.035298,0.000000,0.000000,0.000000,0.000000,-0.035298,0.000000,0.000000,0.039665,0.000000,0.000000,-0.029328,0.028492,0.000000,0.293446,-0.636953,0.034094,-0.065695,9.269362
L29,-0.035298,-0.035298,0.000000,0.000000,-0.023393,-0.035298,0.000000,0.000000,0.000000,0.000000,-0.035298,0.000000,-0.035298,-0.035298,-0.035298,-0.035298,0.000000,-0.035298,0.000000,0.000000,-0.035298,-0.035298,0.000000,-0.035298,-0.035298,0.000000,-0.035298,-0.035298,0.000000,0.000000,-0.035298,0.000000,0.000000,-0.035298,-0.035298,0.000000,0.000000,-0.035298,0.000000,-0.035298,-0.035298,0.000000,0.000000,0.000000,0.000000,0.000000,-0.053425,-0.443761,0.028492,0.028492,8.690096
L30,0.067064,0.034094,0.000000,0.000000,-0.084387,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.035298,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028492,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.035298,0.000000,0.000000,0.000000,0.000000,0.028492,0.028492,-0.333010,0.000000,-0.053425,11.736164
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.751655
