layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Format,7: the,8: response,9: as,10: one,11: compact,12: line,13: suitable,14: for,15: a,16: patient,17: header,"18:,",19: containing,20: demographic,21: and,22: PM,23:H,24: for,25: sarc,26:oid,27:osis,28:.,29: Start,30: with,31::,"32: """,33:Gender,34::,"35: ""","36:
",37:<,38:|,39:ass,40:istant,41:|>,"42:
",43:Gender,44::
L13,0.191055,0.123614,0.000000,0.000000,0.249119,0.063716,-0.126040,-0.195566,0.180126,0.045024,0.180126,0.174616,-1.622674,0.129411,0.123614,0.129411,0.000000,-0.323399,0.000000,0.303995,0.501572,0.369746,0.185605,0.000000,-0.502090,-0.187598,-0.068053,-0.438912,0.191055,-0.183638,-0.075120,-0.314349,0.536800,-0.693145,1.751484,0.544463,-0.314349,-0.629429,-0.061036,-0.187598,-0.369919,-0.183638,-0.148683,-0.797044,2.715041
L14,0.000000,-0.054067,0.185605,0.000000,0.185605,0.243977,-0.061036,0.069870,-0.244756,0.063716,-0.183638,0.123614,-0.557971,0.006557,0.063716,0.191055,-0.232230,-0.257442,0.006557,-0.195566,0.185605,0.618026,0.191055,-0.641852,-0.300927,-0.248967,-0.880743,0.725511,0.117783,-0.061036,-0.179693,-0.496670,-0.187598,-1.310302,0.529078,-0.148683,-1.016543,-0.175764,-0.244756,0.000000,-0.126040,-0.418709,0.327977,-0.253195,-1.310302
L15,-0.068053,0.000000,0.000000,0.123614,0.185605,0.063716,0.063716,0.180126,0.069870,-0.314349,0.129411,0.006557,1.030557,-0.054067,-0.126040,-0.126040,0.378796,0.559615,-0.054067,0.117783,0.006557,0.180126,0.006557,-0.635621,-0.623276,0.000000,0.942265,-0.075120,0.243977,-0.061036,-0.061036,0.069870,-0.006601,0.712691,-0.248967,-0.761198,-0.314349,-0.449168,-0.126040,-0.054067,-0.257442,-0.300927,-0.126040,0.323226,1.855473
L16,0.075986,0.013072,-0.061036,0.063716,0.069870,-0.061036,0.063716,0.000000,0.117783,0.000000,0.069870,0.069870,-0.418709,0.063716,0.006557,0.123614,-0.314349,-0.013245,0.448389,0.063716,-0.133531,-0.054067,-0.244756,-0.309855,-0.318864,0.063716,-0.569531,0.180126,0.873272,0.191055,0.006557,0.185605,-0.314349,-1.163146,0.581921,-0.355735,0.057524,0.374281,0.129411,0.006557,0.000000,-0.485918,0.378796,-0.754181,5.706408
L17,-0.061036,-0.126040,0.249119,0.123614,0.123614,-0.126040,0.123614,0.313657,0.243977,0.191055,0.191055,-0.061036,-0.244756,0.063716,0.000000,-0.253195,0.374281,-0.261706,-0.248967,-0.054067,-0.641852,-0.314349,0.069870,0.360614,0.006557,0.006557,-0.513020,0.435704,0.180126,0.069870,0.006557,-0.314349,-0.428759,1.001984,0.249119,-0.082238,-0.524069,-0.433823,-0.061036,0.000000,0.069870,-0.491280,-0.789771,1.252761,0.284387
L18,0.063716,0.318453,0.185605,-0.118605,0.822557,0.123614,0.559615,1.120304,0.313657,0.625093,0.625093,1.133097,1.879865,0.069870,0.000000,0.383291,2.011386,1.373047,0.639079,0.243977,3.268165,1.945908,0.686545,3.763643,1.141536,3.003594,12.899506,4.965048,3.644485,0.625093,0.750670,0.756862,3.708422,12.289053,2.111805,0.652872,0.439950,-0.118605,0.254234,0.063716,-0.126040,0.318453,-0.617159,3.946168,3.013984
L19,-0.118605,0.069870,0.000000,0.123614,-0.369919,0.699703,0.063716,0.069870,-0.061036,-0.061036,-0.061036,0.129411,0.063716,-0.126040,-0.068053,0.000000,0.679901,-0.133531,-0.068053,-0.183638,-0.747212,-0.006601,-0.118605,0.006557,0.000000,-0.502090,-0.126040,0.299129,-0.068053,-0.118605,-0.118605,0.057524,-0.693145,-0.164068,0.006557,-0.061036,-0.507540,-0.946340,0.006557,-0.061036,-0.309855,-0.318864,1.222225,0.884201,3.582054
L20,0.000000,-0.061036,0.185605,0.000000,-0.061036,-0.369919,0.000000,-0.061036,-0.191574,-0.126040,0.006557,0.006557,0.196475,-0.126040,0.254234,0.000000,-0.502090,-0.946340,-0.187598,-0.061036,-1.016543,-0.507540,0.000000,-1.072632,-0.754181,-0.309855,-1.622674,-1.072632,-1.322572,0.117783,0.063716,0.057524,0.369746,0.045024,-0.287681,0.063716,-0.557971,0.063716,-0.183638,-0.061036,-0.061036,0.000000,-0.318864,0.581921,2.904884
L21,0.123614,0.063716,0.063716,-0.126040,-0.187598,0.057524,0.063716,0.057524,0.000000,0.063716,0.069870,0.123614,-0.369919,0.000000,0.063716,0.123614,0.632110,0.075986,0.006557,0.374281,2.646546,1.386293,-0.195566,-0.183638,0.129411,1.311172,3.268165,1.076437,0.822557,0.000000,0.069870,0.313657,1.760575,5.961952,1.431316,0.180126,0.360614,-0.314349,-0.068053,0.063716,-0.438912,-0.323399,-0.629429,1.899746,2.769292
L22,-0.061036,0.123614,0.243977,-0.126040,0.006557,-0.061036,0.000000,0.063716,-0.195566,0.123614,0.063716,-0.061036,-0.054067,-0.061036,0.063716,-0.126040,-1.072632,-0.563734,0.063716,0.185605,-0.998525,-0.257442,-0.187598,-0.374692,-0.323399,-0.693145,-2.133492,-2.079426,-1.573884,0.063716,-0.068053,0.180126,-0.686588,-1.053584,-0.557971,0.006557,-0.248967,-0.126040,0.123614,0.000000,-0.257442,0.264386,1.174597,-0.433823,0.937123
L23,0.000000,-0.126040,-0.061036,0.063716,0.180126,-0.061036,0.063716,-0.061036,-0.068053,0.117783,0.000000,0.051293,0.117783,0.123614,-0.187598,0.051293,-1.195234,-0.187598,0.123614,0.000000,-0.068053,-0.502090,0.185605,-0.133531,-0.374692,-0.880743,-3.414376,-0.998525,-0.629429,0.117783,-0.061036,-0.187598,-1.386288,-1.497512,-0.118605,-0.369919,-0.369919,-0.118605,-0.118605,0.000000,-0.187598,-0.126040,0.123614,-0.203598,2.416851
L24,0.185605,0.063716,0.117783,0.063716,-0.061036,0.431440,-0.126040,0.000000,0.000000,-0.126040,0.000000,-0.006601,0.000000,-0.061036,0.000000,-0.126040,-0.068053,0.123614,0.063716,-0.118605,-0.068053,0.000000,0.123614,0.063716,0.185605,0.435704,0.439950,0.313657,0.123614,-0.061036,0.000000,0.191055,0.884201,1.011599,0.374281,0.313657,0.123614,0.185605,0.063716,0.063716,-0.183638,-0.236388,0.129411,0.926761,5.452842
L25,-0.061036,0.185605,0.117783,0.000000,-0.257442,0.063716,0.057524,0.057524,0.000000,0.000000,0.063716,0.063716,0.063716,-0.126040,-0.061036,-0.068053,0.123614,0.313657,0.000000,-0.061036,0.369746,0.000000,0.000000,0.123614,-0.126040,0.185605,1.252761,0.878751,0.374281,-0.006601,0.063716,0.123614,0.750670,0.308838,0.497580,0.000000,0.243977,0.063716,-0.061036,0.123614,0.063716,-0.438912,0.111918,-0.384308,6.099490
L26,-0.068053,-0.061036,0.117783,-0.061036,0.063716,0.000000,0.000000,0.000000,0.063716,0.063716,0.000000,-0.061036,-0.061036,0.000000,0.000000,0.000000,-0.379489,0.051293,0.000000,0.000000,-0.187598,-0.133531,-0.006601,-0.126040,0.000000,-0.374692,-1.573884,-0.946340,-0.374692,0.000000,-0.061036,-0.061036,-0.693145,-0.314349,0.431440,-0.061036,0.000000,-0.061036,0.069870,0.006557,-0.111225,-0.300927,-0.686588,-0.444027,9.937721
L27,0.000000,-0.061036,-0.126040,-0.061036,-0.061036,-0.061036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.063716,-0.126040,-0.061036,0.063716,0.000000,-0.006601,0.000000,0.000000,-0.126040,-0.126040,-0.061036,-0.126040,-0.061036,-0.068053,-0.248967,0.123614,0.117783,-0.126040,0.000000,0.057524,0.313657,0.000000,0.254234,-0.061036,0.000000,-0.061036,0.000000,-0.061036,-0.175764,-0.300927,0.249119,-0.265989,3.227259
L28,-0.006601,0.000000,0.057524,0.000000,-0.061036,-0.006601,-0.006601,0.000000,0.000000,-0.006601,-0.061036,-0.068053,-0.006601,-0.006601,-0.006601,0.000000,-0.068053,-0.006601,-0.006601,-0.006601,-0.068053,0.000000,-0.006601,-0.068053,-0.006601,0.051293,0.000000,0.057524,-0.061036,-0.006601,-0.068053,-0.006601,-0.061036,0.000000,0.303995,0.000000,-0.061036,0.057524,-0.061036,0.057524,0.075986,-0.485918,-0.006601,-0.061036,5.935588
L29,-0.006601,-0.126040,0.063716,0.057524,0.000000,0.000000,0.000000,0.063716,0.000000,0.000000,-0.006601,0.000000,0.000000,0.000000,0.000000,-0.061036,-0.006601,0.000000,0.000000,0.000000,0.063716,0.000000,0.000000,0.057524,0.000000,-0.006601,0.000000,-0.061036,-0.061036,0.000000,0.063716,0.000000,0.000000,-0.061036,0.057524,0.000000,0.063716,-0.006601,0.057524,0.000000,0.117783,-0.171850,0.000000,0.063716,8.318008
L30,0.063716,0.123614,0.000000,0.000000,-0.126040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.006601,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.057524,-0.006601,-0.061036,-0.187598,0.000000,-0.061036,9.704119
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.368112
