layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Create,7: a,8: standardize,9: patient,10: brief,11: for,12: depression,13: focused,14: on,15: demographic,16: and,17: relevant,18: PM,19:H,20:;,21: avoid,22: extra,23: sections,24:.,25: Begin,26: exactly,27: with,28::,"29: """,30:Gender,31::,"32: ""","33:
",34:<,35:|,36:ass,37:istant,38:|>,"39:
",40:Gender,41::
L11,0.068364,0.124053,0.313295,0.059514,0.320167,0.004706,0.249216,0.188591,0.055060,1.171371,1.317975,-0.319634,0.573003,-0.063281,-0.130840,0.004706,0.004706,0.124053,0.000000,0.442506,0.068364,0.313295,0.184677,0.059514,0.055060,0.124053,0.249216,0.241836,0.241836,0.489852,2.394458,0.501347,-0.256720,-0.386773,0.241836,0.184677,0.188591,-0.125478,0.009390,0.424157,2.695391,0.697853
L12,0.256542,-0.058269,0.249216,-0.063281,-0.114839,-0.125478,0.059514,0.063949,-0.058269,-0.443931,0.442506,0.624828,-0.120144,0.184677,-0.306730,0.313295,0.188591,0.059514,0.124053,0.188591,0.188591,0.124053,0.249216,0.562307,0.124053,0.004706,0.000000,0.055060,0.055060,0.299405,0.757096,0.430311,-0.009479,0.326993,0.313295,0.249216,0.188591,0.124053,-0.186102,0.196373,0.360441,0.619764
L13,0.184677,0.000000,0.000000,-0.063281,0.119877,0.068364,0.188591,0.180748,0.188591,0.196373,0.132351,0.059514,-0.058269,-0.063281,-0.250641,-0.125478,0.124053,0.000000,0.068364,0.184677,0.119877,0.059514,0.063949,0.132351,-0.120144,-0.063281,0.059514,-0.063281,0.059514,-0.004728,0.000000,0.507045,0.004706,0.188591,0.059514,0.128211,0.059514,0.196373,0.188591,0.098735,0.430311,0.551497
L14,0.068364,-0.058269,0.059514,0.004706,0.128211,-0.191800,0.124053,0.184677,0.068364,1.255454,0.562307,0.004706,-0.379852,0.119877,-0.125478,0.081493,0.184677,0.128211,0.128211,0.063949,0.256542,0.063949,0.128211,0.436427,0.188591,-0.004728,0.124053,0.256542,-0.306730,0.128211,-1.262241,0.234401,0.556917,-0.962136,0.124053,0.196373,0.128211,-0.125478,-0.053281,0.172843,1.543137,-0.813291
L15,0.059514,-0.063281,0.184677,0.184677,0.124053,0.063949,0.313295,0.188591,0.059514,0.629866,0.313295,0.132351,0.501347,0.004706,-0.004728,0.124053,0.000000,-0.063281,0.124053,0.124053,0.124053,0.059514,-0.004728,0.068364,-0.063281,0.000000,0.249216,0.373513,0.128211,0.115684,1.006442,0.256542,0.004706,0.825498,0.119877,0.320167,-0.063281,0.000000,-0.313161,0.873895,1.200192,-0.366154
L16,0.128211,0.128211,0.063949,0.063949,0.004706,-0.063281,0.068364,0.184677,0.059514,0.059514,0.188591,0.379986,-0.180436,-0.063281,0.124053,-0.130840,0.004706,0.059514,0.004706,0.063949,0.059514,0.000000,0.063949,0.000000,0.059514,0.249216,0.063949,0.306374,0.063949,0.119877,-0.186102,0.128211,-0.186102,-0.058269,0.059514,0.196373,0.124053,0.249216,-0.174803,0.501347,-1.025852,0.379986
L17,0.124053,0.063949,0.124053,-0.004728,0.188591,0.000000,0.124053,0.068364,-0.063281,-0.180436,0.124053,0.000000,0.004706,0.063949,0.063949,0.004706,0.000000,0.124053,0.124053,0.128211,0.249216,0.063949,-0.063281,0.256542,0.184677,0.000000,0.004706,0.180748,0.320167,-0.063281,1.271455,0.562307,0.115684,-0.496774,-0.004728,0.124053,0.063949,0.188591,-0.053281,0.379986,1.147702,1.352718
L18,0.128211,0.124053,0.059514,0.128211,0.188591,0.059514,0.188591,0.249216,0.379986,3.395521,1.006442,-0.186102,13.824478,0.320167,0.188591,1.951286,0.442506,0.313295,0.313295,0.817200,0.821358,0.055060,-0.125478,0.442506,0.184677,0.000000,0.128211,0.249216,0.063949,0.119877,7.715216,1.489293,0.869950,-0.300340,0.188591,0.256542,0.128211,0.128211,0.009390,0.869950,8.259756,3.019043
L19,0.004706,0.004706,0.000000,0.059514,0.256542,0.128211,0.128211,0.249216,0.124053,0.059514,0.249216,0.132351,-0.379852,0.128211,0.128211,-0.436605,-0.125478,0.124053,0.059514,0.059514,0.436427,0.124053,0.063949,0.436427,0.249216,0.004706,0.124053,0.128211,-0.053281,-0.250641,0.184677,0.196373,0.256542,0.489852,-0.136230,0.068364,0.068364,0.128211,-0.068319,1.620695,1.825766,3.904067
L20,0.004706,0.000000,-0.063281,-0.125478,0.249216,-0.063281,0.124053,0.124053,0.068364,-0.520304,-0.004728,-0.058269,-0.949866,0.059514,0.000000,-0.250641,0.124053,0.000000,0.063949,-0.180436,0.188591,0.124053,0.128211,0.059514,0.184677,0.068364,0.059514,0.068364,0.184677,0.128211,-0.879249,0.196373,-0.250641,-0.250641,0.124053,0.249216,0.068364,0.263815,0.507045,1.066660,-0.556672,5.424118
L21,0.004706,0.184677,-0.120144,0.000000,0.063949,0.000000,0.124053,0.188591,0.249216,1.129574,0.068364,0.373513,5.460709,0.004706,0.128211,0.881738,0.124053,0.059514,0.068364,0.063949,0.320167,0.000000,0.059514,0.004706,-0.058269,0.000000,0.000000,0.059514,0.068364,0.256542,3.774278,0.629866,0.992552,0.817200,0.009390,0.000000,0.059514,0.004706,0.124053,0.063949,1.040343,10.397238
L22,0.063949,0.128211,0.124053,0.068364,0.059514,0.059514,0.059514,0.124053,0.000000,-0.999877,0.000000,0.004706,-1.667705,0.124053,-0.063281,-0.313161,0.124053,0.068364,0.059514,0.000000,-0.125478,0.068364,0.000000,-0.063281,0.059514,0.059514,0.004706,0.059514,0.124053,-0.250641,-0.125478,-0.058269,0.128211,-0.191800,0.184677,0.188591,0.000000,0.068364,0.256542,0.306374,-0.656106,0.578308
L23,0.059514,0.000000,-0.058269,0.000000,0.000000,0.000000,0.059514,0.059514,0.128211,-0.313161,0.059514,0.059514,-1.830224,0.063949,-0.063281,0.063949,0.000000,0.068364,0.124053,0.059514,-0.063281,0.059514,0.059514,0.059514,0.124053,0.059514,0.068364,0.000000,-0.120144,-0.244598,-0.851236,0.256542,0.188591,-0.186102,0.004706,0.128211,0.059514,0.128211,-0.063281,-0.058269,-0.731613,1.281981
L24,0.059514,0.128211,0.004706,0.000000,0.000000,0.808831,0.000000,0.063949,0.059514,0.004706,-0.058269,-0.063281,0.821358,0.063949,-0.058269,0.059514,0.059514,0.004706,0.059514,0.128211,0.059514,0.068364,0.000000,0.119877,0.063949,0.004706,0.068364,0.000000,0.063949,0.063949,0.757096,0.436427,0.313295,0.059514,0.000000,0.068364,0.128211,0.320167,-0.232622,-0.063281,0.164875,4.427441
L25,-0.058269,0.004706,-0.058269,-0.063281,-0.125478,0.000000,-0.063281,0.000000,-0.063281,0.256542,-0.058269,-0.004728,3.137133,0.000000,0.063949,0.124053,0.000000,0.004706,0.059514,0.119877,0.059514,0.063949,0.059514,0.119877,0.059514,0.249216,0.059514,0.068364,0.124053,0.256542,0.562307,0.313295,0.188591,0.128211,0.059514,0.004706,0.124053,0.249216,-0.238592,0.241836,-0.443931,4.390715
L26,0.128211,0.124053,0.124053,0.119877,-0.058269,0.124053,0.063949,0.068364,0.059514,-0.063281,0.000000,0.063949,-0.756428,0.063949,0.004706,0.000000,0.000000,0.000000,0.124053,-0.058269,0.059514,0.063949,0.000000,0.000000,0.063949,0.063949,0.004706,0.000000,0.063949,-0.058269,-0.186102,0.249216,0.063949,-0.058269,0.063949,0.132351,0.063949,0.136475,-0.359374,0.059514,-0.569094,10.566100
L27,0.000000,0.000000,0.000000,0.004706,0.063949,0.063949,0.000000,0.000000,0.004706,0.128211,0.004706,0.124053,0.379986,0.000000,0.059514,0.000000,0.004706,0.059514,0.059514,0.000000,0.124053,0.000000,0.059514,0.000000,0.063949,0.000000,0.000000,0.004706,0.059514,0.128211,0.124053,0.184677,0.059514,0.063949,0.068364,0.063949,0.059514,0.263815,-0.414944,0.249216,-0.256720,4.686489
L28,0.000000,0.059514,0.059514,0.059514,0.000000,0.059514,0.000000,0.059514,0.059514,0.000000,0.059514,0.000000,0.000000,0.059514,0.000000,0.059514,0.059514,0.000000,0.004706,0.000000,0.000000,0.059514,0.000000,0.059514,0.000000,0.059514,0.000000,0.059514,0.000000,0.059514,0.004706,0.059514,0.000000,0.059514,0.119877,0.000000,0.004706,0.320167,-0.674455,0.184677,-0.063281,8.836256
L29,0.000000,0.000000,0.059514,0.059514,-0.063281,0.059514,0.000000,0.059514,0.000000,0.059514,0.000000,0.059514,0.059514,0.059514,0.000000,0.059514,0.059514,0.059514,0.004706,0.000000,0.059514,0.059514,0.059514,0.000000,0.000000,0.059514,0.059514,0.000000,0.000000,0.059514,0.059514,0.000000,0.059514,0.059514,0.059514,0.124053,0.063949,0.059514,-0.481389,0.128211,0.124053,7.945141
L30,0.184677,0.068364,0.000000,0.059514,-0.058269,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.124053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.059514,0.000000,0.000000,0.000000,0.059514,0.055060,0.059514,0.059514,-0.244598,0.059514,0.004706,10.228043
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.019526
