layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:For,7: the,8: patient,9: with,10: the,11: depression,12: below,"13:,",14: compose,15: a,16: brief,17: presentatio,18: about,19: its,20: demographic,21: information,22:.,"23:
",24:You,25: must,26: start,27: with,28: the,29: following,30::,"31: """,32:Gender,33::,"34: ""","35:
",36:<,37:|,38:ass,39:istant,40:|>,"41:
",42:Gender,43::
L11,-0.064162,0.000000,0.244385,0.054959,0.316912,-0.126294,-0.005666,-0.005666,0.180436,0.878289,0.117155,1.317604,-0.126294,-0.324119,-0.126294,-0.070204,-0.064162,0.180436,-0.132725,0.376810,0.369028,0.086540,0.244385,0.117155,0.060292,0.117155,0.180436,0.300314,-0.005666,-0.005666,-0.316337,0.296121,0.451471,0.005634,-0.681911,-0.064162,0.185142,0.122168,-0.005666,-0.132725,-0.308615,0.291910,1.484425,-0.052186
L12,-0.005666,-0.005666,0.054959,-0.005666,0.117155,0.000000,0.185142,0.117155,-0.132725,-0.005666,0.185142,0.000000,-0.126294,0.060292,-0.070204,-0.126294,0.054959,0.185142,0.060292,0.054959,-0.064162,-0.248896,-0.199416,0.175708,-0.064162,0.054959,0.117155,0.065597,-0.064162,0.060292,0.117155,-0.439951,0.429652,0.731933,-0.687513,-0.293348,0.376810,-0.064162,-0.005666,-0.005666,-0.126294,0.127155,0.982945,2.166629
L13,0.000000,0.060292,0.122168,-0.005666,-0.126294,0.117155,0.000000,0.060292,0.429652,0.436978,0.122168,0.493731,0.000000,-0.058156,0.000000,0.000000,-0.064162,0.180436,0.117155,-0.064162,0.312788,0.248800,0.161388,0.180436,-0.070204,-0.064162,-0.005666,0.054959,0.117155,-0.064162,0.049597,-0.070204,-0.005666,0.308647,-0.119904,-0.113555,-0.005666,-0.005666,-0.005666,0.000000,-0.064162,0.065597,-0.076283,2.367653
L14,0.065597,-0.005666,0.054959,0.060292,0.185142,0.054959,0.117155,0.054959,0.180436,0.000000,-0.011364,-0.070204,-0.005666,0.180436,0.000000,0.054959,-0.005666,0.117155,0.429652,0.000000,-0.040351,-0.248896,0.185142,0.060292,-0.070204,-0.064162,0.000000,-0.005666,0.122168,-0.126294,-0.132725,-0.064162,0.180436,0.414837,0.300314,-0.676340,0.060292,0.122168,0.054959,-0.126294,-0.426879,-0.145712,0.321018,-0.681911
L15,0.060292,0.000000,-0.005666,0.000000,0.180436,-0.126294,0.180436,0.054959,0.185142,-0.064162,-0.070204,-0.227390,0.244385,0.054959,0.060292,0.060292,-0.126294,-0.107245,0.117155,0.054959,0.060292,0.000000,0.676053,0.248800,-0.005666,0.060292,0.117155,0.122168,-0.005666,-0.064162,0.107054,-0.199416,0.308647,0.810302,-0.132725,-0.132725,0.060292,0.065597,0.000000,0.060292,-0.248896,0.840007,0.805264,1.335595
L16,0.065597,0.122168,0.117155,0.122168,0.000000,-0.064162,0.000000,-0.064162,-0.546287,-0.070204,-0.064162,-0.185717,-0.005666,-0.126294,-0.126294,0.122168,0.054959,-0.064162,-0.185717,0.312788,-0.119904,-0.256169,-0.005666,0.180436,0.122168,-0.005666,0.054959,0.054959,0.122168,0.060292,0.122168,-0.064162,0.312788,0.248800,-0.132725,0.308647,0.122168,0.185142,0.054959,0.122168,-0.494018,0.664492,0.112117,0.939742
L17,0.117155,-0.005666,0.117155,-0.070204,0.060292,0.060292,-0.064162,-0.070204,-0.064162,0.117155,-0.005666,1.181692,-0.064162,0.122168,-0.126294,-0.005666,0.054959,-0.064162,0.000000,0.000000,0.500604,0.000000,0.189826,0.054959,-0.064162,0.000000,0.054959,0.122168,0.054959,-0.005666,0.244385,-0.192543,0.758744,0.316912,-0.017094,-0.388658,0.312788,0.127155,0.000000,0.132118,-0.126294,-0.185717,0.194488,0.333239
L18,0.060292,0.060292,0.060292,-0.070204,0.060292,0.060292,0.117155,0.122168,1.816865,2.192190,0.748106,10.141078,1.382048,2.074485,0.239951,0.180436,0.189826,0.493731,0.060292,1.007999,1.816865,0.369028,0.560422,0.553950,0.000000,0.117155,0.060292,0.304489,0.500604,-0.005666,0.180436,0.304489,6.705307,0.873584,0.726483,0.376810,0.122168,0.189826,0.060292,0.000000,-0.064162,0.859332,2.297487,0.579592
L19,-0.064162,-0.005666,0.117155,-0.070204,-0.005666,0.060292,0.054959,0.000000,-0.517439,-0.293348,-0.005666,0.000000,-0.011364,0.112117,-0.005666,-0.064162,-0.005666,-0.070204,0.060292,-0.192543,-0.665290,-0.076283,0.357240,0.049597,-0.005666,-0.005666,0.000000,-0.064162,-0.064162,-0.005666,0.117155,-0.418258,-0.107245,-0.119904,0.199129,0.634991,0.054959,0.060292,0.060292,0.065597,0.054959,0.795112,-0.248896,1.732605
L20,-0.005666,0.000000,0.117155,-0.005666,0.060292,-0.070204,0.000000,0.054959,-0.017094,-0.359908,-0.070204,-0.475669,-0.070204,-0.076283,0.000000,0.000000,0.117155,-0.064162,0.117155,-0.070204,-0.005666,0.049597,-0.192543,0.180436,0.054959,0.180436,0.117155,0.000000,0.060292,0.060292,0.054959,-0.005666,-0.462125,0.573243,0.022347,-0.248896,0.000000,0.185142,0.054959,-0.058156,0.248800,0.540878,-0.643550,8.032290
L21,0.060292,0.117155,-0.064162,-0.005666,-0.064162,-0.064162,-0.005666,0.054959,1.064126,0.742744,0.436978,4.825598,0.308647,0.436978,0.054959,0.060292,0.122168,0.060292,0.117155,0.308647,0.882973,0.308647,0.369028,0.185142,-0.070204,-0.070204,-0.005666,0.054959,0.687481,0.054959,0.000000,0.122168,3.134019,0.681783,0.493731,0.687481,0.122168,-0.005666,0.054959,-0.064162,-0.064162,0.357240,0.444251,7.851536
L22,0.117155,0.117155,0.054959,-0.005666,-0.132725,0.060292,-0.126294,-0.005666,-0.448762,-0.388658,-0.070204,-1.391959,-0.444347,-0.347836,-0.005666,0.054959,0.054959,-0.064162,-0.005666,-0.693147,-0.638188,-0.192543,-0.627550,-0.351844,-0.005666,0.000000,0.000000,-0.005666,-0.005666,-0.005666,0.054959,-0.475669,-0.355868,-0.064162,0.049597,-0.158870,-0.070204,-0.005666,-0.070204,-0.005666,0.005634,0.112117,0.000000,2.696686
L23,0.054959,-0.005666,0.054959,0.000000,-0.064162,-0.070204,-0.126294,0.000000,-0.347836,-0.413976,-0.070204,-1.391959,0.054959,-0.070204,0.117155,-0.126294,0.000000,0.054959,0.060292,-0.606606,-0.070204,-0.126294,-0.256169,-0.165514,-0.064162,-0.005666,-0.005666,-0.064162,-0.064162,0.000000,-0.064162,-0.721802,-0.920537,0.507430,0.235496,-0.308615,-0.070204,-0.126294,-0.126294,0.065597,-0.070204,-0.503321,-0.165514,0.579592
L24,0.054959,0.060292,0.054959,-0.005666,-0.126294,0.670289,-0.064162,-0.005666,-0.005666,-0.070204,-0.070204,0.312788,-0.064162,0.054959,0.000000,0.000000,-0.064162,-0.005666,-0.070204,0.054959,-0.126294,-0.005666,0.117155,0.060292,-0.005666,0.054959,-0.005666,0.000000,-0.005666,-0.064162,0.054959,-0.005666,0.500604,0.376810,0.117155,0.117155,0.054959,0.185142,0.060292,0.065597,-0.178937,-0.132725,0.180436,5.485172
L25,0.054959,0.000000,-0.005666,-0.064162,-0.070204,0.000000,0.054959,0.000000,0.244385,0.117155,0.000000,3.310378,-0.064162,0.054959,0.000000,-0.064162,-0.005666,-0.064162,-0.064162,0.117155,0.117155,0.054959,0.117155,0.185142,-0.005666,0.060292,0.054959,-0.005666,0.054959,0.054959,-0.005666,-0.005666,0.180436,0.369028,0.117155,0.117155,0.060292,-0.005666,0.054959,0.127155,-0.308615,0.244385,-0.278310,4.740895
L26,-0.005666,-0.064162,0.054959,0.000000,-0.064162,-0.064162,0.000000,-0.005666,-0.248896,0.060292,0.000000,-0.665290,-0.064162,-0.064162,-0.005666,-0.064162,-0.064162,-0.005666,-0.064162,-0.126294,-0.064162,-0.064162,-0.064162,-0.192543,0.054959,-0.005666,-0.064162,-0.005666,-0.064162,-0.005666,0.000000,-0.064162,-0.248896,0.054959,-0.005666,-0.126294,-0.126294,0.189826,-0.064162,0.132118,-0.489399,-0.113555,-0.199416,10.133752
L27,-0.070204,-0.070204,-0.064162,0.000000,0.000000,0.054959,0.060292,0.000000,0.060292,-0.005666,-0.064162,0.122168,0.060292,0.000000,0.000000,-0.005666,0.000000,0.000000,0.000000,-0.070204,0.000000,-0.064162,0.000000,0.117155,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060292,0.117155,0.054959,0.180436,0.000000,0.000000,0.117155,0.000000,0.060292,0.316912,-0.551177,0.185142,-0.192543,3.922700
L28,-0.005666,-0.005666,-0.005666,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.064162,-0.064162,0.000000,0.000000,-0.005666,-0.064162,0.000000,0.000000,-0.005666,0.000000,0.000000,-0.005666,0.000000,-0.005666,-0.064162,0.000000,0.000000,0.000000,0.000000,-0.064162,0.000000,-0.064162,-0.070204,-0.064162,0.117155,0.000000,0.000000,0.000000,0.000000,-0.005666,0.376810,-0.676340,0.060292,-0.064162,7.860501
L29,-0.064162,-0.064162,0.000000,0.000000,0.054959,-0.005666,-0.064162,0.000000,-0.064162,0.000000,-0.064162,-0.005666,-0.064162,0.000000,-0.064162,0.000000,0.000000,0.000000,0.000000,-0.064162,-0.064162,0.000000,0.000000,-0.064162,-0.005666,0.000000,0.000000,-0.064162,-0.064162,0.000000,-0.005666,-0.005666,-0.005666,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060292,-0.363965,0.000000,0.000000,8.024745
L30,0.117155,0.117155,-0.070204,0.000000,-0.005666,-0.064162,-0.005666,0.000000,0.000000,-0.064162,0.000000,-0.005666,-0.064162,0.000000,0.000000,0.000000,0.000000,-0.064162,-0.064162,0.000000,0.000000,0.000000,-0.005666,0.000000,-0.005666,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.005666,-0.005666,0.000000,0.000000,0.000000,-0.005666,0.000000,-0.005666,0.054959,-0.132725,-0.005666,0.054959,9.893937
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.990970
